Age [ka BP],Depth sed [m],Al [mg/kg],Ba [mg/kg],Mo [mg/kg],Ti [mg/kg],U [mg/kg]
29.698,0.505,57200.884,169.731,1.042,4832.601,1.538
41.249,0.795,55899.785,169.733,0.982,4842.342,1.518
42.444,0.825,56725.112,234.567,1.853,4945.673,1.586
50.41,1.025,63935.877,198.773,1.118,5574.453,1.597
53.596,1.105,53700.841,148.216,1.187,4744.749,1.452
58.973,1.24,66363.777,189.119,1.101,5626.121,1.705
63.354,1.35,59417.766,147.206,1.006,4759.768,1.63
84.158,1.88,57315.722,1088.429,53.553,4070.439,14.367
90.164,2.09,68956.06,171.422,1.012,5784.093,5.215
94.263,2.245,48355.878,127.033,0.636,4178.665,2.404
106.409,2.705,58979.247,857.602,36.664,4485.533,7.369
107.082,2.735,66126.596,789.572,33.604,5037.142,10.802
112.786,2.985,62858.423,142.688,0.625,5338.765,3.426
122.491,3.41,54601.192,1658.088,89.545,4197.5,36.781
124.742,3.51,54819.293,1797.522,131.107,3529.103,38.839
125.193,3.53,59827.683,1875.477,139.798,3697.367,38.554
128.362,3.67,64397.314,358.302,21.405,4434.951,7.038
134.534,3.87,36498.296,196.166,2.614,3087.552,3.204
147.654,4.295,48298.98,492.058,0.5,3664.975,1.614
151.688,4.415,49327.661,691.581,0.584,3241.316,1.815
159.288,4.665,53648.88,220.699,0.497,3902.334,2.981
165.803,4.865,44211.826,936.286,4.231,3185.932,8.581
170.699,4.965,52907.693,625.321,67.905,3873.354,13.19
176.084,5.075,58407.665,506.811,82.336,5117.334,15.377
179.9,5.155,46414.446,495.883,5.882,3817.335,6.214
195.367,5.57,57900.99,993.203,109.592,3673.452,25.733
198.666,5.7,82960.883,231.608,21.729,6958.438,10.082
208.806,5.99,54151.163,685.516,1.247,3567.708,2.814
214.017,6.09,59067.688,598.816,9.185,4388.268,10.403
216.006,6.12,47228.602,913.224,31.245,3690.074,14.017
221.147,6.19,43825.501,876.092,42.592,3634.685,12.695
228.82,6.315,56573.356,592.355,4.682,4729.014,4.403
239.219,6.565,58342.24,1071.983,35.462,3999.372,14.463
257.612,6.935,54383.538,133.518,0.817,4665.353,2.076
289.142,7.55,65337.075,147.923,0.915,4912.735,1.248
321.698,8.12,44021.924,108.035,0.952,3379.225,2.511
375.078,8.57,53451.41,645.962,0.964,4825.165,3.405
