age_kyr_bp,null_000,null_001,null_002,null_003,null_004,null_005,null_006,null_007,null_008,null_009
90.375,-50.529106,-31.047691,-9.816315,-9.317818,-2.9330354,32.218033,25.622005,-14.424424,8.32718,-57.131565
90.349,-6.480106,-1.6007873,-24.64093,-3.078933,11.506394,5.113885,-11.442255,-17.502932,-48.678825,-8.534082
90.322,-16.884071,25.612736,-36.435497,-31.883556,-3.9880412,-12.885155,27.373505,27.736092,-32.899574,-28.124512
90.296,31.91699,-15.414395,29.203823,68.59131,-20.867228,15.396597,-1.4719712,3.424006,30.825806,-5.5450397
90.269,29.685465,10.939868,-2.4625993,9.184395,14.408955,-48.525414,19.922205,-7.8064,-36.899635,-27.650148
90.243,9.547733,-1.0607847,8.725932,-3.6929421,-28.719925,1.9938049,21.242872,-10.533806,-16.03527,-10.087239
90.217,17.765678,-3.7807078,-20.709639,11.664572,-9.556596,-26.718815,-17.997814,-30.74875,26.172497,-40.032566
90.19,32.595474,47.114555,-22.179852,-6.90297,-11.285258,-31.937523,-5.229072,0.009600135,2.0514972,10.885963
90.164,-25.769184,-4.1060686,22.90852,-34.932423,-28.935503,-1.3838868,-46.82397,-19.638357,19.284378,-33.043407
90.137,-15.428302,-2.4357023,-11.463178,10.990692,-54.87989,9.4043255,26.805372,-12.049989,28.415009,20.370565
90.111,32.84665,40.78622,-19.522226,18.414616,-6.060766,-18.199707,-5.4509783,-1.3517207,62.551563,20.967148
90.084,26.469252,29.90494,-10.56485,34.24854,34.74725,-29.068394,10.367272,-58.92691,-16.85842,46.791214
90.058,15.863398,2.2086709,-26.986925,29.198086,32.674725,-34.48004,13.804392,-1.1635104,19.517164,19.519075
90.031,-14.908728,-9.517123,-58.1036,-22.183311,-0.6590546,-22.482355,55.91108,-0.30425468,-13.149472,-13.055282
90.005,37.92637,-20.32982,30.35029,-94.7602,25.527782,6.5048003,70.57488,-30.25441,35.308815,-16.443783
89.979,14.080579,38.52181,13.6057825,-13.3535385,22.816267,51.3193,21.607498,46.25301,-0.72334766,-24.692905
89.952,-9.525851,18.075666,6.234945,-24.187168,3.9973488,5.1995997,2.7027853,2.5009413,-13.658872,37.73972
89.926,-21.26842,20.787153,-4.866545,-35.219696,18.653866,2.4229028,-0.50371414,-39.179665,-29.23479,-17.437912
89.899,41.306416,-1.3956746,32.214207,12.410664,42.98802,48.952637,-17.53944,15.012016,61.085674,37.986088
89.873,37.39704,22.914402,-19.161932,-14.454976,9.306275,23.991549,20.319216,33.01137,19.12585,44.921555
89.846,7.364693,32.116734,-23.206692,18.081993,-1.122896,22.038939,52.39441,11.956099,16.821924,-10.48838
89.82,-27.09603,-11.666146,33.241573,30.430328,17.066263,25.471783,13.231595,79.79346,-35.406296,-46.346725
89.793,17.980509,-0.58048975,50.18439,73.64567,-38.861782,-9.277522,-3.252444,34.565144,-42.01703,-35.475933
89.767,45.353664,18.014742,8.900876,19.60123,-19.223152,-45.306725,-31.171064,63.526917,7.807527,7.607128
89.74,4.962281,3.7419488,29.049528,-4.936998,-59.64614,17.999762,13.503992,-8.598112,12.15563,35.444267
89.714,-27.666582,-15.440488,33.479748,13.6411705,-29.047523,-4.399338,-3.5575998,-43.231785,-2.8664846,19.12684
89.688,34.78927,-11.612979,34.592674,34.157787,-26.860981,-12.288864,-14.39636,30.845211,-19.81765,10.339671
89.661,26.138113,-49.03675,2.5949984,9.698887,-27.390575,-8.101099,24.199469,16.454268,18.804298,-38.082695
89.635,-39.634964,-4.9070206,17.538221,37.86876,-10.558107,-3.8601375,6.6273985,6.574077,-17.782372,-32.94835
89.608,-37.988663,-25.991194,2.0865777,-15.170311,6.3381996,24.272078,-22.817348,23.119013,-39.89206,-16.647964
89.582,-48.2613,16.641956,-8.6656275,-18.731249,1.4080286,-6.6641455,55.154,19.9474,43.064674,24.836016
89.555,-28.393038,5.431976,-29.534016,-16.48532,35.447987,-68.18643,-39.301086,22.449137,46.425755,-26.770754
89.529,-15.576876,21.7798,46.64207,-8.544298,-19.559494,-41.328,3.5548177,-18.813738,58.98709,-1.7808046
89.502,-16.629644,-44.552788,5.5472307,28.630259,54.638847,3.485281,43.542103,34.326797,-8.617626,-13.944686
89.476,18.460861,-0.5708166,26.554535,45.708485,27.156446,-7.124986,1.7772149,34.51678,23.491793,19.062689
89.45,12.260743,-13.919371,-31.744425,-0.78325063,6.2788825,-2.1334405,17.684044,17.221298,28.245146,-17.043509
89.423,36.29147,-13.448184,-10.036806,-2.664055,7.4675636,63.373367,-29.69094,2.7840617,-6.0338387,-23.129913
89.397,7.2702346,-16.644573,-49.975906,-28.03308,-52.232105,-35.417034,-13.645416,-10.178389,-36.875446,18.053787
89.37,-25.777569,-22.802483,6.0105777,-45.528336,-27.128338,-12.051344,-1.76158,-7.0149636,-5.5074644,44.63034
89.344,-16.33923,23.63877,15.407311,34.426662,64.971054,28.15727,-25.314426,-42.626873,-25.510233,36.884117
89.317,37.4065,-54.173935,-23.160976,26.29828,60.103966,-8.964781,-8.881886,-35.801517,-8.04619,12.483337
89.291,-16.665958,20.197329,4.797531,0.19262075,38.534298,-44.876247,55.42816,11.180199,13.019842,18.130516
89.264,-13.662541,-12.880281,11.454041,13.037788,33.072884,58.711037,3.3570025,40.367146,-40.69312,12.172477
89.238,32.37607,-24.058727,-29.862885,-6.089654,28.875763,25.17243,9.212278,3.8407955,-21.166363,-16.623886
89.212,38.571682,-48.595604,-24.088276,-18.195217,7.462045,-13.433099,-22.43296,-50.430298,6.2315593,-2.468706
89.185,-40.38401,27.71023,61.647655,16.277197,-28.774456,24.541824,32.870216,55.309517,39.655914,-28.662031
89.159,3.2181573,-40.0951,14.132131,-60.573036,-39.438084,-18.887959,-1.9993162,-18.002459,28.683712,-4.6181583
89.132,-67.5381,-41.620983,6.448271,19.533354,30.921896,-20.114346,-3.2426567,-19.306786,10.687781,11.548642
89.106,-55.319412,-33.694427,21.512693,17.19323,9.008285,7.3694425,23.822441,57.104362,-5.3867593,-28.403292
89.079,-41.203003,6.446745,8.803751,10.233797,-58.573418,12.671128,14.552143,53.05933,-7.438494,-36.24041
89.053,12.041519,-31.104357,18.582111,23.498241,-20.144308,25.07476,11.602347,26.207394,-20.123114,-33.249245
89.026,-10.076967,3.1429296,6.878452,-0.7725331,9.926437,43.15687,-59.225548,-12.862413,34.37771,-2.4582903
89.0,17.632624,-24.212803,-0.3109996,24.085865,-22.582317,42.11699,-17.757994,-15.91355,0.3803261,19.556078
88.974,18.788897,28.135302,52.947258,-61.67766,16.35094,50.249634,-32.085907,5.092869,-14.058243,-22.393578
88.947,31.404284,2.311988,18.520208,6.2717385,-7.7246485,-29.295942,-26.14622,-7.2731156,3.9549615,38.401943
88.921,46.62651,0.047690462,-5.8020988,21.448198,3.9721146,-19.701868,21.678286,-37.142452,13.011444,-47.731255
88.894,-21.327457,26.391083,-23.694868,55.362755,1.2146572,-20.84731,-1.9573199,-21.12102,18.729147,31.728952
88.868,-47.51435,-0.8845189,17.903429,56.979,-17.584608,-37.097267,-35.201126,-30.250568,15.374517,13.834012
88.841,-4.257636,19.128754,-25.76322,14.622934,-36.27589,-35.207466,-35.7336,69.19161,19.959927,4.2047596
88.815,12.825965,-8.221474,-55.035397,-35.410484,40.7486,-33.224197,23.816881,38.0385,26.857584,-30.549921
88.788,-7.0230103,23.260544,30.729666,-44.846,41.80676,1.7680297,-68.04682,38.86777,54.90568,-31.424002
88.762,-4.2339783,-15.316858,39.496967,-38.792282,30.535467,-11.38045,-29.710762,5.012704,38.927547,-0.55585974
88.736,-43.437634,8.221258,-30.26701,24.487167,15.036658,-21.306498,-51.704124,-23.839224,-5.0066013,0.9173259
88.709,-31.632349,83.54586,5.9722543,6.508884,2.0590925,24.56418,-10.635198,27.515388,-22.679283,-17.32542
88.683,-18.376852,46.571552,-17.53393,-0.8333335,35.309456,-12.915279,-19.014101,42.24156,-2.4387608,40.700386
88.656,29.305223,17.823076,-39.41631,14.53757,24.944967,7.3294144,-44.198307,33.270634,-43.11848,-7.7803874
88.63,9.304577,-34.479572,16.033604,13.649826,-14.191154,6.5373187,-10.48664,-41.05416,-11.261688,-34.88471
88.603,-19.047188,41.26944,34.808273,-0.66842693,7.1570497,44.441063,37.188557,6.6080036,-31.301771,-56.09724
88.577,-25.60515,-24.712584,-41.31266,12.038978,-24.343433,61.502262,-50.350586,-2.8129818,2.9388807,-10.210704
88.55,10.846543,49.73441,40.237907,26.112633,15.451745,69.992905,-10.641128,22.882858,8.861169,-52.80994
88.524,8.206483,59.03257,-7.192551,5.6026955,-64.998314,47.758945,26.39072,5.718816,-9.521933,1.9176514
88.498,10.466572,17.383636,-50.28154,3.4896936,-30.85237,11.793489,-3.6582897,-6.801662,-26.615334,-25.73677
88.471,17.250652,1.691808,15.503297,-39.61009,2.6069508,12.410094,-26.06471,31.865198,-20.895636,-52.85521
88.445,-26.054771,-21.828754,22.80806,-30.013515,40.551807,-23.177824,26.994816,-2.0642757,9.426086,-9.32622
88.418,-48.89163,-29.786829,14.889055,-31.28556,33.97459,-5.2448907,23.75147,-15.102331,-30.77892,5.419692
88.392,-29.251774,-12.725233,-25.798225,-54.96853,-22.54092,-40.895435,6.068119,2.2917542,17.14144,28.924086
88.365,19.875597,-8.448487,-8.995981,-18.65548,-26.411802,7.806309,-21.022596,16.594584,19.444847,17.423418
88.339,33.548985,-25.935194,9.428829,-24.590364,19.642366,5.814381,-26.625994,18.398546,-35.147484,-23.994234
88.312,14.547512,7.586322,-26.989542,17.655197,63.591713,2.998281,-16.29341,2.418294,5.4872684,-12.178511
88.286,15.312338,27.200766,-31.783972,8.542384,19.820492,47.17108,12.205975,39.935936,-29.860146,-14.675107
88.26,-11.110832,20.24368,-25.755701,-46.412464,12.56712,-21.644405,-12.49772,10.825381,-12.063751,-45.88981
88.233,15.409548,19.361647,-9.9569435,20.717712,-5.848926,18.3239,25.607536,-45.765884,-21.972271,8.756453
88.207,-21.403605,30.993628,11.447508,-15.812805,-29.30741,21.14044,30.500387,-0.030236423,-6.703467,-5.2921352
88.18,-21.500185,28.407045,4.2490854,-67.004196,23.733976,-28.298355,2.7157645,-9.1255045,-44.814796,12.139027
88.154,-40.449722,-0.6394143,-6.4180603,13.924146,0.37898153,45.122574,-17.655888,19.779459,-37.840946,35.61572
88.127,-50.990524,-4.734009,14.6597185,-2.6998122,4.359696,26.334522,47.16872,-10.026727,4.758223,15.30075
88.101,32.806248,-6.84284,50.614483,33.906944,9.413849,-14.308862,14.00534,-13.37419,17.440598,-15.977034
88.074,-55.44397,37.48784,39.580456,-12.036544,30.383314,-34.457417,-26.11333,-56.063316,0.6496342,-2.7345169
88.048,-10.331395,19.379866,-28.77661,-22.18938,-17.139177,-43.950783,-39.99799,-5.9034796,-15.485102,-11.131131
88.021,-25.47402,-28.657085,31.990156,-1.5769249,47.76105,-19.369944,18.225374,32.411346,-26.902475,2.969363
87.995,49.354668,43.488018,7.88754,6.701696,-2.2297902,-8.796493,-9.112871,71.233986,-7.4830623,-27.795877
87.969,68.938194,-28.174463,6.5130186,-49.660286,-20.69498,15.797194,-26.831022,14.725311,-43.16848,-23.996758
87.942,-16.110228,-76.390434,45.591248,-69.72504,12.678068,-21.525295,47.069508,-12.047558,-3.4436588,-4.172827
87.916,-24.610523,-6.5504136,-19.435534,18.582724,-9.442306,41.136963,-15.305002,-25.510956,10.319774,-8.620257
87.889,9.210051,-38.59262,-40.909706,-33.138863,18.462816,33.335236,-41.09038,50.21136,-26.979733,-10.364566
87.863,67.23326,27.255133,-6.489929,1.4365548,-0.013144157,13.850851,-11.158314,31.489977,-16.764988,-40.105644
87.836,32.471966,-17.14248,-15.78916,-7.0629606,-58.33871,-6.429139,-17.40685,24.070074,9.354438,4.7882533
87.81,-38.6385,5.659957,-7.297827,-6.5643377,-60.686993,18.868195,-3.4598298,21.030542,-4.133924,1.5440376
87.783,-46.851967,-20.159157,-19.3809,-6.5447564,-59.24715,59.519547,-16.825857,-42.883717,5.2224727,17.195375
87.757,-9.649484,13.703848,-32.209946,-5.330914,-21.699368,-9.366858,9.271157,-44.91593,24.585073,-9.390475
87.731,-5.6792936,-17.33588,1.5806663,5.83447,7.223292,-11.032048,1.9680749,-35.795876,6.4677334,-28.96338
87.704,32.683407,-4.1538124,5.1123853,4.7108383,53.948708,47.59749,7.632773,-20.300497,17.173138,-10.794564
87.678,7.3570833,31.049475,42.464386,4.193178,-19.587759,-3.5816858,14.861131,-46.566643,-11.156567,20.070559
87.651,-10.669373,-6.279574,2.5106988,-1.3062246,16.947134,-16.681805,0.84814924,12.479146,25.440144,16.590612
87.625,-19.874477,28.355587,-39.120174,7.8171268,-5.293314,27.648956,42.238037,43.069206,16.04115,-36.519157
87.598,-12.730111,32.99598,-29.884974,-1.0652468,1.5234085,-19.271273,76.40307,54.32577,25.06182,-5.109253
87.572,-22.57735,0.4983725,-28.28666,3.930278,22.251808,27.130283,57.376743,9.664889,18.91502,-32.281204
87.545,27.517986,-10.315544,-27.331367,19.360926,13.5426445,0.19933389,31.501059,-7.801726,-1.6937943,-87.35468
87.519,9.427189,11.451415,32.24791,12.70599,-5.5959287,15.429229,-14.915495,14.867477,40.661205,-52.587624
87.493,-8.689214,14.807247,-31.048689,-15.7858715,-25.502474,42.766544,-35.1118,1.8592222,-1.7169334,-13.570069
87.466,61.056263,28.3404,-8.779955,-17.466,-22.74985,-7.1885705,11.299009,-17.79633,55.839195,40.152863
87.44,4.759567,44.65587,55.275883,25.428392,-8.485144,39.76714,-18.149998,33.58154,13.656998,-18.81356
