age_kyr_bp,null_000,null_001,null_002,null_003,null_004,null_005,null_006,null_007,null_008,null_009
90.375,0.44236416,0.6256339,-0.49705145,-0.049526967,0.5415954,0.28241813,-0.085010044,0.1793499,1.2270561,0.00025858477
90.349,0.97510946,-0.16749257,-0.48692876,0.24009575,0.53716457,0.11286816,0.1537537,-0.1410279,-0.588119,-0.40825522
90.322,-0.29469708,-0.60460556,0.63386136,0.8030731,0.48858333,-0.60544604,0.43582118,-0.58891517,0.31112432,0.60363096
90.296,0.90596247,0.704533,-0.15035973,-0.7441251,-0.77263993,0.2119854,-1.2839077,0.1096466,-0.26480812,-0.8458399
90.269,-0.7534278,-0.12677306,-0.54946613,0.36379763,-0.49495012,-0.38853648,-0.2776999,-0.44534057,1.1313298,0.40407807
90.243,-0.009860515,1.2743348,0.5002094,-0.5707978,0.5224566,-0.09761747,0.098453,-0.44601566,0.03405349,-0.007832483
90.217,0.30931905,-0.7608911,-0.16877894,0.27598777,-0.23636186,1.399079,0.37100235,-0.22247157,-0.1269951,0.08430651
90.19,-0.84575033,0.023044184,0.4874312,-0.07089379,-0.11483714,-0.65841067,0.66444933,-0.13228549,-0.10152516,-0.059442148
90.164,0.50119346,0.24946806,-0.20381442,-0.008769602,0.31339443,0.21872108,0.121025264,-0.2731006,-0.25370818,-0.9401855
90.137,-0.5033389,-0.58699006,0.27327883,0.08069071,-0.6710572,-0.697645,1.1709615,-0.0813392,0.45807865,0.17579907
90.111,0.62263215,0.597658,0.3784596,-1.4172888,0.3774823,0.19185582,-1.2586697,-0.17632301,-0.28905472,0.3342905
90.084,-0.07349456,-0.61415607,-0.68194264,0.72960824,-0.48069358,0.35045764,-0.10586064,-0.39691892,0.30465212,1.3916134
90.058,-0.03087025,0.023403125,0.43360102,-0.20049733,0.3810488,0.47780576,-0.38189158,-0.061957628,0.51309437,0.76005924
90.031,-0.640889,-0.44254705,0.33912432,0.4301627,-0.3017575,0.9595577,-0.398616,1.076839,0.17274937,-0.29720798
