age_kyr_bp,null_000,null_001,null_002,null_003,null_004,null_005,null_006,null_007,null_008,null_009
14.699,89.59273,-443.97473,2655.91,307.45547,580.03735,-1935.9927,1051.1415,-289.69998,-1258.3623,-17.409327
14.682,3003.5723,931.1874,558.9812,381.1162,532.42487,-1488.3009,1887.604,-1112.7971,-1580.5728,-509.93945
14.665,4958.4097,1491.9928,1746.2744,834.9469,1667.3,457.35916,2594.122,4.159589,-1420.1577,123.38255
14.647,3539.2466,329.09656,-115.421455,414.60858,517.55035,1734.0616,1578.2681,777.8968,263.29968,2670.0818
14.63,786.8295,-28.416885,-975.5418,-1535.432,-616.9861,2208.0054,1540.3312,-488.95166,1162.6006,1612.2268
14.613,2751.9185,1025.9597,-1801.3547,-47.415543,649.8192,1227.4214,4186.342,-729.9935,751.8828,1641.5614
14.595,2391.1816,2559.9324,-735.6492,960.5519,58.48455,3678.7883,3175.8333,-184.80972,3132.2305,673.8016
14.578,3780.4502,2604.9934,-1476.4115,575.8385,942.6575,3139.2031,2066.8152,-2513.5938,1507.5791,2462.2092
14.561,3154.856,1188.9298,-876.61176,963.06696,315.12524,1750.7543,1740.426,-1815.1176,2813.4734,3932.517
14.544,1856.3706,-138.73439,-1345.4485,335.78293,-1975.4879,3477.6365,1817.5502,-2561.7498,1464.856,3538.1272
14.527,-547.5872,-1797.0712,62.70857,4.3130383,-140.93858,985.73517,1092.1222,-2657.1323,2843.287,1646.1136
14.509,-686.38403,-1211.8604,313.49487,-1551.3528,-1670.5631,232.17345,664.1889,-2275.652,1285.237,456.8498
14.492,-615.3643,869.8382,-2521.0305,-2988.059,-2980.724,246.30716,-125.40873,-1847.016,692.4648,-346.64548
14.475,-262.21875,-1260.9117,-1656.4255,-2032.3965,-1136.555,611.6669,892.6631,-1235.5978,255.29185,-1838.5626
14.458,-2591.1196,-2637.279,-1711.437,407.1881,-21.776981,773.7736,1022.6732,-1514.7178,503.98495,-863.5978
14.441,-1697.255,-2812.6042,-476.52472,-2720.7722,-352.48892,2609.4165,255.53542,-2553.839,-650.24554,1815.3031
14.423,-757.2169,-1594.5645,-324.5332,-3609.5972,466.77325,1139.674,-926.91785,-1883.8119,-434.59763,1027.2914
14.407,1862.2869,-3238.7036,359.05655,-2126.628,-1002.56256,1569.0332,693.9423,-1084.0546,-546.3145,1385.2135
14.391,1719.0557,-3510.3364,1260.8596,-4441.5947,-809.3478,1729.9594,448.17633,-1634.6549,-2059.6016,2324.9404
14.374,2331.072,-3242.533,-813.8141,-4569.9346,-726.7613,798.08344,-2218.7095,-1883.007,-2402.216,3656.1057
14.358,2019.6893,-2212.5708,-832.992,-3961.441,-81.89684,772.95337,-1526.6871,-2583.1475,-4516.615,4516.4023
14.342,2627.9966,-2924.5652,-1212.9425,-2253.3506,384.06064,756.4605,-83.54102,-3376.9907,-3154.8574,6324.023
14.327,3029.047,-742.2132,-685.70166,-2042.3167,-1109.8578,2696.201,-140.11218,-343.83286,-1474.4146,6010.1924
14.312,1276.1805,-2325.977,-237.97961,-3856.8496,-1302.1506,381.3308,-2159.1401,-57.966476,-231.37643,3210.3652
