age_kyr_bp,null_000,null_001,null_002,null_003,null_004,null_005,null_006,null_007,null_008,null_009
14.699,0.12219478,0.12954637,0.25471923,0.19692548,-1.2417915,0.08777786,-0.8704554,0.42798266,-0.6718982,-0.5423555
14.682,0.03361378,0.16379094,-0.2389215,0.54185444,-0.49662927,0.4858158,-0.17626674,0.5868198,-0.061199337,-0.7627233
14.665,-0.22779909,0.14911301,0.5220943,0.081843674,0.77799803,0.46733525,0.48292777,-0.81857765,-0.4020376,-1.0552934
14.647,0.3248213,-0.75954086,0.12916297,1.1748918,0.9313608,-0.1479724,0.32723618,0.21142767,-0.3386675,-1.0444767
14.63,1.1865253,-0.26444405,0.042131793,0.59401184,-0.036084123,0.34534612,-0.36514446,-0.63001317,0.003206203,-0.18156007
14.613,0.23088145,-0.7728712,-0.09006483,0.1650892,-0.005812368,0.8067646,0.03175062,-0.09822718,-0.4366071,0.83588666
14.595,-0.5440053,-0.9130236,0.101291925,0.19864978,-0.23831056,0.4375166,-0.54595643,-0.77048564,-0.24279755,-0.023653947
14.578,-0.21034326,-0.69029814,0.037199654,-0.53592217,-0.26299798,-0.19099429,0.005793356,-0.7912446,0.022605348,-0.46316504
14.561,-0.5745344,-0.5235235,-0.09707056,0.4640154,0.034433123,-0.14558826,-0.19340283,-0.0030414506,-0.21412353,-0.33276522
14.544,-0.43594748,-0.49342945,0.40507078,0.48562086,-0.6864541,-0.33971602,0.024484001,0.5364918,0.14769766,0.04945759
14.527,-0.37529132,-1.3562107,-0.05432912,0.15668385,0.17472838,-0.18394367,-0.16216926,0.70564514,-0.43341273,0.18605885
14.509,-0.5096782,-0.6116465,0.35258245,0.09912614,-0.18095817,-0.030176118,0.36879554,0.8549716,-0.6100118,0.6896094
14.492,-0.3575424,-0.43716466,-0.12501931,0.27454576,-0.55989766,-0.99862695,0.7131202,0.2516416,-1.0600888,0.26923475
14.475,-0.23528567,0.6402692,0.36492348,0.54354125,-0.1812776,-0.56240314,-0.07255666,-0.23840702,-0.35184488,0.16784918
14.458,-0.8055997,0.5367301,0.19373399,0.2306394,-0.4333053,-0.38039678,-0.727352,-0.27317682,-0.11102734,0.039993897
14.441,-0.015125165,0.07766321,0.07271577,-0.06453678,-0.14974903,-0.110692926,-0.42907506,0.56232244,0.19985914,-0.60375327
