Age [ka BP],Depth sed [m],Al [mg/kg],Ba [mg/kg],Mo [mg/kg],Ti [mg/kg],U [mg/kg]
2.166,0.103,40646.97,106.82,1.426,3058.51,1.411
3.22,0.163,47780.24,120.83,4.395,3669.4,1.499
3.758,0.203,54753.2,143.53,5.954,4081.44,1.436
4.028,0.223,59816.22,160.51,4.404,4475.19,1.535
4.294,0.243,63536.6,167.46,4.49,4853.95,1.565
4.647,0.263,64067.84,152.08,1.051,4939.45,1.597
5.447,0.303,67225.02,194.13,1.207,5119.21,1.828
5.589,0.313,72454.69,249.39,1.159,5373.57,2.104
5.874,0.333,73558.86,291.36,1.376,5376.5,4.157
6.16,0.353,76458.32,231.16,1.292,5853.31,6.762
6.297,0.363,74283.38,305.5,1.441,5523.56,8.678
6.434,0.373,70431.09,360.74,2.708,5077.06,10.172
6.709,0.393,71834.53,357.79,5.426,5221.63,10.439
6.994,0.423,78117.23,396.45,8.495,5653.22,12.152
7.154,0.443,71444.28,380.48,9.473,5148.9,11.569
7.302,0.463,74269.0,351.33,10.823,5392.49,11.761
7.444,0.483,81586.2,358.92,12.847,5976.8,9.905
7.587,0.503,82732.14,376.57,9.633,5946.15,8.285
7.745,0.523,75921.28,320.41,10.536,5312.05,7.393
7.863,0.538,76084.64,423.35,10.894,5324.85,7.116
7.903,0.543,75977.95,476.14,12.258,5374.96,7.564
7.942,0.548,79469.63,440.97,13.631,5623.32,7.832
8.047,0.563,81766.71,376.72,14.383,5794.1,7.718
8.186,0.583,82489.39,389.38,19.377,5812.94,8.935
8.374,0.613,82775.95,320.03,19.824,5991.96,8.567
8.428,0.623,82110.89,378.11,15.699,5801.53,7.144
8.506,0.638,75988.72,396.35,16.088,5464.81,6.844
8.559,0.648,83822.49,345.25,16.768,6054.13,7.432
8.638,0.663,82316.13,368.01,18.673,5912.17,7.785
8.769,0.688,79659.99,401.16,17.197,5789.88,7.148
8.847,0.703,82776.9,366.925,19.168,5965.855,7.633
8.953,0.723,80183.63,412.64,18.397,5876.26,7.977
9.059,0.743,82771.39,338.57,17.782,6057.85,7.443
9.26,0.783,80259.48,284.99,15.334,5866.37,6.799
9.36,0.803,79844.99,314.62,13.454,5783.29,6.64
9.412,0.813,79447.26,354.56,14.132,5913.64,6.535
9.515,0.833,79892.7,303.17,13.019,5972.5,6.58
9.567,0.843,75963.64,282.75,15.147,5716.44,5.995
9.621,0.853,79124.72,286.54,22.006,5981.72,5.243
9.677,0.863,80214.49,265.13,15.292,6056.815,4.622
9.793,0.883,86380.66,269.24,10.048,6434.87,4.117
9.907,0.903,92421.96,276.04,2.443,6938.87,4.209
10.026,0.923,81106.76,214.18,1.619,6225.01,3.619
10.144,0.943,85945.69,222.78,1.42,6655.39,3.069
10.388,0.983,84824.2,215.78,1.248,6718.03,2.469
10.51,1.003,77864.17,190.35,1.045,6272.21,2.378
10.629,1.023,76880.43,194.08,0.942,6201.02,2.168
10.868,1.063,76651.01,196.8,1.154,6285.36,2.461
11.106,1.103,76798.33,196.97,1.122,6369.01,2.24
11.416,1.153,75568.31,200.18,0.856,6783.2,2.054
11.715,1.203,76741.29,217.41,0.865,7003.39,1.844
12.064,1.253,78767.49,219.46,0.824,7414.88,1.756
12.436,1.303,77936.935,214.76,0.826,7143.615,1.737
12.789,1.353,78072.66,200.79,0.824,7114.83,1.686
76.407,5.813,85334.35,177.73,0.92,6666.35,2.456
77.355,5.853,87114.8,164.4,0.863,6695.49,2.538
78.285,5.893,85455.23,165.35,1.118,6547.32,3.364
78.743,5.913,81847.1,174.23,1.267,6303.24,3.653
79.198,5.933,83561.03,164.69,0.94,6426.23,3.233
80.051,5.973,85384.02,158.03,1.101,6417.72,3.423
80.465,5.993,84716.72,182.63,1.304,6348.09,3.494
80.901,6.033,86782.34,212.57,1.862,6427.06,4.753
81.239,6.073,86072.085,234.6,2.34,6300.815,5.013
81.409,6.093,82566.42,252.98,4.048,6075.42,5.964
81.58,6.113,84226.07,284.81,4.896,6096.01,5.922
81.666,6.123,83324.54,368.67,7.041,5980.71,6.633
81.752,6.133,81131.59,410.55,12.3,5834.06,7.385
81.838,6.143,83007.78,457.94,23.559,5969.8,8.929
81.925,6.153,80729.02,442.03,30.943,5787.32,9.13
82.095,6.173,78800.93,411.16,39.851,5626.76,8.736
82.181,6.183,84689.85,383.26,46.93,6026.8,9.103
82.437,6.213,78971.64,396.42,61.927,5678.69,9.467
82.566,6.228,78512.14,379.94,77.715,5622.72,9.576
82.74,6.248,83350.42,352.56,65.603,5989.25,9.002
82.915,6.268,82278.65,405.59,77.454,5942.08,10.642
83.048,6.283,84549.02,394.93,80.437,6039.35,11.142
83.136,6.293,80363.75,363.64,69.714,5780.0,9.818
83.267,6.308,81159.62,341.0,59.957,5898.72,9.041
83.311,6.313,81277.09,369.58,56.928,5840.1,9.733
83.488,6.333,84764.01,416.58,52.234,6096.02,8.666
83.576,6.343,83370.92,485.72,63.644,5945.17,10.043
83.619,6.348,83203.2,454.62,57.95,5964.25,10.199
83.662,6.353,85003.63,404.72,58.904,6169.52,10.235
83.834,6.373,80303.0,395.34,65.289,5779.77,9.82
83.964,6.388,83879.82,407.96,77.679,6105.64,12.493
84.007,6.393,85461.2,420.29,72.999,6164.88,11.091
84.226,6.418,83834.02,365.39,44.991,6121.17,8.091
84.357,6.433,83100.45,402.78,59.536,6013.49,8.364
84.444,6.443,86330.89,355.94,60.61,6185.07,8.085
84.529,6.453,87070.59,316.86,64.986,6243.66,8.336
84.701,6.473,84379.79,375.78,53.527,6085.86,9.499
84.963,6.503,81648.885,392.56,51.809,5919.57,8.85
85.051,6.513,82661.38,386.64,54.151,5971.91,8.577
85.23,6.533,86325.99,351.96,38.422,6203.96,7.547
85.408,6.553,85353.1,297.43,33.251,6191.55,6.895
85.581,6.573,87350.51,322.91,8.162,6462.65,5.225
85.754,6.593,82524.71,234.69,7.48,6184.62,3.75
85.927,6.613,82060.28,218.78,4.616,6125.4,3.222
86.1,6.633,80826.58,207.08,3.612,6140.65,3.051
86.444,6.673,82161.61,206.78,3.258,6458.71,3.044
86.793,6.713,84455.34,195.61,1.317,7223.78,2.574
86.97,6.733,83009.95,191.18,1.809,7313.42,2.647
87.319,6.773,81832.98,199.33,1.102,7300.25,2.475
87.711,6.813,79518.89,203.75,1.096,6940.39,2.308
87.951,6.833,79678.66,195.84,1.092,6873.02,2.201
88.213,6.853,81509.94,193.43,1.204,7053.17,2.075
89.039,6.893,80360.68,190.99,1.197,6909.74,1.877
89.852,6.933,70407.29,168.98,0.952,5735.165,1.717
