age_kyr_bp,null_000,null_001,null_002,null_003,null_004,null_005,null_006,null_007,null_008,null_009
13.987,1.2172748,0.3507313,0.4901025,-0.4366312,-0.4602422,0.25166985,-0.6155911,-1.4475929,0.71482915,1.7072163
13.963,-0.41227663,-0.38923,1.334845,-0.22201426,0.7939261,-1.1915607,0.15609114,-0.58832675,-1.2610729,-0.18524143
13.939,-0.30881667,0.09990585,0.9451054,1.9040778,0.42849094,1.049687,-1.2185009,0.279131,-0.23702566,0.82400703
13.915,0.38703302,-0.21259049,-0.15154654,-1.5937029,-0.5345017,-0.27392218,-0.28859028,0.83082926,-0.09156186,-0.024898726
13.891,-0.34396657,-0.33417156,-1.1448126,0.19581054,-0.31530493,-0.45230883,-0.07243347,1.2055519,-0.23158127,0.29233912
13.867,-0.3265105,0.20848933,-0.16327292,-0.5277831,1.0628147,0.19988315,0.1849746,-0.6996438,-0.15877932,-0.032339443
13.843,0.11920333,-1.2789204,0.89720935,0.6392717,-0.9635356,-0.5590865,-1.7028986,-0.05079617,-0.15793085,0.49271587
13.819,0.39845535,-1.1641126,0.8464443,-0.06013577,-0.62961,0.38894722,0.20124237,-1.2175522,-0.8721545,-0.16308483
13.795,-1.7038687,-1.1188513,0.114664845,0.28170574,0.41200775,-0.21353829,0.33730093,1.0102472,-0.28853616,0.3809975
13.771,0.14269912,0.42736274,-0.6298139,-0.15901537,0.19107068,0.5644801,0.23345774,0.2173464,1.5834188,-0.24156341
13.747,0.40619922,-0.9107684,0.019041382,0.09377611,0.4846249,-0.19584054,0.9916649,-1.354205,0.1476545,-0.72508574
13.723,0.7304198,0.35814825,-0.051776927,0.038297843,-1.466717,1.7068788,1.2709309,0.22385456,-0.43613213,0.43686977
13.699,0.75149924,1.3115187,0.13014351,-0.04199268,-0.48391953,0.38050854,-0.7662281,0.2570249,0.8909048,0.40544346
13.675,-0.064042605,0.28289708,-0.1776411,-0.17412423,-0.56387776,0.8627164,-0.20498446,0.7211422,0.5832335,0.9665732
13.651,0.0143365525,0.6267918,0.2761076,-0.21917576,-0.58852154,1.1098584,1.9498909,-0.82902586,-0.09906663,0.20363647
13.627,-0.92386484,0.8471514,-0.01907201,0.254375,-0.6662565,-0.85831994,0.81312346,-0.1353291,0.6603701,-0.10812172
13.603,0.18746534,0.13294601,0.29030967,0.10905168,0.48324227,-0.6761319,-1.2214139,0.106392466,0.6303798,-0.30930242
13.578,0.61793673,-0.49702835,0.0627857,0.18636824,0.0431341,1.1521345,0.13827915,1.0218893,-0.1679433,-0.5362747
13.554,-0.7049628,0.24499938,0.54707545,0.25873297,-0.9171592,-0.23775221,0.9661951,-0.18363233,-0.9138873,0.576191
13.53,0.51399636,0.70856935,-0.02025508,-1.3049562,-0.87542903,1.4824498,0.36550036,1.4761349,0.490036,1.3958687
13.506,0.34019658,0.16952631,0.95082223,-0.2415295,0.49613032,-0.13550647,-0.96719754,-1.1527697,-0.73251575,0.46334824
13.482,0.18914396,-0.08042922,0.021130491,-0.25237957,-0.38545474,0.73839307,0.5066171,-0.22674385,-0.048243728,0.21036999
13.458,0.5683156,-0.28524113,1.0399765,0.85250443,-0.6411904,-0.16746755,-0.4693736,0.37907082,0.6686179,0.8365281
13.434,-0.3763135,0.1359286,-0.32915267,-0.5716206,0.11324839,-0.5015586,0.4701521,0.9741001,-0.48926505,0.5192896
13.41,0.92897856,-0.37616888,0.1768004,-0.3250494,-1.3016201,1.6991566,0.45720032,-0.25330597,-0.310975,-0.1540154
13.386,0.34380215,0.008262968,-0.906528,-0.3200268,-0.4796977,0.7658797,0.80201,-0.4537304,0.29502377,-0.32917064
13.362,-0.12810646,-0.15050575,0.52236086,-0.45503888,-0.30037436,0.19388697,-1.2703668,1.0675135,-0.73996717,-0.2157616
13.338,-0.110388584,0.5469844,-0.06980214,-1.1904273,0.44270766,-0.17233108,0.33932844,-0.02880527,0.13789012,-0.2644212
13.314,0.40097857,0.9226704,-0.10994718,-0.23599236,-0.34256905,0.30125758,1.2579689,-0.65134627,0.08518819,-0.2764325
13.29,-0.05946847,0.9470065,-0.3705658,-0.02217954,-0.92023855,1.5806189,-0.58644223,-0.61759263,0.4606632,-0.75285244
13.266,0.7541633,-0.0030306692,0.22017938,-0.5038859,-1.3437198,-1.424924,-0.09552639,-0.81192255,-0.55380124,-0.45478946
13.242,0.5483178,-0.05064584,-0.15145318,-0.5742325,0.71787757,1.4428966,0.13929768,-0.4538597,-0.7205636,-0.08216967
13.218,-0.18200435,0.26938903,-0.74340034,0.32298636,-0.062271982,0.7019278,0.25128147,-1.0248101,0.37568337,0.10423178
13.194,-1.2638285,0.04417773,-1.2100852,0.23281366,-0.09438691,-2.535178,-0.34216538,-0.16113226,0.4618881,1.7687432
13.17,1.1385226,0.6170032,0.76302886,-0.19658059,1.2345668,-1.7942809,-0.16325122,0.21905078,0.4287675,-0.46220902
13.146,1.2709113,-0.2647269,-0.09364091,-0.75452,-0.9122414,0.37259755,0.65936977,-0.5852731,-0.3998343,-0.7615375
13.122,-0.014029061,1.2073885,-0.18330637,-1.1500024,-0.14958458,-1.2299179,-0.15306197,-0.4376166,0.7250831,0.018827213
13.097,0.25953355,-0.7807067,0.44639343,0.21811186,-0.3568356,-0.26955065,-0.7297252,2.7004683,-0.42629266,-0.20142506
13.073,0.2034604,-0.61064166,-0.9761915,-0.20212094,0.4936548,-0.9942786,-1.0284616,0.47688293,-0.8087638,0.50381607
13.049,0.830352,0.6785941,0.9537457,1.0280329,-0.49670812,0.22578022,0.5180111,-0.3242194,0.40067074,1.5476522
13.025,-1.4056292,0.6887434,0.27468497,0.65809315,0.14735375,-0.7492247,1.9813192,0.53896457,0.30530012,-0.06935954
13.001,1.3952646,-0.13296817,-0.5553133,0.32238206,-0.3765169,0.18741126,-0.24173397,0.7441323,-0.24016435,1.2529528
12.977,1.2804381,-0.032994952,-0.5388846,-0.38650256,0.63867044,-0.0069037993,0.25871587,0.1066006,-0.49955055,-0.4935236
12.953,0.4850237,-0.028230295,0.77738124,1.2664442,0.46419162,-0.25542775,-0.25328848,-1.0833117,-0.22611871,0.025551809
12.929,0.6879734,0.8754358,0.4732938,0.9134795,-1.0349557,0.3062629,-0.22378436,-0.22701307,-0.35030487,-0.046141926
12.905,0.6351456,-0.50104815,-1.1479847,-0.3260175,-1.4376346,0.17027763,0.8904482,0.12295068,-1.6046999,-0.50377893
12.881,-0.042345535,-0.09015253,0.5094467,0.3588444,0.15514232,-0.5525263,0.3614587,-0.42831224,0.75010043,-0.721722
12.857,-0.4949975,0.3463501,1.0390347,1.1678963,0.24825302,0.15773891,0.34025663,0.71218455,-1.0068644,0.6139819
12.833,1.0098333,0.6473063,-1.3113751,0.27834582,-0.3923391,0.5397628,0.633059,1.0028824,0.6693447,0.16698097
12.809,-0.51079255,0.360554,0.14510435,-0.9564441,-0.33868045,0.7071144,-0.12875831,0.9955238,0.20418677,0.99809015
12.785,-0.39582488,0.09305138,-0.44246894,-0.6993616,0.36167663,-0.621111,-0.7496374,-0.820369,0.13469476,0.43070182
12.761,0.42973703,0.94005287,0.42981657,0.59706354,0.14425582,0.43666193,1.2726026,0.39047393,-0.7590198,-0.7748465
12.737,-0.5022231,0.023619467,1.0701023,-0.4940267,-0.097356655,0.5062603,0.65269756,-0.12223829,-0.95820785,-0.6864123
12.713,-0.39049128,-0.841155,-0.1027425,0.15745835,0.16987526,0.51896864,0.43368924,0.2764247,-0.7412117,-0.14916977
12.689,0.63667375,0.8433636,-0.6383885,0.3416757,-0.15295628,0.17462434,-0.5851846,-0.2329081,0.267273,-0.04590507
12.665,-0.41734305,-0.03034276,1.1091828,0.05547486,0.7805476,-1.118779,-1.3710479,0.6177878,-0.14809701,0.48383197
12.641,1.1061229,-0.27563974,-0.1392084,0.82808685,0.4506608,0.13742408,0.92609835,-1.6484988,0.20843323,-0.054525115
12.616,0.729168,0.1103774,-0.11488491,0.7476002,0.40787804,-0.56528676,0.35921615,0.5933374,0.15553075,0.2528545
12.592,0.3531178,0.19879478,-0.65939385,-0.08371742,0.3114726,0.16575743,-0.15907453,-1.1519618,-0.081108086,-0.8841522
12.568,1.195217,0.4142877,0.21898963,-0.38985047,-0.3898232,0.13679278,1.4420534,-1.0930169,0.204999,0.8437936
12.544,0.11555764,-0.40022272,0.41550267,-0.7227056,-0.06441869,0.25809047,1.1305919,1.1334417,0.14205764,-0.97516066
12.52,1.326537,0.35291836,-0.2899529,-1.8517125,-1.1096828,0.07453396,-0.35571694,0.6314562,0.4598794,-0.09102043
12.496,0.76121163,1.176016,0.75472045,1.1813504,0.5132052,0.33217528,0.4376445,-0.3754855,-1.5402727,0.16137989
12.472,-0.38556886,-1.1128666,-0.77379113,0.18555161,-0.05382178,-0.51273555,-0.4072886,-0.45016414,0.29087904,0.059241373
12.448,0.94113237,-1.3828523,0.40362766,0.89307266,-0.12711897,-0.09091312,-0.92850524,-0.99148273,-0.29079127,-0.8255839
12.424,0.114128664,0.008480907,-0.00672143,1.2778913,-0.17903271,-0.810342,1.3283516,1.3842232,-0.27384102,2.0426738
12.4,0.44669157,0.28143713,0.77277786,-0.20097743,-1.5041559,-0.22660218,-0.14235218,0.02354043,-0.6383024,0.40153265
12.376,0.5945341,-2.0457234,0.42138723,-0.0634883,-0.47078156,-0.30994782,-0.6500428,1.1778353,0.765716,-0.5797041
12.352,1.0338349,-0.7067697,-0.71331733,-0.3403219,-0.012762102,-0.8506407,-0.675963,-0.6758814,-0.5719777,0.84892863
12.328,-0.24346408,0.06684679,-0.9354457,0.07230387,0.7198964,-0.14953241,-0.5566078,0.45901403,-0.24431403,-0.08431157
