age_kyr_bp,null_000,null_001,null_002,null_003,null_004,null_005,null_006,null_007,null_008,null_009
90.482,5.892773,8.284948,-20.25104,-35.645947,-11.252766,17.11019,0.29812753,-20.534267,-60.93774,6.5748663
90.448,22.57077,19.012983,48.204433,10.080236,-8.003253,-19.944355,6.032979,-14.962391,-6.653444,-40.07802
90.415,-13.454668,6.2314143,4.9285045,11.713594,-35.102394,9.321765,-11.516299,10.2402,13.56021,21.718908
90.381,40.397366,16.497068,-19.160084,-19.084393,7.0212855,8.739764,0.72905487,-7.9983187,-3.8363369,-8.357812
90.347,3.0804317,-29.96251,-28.27099,-18.527784,28.258724,5.970934,-15.213552,4.6191816,7.6073327,14.318263
90.314,-19.369804,26.241343,-6.5939503,25.300144,35.339443,-46.583588,46.96845,-32.25039,-0.7695224,-35.947308
90.28,-2.8997233,17.397074,19.847012,-5.4484577,-28.128277,-7.368968,-4.1155343,30.777344,-8.206245,5.3080077
90.246,40.54697,-13.351043,-23.411472,17.90311,-4.4619007,16.186205,-30.27802,-24.593943,-2.6421173,10.59327
90.213,-33.195942,-1.1065617,-11.25635,26.562496,-6.9304223,-28.84564,20.291742,34.20046,-5.9241176,-1.801685
90.179,-14.644595,-1.4730173,-36.84094,15.034209,39.162346,-6.796733,-18.085238,5.683497,-26.43335,-34.198334
90.145,28.038868,7.779884,6.886995,22.717072,-3.039921,6.519285,-16.17265,-9.3957205,8.836939,-8.182371
90.112,-14.446305,12.994776,31.205496,-48.42455,-36.28668,-12.174554,-23.269321,11.597091,-30.091938,28.59974
90.078,-31.935053,16.587074,0.76185983,7.6706853,16.464493,14.673066,5.420081,6.4299374,-2.775782,-29.720715
90.044,-9.182485,32.612385,2.5477424,-42.343548,-10.247788,-18.462797,-30.35653,18.414722,19.474463,8.14105
90.011,19.292246,-30.315224,-15.161061,22.843487,16.973064,4.03227,-23.053606,20.622944,-11.047116,-28.408861
89.977,9.917093,21.421246,16.330236,-29.702328,-2.4287722,-5.900421,20.44357,19.4841,4.8535533,-4.910125
89.943,74.06427,52.904114,26.792885,21.529531,14.767421,-2.8141592,-14.317888,7.772468,-28.176186,39.288296
89.909,-23.08083,0.078202434,-13.871093,6.235731,-29.37731,-20.141497,-26.681173,6.0066566,-37.670086,-12.914501
89.876,65.295654,8.583156,-31.463081,20.396723,8.274961,50.000187,44.511467,4.474807,47.6984,18.827946
89.842,-21.016132,-1.0226485,24.52651,-28.685291,-15.7737875,-35.727314,-28.283747,-9.367609,-64.71728,5.0120883
89.808,25.167887,-57.604248,-10.27239,15.405475,-2.958045,29.415428,13.598028,5.1716285,8.931968,27.517406
89.775,-2.1396923,-7.911383,34.298317,-23.34284,-14.396395,-15.495237,29.694038,15.786011,-9.922876,-42.150455
89.741,1.5126184,-27.869648,21.61079,3.4681835,18.031244,13.0747795,11.289721,32.850033,-33.286633,12.470096
89.707,-0.3623851,23.267715,0.4277329,-6.89169,-14.560358,-9.194967,7.1251006,14.757364,-18.428524,-11.210806
89.674,22.868502,30.478285,1.6065515,15.344805,-12.166853,-8.1192,15.197644,-15.052195,-1.8944596,6.2126074
89.64,29.80889,12.154211,20.791525,-7.3783154,-23.867733,-4.7686825,7.147297,-11.367559,-4.198103,-3.6714065
89.606,-24.186298,-33.640987,0.9242378,-17.954838,17.145527,36.586765,13.733479,3.6572056,55.515205,14.282817
89.573,-19.348944,-2.5168796,-10.567964,37.680992,17.489391,-27.68321,-30.185667,-11.248043,-32.54778,-26.039238
89.539,-6.3633904,19.894207,-5.275727,-6.9194274,-36.994244,66.08319,-3.4609451,-7.7239323,30.18439,0.85630184
89.505,24.01599,-33.11873,11.314603,-13.117133,43.485664,-39.666576,32.34751,4.4071035,-44.816063,-45.867905
89.472,35.955254,7.920071,0.26792288,48.339943,28.181145,-24.392529,0.33854932,12.795839,10.082859,28.08229
89.438,-20.729042,-38.00801,-3.3349648,-38.458584,-25.002102,-27.314491,37.372017,9.586853,19.928604,-15.692975
89.404,-34.365585,-18.33265,33.12783,-9.258519,4.9610114,10.138552,-37.28214,-2.308671,24.805964,-69.184425
89.371,-4.359386,39.1546,16.709862,-23.340307,28.36167,-29.212236,34.944145,19.842228,-2.9389005,43.974186
89.337,57.762352,-20.45276,-14.606391,-50.78483,-2.3410969,-13.903386,-16.656994,2.4073515,-32.480705,25.01241
89.303,-20.23279,38.208416,25.50605,-8.541754,12.082256,35.881805,32.05744,2.1348076,53.294888,33.970997
89.269,1.3539478,-34.012356,-10.296189,-26.700266,1.0830007,-11.387677,-30.75217,26.514202,-11.662161,-12.547206
89.236,0.3088793,7.247951,32.655064,74.046036,-41.5717,-24.615894,-12.219663,12.053187,70.79565,-6.547913
89.202,19.70343,7.189603,-46.51843,-9.45646,10.791676,18.885988,10.779133,16.25137,-18.598248,-19.120491
89.168,-16.800869,-24.47831,-12.882474,58.19078,46.354107,-47.410862,0.055396277,-8.428971,44.432545,17.335571
89.135,-41.65104,12.60645,-43.82457,-3.5460315,-15.442329,-15.394705,44.35685,-0.6422132,-7.8249025,29.989481
89.101,12.066134,-6.067874,11.082323,-22.29926,11.056576,18.413002,-20.28081,41.848522,7.9871345,2.9440668
89.067,-28.900183,35.415215,-16.511093,7.956369,-25.83998,34.539654,-10.387013,-56.492527,12.337641,-8.695828
89.034,12.661492,23.547483,24.99676,-43.765163,37.26618,-44.25813,4.3982835,-7.311471,-4.109386,-11.95108
89.0,60.862206,-16.915651,-2.605124,4.6619186,-67.49773,27.15749,60.56683,-18.811611,39.5861,-27.988358
88.966,1.5151533,8.122705,41.260258,-9.99551,34.696503,3.9708893,-32.57914,-10.724855,-18.23129,-1.5780458
88.933,32.68068,25.234972,-2.6821938,42.087387,3.1159327,-10.324001,23.647194,-25.578217,-1.8888868,21.772045
88.899,-11.173712,-10.67974,-46.870907,17.683882,-3.6013253,-9.991957,-21.226727,20.593386,-65.83656,5.267394
88.865,-45.619904,-37.62344,22.890022,10.547644,-34.901474,-7.2875657,-0.56513405,17.988668,-0.35668427,-68.24408
88.832,12.462775,-4.7448015,34.15177,-27.455196,7.4732857,63.98903,13.0539055,13.667841,-1.1771716,-4.54114
88.798,-16.28087,-1.1833249,3.1842084,41.77212,0.8527212,-3.9797106,39.235973,-21.869886,-7.9542813,32.899372
88.764,-6.67558,0.21396124,-5.143582,35.119156,-15.622616,27.820084,-7.3545136,42.607002,22.558723,-56.230793
88.731,12.049303,19.345135,10.084959,-5.933516,-3.36627,0.6742834,-20.29758,-12.161131,7.32024,-23.183178
88.697,28.025358,8.224955,-37.574146,22.128096,-14.393425,-20.867636,8.915732,-21.818064,-21.506956,21.112392
88.663,-15.787235,6.729174,15.186931,-19.280598,25.761406,19.839758,2.8186638,48.454838,36.13142,18.825994
88.629,10.21602,36.398666,1.2761259,-7.582166,-16.510262,-23.167702,-8.892848,-3.6245592,25.589201,-29.333727
88.596,-10.934693,-4.3975935,4.6118803,6.78923,41.60688,-25.084732,54.682987,-0.72082174,-46.862278,10.983598
88.562,60.755886,21.211351,25.162449,25.21387,16.964643,15.37071,-50.359764,-3.1903903,7.9767485,-33.429905
88.528,6.1880546,1.2614797,18.096668,-12.507687,-4.058246,0.6986058,-34.045868,-15.56719,-21.150085,29.34816
88.495,30.166908,-23.977694,46.92973,28.536913,-30.912506,29.010021,-5.7841063,36.02383,35.2124,-3.0104299
88.461,-47.020634,-14.259276,-39.76102,-63.533962,-15.978889,-7.9522805,20.741913,-14.151589,-30.471117,-11.040044
88.427,59.215984,-12.105553,22.498768,1.7221762,16.16682,26.636375,20.394892,-19.205729,5.7831984,-32.39323
88.394,-5.3057427,8.779251,29.167292,-5.399652,-40.559853,-2.3060076,-64.066284,10.598477,38.038956,-7.393212
88.36,-17.797009,28.002005,-13.140172,39.64305,12.052433,-5.080438,22.538206,-59.511196,-35.04957,-0.9782198
88.326,15.8581085,1.6878982,-20.02187,2.8434896,-37.956966,-18.697872,-12.630418,18.47617,21.084166,29.726847
88.293,26.972023,-18.53071,-8.15784,-19.320118,15.168188,6.853671,52.15843,-13.96067,13.354775,3.445797
88.259,17.854734,0.7060611,26.693699,39.025486,0.34635922,-46.077213,2.5287485,3.344903,-34.853634,-33.28936
88.225,-17.332134,34.6616,-0.08839763,-26.47561,-18.640383,53.568687,0.37787464,-13.371168,-29.41948,-16.851791
88.192,-28.012798,11.101507,-64.9248,58.267075,-6.2869935,8.042075,-7.580257,6.9897604,13.405319,21.677298
88.158,-13.773495,-0.9817393,1.5708766,-4.6018953,39.726917,52.115593,12.475481,-8.825965,15.126971,28.43733
88.124,33.836132,-0.20329842,-29.12299,9.36328,-34.441147,-1.1107183,-28.838882,-20.585474,19.357485,-18.810263
88.091,-37.516434,-19.663467,11.82126,-1.7368637,10.140128,25.524755,19.91799,-22.143229,-33.171013,1.7272326
88.057,68.88394,12.399168,-9.775311,-39.648567,-15.623529,8.006361,-14.034909,17.588202,-29.390808,4.7904387
88.023,-15.444893,-50.75085,-9.849315,55.79171,12.197524,25.68661,-44.259865,23.05516,-9.209406,-21.02644
