core,element,auc_cnn_lstm,auc_variance,auc_lag1_ac,N,auc_lstm,auc_cnn
MS21,Al,0.094,0.0,0.0,416,0.995,0.277
MS21,Ba,0.637,0.005,0.0,416,0.094,0.315
MS21,Mo,0.915,0.0,0.0,416,0.989,0.657
MS21,Ti,0.555,0.0,0.0,416,0.763,0.025
MS21,U,0.448,0.99,0.932,416,0.923,0.915
MS66,Al,0.356,0.606,0.358,832,0.512,0.53
MS66,Ba,0.371,0.208,0.175,832,0.354,0.535
MS66,Mo,0.707,0.324,0.491,832,0.606,0.662
MS66,Ti,0.658,0.481,0.426,832,0.455,0.512
MS66,U,0.752,0.67,0.293,832,0.309,0.593
64PE406E1,Al,0.432,0.64,0.451,1664,0.666,0.807
64PE406E1,Ba,0.636,0.456,0.541,1664,0.498,0.596
64PE406E1,Mo,0.523,0.372,0.374,1664,0.621,0.407
64PE406E1,Ti,0.457,0.503,0.409,1664,0.584,0.57
64PE406E1,U,0.608,0.365,0.649,1664,0.371,0.661
