core,element,auc_cnn_lstm,auc_variance,auc_lag1_ac,N,auc_lstm,auc_cnn
MS21,Al,0.0,0.0,0.887,336,0.284,0.0
MS21,Ba,1.0,0.989,0.929,336,0.995,0.62
MS21,Ti,0.101,0.0,0.453,336,0.255,0.0
MS21,U,0.404,0.026,0.0,336,0.491,0.335
MS66,Al,0.575,0.653,0.867,672,0.565,0.55
MS66,Ba,0.535,0.5,0.336,672,0.548,0.292
MS66,Ti,0.5,0.998,0.654,672,0.358,0.249
MS66,U,0.105,0.587,0.852,672,0.451,0.535
64PE406E1,Al,0.297,0.729,0.558,1344,0.331,0.592
64PE406E1,Ba,0.381,0.664,0.633,1344,0.546,0.594
64PE406E1,Ti,0.438,0.634,0.694,1344,0.53,0.415
64PE406E1,U,0.229,0.513,0.434,1344,0.351,0.544
