position,age_kyr_bp,variance,lag1_ac,ktau_variance,ktau_lag1_ac,segment_type,element,p_fold,p_hopf,p_transcritical,p_null,p_transition
31,23.803,3046773.0398640563,0.7689941745548489,0.18931293406337021,-0.4417301794811972,forced,Al,0.07886815,0.10310563,0.2935197,0.52450645,0.47549355
31,23.803,3046773.0398640563,0.7689941745548489,0.18931293406337021,-0.4417301794811972,forced,Al,0.07886815,0.10310563,0.2935197,0.52450645,0.47549355
32,23.763,2968318.435641921,0.7649959790324433,0.18931293406337021,-0.4417301794811972,forced,Al,0.07978665,0.10656008,0.29045242,0.52320087,0.47679913
33,23.724,2704910.21237173,0.7384716269995938,0.18931293406337021,-0.4417301794811972,forced,Al,0.08823144,0.11357267,0.2804447,0.5177512,0.48224878
34,23.684,2388230.0414029164,0.6875464711247586,0.18931293406337021,-0.4417301794811972,forced,Al,0.087731466,0.11952274,0.27846542,0.5142804,0.48571962
35,23.644,2073596.1595021035,0.6498664892823431,0.18931293406337021,-0.4417301794811972,forced,Al,0.08693757,0.11936336,0.2755207,0.5181784,0.4818216
35,23.644,2073596.1595021035,0.6498664892823431,0.18931293406337021,-0.4417301794811972,forced,Al,0.08693757,0.11936336,0.2755207,0.5181784,0.4818216
36,23.604,1877092.4055904262,0.6414019597183969,0.18931293406337021,-0.4417301794811972,forced,Al,0.088260345,0.124706216,0.2736558,0.51337755,0.48662245
37,23.564,1836609.1490997584,0.6309379444275662,0.18931293406337021,-0.4417301794811972,forced,Al,0.09521825,0.13947706,0.26393217,0.5013726,0.49862742
38,23.524,1703840.8459486922,0.6089788702641649,0.18931293406337021,-0.4417301794811972,forced,Al,0.10242731,0.14959207,0.25862733,0.4893533,0.5106467
39,23.485,1642674.061220378,0.6423900527329179,0.18931293406337021,-0.4417301794811972,forced,Al,0.100432895,0.14091721,0.2607557,0.4978942,0.50210583
