position,age_kyr_bp,variance,lag1_ac,ktau_variance,ktau_lag1_ac,segment_type,element,p_fold,p_hopf,p_transcritical,p_null,p_transition
37,40.532,0.19900731822925447,-0.1328797969991514,-0.16625101856060479,0.16928379004346822,neutral,Mo,0.11766355,0.12762724,0.2990928,0.4556164,0.5443836
37,40.532,0.19900731822925447,-0.1328797969991514,-0.16625101856060479,0.16928379004346822,neutral,Mo,0.11766355,0.12762724,0.2990928,0.4556164,0.5443836
38,40.492,0.20339265346193797,-0.1612123613354033,-0.16625101856060479,0.16928379004346822,neutral,Mo,0.12755105,0.13097654,0.286726,0.45474643,0.5452536
39,40.452,0.21726524440409642,-0.21494067831266528,-0.16625101856060479,0.16928379004346822,neutral,Mo,0.12688707,0.15509129,0.27256382,0.44545785,0.5545422
40,40.412,0.22086130228709677,-0.16363170842666483,-0.16625101856060479,0.16928379004346822,neutral,Mo,0.12375438,0.13480262,0.27650332,0.46493968,0.5350603
41,40.373,0.22591213447868222,-0.1860581757933493,-0.16625101856060479,0.16928379004346822,neutral,Mo,0.123806246,0.15207797,0.26857862,0.4555372,0.5444628
42,40.333,0.23103024256475338,-0.16071023076536056,-0.16625101856060479,0.16928379004346822,neutral,Mo,0.12843913,0.15460472,0.27941522,0.43754086,0.5624591
43,40.293,0.2435172104552331,-0.196516148572276,-0.16625101856060479,0.16928379004346822,neutral,Mo,0.124342784,0.15501213,0.27573666,0.44490838,0.5550916
44,40.253,0.2496696992373666,-0.23759665635271482,-0.16625101856060479,0.16928379004346822,neutral,Mo,0.1166899,0.11809708,0.3026218,0.4625913,0.5374087
45,40.213,0.24667283660592185,-0.2671646405650106,-0.16625101856060479,0.16928379004346822,neutral,Mo,0.12768483,0.14040227,0.28526226,0.44665068,0.5533493
46,40.173,0.25095371721716675,-0.27107126043043533,-0.16625101856060479,0.16928379004346822,neutral,Mo,0.122499034,0.1455518,0.29330474,0.43864438,0.5613556
47,40.134,0.25116141939023806,-0.27601764894938546,-0.16625101856060479,0.16928379004346822,neutral,Mo,0.12181969,0.13700366,0.29592434,0.44525233,0.5547477
48,40.094,0.2478945150054116,-0.2725102417686123,-0.16625101856060479,0.16928379004346822,neutral,Mo,0.1300463,0.13814281,0.28264758,0.44916332,0.5508367
49,40.054,0.24769101709844188,-0.272938755915569,-0.16625101856060479,0.16928379004346822,neutral,Mo,0.13068435,0.13142106,0.28275254,0.45514208,0.5448579
50,40.014,0.24865267175565486,-0.2767160748789363,-0.16625101856060479,0.16928379004346822,neutral,Mo,0.12441317,0.12846017,0.28971297,0.4574137,0.5425863
