position,age_kyr_bp,variance,lag1_ac,ktau_variance,ktau_lag1_ac,segment_type,element,p_fold,p_hopf,p_transcritical,p_null,p_transition
28,55.189,316718.80352062074,-0.3248465447204146,0.10979312502690339,0.31954865214545525,neutral,Al,0.10143832,0.122108,0.32561284,0.45084083,0.54915917
28,55.189,316718.80352062074,-0.3248465447204146,0.10979312502690339,0.31954865214545525,neutral,Al,0.10143832,0.122108,0.32561284,0.45084083,0.54915917
29,55.149,306997.98750581074,-0.30542265517764794,0.10979312502690339,0.31954865214545525,neutral,Al,0.10067977,0.12414462,0.32678014,0.4483955,0.5516045
30,55.11,305507.1683000917,-0.2989517630332287,0.10979312502690339,0.31954865214545525,neutral,Al,0.09190501,0.10174916,0.3430692,0.46327665,0.5367234
30,55.11,305507.1683000917,-0.2989517630332287,0.10979312502690339,0.31954865214545525,neutral,Al,0.09190501,0.10174916,0.3430692,0.46327665,0.5367234
31,55.07,322428.84762341593,-0.3146473674647798,0.10979312502690339,0.31954865214545525,neutral,Al,0.10282055,0.115665786,0.3238416,0.45767206,0.54232794
32,55.03,323442.35590452305,-0.29073084544046063,0.10979312502690339,0.31954865214545525,neutral,Al,0.11152692,0.12104718,0.3125039,0.45492205,0.5450779
33,54.99,332507.53694479883,-0.2808871427553821,0.10979312502690339,0.31954865214545525,neutral,Al,0.10576224,0.117211595,0.3221641,0.45486212,0.5451379
33,54.99,332507.53694479883,-0.2808871427553821,0.10979312502690339,0.31954865214545525,neutral,Al,0.10576224,0.117211595,0.3221641,0.45486212,0.5451379
34,54.95,319237.9840602196,-0.2884921013940016,0.10979312502690339,0.31954865214545525,neutral,Al,0.11532522,0.11950739,0.30922845,0.45593894,0.54406106
35,54.91,327461.52840850555,-0.3009372412602415,0.10979312502690339,0.31954865214545525,neutral,Al,0.1143455,0.11674048,0.3129013,0.45601276,0.5439873
36,54.871,327039.61079752364,-0.2732329007692364,0.10979312502690339,0.31954865214545525,neutral,Al,0.1109181,0.107119136,0.31571272,0.46625012,0.5337499
36,54.871,327039.61079752364,-0.2732329007692364,0.10979312502690339,0.31954865214545525,neutral,Al,0.1109181,0.107119136,0.31571272,0.46625012,0.5337499
37,54.831,282233.2735433348,-0.41539125209199607,0.10979312502690339,0.31954865214545525,neutral,Al,0.10009547,0.10598507,0.33535883,0.45856056,0.5414394
38,54.791,261725.5183801651,-0.43099152645878674,0.10979312502690339,0.31954865214545525,neutral,Al,0.10352945,0.09127911,0.33334234,0.47184917,0.5281508
39,54.751,261744.8160960968,-0.4353914034709092,0.10979312502690339,0.31954865214545525,neutral,Al,0.097448945,0.075005665,0.33176896,0.49577644,0.5042236
39,54.751,261744.8160960968,-0.4353914034709092,0.10979312502690339,0.31954865214545525,neutral,Al,0.097448945,0.075005665,0.33176896,0.49577644,0.5042236
40,54.711,259243.1396660818,-0.46407975262802587,0.10979312502690339,0.31954865214545525,neutral,Al,0.10343395,0.087664545,0.3277686,0.4811329,0.51886714
41,54.672,253852.34845506755,-0.4626312172945261,0.10979312502690339,0.31954865214545525,neutral,Al,0.10327219,0.09921502,0.3293252,0.46818766,0.5318123
42,54.632,345617.4703675393,-0.4339559901093192,0.10979312502690339,0.31954865214545525,neutral,Al,0.10288942,0.110222876,0.33305645,0.45383126,0.54616874
42,54.632,345617.4703675393,-0.4339559901093192,0.10979312502690339,0.31954865214545525,neutral,Al,0.10288942,0.110222876,0.33305645,0.45383126,0.54616874
43,54.592,329908.8315932594,-0.4285091217727666,0.10979312502690339,0.31954865214545525,neutral,Al,0.11730095,0.14743641,0.312569,0.42269358,0.5773064
44,54.552,284847.45883584325,-0.4279442256774866,0.10979312502690339,0.31954865214545525,neutral,Al,0.12203769,0.17080149,0.3024849,0.40467593,0.59532404
45,54.512,286581.76907806896,-0.41561989861047577,0.10979312502690339,0.31954865214545525,neutral,Al,0.1178507,0.15017289,0.31249273,0.41948366,0.58051634
45,54.512,286581.76907806896,-0.41561989861047577,0.10979312502690339,0.31954865214545525,neutral,Al,0.1178507,0.15017289,0.31249273,0.41948366,0.58051634
46,54.472,280605.5193769342,-0.46799599083772164,0.10979312502690339,0.31954865214545525,neutral,Al,0.116626956,0.119923525,0.31191495,0.4515345,0.5484655
47,54.433,281112.6627805659,-0.44380915690499256,0.10979312502690339,0.31954865214545525,neutral,Al,0.12242627,0.13401257,0.2993111,0.44425008,0.5557499
48,54.393,278591.3976315214,-0.43223663852043237,0.10979312502690339,0.31954865214545525,neutral,Al,0.12518385,0.13826416,0.29536086,0.44119108,0.5588089
48,54.393,278591.3976315214,-0.43223663852043237,0.10979312502690339,0.31954865214545525,neutral,Al,0.12518385,0.13826416,0.29536086,0.44119108,0.5588089
49,54.353,282489.7061919047,-0.4116073970983429,0.10979312502690339,0.31954865214545525,neutral,Al,0.115221016,0.13611065,0.31282386,0.43584442,0.5641556
50,54.313,279380.51331190864,-0.43228806954103727,0.10979312502690339,0.31954865214545525,neutral,Al,0.1118883,0.121157855,0.3214258,0.44552806,0.55447197
51,54.273,281096.8159195646,-0.4385649493803044,0.10979312502690339,0.31954865214545525,neutral,Al,0.11219803,0.108859204,0.3121096,0.4668332,0.53316677
51,54.273,281096.8159195646,-0.4385649493803044,0.10979312502690339,0.31954865214545525,neutral,Al,0.11219803,0.108859204,0.3121096,0.4668332,0.53316677
52,54.233,285664.7476085565,-0.46000196872413673,0.10979312502690339,0.31954865214545525,neutral,Al,0.12696707,0.1469965,0.29366145,0.43237492,0.56762505
53,54.194,286319.2931106866,-0.45042600752977446,0.10979312502690339,0.31954865214545525,neutral,Al,0.12951946,0.14496459,0.2904487,0.4350673,0.5649327
54,54.154,281038.10180184647,-0.42175610388241924,0.10979312502690339,0.31954865214545525,neutral,Al,0.13495071,0.15323147,0.28436542,0.4274524,0.5725476
54,54.154,281038.10180184647,-0.42175610388241924,0.10979312502690339,0.31954865214545525,neutral,Al,0.13495071,0.15323147,0.28436542,0.4274524,0.5725476
55,54.114,260341.84808247976,-0.3362606034706608,0.10979312502690339,0.31954865214545525,neutral,Al,0.121078886,0.14395742,0.29232776,0.44263595,0.55736405
56,54.074,261149.39478730693,-0.3476321537647269,0.10979312502690339,0.31954865214545525,neutral,Al,0.12028625,0.18454173,0.28072512,0.4144469,0.5855531
57,54.034,261340.13495811334,-0.3571825701470145,0.10979312502690339,0.31954865214545525,neutral,Al,0.12132774,0.1498881,0.3061789,0.42260528,0.5773947
28,55.189,372689.26551599137,-0.3529584949041874,0.10979312502690339,0.31954865214545525,neutral,Al,0.08680462,0.07851234,0.36523992,0.4694432,0.5305568
28,55.189,372689.26551599137,-0.3529584949041874,0.10979312502690339,0.31954865214545525,neutral,Al,0.08680462,0.07851234,0.36523992,0.4694432,0.5305568
29,55.149,378706.3481996899,-0.37229326064129586,0.10979312502690339,0.31954865214545525,neutral,Al,0.09870093,0.09492922,0.31350037,0.49286947,0.5071305
30,55.11,379671.6967153224,-0.4386063281343666,0.10979312502690339,0.31954865214545525,neutral,Al,0.10229279,0.098605104,0.31359202,0.48551008,0.5144899
30,55.11,379671.6967153224,-0.4386063281343666,0.10979312502690339,0.31954865214545525,neutral,Al,0.10229279,0.098605104,0.31359202,0.48551008,0.5144899
31,55.07,358280.43012481934,-0.47271632259362467,0.10979312502690339,0.31954865214545525,neutral,Al,0.10669231,0.088346034,0.31707403,0.48788768,0.5121123
32,55.03,360138.1474592252,-0.46108281254522554,0.10979312502690339,0.31954865214545525,neutral,Al,0.106055096,0.08841309,0.31804797,0.48748383,0.51251614
33,54.99,342350.3248518027,-0.4425542035603918,0.10979312502690339,0.31954865214545525,neutral,Al,0.10183631,0.09458338,0.32495117,0.4786291,0.5213709
