position,age_kyr_bp,variance,lag1_ac,ktau_variance,ktau_lag1_ac,segment_type,element,p_fold,p_hopf,p_transcritical,p_null,p_transition
38,63.514,60348.66333793558,0.8508621056595825,0.14496475079722196,0.13726750739205976,neutral,Ti,0.054276958,0.09493064,0.40969348,0.4410989,0.5589011
38,63.514,60348.66333793558,0.8508621056595825,0.14496475079722196,0.13726750739205976,neutral,Ti,0.054276958,0.09493064,0.40969348,0.4410989,0.5589011
39,63.474,55883.788979442026,0.8386814963432034,0.14496475079722196,0.13726750739205976,neutral,Ti,0.054441016,0.10436731,0.42505693,0.41613474,0.5838653
40,63.434,54268.85490876877,0.8324473506822264,0.14496475079722196,0.13726750739205976,neutral,Ti,0.05166968,0.10000602,0.46549815,0.38282618,0.6171738
41,63.394,51272.17038091553,0.8070253262452147,0.14496475079722196,0.13726750739205976,neutral,Ti,0.058464978,0.11545081,0.44891062,0.3771736,0.6228264
42,63.354,46813.718860245885,0.7875811193584096,0.14496475079722196,0.13726750739205976,neutral,Ti,0.053651854,0.09825089,0.45469755,0.3933997,0.6066003
43,63.315,41740.665734294176,0.7587846339247403,0.14496475079722196,0.13726750739205976,neutral,Ti,0.048036665,0.08907123,0.4836158,0.3792764,0.6207236
44,63.275,36650.468044092246,0.7129070664703157,0.14496475079722196,0.13726750739205976,neutral,Ti,0.047090165,0.08072628,0.5015835,0.37060007,0.6293999
45,63.235,29748.776997348305,0.6430248321754152,0.14496475079722196,0.13726750739205976,neutral,Ti,0.04919745,0.082268886,0.49688008,0.37165365,0.6283463
46,63.195,23761.687919191492,0.5475762811897222,0.14496475079722196,0.13726750739205976,neutral,Ti,0.05278847,0.08314032,0.46479413,0.39927712,0.6007229
47,63.155,18618.55166853579,0.5582727459051053,0.14496475079722196,0.13726750739205976,neutral,Ti,0.051760297,0.07826181,0.5085231,0.36145476,0.6385453
48,63.115,20230.645174684527,0.5570465657856992,0.14496475079722196,0.13726750739205976,neutral,Ti,0.057035293,0.08897278,0.44651806,0.4074739,0.5925261
49,63.076,18062.523352472985,0.5341556935357173,0.14496475079722196,0.13726750739205976,neutral,Ti,0.058121983,0.0920246,0.45150807,0.39834538,0.60165465
50,63.036,17136.586608165235,0.5154921082657787,0.14496475079722196,0.13726750739205976,neutral,Ti,0.062644444,0.09929005,0.4133176,0.424748,0.575252
51,62.996,20316.742694903875,0.49058393028484865,0.14496475079722196,0.13726750739205976,neutral,Ti,0.064674236,0.10547279,0.39652115,0.43333182,0.56666815
52,62.956,21745.18020493611,0.5369385564006196,0.14496475079722196,0.13726750739205976,neutral,Ti,0.063233525,0.09996444,0.37267712,0.4641249,0.5358751
53,62.916,19650.260165683827,0.6084029404674838,0.14496475079722196,0.13726750739205976,neutral,Ti,0.069720566,0.10642262,0.36185372,0.4620031,0.5379969
54,62.876,20296.62806696982,0.6238743144379008,0.14496475079722196,0.13726750739205976,neutral,Ti,0.061720185,0.09482166,0.38579652,0.45766163,0.5423384
55,62.837,22183.322846790063,0.64082490012337,0.14496475079722196,0.13726750739205976,neutral,Ti,0.071731046,0.10519382,0.38485032,0.43822482,0.5617752
56,62.797,25304.79644739965,0.6982754713284991,0.14496475079722196,0.13726750739205976,neutral,Ti,0.06723269,0.09288064,0.3898733,0.45001334,0.54998666
57,62.757,28093.744027046498,0.7355130905676186,0.14496475079722196,0.13726750739205976,neutral,Ti,0.06336931,0.088550694,0.40353113,0.44454885,0.55545115
58,62.717,37401.46067817538,0.7944524925930427,0.14496475079722196,0.13726750739205976,neutral,Ti,0.06308558,0.09679316,0.41697496,0.42314625,0.57685375
59,62.677,36101.70058887465,0.7856233540793403,0.14496475079722196,0.13726750739205976,neutral,Ti,0.07665893,0.10996314,0.40533006,0.40804785,0.59195215
60,62.638,33927.80044723703,0.7687606480067083,0.14496475079722196,0.13726750739205976,neutral,Ti,0.07197396,0.10895067,0.38119125,0.4378841,0.5621159
61,62.598,33837.66576910007,0.7650376865132976,0.14496475079722196,0.13726750739205976,neutral,Ti,0.07619505,0.109657735,0.37836978,0.43577746,0.5642226
62,62.558,34901.3039851651,0.7589903864349301,0.14496475079722196,0.13726750739205976,neutral,Ti,0.067416586,0.09722365,0.38309306,0.45226672,0.5477333
63,62.518,38081.98326494213,0.7704871093634788,0.14496475079722196,0.13726750739205976,neutral,Ti,0.08834178,0.10584614,0.382599,0.42321306,0.57678694
64,62.478,38634.58722432434,0.7688681096500743,0.14496475079722196,0.13726750739205976,neutral,Ti,0.09588895,0.110718325,0.3519366,0.44145614,0.55854386
65,62.438,40193.75859665617,0.7729693752946122,0.14496475079722196,0.13726750739205976,neutral,Ti,0.10949173,0.11690009,0.342345,0.43126324,0.5687368
66,62.399,43840.71610259572,0.7813106778297447,0.14496475079722196,0.13726750739205976,neutral,Ti,0.11264417,0.13710955,0.33913597,0.4111103,0.5888897
67,62.359,47013.36695316981,0.7980349169457087,0.14496475079722196,0.13726750739205976,neutral,Ti,0.10327969,0.12507917,0.353281,0.41836005,0.58163995
68,62.319,49004.57034813306,0.8082035150121158,0.14496475079722196,0.13726750739205976,neutral,Ti,0.1064331,0.13100313,0.3424228,0.42014104,0.57985896
69,62.279,51273.928471858686,0.8167331760998096,0.14496475079722196,0.13726750739205976,neutral,Ti,0.112702206,0.13971163,0.33949414,0.40809202,0.591908
70,62.239,51257.35763331831,0.8170589725158676,0.14496475079722196,0.13726750739205976,neutral,Ti,0.10924336,0.1367847,0.32300544,0.43096647,0.5690335
71,62.199,49955.75487865655,0.8134624359359105,0.14496475079722196,0.13726750739205976,neutral,Ti,0.10870186,0.14798439,0.3427403,0.4005734,0.5994266
72,62.16,47456.495641794805,0.7920382070899366,0.14496475079722196,0.13726750739205976,neutral,Ti,0.11150614,0.1725975,0.33707622,0.37882015,0.6211798
73,62.12,46475.585848539326,0.7854603660485769,0.14496475079722196,0.13726750739205976,neutral,Ti,0.11338498,0.1669839,0.37106377,0.34856737,0.65143263
74,62.08,45324.22460520337,0.7778937652557347,0.14496475079722196,0.13726750739205976,neutral,Ti,0.11978261,0.15493548,0.36362526,0.36165664,0.63834333
75,62.04,43141.03989439764,0.7702552527227405,0.14496475079722196,0.13726750739205976,neutral,Ti,0.12536208,0.16412187,0.36996034,0.34055573,0.6594443
76,62.0,36860.47615043219,0.7585004433013666,0.14496475079722196,0.13726750739205976,neutral,Ti,0.118107885,0.1702313,0.3569923,0.35466853,0.6453315
