position,age_kyr_bp,variance,lag1_ac,ktau_variance,ktau_lag1_ac,segment_type,element,p_fold,p_hopf,p_transcritical,p_null,p_transition
219,12.51,2655983.9911887785,0.6754548572454193,-0.9256410256410258,-0.30512820512820515,forced,Al,0.25105092,0.27441648,0.4424872,0.032045405,0.9679546
222,12.489,2599287.822598793,0.675371378979609,-0.9256410256410258,-0.30512820512820515,forced,Al,0.29255497,0.33427796,0.35274205,0.020424992,0.97957504
226,12.46,2527583.066087013,0.6734637923321842,-0.9256410256410258,-0.30512820512820515,forced,Al,0.23311752,0.24183168,0.5046106,0.02044016,0.97955984
230,12.432,2548887.0571161504,0.672038760644011,-0.9256410256410258,-0.30512820512820515,forced,Al,0.138025,0.14303924,0.7071355,0.011800166,0.98819983
233,12.411,2502905.3702680585,0.674441289940224,-0.9256410256410258,-0.30512820512820515,forced,Al,0.15253973,0.13318965,0.69888866,0.015381897,0.9846181
237,12.382,2478985.3872385807,0.6833163244822966,-0.9256410256410258,-0.30512820512820515,forced,Al,0.12685841,0.08475007,0.7752399,0.013151554,0.9868485
241,12.352,2486542.4644939844,0.6799932160512095,-0.9256410256410258,-0.30512820512820515,forced,Al,0.1271526,0.081136934,0.78339124,0.00831923,0.99168074
245,12.322,2479641.1977086356,0.6886541839565937,-0.9256410256410258,-0.30512820512820515,forced,Al,0.19711384,0.09368879,0.70280635,0.006391001,0.993609
248,12.3,2461119.0659366404,0.7041063954835227,-0.9256410256410258,-0.30512820512820515,forced,Al,0.25311399,0.14505696,0.59574836,0.0060806065,0.9939194
252,12.27,2446877.722425199,0.7054651671079339,-0.9256410256410258,-0.30512820512820515,forced,Al,0.219894,0.15496144,0.61789894,0.0072456077,0.9927544
256,12.24,2441894.7532198993,0.6893072042645952,-0.9256410256410258,-0.30512820512820515,forced,Al,0.18731411,0.1694729,0.63548,0.0077329683,0.992267
260,12.21,2392994.476386876,0.6950113520120274,-0.9256410256410258,-0.30512820512820515,forced,Al,0.17979467,0.1440899,0.6633628,0.012752669,0.98724735
263,12.188,2382895.0963420677,0.6958445872296439,-0.9256410256410258,-0.30512820512820515,forced,Al,0.19718537,0.16320731,0.63055384,0.009053464,0.99094653
267,12.157,2336730.4183861506,0.6985640955574948,-0.9256410256410258,-0.30512820512820515,forced,Al,0.2877626,0.22466376,0.47837472,0.009198915,0.9908011
271,12.127,2331466.7086297716,0.6999430199861336,-0.9256410256410258,-0.30512820512820515,forced,Al,0.27039936,0.26181835,0.4587772,0.009005169,0.9909948
275,12.097,2257692.320810574,0.6997320849790626,-0.9256410256410258,-0.30512820512820515,forced,Al,0.27022454,0.16548358,0.5566039,0.0076879635,0.992312
278,12.075,2181207.6259844042,0.6903077963872711,-0.9256410256410258,-0.30512820512820515,forced,Al,0.24767879,0.21587712,0.5285058,0.007938281,0.99206173
282,12.046,2052718.6710266294,0.6718454785479329,-0.9256410256410258,-0.30512820512820515,forced,Al,0.15369035,0.21280493,0.6052376,0.028267145,0.97173285
286,12.017,1856205.4619198,0.6508759853388366,-0.9256410256410258,-0.30512820512820515,forced,Al,0.15931682,0.21228215,0.6073821,0.021018889,0.97898114
