position,age_kyr_bp,variance,lag1_ac,ktau_variance,ktau_lag1_ac,segment_type,element,p_fold,p_hopf,p_transcritical,p_null,p_transition
79,15.84,11397194.221087217,0.8367371150246168,0.6256410256410256,0.6897435897435897,neutral,Al,0.10430431,0.1913176,0.31059724,0.39378083,0.6062192
80,15.825,10807837.767692039,0.8441443921088355,0.6256410256410256,0.6897435897435897,neutral,Al,0.10050592,0.1840396,0.32777956,0.38767493,0.6123251
81,15.81,10812796.061024183,0.8442271047928182,0.6256410256410256,0.6897435897435897,neutral,Al,0.10119761,0.18873458,0.36168164,0.3483862,0.65161383
83,15.779,11150820.522035295,0.8454439664844303,0.6256410256410256,0.6897435897435897,neutral,Al,0.09603911,0.18007635,0.4375994,0.28628513,0.71371484
84,15.764,11239646.004885295,0.8470845557172549,0.6256410256410256,0.6897435897435897,neutral,Al,0.08931026,0.17184456,0.4659092,0.27293587,0.72706413
85,15.748,11088230.119741926,0.8443951491052831,0.6256410256410256,0.6897435897435897,neutral,Al,0.0852454,0.16797525,0.5048749,0.24190454,0.75809544
87,15.717,11719233.084140232,0.846558799781386,0.6256410256410256,0.6897435897435897,neutral,Al,0.08271701,0.16124775,0.5539548,0.20208046,0.7979195
88,15.702,12483498.364539882,0.855498793857508,0.6256410256410256,0.6897435897435897,neutral,Al,0.07800907,0.1555316,0.5794793,0.18698005,0.81301993
89,15.687,13872129.050898463,0.8688130296289557,0.6256410256410256,0.6897435897435897,neutral,Al,0.07580074,0.14741088,0.6219486,0.1548398,0.8451602
91,15.656,16992260.50722576,0.8936812392851198,0.6256410256410256,0.6897435897435897,neutral,Al,0.06564169,0.13258184,0.68870395,0.11307248,0.88692755
92,15.641,18832643.169068053,0.9057441570432371,0.6256410256410256,0.6897435897435897,neutral,Al,0.060633607,0.1266762,0.705733,0.10695715,0.89304286
93,15.626,21230731.539706662,0.9186631816384107,0.6256410256410256,0.6897435897435897,neutral,Al,0.054865774,0.11490957,0.74290544,0.087319285,0.91268075
95,15.595,25398132.042558003,0.9322710584668158,0.6256410256410256,0.6897435897435897,neutral,Al,0.05542738,0.11587921,0.78442913,0.044264246,0.95573574
96,15.58,27256278.92222499,0.9367994460576022,0.6256410256410256,0.6897435897435897,neutral,Al,0.055145822,0.11561627,0.79084474,0.038393173,0.9616068
98,15.549,33594134.41495196,0.947115997086048,0.6256410256410256,0.6897435897435897,neutral,Al,0.056708906,0.10397431,0.8222893,0.017027536,0.98297244
99,15.534,36397064.21710141,0.9553195929048265,0.6256410256410256,0.6897435897435897,neutral,Al,0.05526102,0.0956764,0.8389535,0.010109023,0.989891
100,15.518,39397092.08749389,0.9634010825797301,0.6256410256410256,0.6897435897435897,neutral,Al,0.055633664,0.093095176,0.84307337,0.0081977565,0.9918022
102,15.488,46246895.360943526,0.9693947140575658,0.6256410256410256,0.6897435897435897,neutral,Al,0.048328675,0.07805091,0.86992073,0.0036996456,0.99630034
103,15.473,49000438.279141374,0.9711271380032225,0.6256410256410256,0.6897435897435897,neutral,Al,0.043557156,0.07583907,0.87814975,0.0024540173,0.99754596
104,15.457,51980235.6152089,0.9740434570546433,0.6256410256410256,0.6897435897435897,neutral,Al,0.04235253,0.07198517,0.88369477,0.0019675347,0.99803245
106,15.427,57078945.99575317,0.976502688517254,0.6256410256410256,0.6897435897435897,neutral,Al,0.03552343,0.06100081,0.9022217,0.0012540342,0.998746
107,15.412,59479120.00848022,0.9774591150542563,0.6256410256410256,0.6897435897435897,neutral,Al,0.035318516,0.058486763,0.9054306,0.0007642387,0.99923575
108,15.397,62274688.42623891,0.9783893697941706,0.6256410256410256,0.6897435897435897,neutral,Al,0.036847677,0.05891924,0.9036016,0.00063143845,0.99936855
110,15.367,66287868.21899602,0.9800439174820184,0.6256410256410256,0.6897435897435897,neutral,Al,0.035614982,0.055979185,0.9080528,0.00035304145,0.99964696
111,15.352,67952024.57487142,0.9808409451634046,0.6256410256410256,0.6897435897435897,neutral,Al,0.03465026,0.05591675,0.9092186,0.00021434936,0.99978566
112,15.336,68723452.90499343,0.9814282983854422,0.6256410256410256,0.6897435897435897,neutral,Al,0.032835204,0.058454107,0.9085019,0.00020877624,0.9997912
114,15.306,71293766.76164211,0.9823809225157801,0.6256410256410256,0.6897435897435897,neutral,Al,0.028855672,0.048316404,0.9227017,0.00012618597,0.9998738
115,15.291,71410730.67507926,0.9823102494387407,0.6256410256410256,0.6897435897435897,neutral,Al,0.027655654,0.04962493,0.92262894,9.038651e-05,0.99990964
117,15.26,71259811.28259958,0.9823839497471321,0.6256410256410256,0.6897435897435897,neutral,Al,0.025629474,0.049196787,0.92511714,5.6589357e-05,0.99994344
118,15.244,70819138.83988138,0.9822199259814417,0.6256410256410256,0.6897435897435897,neutral,Al,0.026321711,0.05182616,0.9217952,5.687546e-05,0.99994314
119,15.228,70107212.8730095,0.9820760421596038,0.6256410256410256,0.6897435897435897,neutral,Al,0.025487944,0.05453422,0.9199371,4.085023e-05,0.9999592
121,15.196,67678117.78612968,0.9811778280093345,0.6256410256410256,0.6897435897435897,neutral,Al,0.020288447,0.042499155,0.9371793,3.3021803e-05,0.999967
122,15.18,65764483.349795066,0.98089874387604,0.6256410256410256,0.6897435897435897,neutral,Al,0.0208283,0.037980866,0.94115907,3.169886e-05,0.9999683
123,15.163,64497244.92239346,0.9809356448380143,0.6256410256410256,0.6897435897435897,neutral,Al,0.019970465,0.034943916,0.94506377,2.1887105e-05,0.9999781
125,15.129,60114681.22501191,0.9796660936308157,0.6256410256410256,0.6897435897435897,neutral,Al,0.020886917,0.03360047,0.9454978,1.4718536e-05,0.9999853
126,15.112,57155256.92092729,0.9785003734237402,0.6256410256410256,0.6897435897435897,neutral,Al,0.022223433,0.034014314,0.9437457,1.656746e-05,0.99998343
127,15.095,53997016.52261563,0.9770587869318453,0.6256410256410256,0.6897435897435897,neutral,Al,0.02145117,0.03074148,0.9477955,1.1827906e-05,0.9999882
129,15.061,47161493.828701295,0.9743734685049491,0.6256410256410256,0.6897435897435897,neutral,Al,0.02010094,0.028757501,0.9511314,1.0215789e-05,0.9999898
130,15.044,45139726.807418354,0.972672787504955,0.6256410256410256,0.6897435897435897,neutral,Al,0.023158995,0.031190475,0.9456399,1.065005e-05,0.99998933
132,15.009,41910588.38349449,0.976902839852612,0.6256410256410256,0.6897435897435897,neutral,Al,0.02421652,0.03184369,0.9439269,1.2909918e-05,0.99998707
