position,age_kyr_bp,variance,lag1_ac,ktau_variance,ktau_lag1_ac,segment_type,element,p_fold,p_hopf,p_transcritical,p_null,p_transition
182,12.771,0.4339774072684657,-0.03833474561080674,-0.15260951188986235,-0.0471026282853567,neutral,U,0.2719826,0.25634843,0.3298487,0.1418203,0.8581797
186,12.743,0.44254781710781427,-0.04483787129127603,-0.15260951188986235,-0.0471026282853567,neutral,U,0.2649567,0.28447106,0.29670772,0.15386447,0.8461355
191,12.708,0.4562749124758991,-0.06526776415174095,-0.15260951188986235,-0.0471026282853567,neutral,U,0.25915954,0.21578953,0.33761808,0.18743287,0.8125671
196,12.673,0.46292338539880523,-0.05657297422153813,-0.15260951188986235,-0.0471026282853567,neutral,U,0.2116694,0.27471593,0.3974276,0.116187125,0.8838129
200,12.644,0.46072064637620935,-0.06156469550929486,-0.15260951188986235,-0.0471026282853567,neutral,U,0.28451532,0.35955027,0.2809561,0.07497837,0.92502165
205,12.608,0.47856962309672874,-0.0479079634547485,-0.15260951188986235,-0.0471026282853567,neutral,U,0.24867791,0.39922044,0.2675459,0.08455582,0.9154442
210,12.573,0.4781428860050822,-0.05611350789656815,-0.15260951188986235,-0.0471026282853567,neutral,U,0.28125635,0.30894938,0.27429608,0.13549818,0.86450183
214,12.545,0.45803774719395635,-0.06740802263205262,-0.15260951188986235,-0.0471026282853567,neutral,U,0.24509606,0.34942108,0.325967,0.07951583,0.9204842
219,12.51,0.4549171609687721,-0.0642658695907511,-0.15260951188986235,-0.0471026282853567,neutral,U,0.19172123,0.25022125,0.3437495,0.21430807,0.7856919
224,12.474,0.4362973355863565,-0.05886967263988135,-0.15260951188986235,-0.0471026282853567,neutral,U,0.17345162,0.33604676,0.36972296,0.120778576,0.87922144
228,12.446,0.41862620343473356,-0.055028609845082066,-0.15260951188986235,-0.0471026282853567,neutral,U,0.23985022,0.537422,0.17375983,0.04896791,0.9510321
233,12.411,0.42737975751404506,-0.07734552768123122,-0.15260951188986235,-0.0471026282853567,neutral,U,0.26141053,0.41437736,0.26820412,0.05600805,0.94399196
238,12.375,0.430629051766739,-0.061066937153734124,-0.15260951188986235,-0.0471026282853567,neutral,U,0.22173014,0.41220486,0.29580694,0.07025808,0.9297419
243,12.337,0.43396691481887173,-0.04869761059694886,-0.15260951188986235,-0.0471026282853567,neutral,U,0.17831652,0.35924602,0.36732557,0.09511198,0.90488803
247,12.307,0.43478789661653683,-0.04799492171660497,-0.15260951188986235,-0.0471026282853567,neutral,U,0.1960924,0.54206717,0.23164694,0.03019352,0.9698065
252,12.27,0.4366271925766141,-0.04071661658080416,-0.15260951188986235,-0.0471026282853567,neutral,U,0.2235481,0.65717155,0.090770625,0.028509786,0.9714902
257,12.233,0.44748293836601155,-0.01016966458885018,-0.15260951188986235,-0.0471026282853567,neutral,U,0.29127312,0.5488224,0.1360114,0.023893062,0.97610694
261,12.203,0.43690181726092114,0.0074981177351476,-0.15260951188986235,-0.0471026282853567,neutral,U,0.29468623,0.56701535,0.12457204,0.01372634,0.98627365
266,12.165,0.4630897112411177,-0.012695672435332447,-0.15260951188986235,-0.0471026282853567,neutral,U,0.2614658,0.5935779,0.13152207,0.01343418,0.9865658
271,12.127,0.46060618465688286,-0.024778443062088453,-0.15260951188986235,-0.0471026282853567,neutral,U,0.16248362,0.64760554,0.17908226,0.010828614,0.9891714
275,12.097,0.4578864334359955,-0.0277592745227633,-0.15260951188986235,-0.0471026282853567,neutral,U,0.16246809,0.5991105,0.21873486,0.01968659,0.9803134
280,12.06,0.44704510391935764,-0.013948537147213627,-0.15260951188986235,-0.0471026282853567,neutral,U,0.32426247,0.48088008,0.17411415,0.020743314,0.9792567
285,12.024,0.4410702409068777,-0.03588634164276148,-0.15260951188986235,-0.0471026282853567,neutral,U,0.34726775,0.42129725,0.19808573,0.033349276,0.9666507
289,11.997,0.4384745425493225,-0.03586070466322549,-0.15260951188986235,-0.0471026282853567,neutral,U,0.29290596,0.3598613,0.28220648,0.06502625,0.9349737
294,11.962,0.4301487112955401,-0.024137550610034773,-0.15260951188986235,-0.0471026282853567,neutral,U,0.28481892,0.4262686,0.22880949,0.06010301,0.939897
299,11.928,0.41510498414043506,-0.018244324374243916,-0.15260951188986235,-0.0471026282853567,neutral,U,0.3285475,0.29581377,0.29554218,0.08009658,0.9199034
304,11.893,0.4075302952307737,-0.04777458206900345,-0.15260951188986235,-0.0471026282853567,neutral,U,0.23045184,0.5729513,0.15914081,0.037456058,0.96254396
308,11.865,0.4107426983680161,-0.05219251540256602,-0.15260951188986235,-0.0471026282853567,neutral,U,0.25971842,0.45918044,0.23830178,0.04279936,0.95720065
313,11.83,0.4170007035851309,-0.044110280620957974,-0.15260951188986235,-0.0471026282853567,neutral,U,0.4170262,0.39007515,0.17249025,0.020408334,0.97959167
318,11.795,0.4144720392847661,-0.04952823505738729,-0.15260951188986235,-0.0471026282853567,neutral,U,0.42587367,0.2996987,0.22869892,0.04572876,0.95427126
322,11.767,0.4113248989406822,-0.04163096436751345,-0.15260951188986235,-0.0471026282853567,neutral,U,0.33743763,0.2555319,0.33370405,0.07332649,0.92667353
327,11.732,0.40156803330014673,-0.0412086865053025,-0.15260951188986235,-0.0471026282853567,neutral,U,0.34751877,0.46503133,0.15158038,0.035869543,0.96413046
332,11.699,0.4078760957856954,-0.0060834758389310475,-0.15260951188986235,-0.0471026282853567,neutral,U,0.36644083,0.44866082,0.14479603,0.040102325,0.9598977
336,11.674,0.4096869649473632,-0.010142130356359922,-0.15260951188986235,-0.0471026282853567,neutral,U,0.36357853,0.2617934,0.2264075,0.14822057,0.85177946
341,11.645,0.40779650129666134,0.005686432949862856,-0.15260951188986235,-0.0471026282853567,neutral,U,0.37864766,0.28225306,0.23227935,0.10681995,0.8931801
