position,age_kyr_bp,variance,lag1_ac,ktau_variance,ktau_lag1_ac,segment_type,element,p_fold,p_hopf,p_transcritical,p_null,p_transition
66,15.43,1011.7760808953329,0.15515870125792813,0.46843534773687207,0.3510003023432272,neutral,Ba,0.13114175,0.1819579,0.36954534,0.31735498,0.682645
66,15.43,1011.7760808953329,0.15515870125792813,0.46843534773687207,0.3510003023432272,neutral,Ba,0.13114175,0.1819579,0.36954534,0.31735498,0.682645
66,15.43,1011.7760808953329,0.15515870125792813,0.46843534773687207,0.3510003023432272,neutral,Ba,0.13114175,0.1819579,0.36954534,0.31735498,0.682645
67,15.406,938.2844137721025,0.1788485757615971,0.46843534773687207,0.3510003023432272,neutral,Ba,0.13386455,0.18937878,0.38053504,0.2962216,0.7037784
67,15.406,938.2844137721025,0.1788485757615971,0.46843534773687207,0.3510003023432272,neutral,Ba,0.13386455,0.18937878,0.38053504,0.2962216,0.7037784
68,15.382,938.6909567822061,0.17495184552265444,0.46843534773687207,0.3510003023432272,neutral,Ba,0.14589824,0.19555512,0.39627853,0.26226807,0.73773193
68,15.382,938.6909567822061,0.17495184552265444,0.46843534773687207,0.3510003023432272,neutral,Ba,0.14589824,0.19555512,0.39627853,0.26226807,0.73773193
69,15.358,972.0368391209411,0.16781949245599728,0.46843534773687207,0.3510003023432272,neutral,Ba,0.14153022,0.17808412,0.3896358,0.29074988,0.7092501
69,15.358,972.0368391209411,0.16781949245599728,0.46843534773687207,0.3510003023432272,neutral,Ba,0.14153022,0.17808412,0.3896358,0.29074988,0.7092501
69,15.358,972.0368391209411,0.16781949245599728,0.46843534773687207,0.3510003023432272,neutral,Ba,0.14153022,0.17808412,0.3896358,0.29074988,0.7092501
70,15.334,972.7874410510891,0.19647517334426925,0.46843534773687207,0.3510003023432272,neutral,Ba,0.135163,0.13929488,0.37086967,0.3546725,0.6453275
70,15.334,972.7874410510891,0.19647517334426925,0.46843534773687207,0.3510003023432272,neutral,Ba,0.135163,0.13929488,0.37086967,0.3546725,0.6453275
71,15.31,980.6205124874768,0.19789823910538926,0.46843534773687207,0.3510003023432272,neutral,Ba,0.14611752,0.18328021,0.35315105,0.3174512,0.68254876
71,15.31,980.6205124874768,0.19789823910538926,0.46843534773687207,0.3510003023432272,neutral,Ba,0.14611752,0.18328021,0.35315105,0.3174512,0.68254876
72,15.286,955.6372054282316,0.17389081703329404,0.46843534773687207,0.3510003023432272,neutral,Ba,0.15734413,0.17712694,0.35602605,0.30950293,0.69049704
72,15.286,955.6372054282316,0.17389081703329404,0.46843534773687207,0.3510003023432272,neutral,Ba,0.15734413,0.17712694,0.35602605,0.30950293,0.69049704
72,15.286,955.6372054282316,0.17389081703329404,0.46843534773687207,0.3510003023432272,neutral,Ba,0.15734413,0.17712694,0.35602605,0.30950293,0.69049704
73,15.262,979.7558799191622,0.22298913583134963,0.46843534773687207,0.3510003023432272,neutral,Ba,0.15824631,0.18082312,0.3743757,0.28655484,0.7134452
73,15.262,979.7558799191622,0.22298913583134963,0.46843534773687207,0.3510003023432272,neutral,Ba,0.15824631,0.18082312,0.3743757,0.28655484,0.7134452
74,15.238,979.2006004929829,0.23178571402134243,0.46843534773687207,0.3510003023432272,neutral,Ba,0.15068975,0.18627428,0.35157695,0.311459,0.688541
