position,age_kyr_bp,variance,lag1_ac,ktau_variance,ktau_lag1_ac,segment_type,element,p_fold,p_hopf,p_transcritical,p_null,p_transition
116,12.232,0.32924506963048483,-0.08103423405331235,0.8446305966064702,0.7904710774347576,forced,Mo,0.13103856,0.29114792,0.25491816,0.32289535,0.67710465
116,12.232,0.32924506963048483,-0.08103423405331235,0.8446305966064702,0.7904710774347576,forced,Mo,0.13103856,0.29114792,0.25491816,0.32289535,0.67710465
117,12.208,0.32538242258947775,-0.0671235523229877,0.8446305966064702,0.7904710774347576,forced,Mo,0.15402007,0.26907972,0.28723294,0.28966728,0.71033275
118,12.184,0.3353213560769656,-0.08870438041604821,0.8446305966064702,0.7904710774347576,forced,Mo,0.15132864,0.23722652,0.2757107,0.3357341,0.6642659
119,12.159,0.33463334039426973,-0.09685483438243533,0.8446305966064702,0.7904710774347576,forced,Mo,0.14547542,0.2384557,0.2760676,0.3400013,0.65999866
119,12.159,0.33463334039426973,-0.09685483438243533,0.8446305966064702,0.7904710774347576,forced,Mo,0.14547542,0.2384557,0.2760676,0.3400013,0.65999866
120,12.135,0.3407770585311308,-0.08924847305864979,0.8446305966064702,0.7904710774347576,forced,Mo,0.15710449,0.30350292,0.2831278,0.25626484,0.7437352
121,12.111,0.3404353851076445,-0.08914692996390057,0.8446305966064702,0.7904710774347576,forced,Mo,0.1686837,0.27123433,0.29563445,0.26444757,0.73555243
122,12.087,0.34204739836211795,-0.10427595442569576,0.8446305966064702,0.7904710774347576,forced,Mo,0.16486439,0.23932157,0.2772187,0.31859535,0.68140465
122,12.087,0.34204739836211795,-0.10427595442569576,0.8446305966064702,0.7904710774347576,forced,Mo,0.16486439,0.23932157,0.2772187,0.31859535,0.68140465
123,12.063,0.3189731235181426,-0.11835736454833205,0.8446305966064702,0.7904710774347576,forced,Mo,0.14375754,0.28374332,0.24719295,0.32530618,0.6746938
124,12.039,0.32233956309935646,-0.12062104358465107,0.8446305966064702,0.7904710774347576,forced,Mo,0.14448445,0.28155616,0.24895158,0.32500783,0.6749922
125,12.015,0.3358108675008821,-0.09423481373502367,0.8446305966064702,0.7904710774347576,forced,Mo,0.1534691,0.27643013,0.27437988,0.29572088,0.7042791
126,11.991,0.37557396534344994,-0.015644222481370863,0.8446305966064702,0.7904710774347576,forced,Mo,0.17604181,0.28976658,0.32909158,0.20510004,0.79489994
126,11.991,0.37557396534344994,-0.015644222481370863,0.8446305966064702,0.7904710774347576,forced,Mo,0.17604181,0.28976658,0.32909158,0.20510004,0.79489994
127,11.967,0.37684096206981915,0.040483772737129164,0.8446305966064702,0.7904710774347576,forced,Mo,0.14522305,0.381837,0.2650075,0.2079324,0.7920676
128,11.943,0.37193918615009547,-0.00028732056084494653,0.8446305966064702,0.7904710774347576,forced,Mo,0.11492696,0.48336482,0.19331011,0.20839816,0.79160184
129,11.919,0.34952543489715854,-0.012025401973120554,0.8446305966064702,0.7904710774347576,forced,Mo,0.1469906,0.41900653,0.2371517,0.19685121,0.8031488
129,11.919,0.34952543489715854,-0.012025401973120554,0.8446305966064702,0.7904710774347576,forced,Mo,0.1469906,0.41900653,0.2371517,0.19685121,0.8031488
130,11.895,0.3503778518989546,-0.010951859930996228,0.8446305966064702,0.7904710774347576,forced,Mo,0.17170627,0.35704765,0.2571208,0.21412529,0.7858747
131,11.871,0.3578557038030434,-0.002612542476533436,0.8446305966064702,0.7904710774347576,forced,Mo,0.16979447,0.40234494,0.25956312,0.1682974,0.8317026
132,11.847,0.35435696934740096,-0.01055729424905847,0.8446305966064702,0.7904710774347576,forced,Mo,0.16550031,0.40830174,0.258611,0.16758691,0.8324131
132,11.847,0.35435696934740096,-0.01055729424905847,0.8446305966064702,0.7904710774347576,forced,Mo,0.16550031,0.40830174,0.258611,0.16758691,0.8324131
133,11.823,0.3929720883544924,0.010214919955960189,0.8446305966064702,0.7904710774347576,forced,Mo,0.1713608,0.4290626,0.28703147,0.112545215,0.8874548
134,11.799,0.39680736153592244,0.04030466175756733,0.8446305966064702,0.7904710774347576,forced,Mo,0.19149177,0.3505847,0.3204705,0.13745302,0.862547
135,11.775,0.40049720802181554,0.06801132366619118,0.8446305966064702,0.7904710774347576,forced,Mo,0.18312317,0.37287644,0.2970623,0.14693803,0.853062
136,11.751,0.45851939366710975,0.1329511429217237,0.8446305966064702,0.7904710774347576,forced,Mo,0.18146963,0.41311154,0.29221886,0.11319998,0.88680005
136,11.751,0.45851939366710975,0.1329511429217237,0.8446305966064702,0.7904710774347576,forced,Mo,0.18146963,0.41311154,0.29221886,0.11319998,0.88680005
