position,age_kyr_bp,variance,lag1_ac,ktau_variance,ktau_lag1_ac,segment_type,element,p_fold,p_hopf,p_transcritical,p_null,p_transition
73,13.266,16286.45072593213,0.4289417443913377,0.3435897435897436,0.4974358974358975,forced,Ti,0.095913485,0.17279616,0.34652504,0.38476536,0.6152346
74,13.242,16356.396491093961,0.4510975092864224,0.3435897435897436,0.4974358974358975,forced,Ti,0.109995596,0.15121737,0.35562298,0.38316408,0.61683595
76,13.194,16128.970446102836,0.4405757508391746,0.3435897435897436,0.4974358974358975,forced,Ti,0.105834804,0.14327264,0.36917293,0.3817196,0.6182804
78,13.146,15779.58475416865,0.43008341518835014,0.3435897435897436,0.4974358974358975,forced,Ti,0.108911775,0.13076602,0.33921435,0.4211078,0.57889223
80,13.097,15692.5143071565,0.4310017958131408,0.3435897435897436,0.4974358974358975,forced,Ti,0.10731101,0.12790562,0.32503155,0.4397518,0.5602482
82,13.049,15298.938869913874,0.42138617109652704,0.3435897435897436,0.4974358974358975,forced,Ti,0.0955884,0.08558528,0.33454442,0.48428196,0.51571804
84,13.001,15058.018466833035,0.40937930720171894,0.3435897435897436,0.4974358974358975,forced,Ti,0.14586645,0.13386256,0.31095225,0.40931875,0.59068125
86,12.953,15140.869101969978,0.40679957771606057,0.3435897435897436,0.4974358974358975,forced,Ti,0.118995115,0.11764541,0.317848,0.4455115,0.55448854
87,12.929,15138.598177270233,0.3971496948725608,0.3435897435897436,0.4974358974358975,forced,Ti,0.104335904,0.13035686,0.3224651,0.44284213,0.5571579
89,12.881,15122.39094457061,0.3759234010280069,0.3435897435897436,0.4974358974358975,forced,Ti,0.11175857,0.116423205,0.328491,0.4433272,0.5566728
91,12.833,14799.32608703422,0.3662259068029181,0.3435897435897436,0.4974358974358975,forced,Ti,0.1422618,0.19348198,0.2959883,0.3682679,0.6317321
93,12.785,15185.112284759487,0.37746409684297805,0.3435897435897436,0.4974358974358975,forced,Ti,0.176499,0.22498465,0.28769222,0.3108242,0.68917584
95,12.737,15263.17284304452,0.3643286942644065,0.3435897435897436,0.4974358974358975,forced,Ti,0.13301186,0.20488715,0.26887888,0.39322206,0.6067779
97,12.689,15559.26910969528,0.36743768743029026,0.3435897435897436,0.4974358974358975,forced,Ti,0.14247426,0.21210425,0.27152961,0.37389186,0.62610817
99,12.641,15444.619324515515,0.3845239667944809,0.3435897435897436,0.4974358974358975,forced,Ti,0.13311733,0.29119834,0.26911223,0.30657208,0.6934279
101,12.592,15601.212472961313,0.3859315109888351,0.3435897435897436,0.4974358974358975,forced,Ti,0.2060466,0.2860435,0.2730137,0.2348962,0.7651038
102,12.568,16153.003872038389,0.37917119141216793,0.3435897435897436,0.4974358974358975,forced,Ti,0.22095299,0.2478516,0.2723371,0.2588583,0.7411417
104,12.52,16095.169892264821,0.3863999563532227,0.3435897435897436,0.4974358974358975,forced,Ti,0.18816109,0.23980422,0.29890934,0.27312532,0.7268747
106,12.472,16085.638597061512,0.4061081378042039,0.3435897435897436,0.4974358974358975,forced,Ti,0.16332503,0.21647543,0.3247818,0.29541776,0.7045822
108,12.424,16237.120348345132,0.41189578066216626,0.3435897435897436,0.4974358974358975,forced,Ti,0.19645342,0.24228469,0.28340724,0.27785468,0.7221453
110,12.376,17256.61663832526,0.3816751287972351,0.3435897435897436,0.4974358974358975,forced,Ti,0.16287689,0.21855968,0.29600564,0.32255775,0.67744225
112,12.328,16745.530934256312,0.4609062407809346,0.3435897435897436,0.4974358974358975,forced,Ti,0.18993019,0.23062721,0.29915988,0.28028277,0.71971726
114,12.28,16764.766211777052,0.4667102830864105,0.3435897435897436,0.4974358974358975,forced,Ti,0.18080905,0.22356565,0.34710136,0.24852394,0.75147605
116,12.232,16855.434024906775,0.4715744702070361,0.3435897435897436,0.4974358974358975,forced,Ti,0.17881282,0.24485002,0.34444365,0.23189355,0.76810646
117,12.208,16452.161559740183,0.4896426793200761,0.3435897435897436,0.4974358974358975,forced,Ti,0.17170578,0.22829466,0.34503734,0.25496224,0.7450378
119,12.159,16215.827479283258,0.49602146637256933,0.3435897435897436,0.4974358974358975,forced,Ti,0.17362753,0.21267952,0.32967684,0.28401613,0.71598387
121,12.111,16659.228713837267,0.49096533367823725,0.3435897435897436,0.4974358974358975,forced,Ti,0.17011565,0.22841722,0.34388027,0.2575869,0.7424131
123,12.063,15631.0182486189,0.4487952047605782,0.3435897435897436,0.4974358974358975,forced,Ti,0.17815904,0.2312276,0.35341927,0.23719405,0.76280594
125,12.015,13823.763433255197,0.4488821043541186,0.3435897435897436,0.4974358974358975,forced,Ti,0.17057548,0.23925781,0.3616764,0.22849032,0.77150965
127,11.967,13566.035541693613,0.46091982686023536,0.3435897435897436,0.4974358974358975,forced,Ti,0.18387862,0.22644037,0.3920644,0.1976166,0.8023834
129,11.919,15227.280821037495,0.45040199092551275,0.3435897435897436,0.4974358974358975,forced,Ti,0.15957953,0.22500798,0.46650618,0.14890634,0.85109365
131,11.871,15949.834764807401,0.49592632030322265,0.3435897435897436,0.4974358974358975,forced,Ti,0.20489965,0.24417758,0.4149428,0.13598001,0.86402
132,11.847,16648.01235304295,0.5225272312474902,0.3435897435897436,0.4974358974358975,forced,Ti,0.18390422,0.28768283,0.38582525,0.14258774,0.8574123
134,11.799,17089.903018321173,0.5452105248706388,0.3435897435897436,0.4974358974358975,forced,Ti,0.13853163,0.27532357,0.47828144,0.10786337,0.89213663
136,11.751,17425.94413641353,0.5572269861226821,0.3435897435897436,0.4974358974358975,forced,Ti,0.08991766,0.28068805,0.5462135,0.08318083,0.91681916
138,11.703,17337.603929822835,0.5413645254696322,0.3435897435897436,0.4974358974358975,forced,Ti,0.1322986,0.22956237,0.5508212,0.0873179,0.9126821
140,11.654,16852.121958881733,0.5400397816148332,0.3435897435897436,0.4974358974358975,forced,Ti,0.140823,0.18886444,0.5917497,0.07856283,0.92143714
142,11.606,17166.95876224131,0.5297824948941676,0.3435897435897436,0.4974358974358975,forced,Ti,0.13080405,0.20516722,0.5874933,0.076535515,0.9234645
144,11.558,17332.025686365712,0.5389744075572884,0.3435897435897436,0.4974358974358975,forced,Ti,0.11495106,0.18635371,0.61831903,0.08037627,0.91962373
146,11.51,16096.047169616753,0.5261775011069654,0.3435897435897436,0.4974358974358975,forced,Ti,0.099670865,0.21869096,0.593041,0.08859719,0.9114028
