position,age_kyr_bp,variance,lag1_ac,ktau_variance,ktau_lag1_ac,segment_type,element,p_fold,p_hopf,p_transcritical,p_null,p_transition
31,23.803,2.0292881420319704,0.26402559596100283,-0.69929879725449,0.09143685930951895,forced,Mo,0.02437755,0.61260605,0.35415268,0.008863701,0.9911363
31,23.803,2.0292881420319704,0.26402559596100283,-0.69929879725449,0.09143685930951895,forced,Mo,0.024377547,0.61260605,0.35415268,0.008863701,0.9911363
32,23.763,2.0347560107733265,0.27342569042746767,-0.69929879725449,0.09143685930951895,forced,Mo,0.027315587,0.44603756,0.5118594,0.014787451,0.98521256
33,23.724,2.047188788968797,0.2933294198874427,-0.69929879725449,0.09143685930951895,forced,Mo,0.028439976,0.579621,0.38239062,0.009548353,0.99045163
34,23.684,2.0055462077124497,0.3152484330100579,-0.69929879725449,0.09143685930951895,forced,Mo,0.03373081,0.38483578,0.5697292,0.01170428,0.98829573
35,23.644,2.0358417383415928,0.3355595359487515,-0.69929879725449,0.09143685930951895,forced,Mo,0.036525764,0.5024586,0.45270476,0.00831091,0.9916891
35,23.644,2.0358417383415928,0.3355595359487515,-0.69929879725449,0.09143685930951895,forced,Mo,0.036525756,0.50245863,0.45270467,0.008310909,0.9916891
36,23.604,1.9991086026997393,0.32154525117085136,-0.69929879725449,0.09143685930951895,forced,Mo,0.043045253,0.30571085,0.64158535,0.009658592,0.9903414
37,23.564,1.9924429764332883,0.31416933408443914,-0.69929879725449,0.09143685930951895,forced,Mo,0.04765197,0.43515745,0.50839436,0.008796126,0.9912039
38,23.524,2.0272044683275365,0.3252056671203911,-0.69929879725449,0.09143685930951895,forced,Mo,0.053620588,0.2539952,0.681604,0.010780187,0.9892198
39,23.485,2.0313670584246895,0.32802025229797244,-0.69929879725449,0.09143685930951895,forced,Mo,0.05988158,0.38329577,0.54681927,0.010003368,0.9899966
40,23.445,2.0273358787814333,0.3252014812289117,-0.69929879725449,0.09143685930951895,forced,Mo,0.062439103,0.2297009,0.6961011,0.011758824,0.9882412
40,23.445,2.0273358787814333,0.3252014812289117,-0.69929879725449,0.09143685930951895,forced,Mo,0.062439103,0.2297009,0.6961012,0.011758818,0.9882412
41,23.405,1.9804461235782336,0.3172721342637037,-0.69929879725449,0.09143685930951895,forced,Mo,0.071336105,0.3556947,0.56153136,0.011437866,0.9885621
42,23.365,2.01127952154616,0.326519497089835,-0.69929879725449,0.09143685930951895,forced,Mo,0.07152812,0.21282497,0.7024562,0.0131907035,0.9868093
43,23.325,2.0222322908083603,0.31313240895055755,-0.69929879725449,0.09143685930951895,forced,Mo,0.08132821,0.36569655,0.5415275,0.011447738,0.9885523
44,23.285,2.0594785013218897,0.28906460998548106,-0.69929879725449,0.09143685930951895,forced,Mo,0.08317898,0.2224985,0.6818017,0.012520812,0.9874792
44,23.285,2.0594785013218897,0.28906460998548106,-0.69929879725449,0.09143685930951895,forced,Mo,0.08317897,0.22249848,0.68180174,0.01252081,0.9874792
45,23.246,2.0340633561288515,0.26067271450394647,-0.69929879725449,0.09143685930951895,forced,Mo,0.09450746,0.35767302,0.5365586,0.011260875,0.98873913
