position,age_kyr_bp,variance,lag1_ac,ktau_variance,ktau_lag1_ac,segment_type,element,p_fold,p_hopf,p_transcritical,p_null,p_transition
31,23.803,34337.66701468755,0.31499899431260764,0.1601705162655107,0.04806619907341641,neutral,Ti,0.028782263,0.48124462,0.48333538,0.006637738,0.99336225
31,23.803,34337.66701468755,0.31499899431260764,0.1601705162655107,0.04806619907341641,neutral,Ti,0.028782267,0.48124462,0.48333538,0.006637738,0.99336225
32,23.763,35013.48614515104,0.3549488473054792,0.1601705162655107,0.04806619907341641,neutral,Ti,0.030460408,0.4539144,0.5072277,0.008397518,0.9916025
33,23.724,42586.41402604429,0.4105475243440305,0.1601705162655107,0.04806619907341641,neutral,Ti,0.03848982,0.49297506,0.46438804,0.0041470476,0.99585295
34,23.684,44387.861847657216,0.47241683375356885,0.1601705162655107,0.04806619907341641,neutral,Ti,0.043263115,0.47658077,0.47256815,0.007587989,0.99241203
35,23.644,45432.11199157596,0.406693164922419,0.1601705162655107,0.04806619907341641,neutral,Ti,0.025606219,0.7425988,0.22291861,0.008876398,0.9911236
35,23.644,45432.11199157596,0.406693164922419,0.1601705162655107,0.04806619907341641,neutral,Ti,0.025606219,0.7425988,0.22291861,0.008876398,0.9911236
36,23.604,45755.65439856286,0.4111486281251571,0.1601705162655107,0.04806619907341641,neutral,Ti,0.026458854,0.7367036,0.21922606,0.017611444,0.98238856
37,23.564,47279.809803666525,0.4329171971087563,0.1601705162655107,0.04806619907341641,neutral,Ti,0.020402312,0.8397393,0.13123643,0.008621947,0.99137807
38,23.524,47309.33890893124,0.4250490509035944,0.1601705162655107,0.04806619907341641,neutral,Ti,0.024172,0.7956487,0.1714385,0.008740783,0.9912592
39,23.485,48633.34388879075,0.42326070262326126,0.1601705162655107,0.04806619907341641,neutral,Ti,0.022992833,0.8338395,0.13940692,0.003760846,0.9962391
40,23.445,50345.750754837536,0.37965851027745956,0.1601705162655107,0.04806619907341641,neutral,Ti,0.031128254,0.7445687,0.22013195,0.0041711186,0.99582887
40,23.445,50345.750754837536,0.37965851027745956,0.1601705162655107,0.04806619907341641,neutral,Ti,0.031128258,0.74456865,0.22013196,0.004171118,0.99582887
41,23.405,50570.080203166435,0.3697525884911988,0.1601705162655107,0.04806619907341641,neutral,Ti,0.02761121,0.8063077,0.16402261,0.002058457,0.99794155
