position,age_kyr_bp,variance,lag1_ac,ktau_variance,ktau_lag1_ac,segment_type,element,p_fold,p_hopf,p_transcritical,p_null,p_transition
37,40.532,541.2924547869954,-0.13119947298467088,0.5683131380811445,-0.35279032273660216,forced,Ba,0.014325061,0.7283356,0.25715268,0.00018672895,0.99981326
37,40.532,541.2924547869954,-0.13119947298467088,0.5683131380811445,-0.35279032273660216,forced,Ba,0.014325063,0.7283356,0.25715265,0.00018672906,0.99981326
38,40.492,539.1622102678917,-0.10980839481115158,0.5683131380811445,-0.35279032273660216,forced,Ba,0.017354371,0.8123212,0.17017916,0.00014527203,0.99985474
39,40.452,514.5108257493791,-0.17005973316995793,0.5683131380811445,-0.35279032273660216,forced,Ba,0.019164773,0.6958163,0.28486577,0.00015311118,0.9998469
40,40.412,492.2839602754687,-0.2227557981133108,0.5683131380811445,-0.35279032273660216,forced,Ba,0.021006886,0.7704731,0.20840359,0.0001164112,0.9998836
41,40.373,485.9726659317309,-0.2649949643160911,0.5683131380811445,-0.35279032273660216,forced,Ba,0.026209317,0.6368592,0.33681434,0.00011714681,0.9998829
42,40.333,451.01768759737524,-0.19995576631675915,0.5683131380811445,-0.35279032273660216,forced,Ba,0.033408873,0.68776673,0.27874434,8.0045254e-05,0.99991995
43,40.293,499.9680075392757,-0.21496249509928914,0.5683131380811445,-0.35279032273660216,forced,Ba,0.01886385,0.71227676,0.26878518,7.4226045e-05,0.9999258
44,40.253,513.942332842958,-0.26125421608219895,0.5683131380811445,-0.35279032273660216,forced,Ba,0.01634582,0.8399367,0.14366056,5.6952922e-05,0.999943
45,40.213,511.01095593642106,-0.28300328717932155,0.5683131380811445,-0.35279032273660216,forced,Ba,0.02127721,0.70300794,0.27562815,8.6666645e-05,0.99991333
46,40.173,542.9172803107158,-0.2447621491489348,0.5683131380811445,-0.35279032273660216,forced,Ba,0.018780183,0.8272907,0.1538717,5.7400168e-05,0.9999426
47,40.134,533.661266618567,-0.2524437307116054,0.5683131380811445,-0.35279032273660216,forced,Ba,0.027256878,0.66537654,0.30729118,7.536471e-05,0.99992466
48,40.094,536.0065445084949,-0.2538338013518324,0.5683131380811445,-0.35279032273660216,forced,Ba,0.024824236,0.77421916,0.20091219,4.439708e-05,0.9999556
49,40.054,534.9171223862342,-0.2516896855540908,0.5683131380811445,-0.35279032273660216,forced,Ba,0.039464638,0.6038955,0.35657412,6.5751134e-05,0.99993426
50,40.014,533.862585759844,-0.27848413898388036,0.5683131380811445,-0.35279032273660216,forced,Ba,0.039039023,0.7217692,0.23914386,4.784132e-05,0.99995214
51,39.974,529.9463219479408,-0.2361013164360119,0.5683131380811445,-0.35279032273660216,forced,Ba,0.0458171,0.60456675,0.34956503,5.1200463e-05,0.9999488
52,39.934,493.9251390608063,-0.23178060865552624,0.5683131380811445,-0.35279032273660216,forced,Ba,0.05194024,0.71275336,0.23526484,4.1586907e-05,0.9999584
53,39.895,507.39552397811417,-0.22075558364425563,0.5683131380811445,-0.35279032273660216,forced,Ba,0.066677615,0.56433195,0.36893994,5.0434366e-05,0.9999496
54,39.855,548.0426478970421,-0.25904411883138273,0.5683131380811445,-0.35279032273660216,forced,Ba,0.041178636,0.76673216,0.19205101,3.8174425e-05,0.99996185
55,39.815,593.5652425358026,-0.31443316603939553,0.5683131380811445,-0.35279032273660216,forced,Ba,0.03094671,0.72448486,0.24451707,5.1402578e-05,0.9999486
56,39.775,618.2418456314758,-0.3487475807014151,0.5683131380811445,-0.35279032273660216,forced,Ba,0.02169658,0.87351096,0.10475387,3.8623733e-05,0.9999614
57,39.735,622.2942012412753,-0.29025756502807953,0.5683131380811445,-0.35279032273660216,forced,Ba,0.028074518,0.75753653,0.21433268,5.6241293e-05,0.99994373
58,39.695,620.5521793242393,-0.2804015931401026,0.5683131380811445,-0.35279032273660216,forced,Ba,0.035853952,0.8203957,0.14370835,4.2003005e-05,0.999958
59,39.656,624.0092357469721,-0.2820983386778286,0.5683131380811445,-0.35279032273660216,forced,Ba,0.039794177,0.691126,0.26903328,4.6575708e-05,0.99995345
60,39.616,625.5857240885662,-0.2887863968342602,0.5683131380811445,-0.35279032273660216,forced,Ba,0.05061002,0.7868372,0.16251972,3.2985827e-05,0.99996704
61,39.576,632.8441928727457,-0.28210401357392134,0.5683131380811445,-0.35279032273660216,forced,Ba,0.061484806,0.6397754,0.29869494,4.493248e-05,0.99995506
62,39.536,627.3435164372574,-0.28869509787581427,0.5683131380811445,-0.35279032273660216,forced,Ba,0.07430971,0.74512804,0.18052767,3.4596284e-05,0.9999654
63,39.496,628.7277362038342,-0.3097142846951608,0.5683131380811445,-0.35279032273660216,forced,Ba,0.084291354,0.59781986,0.3178384,5.0320872e-05,0.9999497
64,39.456,544.9994607514642,-0.3121644586641311,0.5683131380811445,-0.35279032273660216,forced,Ba,0.10113281,0.681338,0.21748753,4.1541723e-05,0.99995846
65,39.417,651.8183700199893,-0.2750210521023237,0.5683131380811445,-0.35279032273660216,forced,Ba,0.08680545,0.6271805,0.28597844,3.56174e-05,0.99996436
66,39.377,623.3468857966068,-0.2495278498296863,0.5683131380811445,-0.35279032273660216,forced,Ba,0.08545725,0.7588805,0.15563114,3.113087e-05,0.9999689
67,39.337,630.206031689831,-0.2510762186711501,0.5683131380811445,-0.35279032273660216,forced,Ba,0.11632432,0.5713626,0.3122711,4.200411e-05,0.999958
68,39.297,622.4791146572027,-0.23279287995705314,0.5683131380811445,-0.35279032273660216,forced,Ba,0.12449497,0.66722566,0.20824465,3.4741148e-05,0.99996525
69,39.257,663.4029725517208,-0.2664867506167165,0.5683131380811445,-0.35279032273660216,forced,Ba,0.07552305,0.66150624,0.26293328,3.7474314e-05,0.9999625
