position,age_kyr_bp,variance,lag1_ac,ktau_variance,ktau_lag1_ac,segment_type,element,p_fold,p_hopf,p_transcritical,p_null,p_transition
60,39.616,32466.842787047033,0.4027438756235912,0.517475143175612,0.9026338573367005,forced,Ti,0.29431477,0.4642812,0.235978,0.0054260027,0.994574
60,39.616,32466.842787047033,0.4027438756235912,0.517475143175612,0.9026338573367005,forced,Ti,0.29431477,0.4642812,0.23597805,0.0054260013,0.994574
60,39.616,32466.842787047033,0.4027438756235912,0.517475143175612,0.9026338573367005,forced,Ti,0.29431474,0.4642812,0.235978,0.005426004,0.994574
61,39.576,32574.89055527988,0.42684241652040816,0.517475143175612,0.9026338573367005,forced,Ti,0.3256441,0.42288557,0.24439569,0.0070746234,0.9929254
61,39.576,32574.89055527988,0.42684241652040816,0.517475143175612,0.9026338573367005,forced,Ti,0.32564408,0.4228856,0.24439567,0.0070746248,0.99292535
61,39.576,32574.89055527988,0.42684241652040816,0.517475143175612,0.9026338573367005,forced,Ti,0.3256441,0.42288557,0.24439569,0.0070746234,0.9929254
62,39.536,31976.767862151235,0.4448737769122081,0.517475143175612,0.9026338573367005,forced,Ti,0.32966,0.45700422,0.20943877,0.0038970506,0.9961029
62,39.536,31976.767862151235,0.4448737769122081,0.517475143175612,0.9026338573367005,forced,Ti,0.32966,0.45700422,0.20943877,0.0038970506,0.9961029
63,39.496,31872.255988784444,0.43948392687529914,0.517475143175612,0.9026338573367005,forced,Ti,0.34364802,0.4307375,0.22112504,0.0044894833,0.9955105
63,39.496,31872.255988784444,0.43948392687529914,0.517475143175612,0.9026338573367005,forced,Ti,0.343648,0.4307375,0.22112504,0.0044894833,0.9955105
63,39.496,31872.255988784444,0.43948392687529914,0.517475143175612,0.9026338573367005,forced,Ti,0.34364802,0.4307375,0.22112504,0.0044894833,0.9955105
64,39.456,31921.5937175314,0.4459472675801644,0.517475143175612,0.9026338573367005,forced,Ti,0.36897638,0.44342571,0.18488236,0.0027156144,0.9972844
64,39.456,31921.5937175314,0.4459472675801644,0.517475143175612,0.9026338573367005,forced,Ti,0.36897638,0.44342577,0.1848823,0.0027156137,0.9972844
65,39.417,31699.427802869377,0.4584269939360666,0.517475143175612,0.9026338573367005,forced,Ti,0.39274907,0.4047733,0.19914657,0.0033310228,0.996669
65,39.417,31699.427802869377,0.4584269939360666,0.517475143175612,0.9026338573367005,forced,Ti,0.39274907,0.4047733,0.1991466,0.0033310214,0.996669
65,39.417,31699.427802869377,0.4584269939360666,0.517475143175612,0.9026338573367005,forced,Ti,0.39274907,0.4047733,0.19914657,0.0033310228,0.996669
66,39.377,33292.84702884168,0.45585293397400006,0.517475143175612,0.9026338573367005,forced,Ti,0.41446602,0.42182487,0.16187444,0.0018346525,0.99816537
66,39.377,33292.84702884168,0.45585293397400006,0.517475143175612,0.9026338573367005,forced,Ti,0.41446602,0.4218249,0.16187444,0.0018346536,0.99816537
66,39.377,33292.84702884168,0.45585293397400006,0.517475143175612,0.9026338573367005,forced,Ti,0.41446602,0.42182487,0.16187444,0.0018346525,0.99816537
67,39.337,34578.01721761346,0.4852116898526667,0.517475143175612,0.9026338573367005,forced,Ti,0.4383555,0.38796294,0.17169115,0.0019903907,0.9980096
67,39.337,34578.01721761346,0.4852116898526667,0.517475143175612,0.9026338573367005,forced,Ti,0.4383555,0.38796294,0.17169118,0.0019903898,0.9980096
68,39.297,35366.572866044815,0.5015780222172086,0.517475143175612,0.9026338573367005,forced,Ti,0.48806196,0.37380105,0.1369133,0.0012237083,0.9987763
68,39.297,35366.572866044815,0.5015780222172086,0.517475143175612,0.9026338573367005,forced,Ti,0.48806202,0.373801,0.13691328,0.0012237084,0.9987763
68,39.297,35366.572866044815,0.5015780222172086,0.517475143175612,0.9026338573367005,forced,Ti,0.48806196,0.37380105,0.1369133,0.0012237083,0.9987763
69,39.257,38459.95325707135,0.5192877015215365,0.517475143175612,0.9026338573367005,forced,Ti,0.49815574,0.34956565,0.15072349,0.00155508,0.9984449
69,39.257,38459.95325707135,0.5192877015215365,0.517475143175612,0.9026338573367005,forced,Ti,0.49815577,0.34956565,0.15072349,0.0015550784,0.9984449
70,39.217,38160.26524851376,0.5151399248296203,0.517475143175612,0.9026338573367005,forced,Ti,0.4966268,0.3776646,0.12489173,0.0008168682,0.9991831
70,39.217,38160.26524851376,0.5151399248296203,0.517475143175612,0.9026338573367005,forced,Ti,0.49662673,0.37766463,0.12489174,0.0008168679,0.9991831
70,39.217,38160.26524851376,0.5151399248296203,0.517475143175612,0.9026338573367005,forced,Ti,0.4966268,0.3776646,0.12489173,0.0008168682,0.9991831
71,39.178,38814.136187890836,0.5183621265725835,0.517475143175612,0.9026338573367005,forced,Ti,0.51386625,0.3362844,0.14872172,0.0011276086,0.9988724
71,39.178,38814.136187890836,0.5183621265725835,0.517475143175612,0.9026338573367005,forced,Ti,0.51386625,0.3362844,0.14872171,0.0011276086,0.9988724
71,39.178,38814.136187890836,0.5183621265725835,0.517475143175612,0.9026338573367005,forced,Ti,0.51386625,0.3362844,0.14872172,0.0011276086,0.9988724
72,39.138,38915.895080451206,0.5263910967027126,0.517475143175612,0.9026338573367005,forced,Ti,0.5137839,0.35703248,0.12848206,0.0007015949,0.9992984
72,39.138,38915.895080451206,0.5263910967027126,0.517475143175612,0.9026338573367005,forced,Ti,0.5137839,0.35703248,0.12848206,0.0007015946,0.9992984
73,39.098,37370.186975534736,0.5310929938708933,0.517475143175612,0.9026338573367005,forced,Ti,0.5136281,0.33276188,0.15280652,0.00080344646,0.9991965
73,39.098,37370.186975534736,0.5310929938708933,0.517475143175612,0.9026338573367005,forced,Ti,0.5136281,0.33276188,0.15280652,0.00080344715,0.9991965
73,39.098,37370.186975534736,0.5310929938708933,0.517475143175612,0.9026338573367005,forced,Ti,0.5136281,0.33276188,0.15280652,0.00080344646,0.9991965
74,39.058,37667.75620621999,0.5890743234137097,0.517475143175612,0.9026338573367005,forced,Ti,0.5138233,0.34620547,0.1395244,0.00044685652,0.99955314
74,39.058,37667.75620621999,0.5890743234137097,0.517475143175612,0.9026338573367005,forced,Ti,0.5138233,0.34620547,0.1395244,0.00044685657,0.99955314
75,39.018,32152.665433692746,0.5613078146166782,0.517475143175612,0.9026338573367005,forced,Ti,0.49879867,0.33505553,0.1655714,0.0005743945,0.9994256
