position,age_kyr_bp,variance,lag1_ac,ktau_variance,ktau_lag1_ac,segment_type,element,p_fold,p_hopf,p_transcritical,p_null,p_transition
37,40.532,0.2365776511745642,-0.18028955892064846,0.02559951644937445,0.11965300177741885,neutral,U,0.028127028,0.54527366,0.42581156,0.0007877829,0.9992122
37,40.532,0.2365776511745642,-0.18028955892064846,0.02559951644937445,0.11965300177741885,neutral,U,0.028127033,0.54527366,0.42581156,0.00078778306,0.9992122
38,40.492,0.23961529323849476,-0.2101375926908766,0.02559951644937445,0.11965300177741885,neutral,U,0.034733288,0.5414622,0.42281905,0.0009854583,0.99901456
39,40.452,0.24283842579045592,-0.22968280979415476,0.02559951644937445,0.11965300177741885,neutral,U,0.03352288,0.5443791,0.42129958,0.0007984172,0.9992016
40,40.412,0.2655064013332843,-0.1706616612965243,0.02559951644937445,0.11965300177741885,neutral,U,0.029789958,0.5471134,0.42269248,0.00040420762,0.9995958
41,40.373,0.26572211782413035,-0.1406583528556528,0.02559951644937445,0.11965300177741885,neutral,U,0.040050566,0.518042,0.441516,0.00039138115,0.99960864
42,40.333,0.26641324269928673,-0.13728149724236424,0.02559951644937445,0.11965300177741885,neutral,U,0.03283936,0.5232717,0.44357663,0.00031229694,0.99968773
43,40.293,0.22802693515671033,-0.07989534784033987,0.02559951644937445,0.11965300177741885,neutral,U,0.039856534,0.5099613,0.44987652,0.00030568067,0.99969435
44,40.253,0.22449584597916208,-0.0507157073447082,0.02559951644937445,0.11965300177741885,neutral,U,0.04651884,0.49822932,0.4548129,0.00043895628,0.9995611
45,40.213,0.21952532479621883,-0.0324798408752231,0.02559951644937445,0.11965300177741885,neutral,U,0.05741544,0.48458055,0.45755202,0.00045199765,0.999548
46,40.173,0.21655627408477357,-0.09251452643939426,0.02559951644937445,0.11965300177741885,neutral,U,0.06611196,0.47247687,0.46079543,0.0006157568,0.9993842
47,40.134,0.19658218370172886,-0.1272826416242372,0.02559951644937445,0.11965300177741885,neutral,U,0.07302881,0.46740586,0.45903856,0.0005267629,0.9994732
48,40.094,0.19363427698074942,-0.11832746923756181,0.02559951644937445,0.11965300177741885,neutral,U,0.08277955,0.45296487,0.46361572,0.000639833,0.99936014
49,40.054,0.19528888435162528,-0.12128829062581432,0.02559951644937445,0.11965300177741885,neutral,U,0.08771296,0.45118672,0.4606869,0.00041334916,0.99958664
50,40.014,0.19592902388477468,-0.11639377217574313,0.02559951644937445,0.11965300177741885,neutral,U,0.111577906,0.42460397,0.4632787,0.00053936616,0.99946064
51,39.974,0.23071523731344656,-0.12832577645476367,0.02559951644937445,0.11965300177741885,neutral,U,0.060891554,0.5011548,0.43784434,0.00010936661,0.9998906
52,39.934,0.2365776511745642,-0.18028955892064846,0.02559951644937445,0.11965300177741885,neutral,U,0.039114863,0.54031765,0.42047298,9.448955e-05,0.9999055
