position,age_kyr_bp,variance,lag1_ac,ktau_variance,ktau_lag1_ac,segment_type,element,p_fold,p_hopf,p_transcritical,p_null,p_transition
28,55.189,349926.9862574637,-0.4265225273042466,-0.08073865810177092,0.07699530893563206,neutral,Al,0.016573073,0.6030009,0.35777488,0.022651225,0.9773488
28,55.189,349926.9862574637,-0.4265225273042466,-0.08073865810177092,0.07699530893563206,neutral,Al,0.01657307,0.6030009,0.3577748,0.022651222,0.9773488
29,55.149,367496.9466969523,-0.4417281111764903,-0.08073865810177092,0.07699530893563206,neutral,Al,0.016418371,0.60084,0.3683774,0.014364314,0.9856357
30,55.11,384109.67678783176,-0.3457563952005654,-0.08073865810177092,0.07699530893563206,neutral,Al,0.019919584,0.59468865,0.36668417,0.018707553,0.9812924
30,55.11,384109.67678783176,-0.3457563952005654,-0.08073865810177092,0.07699530893563206,neutral,Al,0.019919585,0.5946887,0.36668417,0.018707555,0.9812924
31,55.07,427325.4282616445,-0.40337019647805616,-0.08073865810177092,0.07699530893563206,neutral,Al,0.0133421,0.70462954,0.27614638,0.00588197,0.99411803
32,55.03,434147.6007670733,-0.3537552464664993,-0.08073865810177092,0.07699530893563206,neutral,Al,0.01626039,0.72202516,0.253241,0.008473452,0.99152654
33,54.99,413893.5331549916,-0.31179312703350537,-0.08073865810177092,0.07699530893563206,neutral,Al,0.01748415,0.6667914,0.3094702,0.0062541924,0.9937458
33,54.99,413893.5331549916,-0.31179312703350537,-0.08073865810177092,0.07699530893563206,neutral,Al,0.017484149,0.6667914,0.30947027,0.0062541924,0.9937458
34,54.95,410439.5955806335,-0.33558860865430185,-0.08073865810177092,0.07699530893563206,neutral,Al,0.021567807,0.664837,0.30657423,0.0070209317,0.99297905
35,54.91,404827.0434545101,-0.33867251858893116,-0.08073865810177092,0.07699530893563206,neutral,Al,0.023082312,0.5963075,0.37486082,0.005749365,0.99425066
36,54.871,402343.6269184795,-0.3564489999695961,-0.08073865810177092,0.07699530893563206,neutral,Al,0.023635212,0.6485363,0.32061705,0.0072114347,0.99278855
36,54.871,402343.6269184795,-0.3564489999695961,-0.08073865810177092,0.07699530893563206,neutral,Al,0.023635212,0.6485363,0.32061705,0.0072114347,0.99278855
37,54.831,441714.2313080901,-0.3247633768656715,-0.08073865810177092,0.07699530893563206,neutral,Al,0.02207499,0.59174615,0.38420334,0.0019755166,0.99802446
38,54.791,370304.2844724916,-0.2858709277978602,-0.08073865810177092,0.07699530893563206,neutral,Al,0.02320962,0.671886,0.30230835,0.0025959369,0.99740404
39,54.751,364295.4682619005,-0.26715038900226745,-0.08073865810177092,0.07699530893563206,neutral,Al,0.026258778,0.59055644,0.38070658,0.002478112,0.9975219
39,54.751,364295.4682619005,-0.26715038900226745,-0.08073865810177092,0.07699530893563206,neutral,Al,0.026258774,0.5905565,0.38070655,0.002478112,0.9975219
40,54.711,366485.3733421512,-0.20769761194172393,-0.08073865810177092,0.07699530893563206,neutral,Al,0.025175918,0.67242557,0.2996288,0.0027696302,0.99723035
41,54.672,332968.19167876284,-0.14303059489079228,-0.08073865810177092,0.07699530893563206,neutral,Al,0.028766472,0.5781507,0.39047712,0.0026057004,0.9973943
42,54.632,328686.17339776864,-0.13784478205190173,-0.08073865810177092,0.07699530893563206,neutral,Al,0.031521015,0.6313939,0.33343372,0.0036513875,0.9963486
42,54.632,328686.17339776864,-0.13784478205190173,-0.08073865810177092,0.07699530893563206,neutral,Al,0.03152102,0.63139385,0.33343375,0.0036513875,0.9963486
43,54.592,325427.7351611792,-0.1177374692714178,-0.08073865810177092,0.07699530893563206,neutral,Al,0.03490795,0.5375146,0.42357343,0.0040040086,0.995996
44,54.552,307209.9666727266,-0.12519782778927815,-0.08073865810177092,0.07699530893563206,neutral,Al,0.040730704,0.59445274,0.35877836,0.0060382034,0.9939618
45,54.512,334470.53393600363,-0.13720832024322227,-0.08073865810177092,0.07699530893563206,neutral,Al,0.040129665,0.52764297,0.42931408,0.0029132708,0.9970867
45,54.512,334470.53393600363,-0.13720832024322227,-0.08073865810177092,0.07699530893563206,neutral,Al,0.04012967,0.52764297,0.42931405,0.0029132704,0.9970867
46,54.472,341274.8163132336,-0.1667776559268849,-0.08073865810177092,0.07699530893563206,neutral,Al,0.04262337,0.6170211,0.3367225,0.0036330784,0.9963669
47,54.433,343038.86710181314,-0.17260084626942127,-0.08073865810177092,0.07699530893563206,neutral,Al,0.043137696,0.5299858,0.42424077,0.002635752,0.9973642
48,54.393,388581.50256153295,-0.09108128853716199,-0.08073865810177092,0.07699530893563206,neutral,Al,0.050733883,0.60418665,0.34391907,0.0011604312,0.99883956
48,54.393,388581.50256153295,-0.09108128853716199,-0.08073865810177092,0.07699530893563206,neutral,Al,0.05073388,0.60418665,0.34391907,0.0011604307,0.99883956
49,54.353,397732.1343620992,-0.12644972648921607,-0.08073865810177092,0.07699530893563206,neutral,Al,0.033259597,0.59978724,0.366233,0.0007201935,0.9992798
50,54.313,346442.29379411595,-0.11868438007438753,-0.08073865810177092,0.07699530893563206,neutral,Al,0.044208206,0.6454384,0.30967683,0.00067662494,0.99932337
51,54.273,344034.91559586686,-0.11574906031369478,-0.08073865810177092,0.07699530893563206,neutral,Al,0.036442332,0.58158034,0.38134032,0.0006370484,0.99936295
51,54.273,344034.91559586686,-0.11574906031369478,-0.08073865810177092,0.07699530893563206,neutral,Al,0.036442332,0.58158034,0.38134032,0.0006370487,0.99936295
52,54.233,344065.1334451895,-0.11217248328641374,-0.08073865810177092,0.07699530893563206,neutral,Al,0.050806545,0.61468416,0.33359045,0.0009188421,0.99908113
53,54.194,354183.0448132205,-0.10889557739394418,-0.08073865810177092,0.07699530893563206,neutral,Al,0.039825246,0.550261,0.4093902,0.0005234849,0.9994765
54,54.154,328479.28223153064,-0.16459156569882863,-0.08073865810177092,0.07699530893563206,neutral,Al,0.057174273,0.58892334,0.35310304,0.00079943833,0.9992006
54,54.154,328479.28223153064,-0.16459156569882863,-0.08073865810177092,0.07699530893563206,neutral,Al,0.057174265,0.58892334,0.353103,0.00079943833,0.9992006
55,54.114,342391.2151611395,-0.1455180575776201,-0.08073865810177092,0.07699530893563206,neutral,Al,0.036431618,0.5698369,0.39331177,0.00041973102,0.99958026
56,54.074,355460.9282884577,-0.035488395015601824,-0.08073865810177092,0.07699530893563206,neutral,Al,0.053970456,0.6216999,0.3237026,0.00062698644,0.999373
57,54.034,341992.29114242987,-0.2182428352092088,-0.08073865810177092,0.07699530893563206,neutral,Al,0.030385382,0.6195978,0.34983835,0.00017849273,0.9998215
28,55.189,323904.18193561205,-0.32063801749685045,-0.08073865810177092,0.07699530893563206,neutral,Al,0.014482447,0.62930816,0.34810644,0.00810291,0.9918971
28,55.189,323904.18193561205,-0.32063801749685045,-0.08073865810177092,0.07699530893563206,neutral,Al,0.014482444,0.62930816,0.3481064,0.008102909,0.9918971
29,55.149,323947.16724547796,-0.3172869758037065,-0.08073865810177092,0.07699530893563206,neutral,Al,0.014759339,0.6569057,0.31475818,0.013576764,0.98642325
30,55.11,321514.4449847593,-0.3068879497269038,-0.08073865810177092,0.07699530893563206,neutral,Al,0.016182756,0.6588518,0.31463245,0.010332993,0.989667
30,55.11,321514.4449847593,-0.3068879497269038,-0.08073865810177092,0.07699530893563206,neutral,Al,0.016182758,0.65885186,0.3146324,0.010332991,0.989667
31,55.07,338096.98366372223,-0.3096671442861802,-0.08073865810177092,0.07699530893563206,neutral,Al,0.015507609,0.6764167,0.29755467,0.010521037,0.98947895
32,55.03,337797.1061324604,-0.2938617889688221,-0.08073865810177092,0.07699530893563206,neutral,Al,0.015954578,0.6808135,0.29650384,0.006728078,0.99327195
33,54.99,309317.88699038024,-0.2797139911063953,-0.08073865810177092,0.07699530893563206,neutral,Al,0.014356517,0.70850766,0.2665993,0.010536582,0.9894634
33,54.99,309317.88699038024,-0.2797139911063953,-0.08073865810177092,0.07699530893563206,neutral,Al,0.014356518,0.70850766,0.2665993,0.010536583,0.9894634
34,54.95,311779.333800589,-0.2868400311988313,-0.08073865810177092,0.07699530893563206,neutral,Al,0.0169816,0.6892733,0.2868218,0.0069232727,0.99307674
35,54.91,300895.25541731884,-0.23976443824786395,-0.08073865810177092,0.07699530893563206,neutral,Al,0.020746337,0.64127076,0.32607174,0.011911189,0.9880888
36,54.871,310587.5493152785,-0.28677319822952885,-0.08073865810177092,0.07699530893563206,neutral,Al,0.019276481,0.6870882,0.2891858,0.004449534,0.99555045
36,54.871,310587.5493152785,-0.28677319822952885,-0.08073865810177092,0.07699530893563206,neutral,Al,0.019276477,0.68708825,0.28918576,0.0044495338,0.99555045
37,54.831,303828.36486517516,-0.27372327677820213,-0.08073865810177092,0.07699530893563206,neutral,Al,0.01977124,0.6921589,0.2786431,0.009426768,0.9905732
38,54.791,316344.6584169496,-0.24410444529204658,-0.08073865810177092,0.07699530893563206,neutral,Al,0.02784435,0.62537134,0.34255084,0.004233372,0.99576664
