position,age_kyr_bp,variance,lag1_ac,ktau_variance,ktau_lag1_ac,segment_type,element,p_fold,p_hopf,p_transcritical,p_null,p_transition
219,12.51,2655983.9911887785,0.6754548572454193,-0.9256410256410258,-0.30512820512820515,forced,Al,0.38339868,0.10363497,0.5113492,0.0016170728,0.9983829
222,12.489,2599287.822598793,0.675371378979609,-0.9256410256410258,-0.30512820512820515,forced,Al,0.35377982,0.108436696,0.5362108,0.001572683,0.99842733
226,12.46,2527583.066087013,0.6734637923321842,-0.9256410256410258,-0.30512820512820515,forced,Al,0.34931093,0.10673685,0.5425377,0.0014145231,0.99858546
230,12.432,2548887.0571161504,0.672038760644011,-0.9256410256410258,-0.30512820512820515,forced,Al,0.35224327,0.10509438,0.5411076,0.0015547472,0.9984453
233,12.411,2502905.3702680585,0.674441289940224,-0.9256410256410258,-0.30512820512820515,forced,Al,0.38475227,0.094127044,0.51973957,0.0013811468,0.99861884
237,12.382,2478985.3872385807,0.6833163244822966,-0.9256410256410258,-0.30512820512820515,forced,Al,0.38286006,0.092360064,0.52351063,0.0012692874,0.9987307
241,12.352,2486542.4644939844,0.6799932160512095,-0.9256410256410258,-0.30512820512820515,forced,Al,0.3859277,0.08968814,0.522879,0.0015051945,0.9984948
245,12.322,2479641.1977086356,0.6886541839565937,-0.9256410256410258,-0.30512820512820515,forced,Al,0.38743103,0.08720295,0.52369535,0.001670613,0.9983294
248,12.3,2461119.0659366404,0.7041063954835227,-0.9256410256410258,-0.30512820512820515,forced,Al,0.3583176,0.09114884,0.5485927,0.0019408996,0.9980591
252,12.27,2446877.722425199,0.7054651671079339,-0.9256410256410258,-0.30512820512820515,forced,Al,0.36808568,0.08581338,0.5435432,0.0025577182,0.9974423
256,12.24,2441894.7532198993,0.6893072042645952,-0.9256410256410258,-0.30512820512820515,forced,Al,0.38668686,0.08481251,0.525751,0.0027496433,0.9972504
260,12.21,2392994.476386876,0.6950113520120274,-0.9256410256410258,-0.30512820512820515,forced,Al,0.40911126,0.07872522,0.5093053,0.0028582222,0.9971418
263,12.188,2382895.0963420677,0.6958445872296439,-0.9256410256410258,-0.30512820512820515,forced,Al,0.4333769,0.0724694,0.49169976,0.002453999,0.997546
267,12.157,2336730.4183861506,0.6985640955574948,-0.9256410256410258,-0.30512820512820515,forced,Al,0.45291173,0.06823468,0.47635615,0.002497429,0.99750257
271,12.127,2331466.7086297716,0.6999430199861336,-0.9256410256410258,-0.30512820512820515,forced,Al,0.47609836,0.06447828,0.45693845,0.0024849055,0.9975151
275,12.097,2257692.320810574,0.6997320849790626,-0.9256410256410258,-0.30512820512820515,forced,Al,0.5000514,0.05898117,0.4385628,0.002404506,0.9975955
278,12.075,2181207.6259844042,0.6903077963872711,-0.9256410256410258,-0.30512820512820515,forced,Al,0.50888836,0.056129307,0.43257383,0.0024085743,0.99759144
282,12.046,2052718.6710266294,0.6718454785479329,-0.9256410256410258,-0.30512820512820515,forced,Al,0.51935756,0.051051468,0.42721894,0.0023720684,0.9976279
286,12.017,1856205.4619198,0.6508759853388366,-0.9256410256410258,-0.30512820512820515,forced,Al,0.52650595,0.04765117,0.42341733,0.0024255244,0.99757445
290,11.99,1758469.2410623517,0.6377585063783838,-0.9256410256410258,-0.30512820512820515,forced,Al,0.53447264,0.04409071,0.41887844,0.0025581643,0.9974418
293,11.969,1765483.3309880267,0.6453792064943932,-0.9256410256410258,-0.30512820512820515,forced,Al,0.54685795,0.046343837,0.40372056,0.0030776057,0.9969224
297,11.942,1765194.218879943,0.6518016464252907,-0.9256410256410258,-0.30512820512820515,forced,Al,0.55811787,0.044088483,0.3946483,0.0031454004,0.9968546
301,11.914,1748383.118271334,0.6591956610945684,-0.9256410256410258,-0.30512820512820515,forced,Al,0.56164354,0.042533673,0.39247155,0.0033511927,0.9966488
305,11.886,1772656.3237903665,0.6584082917079375,-0.9256410256410258,-0.30512820512820515,forced,Al,0.55449265,0.044463366,0.39739472,0.0036493076,0.9963507
308,11.865,1789983.3871520616,0.6511606409530795,-0.9256410256410258,-0.30512820512820515,forced,Al,0.53030896,0.038192935,0.42803755,0.0034605707,0.9965394
312,11.837,1797671.3945262665,0.6788942499822395,-0.9256410256410258,-0.30512820512820515,forced,Al,0.52795696,0.036337573,0.43216032,0.0035451502,0.99645483
316,11.809,1781895.0718937407,0.6807434400988303,-0.9256410256410258,-0.30512820512820515,forced,Al,0.5275502,0.03438145,0.43426186,0.0038064995,0.9961935
320,11.781,1765014.9318946663,0.6920772474935833,-0.9256410256410258,-0.30512820512820515,forced,Al,0.532182,0.031281844,0.43290323,0.0036330314,0.996367
323,11.76,1737231.9281023187,0.6920533207483622,-0.9256410256410258,-0.30512820512820515,forced,Al,0.56001765,0.03866869,0.39768907,0.0036246076,0.9963754
327,11.732,1683433.550872798,0.6861242521416224,-0.9256410256410258,-0.30512820512820515,forced,Al,0.5660362,0.037276678,0.39330366,0.0033833804,0.9966166
331,11.706,1649784.9878066897,0.678820267796272,-0.9256410256410258,-0.30512820512820515,forced,Al,0.56482106,0.03448474,0.39764887,0.0030453575,0.9969546
335,11.68,1623953.4877698452,0.6948993580786202,-0.9256410256410258,-0.30512820512820515,forced,Al,0.5562793,0.032484308,0.40833318,0.002903161,0.99709684
338,11.663,1607661.4070230466,0.6805175131995339,-0.9256410256410258,-0.30512820512820515,forced,Al,0.48876238,0.030237742,0.47674453,0.0042554573,0.9957445
342,11.639,1555902.596004934,0.6672889311953724,-0.9256410256410258,-0.30512820512820515,forced,Al,0.4614583,0.029371107,0.5045348,0.0046358495,0.9953641
346,11.615,1569545.1105491796,0.64856675419033,-0.9256410256410258,-0.30512820512820515,forced,Al,0.440036,0.034675773,0.52037054,0.004917647,0.9950824
350,11.592,1513022.7254116486,0.6324794803598369,-0.9256410256410258,-0.30512820512820515,forced,Al,0.39748582,0.032377154,0.5647037,0.005433283,0.99456674
353,11.574,1327283.6408127674,0.5823465917218985,-0.9256410256410258,-0.30512820512820515,forced,Al,0.46953085,0.02971498,0.49659497,0.0041592293,0.9958408
357,11.55,1159073.82998513,0.5085205338150218,-0.9256410256410258,-0.30512820512820515,forced,Al,0.45796293,0.029904488,0.507825,0.004307508,0.9956925
361,11.526,1164806.79028836,0.5069688944382494,-0.9256410256410258,-0.30512820512820515,forced,Al,0.47012186,0.044038467,0.48026347,0.0055761863,0.9944238
365,11.502,1130558.9107533616,0.5126508912779573,-0.9256410256410258,-0.30512820512820515,forced,Al,0.41993687,0.047369394,0.52595377,0.006739861,0.99326015
