position,age_kyr_bp,variance,lag1_ac,ktau_variance,ktau_lag1_ac,segment_type,element,p_fold,p_hopf,p_transcritical,p_null,p_transition
219,12.51,1016.9960681783745,0.07121010797448159,-0.6051282051282052,0.4307692307692308,forced,Ba,0.9109286,0.034384478,0.054682262,4.6128e-06,0.9999954
222,12.489,970.2726790524991,0.06408856381878293,-0.6051282051282052,0.4307692307692308,forced,Ba,0.89513093,0.027778767,0.07708415,6.117039e-06,0.99999386
226,12.46,970.1324277881743,0.06633472554369337,-0.6051282051282052,0.4307692307692308,forced,Ba,0.8886856,0.025306659,0.08600151,6.2921017e-06,0.9999937
230,12.432,992.99179740707,0.08695702277248003,-0.6051282051282052,0.4307692307692308,forced,Ba,0.8989297,0.025650632,0.07541497,4.6294754e-06,0.99999535
233,12.411,1012.2424562430812,0.10061070100223393,-0.6051282051282052,0.4307692307692308,forced,Ba,0.91505086,0.02330002,0.061644547,4.55159e-06,0.99999547
237,12.382,1013.1808470615379,0.07253401317106274,-0.6051282051282052,0.4307692307692308,forced,Ba,0.88850135,0.027554976,0.08393651,7.2082194e-06,0.9999928
241,12.352,982.901579170286,0.09350656689781939,-0.6051282051282052,0.4307692307692308,forced,Ba,0.87947303,0.023704857,0.096814305,7.834658e-06,0.9999922
245,12.322,1017.8764897940742,0.06718930978884066,-0.6051282051282052,0.4307692307692308,forced,Ba,0.8417171,0.048136666,0.11013583,1.0342568e-05,0.9999896
248,12.3,1010.0760548676963,0.05670311350783155,-0.6051282051282052,0.4307692307692308,forced,Ba,0.8367331,0.03448744,0.12876691,1.2554992e-05,0.9999874
252,12.27,999.6098961432282,0.06307262531276353,-0.6051282051282052,0.4307692307692308,forced,Ba,0.8225656,0.026425697,0.15099731,1.1351612e-05,0.9999887
256,12.24,970.1587056485397,0.05525971780123705,-0.6051282051282052,0.4307692307692308,forced,Ba,0.78025746,0.025671612,0.19405283,1.8142944e-05,0.9999819
260,12.21,974.8845772865858,0.01657609529842066,-0.6051282051282052,0.4307692307692308,forced,Ba,0.71331626,0.04415091,0.24251065,2.2173073e-05,0.9999778
263,12.188,992.1964055720343,0.020415865590577183,-0.6051282051282052,0.4307692307692308,forced,Ba,0.71150625,0.060712863,0.2277577,2.3192559e-05,0.9999768
267,12.157,977.8544200865059,0.029476478443357625,-0.6051282051282052,0.4307692307692308,forced,Ba,0.7253729,0.046520982,0.22807741,2.8657196e-05,0.99997133
271,12.127,977.4874693299474,0.029083709158229526,-0.6051282051282052,0.4307692307692308,forced,Ba,0.6326506,0.05354291,0.3137622,4.4318273e-05,0.99995565
275,12.097,969.561846070531,0.044333598889707095,-0.6051282051282052,0.4307692307692308,forced,Ba,0.5922268,0.056220256,0.35149175,6.1181636e-05,0.99993885
278,12.075,996.6666138672501,0.06447968662729243,-0.6051282051282052,0.4307692307692308,forced,Ba,0.64361244,0.03753575,0.31881282,3.8992737e-05,0.999961
282,12.046,979.622741617943,0.05555469660036566,-0.6051282051282052,0.4307692307692308,forced,Ba,0.52064043,0.05140769,0.42789754,5.429657e-05,0.9999457
286,12.017,976.765265246481,0.04665441154231552,-0.6051282051282052,0.4307692307692308,forced,Ba,0.49582434,0.05399803,0.45009187,8.578024e-05,0.9999142
290,11.99,987.3647454020219,0.04292272794153334,-0.6051282051282052,0.4307692307692308,forced,Ba,0.44713172,0.065238684,0.48755455,7.5050244e-05,0.99992496
293,11.969,962.4334233459455,0.058490141797369624,-0.6051282051282052,0.4307692307692308,forced,Ba,0.57871044,0.066085584,0.35508022,0.0001238083,0.9998762
297,11.942,968.0710770207601,0.06524215167841003,-0.6051282051282052,0.4307692307692308,forced,Ba,0.62170684,0.06226296,0.3159668,6.3416664e-05,0.9999366
301,11.914,903.7247929185744,0.10128939179109037,-0.6051282051282052,0.4307692307692308,forced,Ba,0.64048076,0.046144824,0.31330782,6.654582e-05,0.9999335
305,11.886,910.6993318050494,0.09916017768715066,-0.6051282051282052,0.4307692307692308,forced,Ba,0.63499784,0.043146443,0.32177794,7.7705394e-05,0.9999223
308,11.865,898.3119784992463,0.11904165117055045,-0.6051282051282052,0.4307692307692308,forced,Ba,0.50075126,0.039457984,0.45970684,8.3976156e-05,0.999916
312,11.837,887.5286409394386,0.13240411624656123,-0.6051282051282052,0.4307692307692308,forced,Ba,0.5069095,0.033588327,0.45940483,9.7418146e-05,0.9999026
316,11.809,849.877006784555,0.13731406775643099,-0.6051282051282052,0.4307692307692308,forced,Ba,0.52278876,0.030402876,0.44670677,0.000101624486,0.9998984
320,11.781,834.078137566349,0.13011496655853827,-0.6051282051282052,0.4307692307692308,forced,Ba,0.5472192,0.02636451,0.4263196,9.6663556e-05,0.9999033
323,11.76,851.2204522945337,0.13077832122265529,-0.6051282051282052,0.4307692307692308,forced,Ba,0.6003922,0.027057122,0.37248135,6.925054e-05,0.99993074
327,11.732,876.315859508178,0.13356666150108953,-0.6051282051282052,0.4307692307692308,forced,Ba,0.6020893,0.048576884,0.34928918,4.4717046e-05,0.9999553
331,11.706,872.9204547096002,0.1352201976021694,-0.6051282051282052,0.4307692307692308,forced,Ba,0.672817,0.034916595,0.2922194,4.701016e-05,0.999953
335,11.68,894.3007698603183,0.1445246018284576,-0.6051282051282052,0.4307692307692308,forced,Ba,0.6935715,0.05690833,0.24944836,7.1799994e-05,0.9999282
338,11.663,897.8006026486635,0.1341060134240665,-0.6051282051282052,0.4307692307692308,forced,Ba,0.65853024,0.11437086,0.22702584,7.305746e-05,0.9999269
342,11.639,903.4613651736753,0.14098793741323112,-0.6051282051282052,0.4307692307692308,forced,Ba,0.72266036,0.07196269,0.20532912,4.7851605e-05,0.99995214
346,11.615,885.3619503125183,0.1511241376480256,-0.6051282051282052,0.4307692307692308,forced,Ba,0.7290882,0.04985203,0.22101885,4.0922518e-05,0.99995905
350,11.592,892.9933606132107,0.14479945216679177,-0.6051282051282052,0.4307692307692308,forced,Ba,0.7165551,0.037829876,0.24555275,6.2219115e-05,0.9999378
353,11.574,928.2653122301132,0.12328053693900196,-0.6051282051282052,0.4307692307692308,forced,Ba,0.6701316,0.044724412,0.28505862,8.53145e-05,0.9999147
357,11.55,916.9054547357597,0.1306362605403892,-0.6051282051282052,0.4307692307692308,forced,Ba,0.6890323,0.0370386,0.27387547,5.3592947e-05,0.9999464
361,11.526,855.4645790377667,0.10746928933793927,-0.6051282051282052,0.4307692307692308,forced,Ba,0.6896653,0.033189632,0.27709696,4.8129186e-05,0.9999519
365,11.502,857.4671456366746,0.08998700189852246,-0.6051282051282052,0.4307692307692308,forced,Ba,0.7380503,0.027554618,0.23434907,4.6015164e-05,0.999954
