position,age_kyr_bp,variance,lag1_ac,ktau_variance,ktau_lag1_ac,segment_type,element,p_fold,p_hopf,p_transcritical,p_null,p_transition
41,16.032,899.4456232202607,0.2732143064003569,0.0025641025641025645,0.16923076923076927,neutral,Ba,0.03803245,0.1373496,0.8021265,0.02249139,0.9775086
42,16.008,885.8773376458552,0.27772250788911956,0.0025641025641025645,0.16923076923076927,neutral,Ba,0.037652373,0.118929476,0.8140384,0.02937969,0.97062033
43,15.984,887.2919456345484,0.280206090015233,0.0025641025641025645,0.16923076923076927,neutral,Ba,0.04213115,0.13219737,0.7975595,0.028111914,0.97188807
44,15.959,870.7889597879,0.24817048926790244,0.0025641025641025645,0.16923076923076927,neutral,Ba,0.041648492,0.11090499,0.812483,0.03496345,0.9650366
45,15.935,777.8300539598974,0.3076075113367787,0.0025641025641025645,0.16923076923076927,neutral,Ba,0.045458734,0.120576814,0.80249894,0.031465527,0.96853447
46,15.911,1201.2293131701579,0.1333009373171171,0.0025641025641025645,0.16923076923076927,neutral,Ba,0.02592881,0.28326806,0.6800569,0.010746226,0.98925376
47,15.887,1197.4067290015923,0.15644433060860022,0.0025641025641025645,0.16923076923076927,neutral,Ba,0.027050782,0.3019056,0.6595435,0.0115000885,0.98849994
48,15.863,1205.807326550837,0.16866682674052663,0.0025641025641025645,0.16923076923076927,neutral,Ba,0.03509581,0.24273708,0.708323,0.013844059,0.9861559
49,15.839,1100.3379882378974,0.13485809193231357,0.0025641025641025645,0.16923076923076927,neutral,Ba,0.03314471,0.2402738,0.7091136,0.017467808,0.9825322
50,15.815,1081.884888909236,0.13672068464034193,0.0025641025641025645,0.16923076923076927,neutral,Ba,0.035333984,0.20665121,0.7248661,0.03314866,0.96685135
51,15.791,1083.9253865758542,0.13742647639024835,0.0025641025641025645,0.16923076923076927,neutral,Ba,0.033226475,0.20842077,0.7364495,0.021903295,0.9780967
52,15.767,1085.866722136974,0.14111963881778086,0.0025641025641025645,0.16923076923076927,neutral,Ba,0.042194333,0.20213988,0.7274632,0.02820253,0.97179747
53,15.743,1086.3918879577188,0.1437436521415985,0.0025641025641025645,0.16923076923076927,neutral,Ba,0.038122,0.18909998,0.75179017,0.020987881,0.97901213
55,15.695,1056.4881619348755,0.1450823613296828,0.0025641025641025645,0.16923076923076927,neutral,Ba,0.04365035,0.16306986,0.77105284,0.022226926,0.9777731
56,15.671,1093.8412388131308,0.1591982780989156,0.0025641025641025645,0.16923076923076927,neutral,Ba,0.053000562,0.14951445,0.77556795,0.021917028,0.97808295
57,15.647,1112.1765531970673,0.19162235174012857,0.0025641025641025645,0.16923076923076927,neutral,Ba,0.05259423,0.14959157,0.7792009,0.01861328,0.9813867
58,15.623,1073.8902474391728,0.2060896040607545,0.0025641025641025645,0.16923076923076927,neutral,Ba,0.061081097,0.14625338,0.7677212,0.02494438,0.97505563
59,15.599,1096.863244300871,0.20111459659176897,0.0025641025641025645,0.16923076923076927,neutral,Ba,0.05371485,0.16182043,0.7594183,0.025046416,0.9749536
60,15.575,1086.1963611327606,0.1875556140765072,0.0025641025641025645,0.16923076923076927,neutral,Ba,0.06418433,0.15886348,0.747738,0.029214188,0.9707858
61,15.551,1086.4793529436013,0.19074516043071157,0.0025641025641025645,0.16923076923076927,neutral,Ba,0.06209722,0.1682073,0.7461531,0.023542333,0.97645766
62,15.527,1118.2116668496049,0.1645412022926143,0.0025641025641025645,0.16923076923076927,neutral,Ba,0.071967445,0.15540119,0.75078756,0.021843845,0.97815615
