position,age_kyr_bp,variance,lag1_ac,ktau_variance,ktau_lag1_ac,segment_type,element,p_fold,p_hopf,p_transcritical,p_null,p_transition
116,12.232,22562.27518639754,0.6017142318300988,0.705363261593495,0.8704208438310953,forced,Ti,0.26136404,0.4325167,0.30610952,9.793197e-06,0.9999902
116,12.232,22562.27518639754,0.6017142318300988,0.705363261593495,0.8704208438310953,forced,Ti,0.26136404,0.4325167,0.30610952,9.793197e-06,0.9999902
117,12.208,22019.706000324735,0.616524357986135,0.705363261593495,0.8704208438310953,forced,Ti,0.284084,0.40051615,0.31538907,1.0746411e-05,0.9999893
118,12.184,22274.633458521985,0.6219077454627969,0.705363261593495,0.8704208438310953,forced,Ti,0.28940463,0.40297872,0.3076061,1.0546627e-05,0.99998945
119,12.159,22214.878286986856,0.6308151020231247,0.705363261593495,0.8704208438310953,forced,Ti,0.2943225,0.38243333,0.3232335,1.0672617e-05,0.99998933
119,12.159,22214.878286986856,0.6308151020231247,0.705363261593495,0.8704208438310953,forced,Ti,0.2943225,0.38243333,0.3232335,1.0672617e-05,0.99998933
120,12.135,22778.69734713577,0.6190311849402164,0.705363261593495,0.8704208438310953,forced,Ti,0.30763507,0.37787127,0.31448328,1.038431e-05,0.9999896
121,12.111,23455.303629920192,0.6329656508601647,0.705363261593495,0.8704208438310953,forced,Ti,0.3193216,0.3568045,0.32386425,9.661704e-06,0.99999034
122,12.087,21690.63749070039,0.6261916474766158,0.705363261593495,0.8704208438310953,forced,Ti,0.31900918,0.36250725,0.31847313,1.0428303e-05,0.99998957
122,12.087,21690.63749070039,0.6261916474766158,0.705363261593495,0.8704208438310953,forced,Ti,0.31900918,0.36250725,0.31847313,1.0428303e-05,0.99998957
123,12.063,22791.418314194903,0.6165511296268107,0.705363261593495,0.8704208438310953,forced,Ti,0.34266955,0.33556926,0.3217509,1.0265112e-05,0.99998975
124,12.039,21576.545849749662,0.6207169854678498,0.705363261593495,0.8704208438310953,forced,Ti,0.33761275,0.34937316,0.31300393,1.0154634e-05,0.99998987
125,12.015,21049.065755565724,0.6361945966643204,0.705363261593495,0.8704208438310953,forced,Ti,0.34914777,0.3295379,0.32130325,1.1110602e-05,0.9999889
126,11.991,21361.945335658107,0.6416776587275561,0.705363261593495,0.8704208438310953,forced,Ti,0.34792674,0.3314629,0.32059819,1.2246446e-05,0.9999878
126,11.991,21361.945335658107,0.6416776587275561,0.705363261593495,0.8704208438310953,forced,Ti,0.34792674,0.3314629,0.32059819,1.2246446e-05,0.9999878
127,11.967,21679.559688840087,0.6581322217857892,0.705363261593495,0.8704208438310953,forced,Ti,0.3606988,0.3152249,0.324065,1.1302014e-05,0.9999887
128,11.943,24712.126065981884,0.6583852253990359,0.705363261593495,0.8704208438310953,forced,Ti,0.34409863,0.3255928,0.33029798,1.0583939e-05,0.9999894
129,11.919,25321.55516785511,0.667848213337023,0.705363261593495,0.8704208438310953,forced,Ti,0.3693754,0.30663514,0.32398015,9.2792725e-06,0.9999907
129,11.919,25321.55516785511,0.667848213337023,0.705363261593495,0.8704208438310953,forced,Ti,0.3693754,0.30663514,0.32398015,9.2792725e-06,0.9999907
130,11.895,26469.89331880017,0.6787111360313953,0.705363261593495,0.8704208438310953,forced,Ti,0.36296308,0.30026472,0.33676195,1.0276441e-05,0.99998975
131,11.871,28187.837637258755,0.7124604107869988,0.705363261593495,0.8704208438310953,forced,Ti,0.38032174,0.29708093,0.3225872,1.0112062e-05,0.99998987
132,11.847,29886.080667952672,0.7314317823352133,0.705363261593495,0.8704208438310953,forced,Ti,0.3758828,0.28659275,0.33751398,1.0516916e-05,0.9999895
132,11.847,29886.080667952672,0.7314317823352133,0.705363261593495,0.8704208438310953,forced,Ti,0.3758828,0.28659275,0.33751398,1.0516916e-05,0.9999895
133,11.823,30778.08988705457,0.7441908235956508,0.705363261593495,0.8704208438310953,forced,Ti,0.3926891,0.2803146,0.3269866,9.718239e-06,0.9999903
134,11.799,31701.443539405234,0.7524840209510238,0.705363261593495,0.8704208438310953,forced,Ti,0.38619146,0.2679877,0.3458106,1.0287316e-05,0.9999897
135,11.775,32690.235391801325,0.7603020995628601,0.705363261593495,0.8704208438310953,forced,Ti,0.39210793,0.2699105,0.3379721,9.430901e-06,0.9999906
136,11.751,33067.11734458097,0.7653135515983014,0.705363261593495,0.8704208438310953,forced,Ti,0.38329622,0.25977322,0.3569206,9.96648e-06,0.99999005
136,11.751,33067.11734458097,0.7653135515983014,0.705363261593495,0.8704208438310953,forced,Ti,0.38329622,0.25977322,0.3569206,9.96648e-06,0.99999005
137,11.727,32902.89998616685,0.7633275054988239,0.705363261593495,0.8704208438310953,forced,Ti,0.3881405,0.26199841,0.3498516,9.437085e-06,0.9999906
138,11.703,33337.209808777414,0.7612721451307507,0.705363261593495,0.8704208438310953,forced,Ti,0.38593763,0.24755988,0.36649194,1.054064e-05,0.99998945
139,11.678,33610.557311207536,0.7622244081980957,0.705363261593495,0.8704208438310953,forced,Ti,0.3883003,0.25707805,0.3546118,9.860617e-06,0.99999017
139,11.678,33610.557311207536,0.7622244081980957,0.705363261593495,0.8704208438310953,forced,Ti,0.3883003,0.25707805,0.3546118,9.860617e-06,0.99999017
140,11.654,33379.65858893086,0.7661337397002357,0.705363261593495,0.8704208438310953,forced,Ti,0.38310367,0.25010732,0.36677852,1.0492846e-05,0.9999895
141,11.63,33427.052254476635,0.7661987352938096,0.705363261593495,0.8704208438310953,forced,Ti,0.39184943,0.24942484,0.35871544,1.0299131e-05,0.9999897
142,11.606,34220.70973635349,0.7630755827714522,0.705363261593495,0.8704208438310953,forced,Ti,0.394669,0.23631322,0.36900532,1.249331e-05,0.9999875
142,11.606,34220.70973635349,0.7630755827714522,0.705363261593495,0.8704208438310953,forced,Ti,0.394669,0.23631322,0.36900532,1.249331e-05,0.9999875
143,11.582,34597.78445631874,0.770086159445301,0.705363261593495,0.8704208438310953,forced,Ti,0.40032104,0.24261048,0.35705638,1.2159389e-05,0.99998784
144,11.558,34877.879224172146,0.7725707417902931,0.705363261593495,0.8704208438310953,forced,Ti,0.39921522,0.23269287,0.36807847,1.348813e-05,0.9999865
145,11.534,33228.71525584372,0.7698810703417576,0.705363261593495,0.8704208438310953,forced,Ti,0.40156722,0.23685458,0.36156484,1.3421433e-05,0.9999866
146,11.51,32902.97182567252,0.7672918437160007,0.705363261593495,0.8704208438310953,forced,Ti,0.39874393,0.22776999,0.37347007,1.6045835e-05,0.99998397
