position,age_kyr_bp,variance,lag1_ac,ktau_variance,ktau_lag1_ac,segment_type,element,p_fold,p_hopf,p_transcritical,p_null,p_transition
66,15.43,0.396291864993951,-0.15615158676869745,0.5754317224288595,0.8781531727769217,neutral,U,0.14848322,0.6374316,0.21406423,2.0945516e-05,0.9999791
66,15.43,0.396291864993951,-0.15615158676869745,0.5754317224288595,0.8781531727769217,neutral,U,0.14848322,0.6374316,0.21406423,2.0945516e-05,0.9999791
66,15.43,0.396291864993951,-0.15615158676869745,0.5754317224288595,0.8781531727769217,neutral,U,0.14848322,0.6374316,0.21406423,2.0945516e-05,0.9999791
67,15.406,0.4017529712010724,-0.14641145332953862,0.5754317224288595,0.8781531727769217,neutral,U,0.14994116,0.7202665,0.1297753,1.7014365e-05,0.999983
67,15.406,0.4017529712010724,-0.14641145332953862,0.5754317224288595,0.8781531727769217,neutral,U,0.14994116,0.7202665,0.1297753,1.7014365e-05,0.999983
68,15.382,0.37842202657911345,-0.09182503028086243,0.5754317224288595,0.8781531727769217,neutral,U,0.13928472,0.6444835,0.21621247,1.9259476e-05,0.99998075
68,15.382,0.37842202657911345,-0.09182503028086243,0.5754317224288595,0.8781531727769217,neutral,U,0.13928472,0.6444835,0.21621247,1.9259476e-05,0.99998075
69,15.358,0.3599913669222414,-0.08280233337580314,0.5754317224288595,0.8781531727769217,neutral,U,0.15537071,0.70250106,0.14211231,1.5886817e-05,0.9999841
69,15.358,0.3599913669222414,-0.08280233337580314,0.5754317224288595,0.8781531727769217,neutral,U,0.15537071,0.70250106,0.14211231,1.5886817e-05,0.9999841
69,15.358,0.3599913669222414,-0.08280233337580314,0.5754317224288595,0.8781531727769217,neutral,U,0.15537071,0.70250106,0.14211231,1.5886817e-05,0.9999841
70,15.334,0.38274186843075464,-0.07517979387999421,0.5754317224288595,0.8781531727769217,neutral,U,0.13165252,0.64713603,0.22119536,1.6107746e-05,0.9999839
70,15.334,0.38274186843075464,-0.07517979387999421,0.5754317224288595,0.8781531727769217,neutral,U,0.13165252,0.64713603,0.22119536,1.6107746e-05,0.9999839
71,15.31,0.39886589525996524,-0.005203915660148102,0.5754317224288595,0.8781531727769217,neutral,U,0.15224268,0.72129416,0.12645005,1.3124916e-05,0.9999869
71,15.31,0.39886589525996524,-0.005203915660148102,0.5754317224288595,0.8781531727769217,neutral,U,0.15224268,0.72129416,0.12645005,1.3124916e-05,0.9999869
72,15.286,0.42125775727965903,0.040119140573886915,0.5754317224288595,0.8781531727769217,neutral,U,0.13207412,0.6649796,0.20293373,1.2569988e-05,0.9999874
72,15.286,0.42125775727965903,0.040119140573886915,0.5754317224288595,0.8781531727769217,neutral,U,0.13207412,0.6649796,0.20293373,1.2569988e-05,0.9999874
72,15.286,0.42125775727965903,0.040119140573886915,0.5754317224288595,0.8781531727769217,neutral,U,0.13207412,0.6649796,0.20293373,1.2569988e-05,0.9999874
73,15.262,0.41933746419472107,0.08607148011138856,0.5754317224288595,0.8781531727769217,neutral,U,0.16114473,0.71138275,0.12746139,1.1118091e-05,0.99998885
73,15.262,0.41933746419472107,0.08607148011138856,0.5754317224288595,0.8781531727769217,neutral,U,0.16114473,0.71138275,0.12746139,1.1118091e-05,0.99998885
74,15.238,0.422624514934869,0.10439981594930896,0.5754317224288595,0.8781531727769217,neutral,U,0.15219587,0.6280086,0.21978346,1.2011281e-05,0.99998796
74,15.238,0.422624514934869,0.10439981594930896,0.5754317224288595,0.8781531727769217,neutral,U,0.15219587,0.6280086,0.21978346,1.2011281e-05,0.99998796
75,15.214,0.43208883292972666,0.14100972608649748,0.5754317224288595,0.8781531727769217,neutral,U,0.17575735,0.6893545,0.13487731,1.08430695e-05,0.99998915
75,15.214,0.43208883292972666,0.14100972608649748,0.5754317224288595,0.8781531727769217,neutral,U,0.17575735,0.6893545,0.13487731,1.08430695e-05,0.99998915
76,15.19,0.4191176209152106,0.12852729017475084,0.5754317224288595,0.8781531727769217,neutral,U,0.17011808,0.60727787,0.2225918,1.2233764e-05,0.9999878
76,15.19,0.4191176209152106,0.12852729017475084,0.5754317224288595,0.8781531727769217,neutral,U,0.17011808,0.60727787,0.2225918,1.2233764e-05,0.9999878
76,15.19,0.4191176209152106,0.12852729017475084,0.5754317224288595,0.8781531727769217,neutral,U,0.17011808,0.60727787,0.2225918,1.2233764e-05,0.9999878
77,15.166,0.4390180517355032,0.11803086430141012,0.5754317224288595,0.8781531727769217,neutral,U,0.19561853,0.649899,0.15447031,1.2117242e-05,0.9999879
77,15.166,0.4390180517355032,0.11803086430141012,0.5754317224288595,0.8781531727769217,neutral,U,0.19561853,0.649899,0.15447031,1.2117242e-05,0.9999879
78,15.142,0.4423500967302506,0.2045194584885287,0.5754317224288595,0.8781531727769217,neutral,U,0.19349992,0.57722974,0.22925784,1.2504195e-05,0.9999875
78,15.142,0.4423500967302506,0.2045194584885287,0.5754317224288595,0.8781531727769217,neutral,U,0.19349992,0.57722974,0.22925784,1.2504195e-05,0.9999875
79,15.118,0.4139761465936635,0.17575180514160588,0.5754317224288595,0.8781531727769217,neutral,U,0.22102687,0.62704074,0.15192014,1.2213428e-05,0.9999878
79,15.118,0.4139761465936635,0.17575180514160588,0.5754317224288595,0.8781531727769217,neutral,U,0.22102687,0.62704074,0.15192014,1.2213428e-05,0.9999878
79,15.118,0.4139761465936635,0.17575180514160588,0.5754317224288595,0.8781531727769217,neutral,U,0.22102687,0.62704074,0.15192014,1.2213428e-05,0.9999878
80,15.094,0.4466856659053917,0.13325191447785237,0.5754317224288595,0.8781531727769217,neutral,U,0.18342537,0.61847955,0.19808428,1.08174e-05,0.9999892
80,15.094,0.4466856659053917,0.13325191447785237,0.5754317224288595,0.8781531727769217,neutral,U,0.18342537,0.61847955,0.19808428,1.08174e-05,0.9999892
81,15.07,0.4470882651061349,0.2527630478428018,0.5754317224288595,0.8781531727769217,neutral,U,0.20925431,0.6765665,0.11416953,9.641864e-06,0.99999034
81,15.07,0.4470882651061349,0.2527630478428018,0.5754317224288595,0.8781531727769217,neutral,U,0.20925431,0.6765665,0.11416953,9.641864e-06,0.99999034
82,15.046,0.4272373601890725,0.25673973463915933,0.5754317224288595,0.8781531727769217,neutral,U,0.23711932,0.5827147,0.18015486,1.121013e-05,0.9999888
82,15.046,0.4272373601890725,0.25673973463915933,0.5754317224288595,0.8781531727769217,neutral,U,0.23711932,0.5827147,0.18015486,1.121013e-05,0.9999888
83,15.022,0.42725420379223483,0.24047469215677517,0.5754317224288595,0.8781531727769217,neutral,U,0.22813171,0.65124655,0.12060947,1.228988e-05,0.9999877
