position,age_kyr_bp,variance,lag1_ac,ktau_variance,ktau_lag1_ac,segment_type,element,p_fold,p_hopf,p_transcritical,p_null,p_transition
51,23.728,1252896.0957609902,-0.22783731196113224,0.0680413016270338,-0.12055694618272843,neutral,Al,0.04703237,0.6228702,0.3297873,0.0003100924,0.99968994
52,23.704,1243353.7180615782,-0.24176530817463082,0.0680413016270338,-0.12055694618272843,neutral,Al,0.046280243,0.6079851,0.34521985,0.00051482883,0.9994852
53,23.68,1263079.2457491937,-0.24295518626097384,0.0680413016270338,-0.12055694618272843,neutral,Al,0.063418716,0.59664226,0.33957693,0.00036213722,0.99963784
54,23.656,1277041.9579587486,-0.2534564962796298,0.0680413016270338,-0.12055694618272843,neutral,Al,0.045704387,0.6301589,0.3237878,0.00034896343,0.999651
56,23.608,1250856.0932514106,-0.27591211876868865,0.0680413016270338,-0.12055694618272843,neutral,Al,0.042934522,0.6633607,0.29340178,0.0003030427,0.99969697
57,23.584,1282654.5096796562,-0.30078739368978924,0.0680413016270338,-0.12055694618272843,neutral,Al,0.047111355,0.6949821,0.25774863,0.00015797473,0.99984205
58,23.559,1244380.3804477684,-0.33906951999511115,0.0680413016270338,-0.12055694618272843,neutral,Al,0.04363119,0.69094366,0.26519197,0.00023320713,0.99976677
60,23.511,1245180.2351166662,-0.37011153956597315,0.0680413016270338,-0.12055694618272843,neutral,Al,0.047838207,0.7046982,0.24728546,0.00017819571,0.9998218
61,23.487,1196818.539296033,-0.4409829611766724,0.0680413016270338,-0.12055694618272843,neutral,Al,0.060158197,0.71043825,0.22927165,0.00013189636,0.9998681
62,23.463,1117597.8984657251,-0.43675909824969633,0.0680413016270338,-0.12055694618272843,neutral,Al,0.06629962,0.66974497,0.2637571,0.00019831263,0.9998017
64,23.415,1098988.2212470085,-0.4817354867871719,0.0680413016270338,-0.12055694618272843,neutral,Al,0.08549726,0.6238697,0.29041615,0.00021687955,0.9997831
65,23.391,1064934.3684520284,-0.4679289563737505,0.0680413016270338,-0.12055694618272843,neutral,Al,0.1310964,0.57594603,0.29277217,0.00018544386,0.99981457
66,23.367,1065601.7641441927,-0.44566837817427407,0.0680413016270338,-0.12055694618272843,neutral,Al,0.12877283,0.56294894,0.3081074,0.00017085296,0.9998292
68,23.319,1086706.9053667316,-0.4255997931779238,0.0680413016270338,-0.12055694618272843,neutral,Al,0.14470237,0.55760473,0.2975786,0.00011428092,0.99988574
69,23.295,981490.7802937345,-0.3949977101333628,0.0680413016270338,-0.12055694618272843,neutral,Al,0.20364755,0.4972403,0.29901716,9.499845e-05,0.999905
70,23.271,942102.1929517887,-0.35870130728432076,0.0680413016270338,-0.12055694618272843,neutral,Al,0.17503926,0.5183373,0.30650583,0.0001176036,0.9998824
71,23.247,857295.8816050108,-0.4155558107557359,0.0680413016270338,-0.12055694618272843,neutral,Al,0.2346024,0.4519626,0.3133203,0.00011465294,0.9998853
73,23.199,840891.0154643501,-0.3884779976052604,0.0680413016270338,-0.12055694618272843,neutral,Al,0.26599127,0.41231585,0.32158843,0.00010445427,0.9998956
74,23.175,895267.3138108824,-0.3597798349786259,0.0680413016270338,-0.12055694618272843,neutral,Al,0.2671126,0.42959368,0.30322763,6.6055945e-05,0.99993396
75,23.151,908527.9396711299,-0.3888030373423794,0.0680413016270338,-0.12055694618272843,neutral,Al,0.23315378,0.47607705,0.2907129,5.6281126e-05,0.99994373
77,23.103,848839.5802368051,-0.418270807249631,0.0680413016270338,-0.12055694618272843,neutral,Al,0.2076752,0.51735395,0.27491996,5.0824216e-05,0.99994916
