position,age_kyr_bp,variance,lag1_ac,ktau_variance,ktau_lag1_ac,segment_type,element,p_fold,p_hopf,p_transcritical,p_null,p_transition
31,23.803,0.341670911440226,-0.3497371755383363,0.06368729223648191,0.019347166614542072,neutral,Mo,0.048915587,0.6798004,0.08350435,0.18777965,0.81222034
31,23.803,0.341670911440226,-0.3497371755383363,0.06368729223648191,0.019347166614542072,neutral,Mo,0.048915587,0.6798004,0.08350435,0.18777965,0.81222034
32,23.763,0.4398235006674671,-0.4409016133147808,0.06368729223648191,0.019347166614542072,neutral,Mo,0.050449472,0.75688815,0.107866675,0.08479561,0.9152044
33,23.724,0.4563412679893207,-0.480552710351954,0.06368729223648191,0.019347166614542072,neutral,Mo,0.02119372,0.86757463,0.057248976,0.05398261,0.9460174
34,23.684,0.4790321182269586,-0.5050344623219682,0.06368729223648191,0.019347166614542072,neutral,Mo,0.017272381,0.89704,0.05266312,0.033024482,0.9669755
35,23.644,0.46615120698305873,-0.4929439320497146,0.06368729223648191,0.019347166614542072,neutral,Mo,0.014918868,0.9188939,0.03489927,0.03128805,0.968712
35,23.644,0.46615120698305873,-0.4929439320497146,0.06368729223648191,0.019347166614542072,neutral,Mo,0.014918868,0.9188939,0.03489927,0.03128805,0.968712
36,23.604,0.47768249220357234,-0.4977371108465933,0.06368729223648191,0.019347166614542072,neutral,Mo,0.018347804,0.87315327,0.04464232,0.06385665,0.93614334
37,23.564,0.4850690644872317,-0.5313937963585964,0.06368729223648191,0.019347166614542072,neutral,Mo,0.026799906,0.834575,0.043122437,0.09550269,0.9044973
38,23.524,0.4868545128745356,-0.5352665314673865,0.06368729223648191,0.019347166614542072,neutral,Mo,0.028575081,0.84781224,0.048539795,0.07507288,0.9249271
39,23.485,0.4754622894390503,-0.5160944380325931,0.06368729223648191,0.019347166614542072,neutral,Mo,0.031391107,0.82899994,0.04666915,0.09293977,0.9070602
40,23.445,0.43657156353979487,-0.4462006201250409,0.06368729223648191,0.019347166614542072,neutral,Mo,0.03348446,0.78569573,0.042879697,0.13794015,0.86205983
40,23.445,0.43657156353979487,-0.4462006201250409,0.06368729223648191,0.019347166614542072,neutral,Mo,0.03348446,0.78569573,0.042879697,0.13794015,0.86205983
41,23.405,0.40029594497500065,-0.4668169765168445,0.06368729223648191,0.019347166614542072,neutral,Mo,0.037405174,0.79888964,0.04046081,0.123244375,0.8767556
42,23.365,0.4275735005635854,-0.4680968719682235,0.06368729223648191,0.019347166614542072,neutral,Mo,0.023655875,0.81266534,0.03228194,0.13139684,0.86860317
43,23.325,0.43151973029465507,-0.47816314719535974,0.06368729223648191,0.019347166614542072,neutral,Mo,0.02314175,0.8519198,0.03716846,0.08777003,0.91222996
44,23.285,0.4315130298769067,-0.48601950005150585,0.06368729223648191,0.019347166614542072,neutral,Mo,0.021131359,0.8592496,0.031106012,0.088513054,0.9114869
44,23.285,0.4315130298769067,-0.48601950005150585,0.06368729223648191,0.019347166614542072,neutral,Mo,0.021131359,0.8592496,0.031106012,0.088513054,0.9114869
45,23.246,0.4117096484115263,-0.471914563555457,0.06368729223648191,0.019347166614542072,neutral,Mo,0.020883609,0.84598184,0.030082978,0.103051506,0.8969485
46,23.206,0.4084348302637185,-0.5146453863726629,0.06368729223648191,0.019347166614542072,neutral,Mo,0.02420714,0.8036148,0.03250051,0.13967754,0.8603225
47,23.166,0.421390409271236,-0.4554964565720256,0.06368729223648191,0.019347166614542072,neutral,Mo,0.045794714,0.7699219,0.038898796,0.14538458,0.85461545
48,23.126,0.41811097789531754,-0.5079864072082715,0.06368729223648191,0.019347166614542072,neutral,Mo,0.035323404,0.7908895,0.03876544,0.13502164,0.8649784
49,23.086,0.3903492842837517,-0.5352191678002951,0.06368729223648191,0.019347166614542072,neutral,Mo,0.031479936,0.76856315,0.04493422,0.15502262,0.8449774
49,23.086,0.3903492842837517,-0.5352191678002951,0.06368729223648191,0.019347166614542072,neutral,Mo,0.031479936,0.76856315,0.04493422,0.15502262,0.8449774
50,23.046,0.3962235374518769,-0.5550873223924638,0.06368729223648191,0.019347166614542072,neutral,Mo,0.05207379,0.7728465,0.043267407,0.13181227,0.8681877
51,23.007,0.37419735121770453,-0.5537648562209471,0.06368729223648191,0.019347166614542072,neutral,Mo,0.040504888,0.75542605,0.04496398,0.15910515,0.8408948
52,22.967,0.3716170292985387,-0.5568492345917985,0.06368729223648191,0.019347166614542072,neutral,Mo,0.056368668,0.72896147,0.040955327,0.17371455,0.8262855
53,22.927,0.3708634702973264,-0.5699066182935473,0.06368729223648191,0.019347166614542072,neutral,Mo,0.061715767,0.7323933,0.042795695,0.16309524,0.83690476
53,22.927,0.3708634702973264,-0.5699066182935473,0.06368729223648191,0.019347166614542072,neutral,Mo,0.061715767,0.7323933,0.042795695,0.16309524,0.83690476
54,22.887,0.3998908617598227,-0.5497481682748335,0.06368729223648191,0.019347166614542072,neutral,Mo,0.065913066,0.7026211,0.046070352,0.18539543,0.8146046
55,22.847,0.39406330872932255,-0.49462721335918075,0.06368729223648191,0.019347166614542072,neutral,Mo,0.053120323,0.7460272,0.043910578,0.1569419,0.8430581
56,22.807,0.38570535137218676,-0.4983580550868464,0.06368729223648191,0.019347166614542072,neutral,Mo,0.05169585,0.777849,0.03632986,0.13412519,0.8658748
57,22.768,0.4017273374256759,-0.46257335875080824,0.06368729223648191,0.019347166614542072,neutral,Mo,0.07286354,0.7813845,0.039313316,0.10643864,0.89356136
58,22.728,0.4020127407304887,-0.49639805432281886,0.06368729223648191,0.019347166614542072,neutral,Mo,0.05486444,0.73043,0.041824374,0.17288117,0.8271188
58,22.728,0.4020127407304887,-0.49639805432281886,0.06368729223648191,0.019347166614542072,neutral,Mo,0.05486444,0.73043,0.041824374,0.17288117,0.8271188
59,22.688,0.39950209809326176,-0.49079189445508015,0.06368729223648191,0.019347166614542072,neutral,Mo,0.056258854,0.76112056,0.034423005,0.14819762,0.85180235
60,22.648,0.3822238707298548,-0.48768533263897873,0.06368729223648191,0.019347166614542072,neutral,Mo,0.052326147,0.78061855,0.037660293,0.12939504,0.870605
61,22.608,0.3812510074631438,-0.49388733433236404,0.06368729223648191,0.019347166614542072,neutral,Mo,0.057856012,0.7657378,0.035929423,0.14047682,0.8595232
62,22.568,0.36166785974806925,-0.4075813985938484,0.06368729223648191,0.019347166614542072,neutral,Mo,0.061470643,0.71988046,0.046349004,0.17229982,0.8277002
63,22.529,0.2549215430349582,-0.32592223310316365,0.06368729223648191,0.019347166614542072,neutral,Mo,0.046599653,0.7598002,0.032263264,0.1613369,0.8386631
31,23.803,0.465495640985294,-0.5804854166119903,0.06368729223648191,0.019347166614542072,neutral,Mo,0.10195867,0.33417535,0.17076463,0.39310142,0.60689855
31,23.803,0.465495640985294,-0.5804854166119903,0.06368729223648191,0.019347166614542072,neutral,Mo,0.10195867,0.33417535,0.17076463,0.39310142,0.60689855
32,23.763,0.5154649212697496,-0.6027802498020504,0.06368729223648191,0.019347166614542072,neutral,Mo,0.06919018,0.3844051,0.16891444,0.3774903,0.6225097
33,23.724,0.5114703600371013,-0.6194397093745129,0.06368729223648191,0.019347166614542072,neutral,Mo,0.060294043,0.475482,0.15089165,0.3133324,0.68666756
34,23.684,0.49277394201202374,-0.5993533171288724,0.06368729223648191,0.019347166614542072,neutral,Mo,0.076667234,0.47917077,0.1484336,0.29572842,0.70427155
35,23.644,0.4535371320105917,-0.622720599313282,0.06368729223648191,0.019347166614542072,neutral,Mo,0.06749179,0.4312249,0.13220285,0.36908042,0.6309196
35,23.644,0.4535371320105917,-0.622720599313282,0.06368729223648191,0.019347166614542072,neutral,Mo,0.06749179,0.4312249,0.13220285,0.36908042,0.6309196
36,23.604,0.46342275197883837,-0.6487647209098336,0.06368729223648191,0.019347166614542072,neutral,Mo,0.05550561,0.5444442,0.122454755,0.27759537,0.7224046
37,23.564,0.45300370019562824,-0.6946568597027243,0.06368729223648191,0.019347166614542072,neutral,Mo,0.05176352,0.54291683,0.11384873,0.29147092,0.7085291
38,23.524,0.47850975485578556,-0.7132138536499434,0.06368729223648191,0.019347166614542072,neutral,Mo,0.044293102,0.65717393,0.09851849,0.2000144,0.7999856
39,23.485,0.47903143222626104,-0.7100775246586765,0.06368729223648191,0.019347166614542072,neutral,Mo,0.044885337,0.63425916,0.10558144,0.21527402,0.78472596
40,23.445,0.46989858160216885,-0.6996361679501129,0.06368729223648191,0.019347166614542072,neutral,Mo,0.062037777,0.6134935,0.09768825,0.22678047,0.7732195
40,23.445,0.46989858160216885,-0.6996361679501129,0.06368729223648191,0.019347166614542072,neutral,Mo,0.062037777,0.6134935,0.09768825,0.22678047,0.7732195
41,23.405,0.4535189444496235,-0.6754286982363594,0.06368729223648191,0.019347166614542072,neutral,Mo,0.07809215,0.56635016,0.10108598,0.25447166,0.74552834
42,23.365,0.4352802108262289,-0.6548833989365439,0.06368729223648191,0.019347166614542072,neutral,Mo,0.10755928,0.50436896,0.10054654,0.28752518,0.7124748
43,23.325,0.3504538042755262,-0.6156880855790701,0.06368729223648191,0.019347166614542072,neutral,Mo,0.114315614,0.4369694,0.11429642,0.33441857,0.66558146
44,23.285,0.32545473645130113,-0.6554857503060314,0.06368729223648191,0.019347166614542072,neutral,Mo,0.1113542,0.36254784,0.12293829,0.40315968,0.5968403
44,23.285,0.32545473645130113,-0.6554857503060314,0.06368729223648191,0.019347166614542072,neutral,Mo,0.1113542,0.36254784,0.12293829,0.40315968,0.5968403
45,23.246,0.32930258316520755,-0.6624682453033903,0.06368729223648191,0.019347166614542072,neutral,Mo,0.13028012,0.36261782,0.10410392,0.40299815,0.59700185
46,23.206,0.35460446764820974,-0.6273436001311944,0.06368729223648191,0.019347166614542072,neutral,Mo,0.15666881,0.3837616,0.08009882,0.37947077,0.62052923
47,23.166,0.3470760743242616,-0.6236902972721444,0.06368729223648191,0.019347166614542072,neutral,Mo,0.103626534,0.43201995,0.08709886,0.3772547,0.6227453
48,23.126,0.33008547688782464,-0.602499975010912,0.06368729223648191,0.019347166614542072,neutral,Mo,0.092672326,0.504318,0.080525264,0.3224844,0.6775156
49,23.086,0.3432367312719252,-0.562475056152006,0.06368729223648191,0.019347166614542072,neutral,Mo,0.086710654,0.5354786,0.06770183,0.31010887,0.6898911
49,23.086,0.3432367312719252,-0.562475056152006,0.06368729223648191,0.019347166614542072,neutral,Mo,0.086710654,0.5354786,0.06770183,0.31010887,0.6898911
50,23.046,0.33610333305337353,-0.5777441794483243,0.06368729223648191,0.019347166614542072,neutral,Mo,0.05915246,0.63929635,0.05327444,0.24827673,0.7517233
51,23.007,0.3333957579936143,-0.6010727763455737,0.06368729223648191,0.019347166614542072,neutral,Mo,0.049880955,0.70960987,0.057257317,0.18325184,0.81674814
52,22.967,0.3328336523499202,-0.6349843329053335,0.06368729223648191,0.019347166614542072,neutral,Mo,0.0444826,0.69361055,0.064164095,0.19774278,0.80225724
53,22.927,0.31947226421409025,-0.6302586022570905,0.06368729223648191,0.019347166614542072,neutral,Mo,0.062289204,0.6274418,0.06557592,0.24469301,0.75530696
53,22.927,0.31947226421409025,-0.6302586022570905,0.06368729223648191,0.019347166614542072,neutral,Mo,0.062289204,0.6274418,0.06557592,0.24469301,0.75530696
54,22.887,0.31568896405834984,-0.6307314209686332,0.06368729223648191,0.019347166614542072,neutral,Mo,0.075450994,0.57414246,0.07642831,0.27397817,0.7260218
55,22.847,0.29219689047024466,-0.6098918907221728,0.06368729223648191,0.019347166614542072,neutral,Mo,0.09004952,0.46687648,0.08760164,0.35547236,0.6445277
56,22.807,0.2890285398078302,-0.603918895384401,0.06368729223648191,0.019347166614542072,neutral,Mo,0.08499841,0.5046984,0.064064644,0.34623855,0.65376145
57,22.768,0.28425387808654806,-0.593210408115494,0.06368729223648191,0.019347166614542072,neutral,Mo,0.07790644,0.4822896,0.07823451,0.3615695,0.6384305
58,22.728,0.2748305878028038,-0.6031554384208612,0.06368729223648191,0.019347166614542072,neutral,Mo,0.07589441,0.5371537,0.055532534,0.3314193,0.6685807
58,22.728,0.2748305878028038,-0.6031554384208612,0.06368729223648191,0.019347166614542072,neutral,Mo,0.07589441,0.5371537,0.055532534,0.3314193,0.6685807
59,22.688,0.27486477869603904,-0.613391514111589,0.06368729223648191,0.019347166614542072,neutral,Mo,0.07734865,0.49093017,0.07554216,0.35617903,0.643821
60,22.648,0.2733895584137673,-0.582905618751624,0.06368729223648191,0.019347166614542072,neutral,Mo,0.08856158,0.4449576,0.07508059,0.39140022,0.6085998
61,22.608,0.26995471664883497,-0.5663518114546623,0.06368729223648191,0.019347166614542072,neutral,Mo,0.06701796,0.50694376,0.060212888,0.3658254,0.6341746
62,22.568,0.26399606980676193,-0.5103156605701209,0.06368729223648191,0.019347166614542072,neutral,Mo,0.08384115,0.5182717,0.06330642,0.33458063,0.66541934
63,22.529,0.2169781456660484,-0.5566008588045697,0.06368729223648191,0.019347166614542072,neutral,Mo,0.069292605,0.48032576,0.0630185,0.38736314,0.61263686
31,23.803,0.6851354679116997,-0.7564485957140622,0.06368729223648191,0.019347166614542072,neutral,Mo,0.0024785458,0.9418851,0.0056340657,0.050002344,0.94999766
31,23.803,0.6851354679116997,-0.7564485957140622,0.06368729223648191,0.019347166614542072,neutral,Mo,0.0024785458,0.9418851,0.0056340657,0.050002344,0.94999766
32,23.763,0.7692790376067318,-0.7393720435879718,0.06368729223648191,0.019347166614542072,neutral,Mo,0.0062502874,0.9491159,0.0077967895,0.03683705,0.96316296
33,23.724,0.7775826874426361,-0.7293340752099207,0.06368729223648191,0.019347166614542072,neutral,Mo,0.0018497477,0.9606342,0.0048598,0.032656264,0.96734375
34,23.684,0.7842742235904979,-0.7380307327922312,0.06368729223648191,0.019347166614542072,neutral,Mo,0.0029259117,0.9626056,0.0043481644,0.030120293,0.9698797
35,23.644,0.8195850932007255,-0.748819840012915,0.06368729223648191,0.019347166614542072,neutral,Mo,0.0017258666,0.9641537,0.0034438039,0.03067658,0.9693234
35,23.644,0.8195850932007255,-0.748819840012915,0.06368729223648191,0.019347166614542072,neutral,Mo,0.0017258666,0.9641537,0.0034438039,0.03067658,0.9693234
36,23.604,0.7920825557160645,-0.723268717264308,0.06368729223648191,0.019347166614542072,neutral,Mo,0.0019766667,0.9585411,0.0029088734,0.03657338,0.9634266
37,23.564,0.7858926192409954,-0.7218061840641035,0.06368729223648191,0.019347166614542072,neutral,Mo,0.0019458595,0.93756765,0.0035864813,0.056899987,0.94310004
38,23.524,0.7579895144104305,-0.713894724595994,0.06368729223648191,0.019347166614542072,neutral,Mo,0.0018560337,0.9243857,0.003130167,0.07062807,0.92937195
39,23.485,0.7410704510956613,-0.7055591656109387,0.06368729223648191,0.019347166614542072,neutral,Mo,0.0019123766,0.8894569,0.0031455364,0.10548519,0.8945148
40,23.445,0.7123141718634814,-0.6986087733799632,0.06368729223648191,0.019347166614542072,neutral,Mo,0.003128281,0.8923508,0.0034024483,0.10111842,0.89888155
40,23.445,0.7123141718634814,-0.6986087733799632,0.06368729223648191,0.019347166614542072,neutral,Mo,0.003128281,0.8923508,0.0034024483,0.10111842,0.89888155
41,23.405,0.7283382605736611,-0.7004075277503721,0.06368729223648191,0.019347166614542072,neutral,Mo,0.0023884245,0.89651,0.0026138842,0.09848774,0.90151227
42,23.365,0.7443064281899743,-0.6587270521397927,0.06368729223648191,0.019347166614542072,neutral,Mo,0.0030699987,0.8811294,0.0034369489,0.11236365,0.88763636
43,23.325,0.7468526153689559,-0.6612598248643515,0.06368729223648191,0.019347166614542072,neutral,Mo,0.0021929054,0.91730124,0.0021989965,0.07830676,0.92169327
44,23.285,0.7733332913350967,-0.665275772821919,0.06368729223648191,0.019347166614542072,neutral,Mo,0.0014084604,0.9212387,0.0022069681,0.07514591,0.9248541
44,23.285,0.7733332913350967,-0.665275772821919,0.06368729223648191,0.019347166614542072,neutral,Mo,0.0014084604,0.9212387,0.0022069681,0.07514591,0.9248541
45,23.246,0.7858630117945153,-0.6682719689604928,0.06368729223648191,0.019347166614542072,neutral,Mo,0.0027032597,0.92135584,0.003011251,0.07292971,0.92707026
46,23.206,0.7416694254678062,-0.6025071155977351,0.06368729223648191,0.019347166614542072,neutral,Mo,0.0024678486,0.90612316,0.0035532413,0.08785571,0.9121443
47,23.166,0.6902975599369391,-0.5601435583811831,0.06368729223648191,0.019347166614542072,neutral,Mo,0.0021606418,0.88939273,0.0031452614,0.105301335,0.8946987
48,23.126,0.6225176423979533,-0.5871711070057933,0.06368729223648191,0.019347166614542072,neutral,Mo,0.0030005474,0.8556908,0.0034539201,0.13785477,0.86214525
49,23.086,0.6276940156123586,-0.590301934388532,0.06368729223648191,0.019347166614542072,neutral,Mo,0.0029660044,0.8242171,0.003714111,0.16910276,0.8308972
49,23.086,0.6276940156123586,-0.590301934388532,0.06368729223648191,0.019347166614542072,neutral,Mo,0.0029660044,0.8242171,0.003714111,0.16910276,0.8308972
50,23.046,0.6444827010084209,-0.5949448380794856,0.06368729223648191,0.019347166614542072,neutral,Mo,0.0044932836,0.8492187,0.0034061894,0.14288187,0.8571181
51,23.007,0.6496325908089557,-0.6048269197233321,0.06368729223648191,0.019347166614542072,neutral,Mo,0.0030594484,0.8042713,0.004016366,0.18865296,0.811347
52,22.967,0.6515128027333587,-0.6022615903939281,0.06368729223648191,0.019347166614542072,neutral,Mo,0.0050694277,0.83441323,0.0033414061,0.15717599,0.842824
53,22.927,0.6497797840965079,-0.5540116586854237,0.06368729223648191,0.019347166614542072,neutral,Mo,0.0047981753,0.8286275,0.004499403,0.16207491,0.8379251
53,22.927,0.6497797840965079,-0.5540116586854237,0.06368729223648191,0.019347166614542072,neutral,Mo,0.0047981753,0.8286275,0.004499403,0.16207491,0.8379251
54,22.887,0.6279024290439155,-0.5355546474630924,0.06368729223648191,0.019347166614542072,neutral,Mo,0.004979464,0.758576,0.00459028,0.2318542,0.7681458
55,22.847,0.5905337837331981,-0.5495722605907913,0.06368729223648191,0.019347166614542072,neutral,Mo,0.0042407517,0.7859381,0.0029723968,0.2068488,0.7931512
56,22.807,0.5910685586738652,-0.5663628828375594,0.06368729223648191,0.019347166614542072,neutral,Mo,0.0032719364,0.8035308,0.0026249313,0.19057238,0.8094276
57,22.768,0.5552102854531763,-0.5287320093286174,0.06368729223648191,0.019347166614542072,neutral,Mo,0.0027582955,0.8211357,0.0021355986,0.17397046,0.82602954
58,22.728,0.4893184069098614,-0.46149215277465244,0.06368729223648191,0.019347166614542072,neutral,Mo,0.002929413,0.8141156,0.002234219,0.1807207,0.8192793
58,22.728,0.4893184069098614,-0.46149215277465244,0.06368729223648191,0.019347166614542072,neutral,Mo,0.002929413,0.8141156,0.002234219,0.1807207,0.8192793
59,22.688,0.4415586489464316,-0.4252532104292588,0.06368729223648191,0.019347166614542072,neutral,Mo,0.0040296414,0.81337523,0.0020524347,0.18054275,0.81945723
60,22.648,0.42910720491857574,-0.39752327697364487,0.06368729223648191,0.019347166614542072,neutral,Mo,0.006456313,0.7886897,0.0026095926,0.20224449,0.7977555
61,22.608,0.45093120516114654,-0.4152341228100723,0.06368729223648191,0.019347166614542072,neutral,Mo,0.005144544,0.8110371,0.0028523507,0.18096602,0.819034
62,22.568,0.4389051211456371,-0.3859209756245062,0.06368729223648191,0.019347166614542072,neutral,Mo,0.003249994,0.82352227,0.0017898083,0.17143801,0.828562
63,22.529,0.3280734390303836,-0.3342687399823012,0.06368729223648191,0.019347166614542072,neutral,Mo,0.0026979125,0.8538657,0.0017635862,0.1416728,0.8583272
31,23.803,0.4981076472768029,-0.5892798816145234,0.06368729223648191,0.019347166614542072,neutral,Mo,0.010159163,0.8981185,0.031871688,0.059850674,0.9401493
31,23.803,0.4981076472768029,-0.5892798816145234,0.06368729223648191,0.019347166614542072,neutral,Mo,0.010159163,0.8981185,0.031871688,0.059850674,0.9401493
32,23.763,0.5054230184116459,-0.5917505088735525,0.06368729223648191,0.019347166614542072,neutral,Mo,0.0085608335,0.9111639,0.0189192,0.061356023,0.938644
33,23.724,0.5016408858285071,-0.5937671157299567,0.06368729223648191,0.019347166614542072,neutral,Mo,0.005573768,0.91001815,0.016727606,0.06768058,0.9323194
34,23.684,0.5159350339575134,-0.5862382042234385,0.06368729223648191,0.019347166614542072,neutral,Mo,0.0083303135,0.87251127,0.01945581,0.099702656,0.90029734
35,23.644,0.5041580698484286,-0.5794911463059358,0.06368729223648191,0.019347166614542072,neutral,Mo,0.005923065,0.8999045,0.013746161,0.080426276,0.9195737
35,23.644,0.5041580698484286,-0.5794911463059358,0.06368729223648191,0.019347166614542072,neutral,Mo,0.005923065,0.8999045,0.013746161,0.080426276,0.9195737
36,23.604,0.4233607286751163,-0.5249920066834598,0.06368729223648191,0.019347166614542072,neutral,Mo,0.0063205315,0.87868804,0.014951549,0.10003985,0.89996016
