position,age_kyr_bp,variance,lag1_ac,ktau_variance,ktau_lag1_ac,segment_type,element,p_fold,p_hopf,p_transcritical,p_null,p_transition
37,40.532,787350.2417336752,-0.3529020691796664,0.05057961035056542,-0.12835390713837735,neutral,Al,0.0831796,0.562384,0.11487065,0.23956573,0.76043427
37,40.532,787350.2417336752,-0.3529020691796664,0.05057961035056542,-0.12835390713837735,neutral,Al,0.0831796,0.562384,0.11487065,0.23956573,0.76043427
38,40.492,755642.1174258998,-0.35676422190877866,0.05057961035056542,-0.12835390713837735,neutral,Al,0.09201526,0.51190346,0.122938275,0.27314308,0.72685695
39,40.452,782457.9099409205,-0.3555063291090995,0.05057961035056542,-0.12835390713837735,neutral,Al,0.09780157,0.4386779,0.12515965,0.33836094,0.6616391
40,40.412,768670.7130661054,-0.4334907024014492,0.05057961035056542,-0.12835390713837735,neutral,Al,0.07560094,0.5622367,0.10086987,0.26129246,0.73870754
41,40.373,747148.2417133204,-0.3472437550375803,0.05057961035056542,-0.12835390713837735,neutral,Al,0.07956027,0.54163283,0.10103495,0.27777198,0.72222805
42,40.333,589687.2084460536,-0.3230922303195713,0.05057961035056542,-0.12835390713837735,neutral,Al,0.060437012,0.6692263,0.10065276,0.16968393,0.83031607
43,40.293,591094.1637532834,-0.35093797941578136,0.05057961035056542,-0.12835390713837735,neutral,Al,0.05228666,0.6742095,0.0916398,0.18186407,0.8181359
44,40.253,613320.8003110462,-0.3029488240855488,0.05057961035056542,-0.12835390713837735,neutral,Al,0.06126451,0.67222244,0.0801818,0.18633121,0.8136688
45,40.213,619922.5074408161,-0.28947893152901105,0.05057961035056542,-0.12835390713837735,neutral,Al,0.06395344,0.6847217,0.086944655,0.16438022,0.8356198
46,40.173,680955.475937291,-0.33979970337356125,0.05057961035056542,-0.12835390713837735,neutral,Al,0.062896274,0.74325496,0.07508918,0.118759565,0.8812404
47,40.134,703352.017700502,-0.2260504869770385,0.05057961035056542,-0.12835390713837735,neutral,Al,0.06874444,0.7494668,0.07135952,0.110429116,0.8895709
48,40.094,726967.1048469882,-0.1736624027780472,0.05057961035056542,-0.12835390713837735,neutral,Al,0.10516418,0.7198584,0.07585511,0.09912235,0.90087765
49,40.054,852217.8064355572,-0.31037514367300917,0.05057961035056542,-0.12835390713837735,neutral,Al,0.063375674,0.77428585,0.07937954,0.0829589,0.9170411
50,40.014,830111.6570537488,-0.3578782338791349,0.05057961035056542,-0.12835390713837735,neutral,Al,0.034921814,0.8596086,0.07683656,0.028633049,0.97136694
51,39.974,802034.5506841022,-0.38168593320278,0.05057961035056542,-0.12835390713837735,neutral,Al,0.0505228,0.81345206,0.08676462,0.0492605,0.9507395
52,39.934,801616.177002217,-0.37646595592530097,0.05057961035056542,-0.12835390713837735,neutral,Al,0.06736404,0.74713767,0.081753574,0.10374475,0.89625525
53,39.895,801221.7320325158,-0.3786413815182957,0.05057961035056542,-0.12835390713837735,neutral,Al,0.07626908,0.73648345,0.07770491,0.10954255,0.89045745
54,39.855,774850.8637929618,-0.3764283958560205,0.05057961035056542,-0.12835390713837735,neutral,Al,0.09795007,0.69872683,0.08238392,0.12093923,0.87906075
55,39.815,796526.5941022787,-0.35884840967278864,0.05057961035056542,-0.12835390713837735,neutral,Al,0.11144578,0.6643777,0.07470725,0.14946932,0.8505307
56,39.775,786560.1719587625,-0.32917192863706957,0.05057961035056542,-0.12835390713837735,neutral,Al,0.1355205,0.6048345,0.10072975,0.1589153,0.8410847
57,39.735,779540.7508357087,-0.31694991264235317,0.05057961035056542,-0.12835390713837735,neutral,Al,0.13726886,0.5630257,0.12058077,0.17912461,0.8208754
58,39.695,726177.5074731933,-0.27799716496757865,0.05057961035056542,-0.12835390713837735,neutral,Al,0.15299077,0.52673143,0.11818669,0.20209107,0.7979089
59,39.656,694200.8623234517,-0.2689941536403417,0.05057961035056542,-0.12835390713837735,neutral,Al,0.16274476,0.4928349,0.1208101,0.22361016,0.77638984
60,39.616,693225.8756031021,-0.26369772647417844,0.05057961035056542,-0.12835390713837735,neutral,Al,0.16169386,0.45334178,0.123438455,0.26152596,0.738474
61,39.576,687886.3030575218,-0.25825399322978226,0.05057961035056542,-0.12835390713837735,neutral,Al,0.15149967,0.40264866,0.13374116,0.31211054,0.68788946
62,39.536,693822.6231190808,-0.2482967951095339,0.05057961035056542,-0.12835390713837735,neutral,Al,0.14909823,0.35724247,0.1450182,0.34864113,0.65135884
63,39.496,694580.8175586372,-0.2315976479674096,0.05057961035056542,-0.12835390713837735,neutral,Al,0.1549274,0.34240568,0.13717572,0.36549118,0.63450885
64,39.456,687810.5584603038,-0.21181839416214424,0.05057961035056542,-0.12835390713837735,neutral,Al,0.17604677,0.36845592,0.12403612,0.3314612,0.6685388
65,39.417,663763.6481639626,-0.2321571895440487,0.05057961035056542,-0.12835390713837735,neutral,Al,0.19102821,0.37248453,0.10890419,0.3275831,0.6724169
66,39.377,688168.0145253595,-0.23471069930724195,0.05057961035056542,-0.12835390713837735,neutral,Al,0.16729333,0.35141715,0.11875601,0.36253345,0.63746655
67,39.337,742759.3620940248,-0.26905653679790736,0.05057961035056542,-0.12835390713837735,neutral,Al,0.1272316,0.4700788,0.073148146,0.32954141,0.67045856
68,39.297,718387.0117461935,-0.266205676151955,0.05057961035056542,-0.12835390713837735,neutral,Al,0.11046908,0.49338275,0.09185685,0.30429128,0.69570875
69,39.257,705919.5019690384,-0.2756102539437425,0.05057961035056542,-0.12835390713837735,neutral,Al,0.1124361,0.47652435,0.086388096,0.32465145,0.6753485
70,39.217,702977.9843304362,-0.26731412724951176,0.05057961035056542,-0.12835390713837735,neutral,Al,0.10835127,0.42901823,0.08711876,0.37551177,0.62448823
71,39.178,744074.1056989649,-0.28341673622951885,0.05057961035056542,-0.12835390713837735,neutral,Al,0.12660882,0.49313784,0.07333558,0.30691767,0.69308233
72,39.138,739781.9141251522,-0.2568287984184751,0.05057961035056542,-0.12835390713837735,neutral,Al,0.1220406,0.5507747,0.08484475,0.24233994,0.75766003
73,39.098,736964.2348416592,-0.25046885471786673,0.05057961035056542,-0.12835390713837735,neutral,Al,0.14992532,0.49000618,0.09387835,0.2661901,0.7338099
74,39.058,737483.343153507,-0.25363117235569244,0.05057961035056542,-0.12835390713837735,neutral,Al,0.14075585,0.42841446,0.10031515,0.33051455,0.66948545
75,39.018,768172.5704563926,-0.24401609512420888,0.05057961035056542,-0.12835390713837735,neutral,Al,0.12002129,0.4020228,0.11114859,0.36680737,0.63319266
37,40.532,539467.0966796182,-0.027312983960439144,0.05057961035056542,-0.12835390713837735,neutral,Al,0.16212602,0.21485233,0.12617576,0.4968459,0.5031541
37,40.532,539467.0966796182,-0.027312983960439144,0.05057961035056542,-0.12835390713837735,neutral,Al,0.16212602,0.21485233,0.12617576,0.4968459,0.5031541
38,40.492,531440.84625676,-0.041437043696297124,0.05057961035056542,-0.12835390713837735,neutral,Al,0.16570877,0.24219838,0.12478243,0.46731046,0.5326896
39,40.452,530479.7068123257,-0.02954076080505732,0.05057961035056542,-0.12835390713837735,neutral,Al,0.18364324,0.24201822,0.12529038,0.44904813,0.55095184
40,40.412,558612.0469556315,-0.07979531083107921,0.05057961035056542,-0.12835390713837735,neutral,Al,0.16175714,0.26756528,0.119698055,0.45097953,0.54902047
41,40.373,541964.868900859,-0.2274777261690592,0.05057961035056542,-0.12835390713837735,neutral,Al,0.11616,0.47602275,0.07059364,0.33722362,0.66277635
42,40.333,621259.6472022445,-0.09157452766892878,0.05057961035056542,-0.12835390713837735,neutral,Al,0.128884,0.58357465,0.096803814,0.19073755,0.80926245
43,40.293,626526.8251797887,-0.12707297777046533,0.05057961035056542,-0.12835390713837735,neutral,Al,0.07914054,0.67273927,0.07840291,0.16971734,0.8302827
44,40.253,683770.4531075205,-0.16261128490872884,0.05057961035056542,-0.12835390713837735,neutral,Al,0.06794595,0.79686975,0.054306176,0.080878146,0.91912186
45,40.213,683172.4032111475,-0.15692658092968637,0.05057961035056542,-0.12835390713837735,neutral,Al,0.11063826,0.7195231,0.07426694,0.09557173,0.90442824
46,40.173,615126.0350630772,-0.14101693830057882,0.05057961035056542,-0.12835390713837735,neutral,Al,0.12432275,0.6841712,0.081858434,0.10964772,0.89035225
47,40.134,612548.2335551791,-0.13994326129195347,0.05057961035056542,-0.12835390713837735,neutral,Al,0.14391018,0.6183267,0.09978503,0.13797809,0.8620219
48,40.094,619209.8396031334,-0.14290834775627018,0.05057961035056542,-0.12835390713837735,neutral,Al,0.14917983,0.5921575,0.09555579,0.16310687,0.83689314
49,40.054,563019.0288208306,-0.10562572081322683,0.05057961035056542,-0.12835390713837735,neutral,Al,0.15144472,0.6111478,0.08685544,0.15055199,0.849448
50,40.014,563881.6419470483,-0.09524084406289843,0.05057961035056542,-0.12835390713837735,neutral,Al,0.12730975,0.62519586,0.08321349,0.16428085,0.83571917
51,39.974,551879.0362515161,-0.09194055051450344,0.05057961035056542,-0.12835390713837735,neutral,Al,0.14064853,0.6272762,0.09242116,0.13965411,0.8603459
52,39.934,583906.6147087592,-0.08633846576154833,0.05057961035056542,-0.12835390713837735,neutral,Al,0.12287992,0.6599814,0.08239892,0.13473977,0.86526024
53,39.895,585704.049899986,-0.09905722341138896,0.05057961035056542,-0.12835390713837735,neutral,Al,0.09415618,0.6769427,0.08129946,0.14760162,0.8523984
54,39.855,574978.9634938744,-0.08152766823968727,0.05057961035056542,-0.12835390713837735,neutral,Al,0.099131435,0.6932081,0.09133028,0.11633018,0.88366985
55,39.815,566438.7226743096,-0.09118043209316064,0.05057961035056542,-0.12835390713837735,neutral,Al,0.11958488,0.6723067,0.10284681,0.10526157,0.89473844
