position,age_kyr_bp,variance,lag1_ac,ktau_variance,ktau_lag1_ac,segment_type,element,p_fold,p_hopf,p_transcritical,p_null,p_transition
28,55.189,0.09823050370379166,0.023402060305553276,-0.13677704013451494,-0.31742596106689314,forced,Mo,0.102799326,0.40571943,0.14360893,0.34787232,0.6521277
28,55.189,0.09823050370379166,0.023402060305553276,-0.13677704013451494,-0.31742596106689314,forced,Mo,0.102799326,0.40571943,0.14360893,0.34787232,0.6521277
29,55.149,0.08531962595445923,0.025768809808980237,-0.13677704013451494,-0.31742596106689314,forced,Mo,0.099551596,0.32857165,0.13960801,0.43226874,0.56773126
30,55.11,0.0894523014915477,0.020580461674774512,-0.13677704013451494,-0.31742596106689314,forced,Mo,0.08002014,0.38718188,0.13620375,0.39659423,0.6034058
30,55.11,0.0894523014915477,0.020580461674774512,-0.13677704013451494,-0.31742596106689314,forced,Mo,0.08002014,0.38718188,0.13620375,0.39659423,0.6034058
31,55.07,0.07771171982989501,0.1381047582981258,-0.13677704013451494,-0.31742596106689314,forced,Mo,0.083022125,0.47528735,0.11098646,0.3307041,0.6692959
32,55.03,0.07365401139556639,0.09130879211969327,-0.13677704013451494,-0.31742596106689314,forced,Mo,0.07953897,0.38675994,0.14842474,0.38527635,0.6147237
33,54.99,0.0737489078653021,0.15986979425704176,-0.13677704013451494,-0.31742596106689314,forced,Mo,0.08183959,0.30248395,0.1328903,0.48278624,0.51721376
33,54.99,0.0737489078653021,0.15986979425704176,-0.13677704013451494,-0.31742596106689314,forced,Mo,0.08183959,0.30248395,0.1328903,0.48278624,0.51721376
34,54.95,0.07313948800399508,0.1202650120868527,-0.13677704013451494,-0.31742596106689314,forced,Mo,0.07732116,0.51419586,0.10839314,0.30008978,0.6999102
35,54.91,0.07439283469707003,0.13596401057067933,-0.13677704013451494,-0.31742596106689314,forced,Mo,0.07741771,0.5829058,0.108554326,0.23112209,0.7688779
36,54.871,0.07432872982242254,0.11991991574068472,-0.13677704013451494,-0.31742596106689314,forced,Mo,0.10814749,0.49348888,0.13910511,0.25925854,0.7407415
36,54.871,0.07432872982242254,0.11991991574068472,-0.13677704013451494,-0.31742596106689314,forced,Mo,0.10814749,0.49348888,0.13910511,0.25925854,0.7407415
37,54.831,0.05960753335256409,0.005713331519310243,-0.13677704013451494,-0.31742596106689314,forced,Mo,0.07518484,0.5677652,0.12060881,0.23644118,0.7635588
38,54.791,0.062008087852107666,0.06503028522662965,-0.13677704013451494,-0.31742596106689314,forced,Mo,0.09979741,0.56503606,0.119244486,0.21592209,0.7840779
39,54.751,0.06153351153273236,0.044003099484599364,-0.13677704013451494,-0.31742596106689314,forced,Mo,0.055103507,0.6773193,0.08242861,0.18514861,0.8148514
39,54.751,0.06153351153273236,0.044003099484599364,-0.13677704013451494,-0.31742596106689314,forced,Mo,0.055103507,0.6773193,0.08242861,0.18514861,0.8148514
40,54.711,0.061474035749077165,0.04168519299348695,-0.13677704013451494,-0.31742596106689314,forced,Mo,0.079883344,0.67867535,0.08805449,0.15338686,0.84661317
41,54.672,0.06581616540258604,0.05016687013449253,-0.13677704013451494,-0.31742596106689314,forced,Mo,0.056628104,0.68392545,0.07459884,0.1848477,0.8151523
42,54.632,0.06466796976768045,0.004541509104133852,-0.13677704013451494,-0.31742596106689314,forced,Mo,0.051554076,0.720214,0.08065249,0.14757939,0.8524206
42,54.632,0.06466796976768045,0.004541509104133852,-0.13677704013451494,-0.31742596106689314,forced,Mo,0.051554076,0.720214,0.08065249,0.14757939,0.8524206
43,54.592,0.06512823356093779,0.017265056006922585,-0.13677704013451494,-0.31742596106689314,forced,Mo,0.048355788,0.7459058,0.07579977,0.12993863,0.8700614
44,54.552,0.06535537761217483,0.030556786726246444,-0.13677704013451494,-0.31742596106689314,forced,Mo,0.06821115,0.7272946,0.07410033,0.13039392,0.8696061
45,54.512,0.06491317560296594,0.04701555241231199,-0.13677704013451494,-0.31742596106689314,forced,Mo,0.07924724,0.66977733,0.089403935,0.1615715,0.8384285
45,54.512,0.06491317560296594,0.04701555241231199,-0.13677704013451494,-0.31742596106689314,forced,Mo,0.07924724,0.66977733,0.089403935,0.1615715,0.8384285
46,54.472,0.06386279787725678,0.07114424128409193,-0.13677704013451494,-0.31742596106689314,forced,Mo,0.08889762,0.5449763,0.11503741,0.25108865,0.7489114
47,54.433,0.07725389397023259,0.02776891058770061,-0.13677704013451494,-0.31742596106689314,forced,Mo,0.07024785,0.7553688,0.10064056,0.07374281,0.9262572
48,54.393,0.07174416967331085,0.005743436807620826,-0.13677704013451494,-0.31742596106689314,forced,Mo,0.052965622,0.82289344,0.0669177,0.05722313,0.94277686
48,54.393,0.07174416967331085,0.005743436807620826,-0.13677704013451494,-0.31742596106689314,forced,Mo,0.052965622,0.82289344,0.0669177,0.05722313,0.94277686
49,54.353,0.07220326765546846,0.013008339674059021,-0.13677704013451494,-0.31742596106689314,forced,Mo,0.05525541,0.7654594,0.084527105,0.094758,0.905242
50,54.313,0.06851752384589879,0.030346203710356526,-0.13677704013451494,-0.31742596106689314,forced,Mo,0.07279585,0.7020419,0.08683625,0.13832597,0.861674
51,54.273,0.07474605896345737,0.015810566580037204,-0.13677704013451494,-0.31742596106689314,forced,Mo,0.070413716,0.7671986,0.06824289,0.09414474,0.90585524
51,54.273,0.07474605896345737,0.015810566580037204,-0.13677704013451494,-0.31742596106689314,forced,Mo,0.070413716,0.7671986,0.06824289,0.09414474,0.90585524
52,54.233,0.08234361074270477,-0.02512712737007494,-0.13677704013451494,-0.31742596106689314,forced,Mo,0.032650046,0.86925787,0.041023728,0.057068296,0.9429317
53,54.194,0.07005562561480434,-0.0369483603663388,-0.13677704013451494,-0.31742596106689314,forced,Mo,0.028766297,0.8567023,0.04810346,0.066427864,0.9335721
54,54.154,0.07252527863733214,0.01717759215112453,-0.13677704013451494,-0.31742596106689314,forced,Mo,0.03449797,0.8330833,0.043809123,0.08860964,0.91139036
54,54.154,0.07252527863733214,0.01717759215112453,-0.13677704013451494,-0.31742596106689314,forced,Mo,0.03449797,0.8330833,0.043809123,0.08860964,0.91139036
55,54.114,0.07310525788526336,0.0391859117074629,-0.13677704013451494,-0.31742596106689314,forced,Mo,0.036469053,0.81028277,0.03991536,0.11333283,0.8866672
56,54.074,0.06936517168675829,0.01056495848829552,-0.13677704013451494,-0.31742596106689314,forced,Mo,0.05077605,0.7690324,0.05600371,0.12418778,0.87581223
57,54.034,0.07465898488776397,0.068297634170552,-0.13677704013451494,-0.31742596106689314,forced,Mo,0.08011676,0.7035664,0.09781053,0.11850625,0.88149375
