position,age_kyr_bp,variance,lag1_ac,ktau_variance,ktau_lag1_ac,segment_type,element,p_fold,p_hopf,p_transcritical,p_null,p_transition
28,55.189,0.33547896906289265,0.03269129612861281,-0.7535640701750634,-0.30968386445550555,forced,U,0.10516588,0.048596174,0.24950063,0.59673727,0.40326273
28,55.189,0.33547896906289265,0.03269129612861281,-0.7535640701750634,-0.30968386445550555,forced,U,0.10516588,0.048596174,0.24950063,0.59673727,0.40326273
29,55.149,0.332628844370707,0.05829315750754859,-0.7535640701750634,-0.30968386445550555,forced,U,0.10664262,0.05804006,0.20788148,0.62743586,0.37256414
30,55.11,0.32062898376537124,0.08622013329335493,-0.7535640701750634,-0.30968386445550555,forced,U,0.10884623,0.057606924,0.16935092,0.6641959,0.3358041
30,55.11,0.32062898376537124,0.08622013329335493,-0.7535640701750634,-0.30968386445550555,forced,U,0.10884623,0.057606924,0.16935092,0.6641959,0.3358041
31,55.07,0.31788412335391497,0.02963050822491241,-0.7535640701750634,-0.30968386445550555,forced,U,0.09934429,0.07403238,0.16914576,0.65747756,0.34252244
32,55.03,0.28498225291305723,0.15676933928213935,-0.7535640701750634,-0.30968386445550555,forced,U,0.09247648,0.05805093,0.17359531,0.67587733,0.32412267
33,54.99,0.2782347793303822,0.13120835618223714,-0.7535640701750634,-0.30968386445550555,forced,U,0.12195783,0.089186616,0.2024136,0.58644193,0.41355807
33,54.99,0.2782347793303822,0.13120835618223714,-0.7535640701750634,-0.30968386445550555,forced,U,0.12195783,0.089186616,0.2024136,0.58644193,0.41355807
34,54.95,0.254292465788703,0.132908006914837,-0.7535640701750634,-0.30968386445550555,forced,U,0.10745102,0.12147197,0.1493168,0.6217602,0.3782398
35,54.91,0.25587028755996527,0.13218366861748698,-0.7535640701750634,-0.30968386445550555,forced,U,0.120908484,0.14494517,0.1391985,0.5949479,0.40505213
36,54.871,0.2564723801776153,0.10957244746337916,-0.7535640701750634,-0.30968386445550555,forced,U,0.13565981,0.1397235,0.1349868,0.5896299,0.4103701
36,54.871,0.2564723801776153,0.10957244746337916,-0.7535640701750634,-0.30968386445550555,forced,U,0.13565981,0.1397235,0.1349868,0.5896299,0.4103701
37,54.831,0.24049466447210893,0.01392086446871971,-0.7535640701750634,-0.30968386445550555,forced,U,0.090158,0.1215173,0.12953116,0.65879357,0.34120643
38,54.791,0.24052622629966283,0.07862527843295519,-0.7535640701750634,-0.30968386445550555,forced,U,0.1025687,0.17038266,0.15403427,0.5730144,0.42698562
39,54.751,0.24236278134783026,0.06511369332167233,-0.7535640701750634,-0.30968386445550555,forced,U,0.09363485,0.2025756,0.12918149,0.574608,0.42539197
39,54.751,0.24236278134783026,0.06511369332167233,-0.7535640701750634,-0.30968386445550555,forced,U,0.09363485,0.2025756,0.12918149,0.574608,0.42539197
40,54.711,0.2676418967623089,0.08139993446829609,-0.7535640701750634,-0.30968386445550555,forced,U,0.07301274,0.18485107,0.12399091,0.6181453,0.3818547
41,54.672,0.20956642135696418,0.09145372896977019,-0.7535640701750634,-0.30968386445550555,forced,U,0.07523615,0.23529972,0.11870012,0.57076395,0.42923605
42,54.632,0.2074738317237843,0.14490624843805752,-0.7535640701750634,-0.30968386445550555,forced,U,0.08976473,0.29890952,0.120029256,0.49129653,0.5087035
42,54.632,0.2074738317237843,0.14490624843805752,-0.7535640701750634,-0.30968386445550555,forced,U,0.08976473,0.29890952,0.120029256,0.49129653,0.5087035
43,54.592,0.1720151349335606,0.14504205930642025,-0.7535640701750634,-0.30968386445550555,forced,U,0.09807842,0.24384432,0.119779855,0.5382974,0.4617026
44,54.552,0.17209306339784655,0.14545191443781125,-0.7535640701750634,-0.30968386445550555,forced,U,0.10018078,0.21945417,0.112652585,0.5677125,0.4322875
45,54.512,0.1669510920682538,0.14388084875606563,-0.7535640701750634,-0.30968386445550555,forced,U,0.09385817,0.20039465,0.105934635,0.5998125,0.4001875
45,54.512,0.1669510920682538,0.14388084875606563,-0.7535640701750634,-0.30968386445550555,forced,U,0.09385817,0.20039465,0.105934635,0.5998125,0.4001875
46,54.472,0.20559414392026262,0.11448478432501123,-0.7535640701750634,-0.30968386445550555,forced,U,0.10948617,0.23942696,0.103925094,0.5471618,0.45283818
47,54.433,0.20735119774679284,0.02920205012000112,-0.7535640701750634,-0.30968386445550555,forced,U,0.07477902,0.3371514,0.09213127,0.4959383,0.5040617
48,54.393,0.20726570475975029,0.04335878549023733,-0.7535640701750634,-0.30968386445550555,forced,U,0.07151187,0.27216074,0.09781988,0.55850756,0.44149244
48,54.393,0.20726570475975029,0.04335878549023733,-0.7535640701750634,-0.30968386445550555,forced,U,0.07151187,0.27216074,0.09781988,0.55850756,0.44149244
49,54.353,0.20730994097155944,0.04916987245063203,-0.7535640701750634,-0.30968386445550555,forced,U,0.07388211,0.28763887,0.08572761,0.5527515,0.44724852
50,54.313,0.20741267584408896,0.05014214049441168,-0.7535640701750634,-0.30968386445550555,forced,U,0.07921464,0.2556822,0.09140504,0.57369804,0.42630196
51,54.273,0.20786735714392074,0.0444179079831504,-0.7535640701750634,-0.30968386445550555,forced,U,0.076923616,0.22748779,0.091423,0.60416555,0.39583445
51,54.273,0.20786735714392074,0.0444179079831504,-0.7535640701750634,-0.30968386445550555,forced,U,0.076923616,0.22748779,0.091423,0.60416555,0.39583445
52,54.233,0.20324746958357048,-0.06131893334252051,-0.7535640701750634,-0.30968386445550555,forced,U,0.09238389,0.2158818,0.077205956,0.61452836,0.38547164
53,54.194,0.1429135211254866,-0.19133801589857305,-0.7535640701750634,-0.30968386445550555,forced,U,0.08174789,0.21252246,0.0859413,0.61978835,0.38021165
54,54.154,0.15016225502053437,-0.19195151407839742,-0.7535640701750634,-0.30968386445550555,forced,U,0.09251169,0.19695844,0.050312992,0.66021687,0.33978313
54,54.154,0.15016225502053437,-0.19195151407839742,-0.7535640701750634,-0.30968386445550555,forced,U,0.09251169,0.19695844,0.050312992,0.66021687,0.33978313
55,54.114,0.16555761876337846,-0.10509233091046034,-0.7535640701750634,-0.30968386445550555,forced,U,0.10546605,0.16398522,0.056160893,0.6743879,0.32561213
56,54.074,0.16375754453509384,-0.13488181534912527,-0.7535640701750634,-0.30968386445550555,forced,U,0.077176936,0.14834954,0.0722935,0.70218,0.29781997
57,54.034,0.16372194508609098,-0.1341232693558657,-0.7535640701750634,-0.30968386445550555,forced,U,0.09656499,0.1628931,0.079337895,0.66120404,0.33879596
