position,age_kyr_bp,variance,lag1_ac,ktau_variance,ktau_lag1_ac,segment_type,element,p_fold,p_hopf,p_transcritical,p_null,p_transition
73,13.266,1221.8079180995585,0.3450263106379571,-0.1268421052631579,-0.37689223057644117,neutral,Ba,0.05904027,0.8078635,0.08881732,0.04427894,0.9557211
74,13.242,1220.8068744434468,0.33320906418660673,-0.1268421052631579,-0.37689223057644117,neutral,Ba,0.09262386,0.7979466,0.073804766,0.03562476,0.96437526
76,13.194,1190.026788050477,0.3329895436481026,-0.1268421052631579,-0.37689223057644117,neutral,Ba,0.10887818,0.74005777,0.09790068,0.0531634,0.9468366
78,13.146,1181.395909966113,0.31951649749475375,-0.1268421052631579,-0.37689223057644117,neutral,Ba,0.067067415,0.7936944,0.078002475,0.061235804,0.9387642
80,13.097,1158.9904404772803,0.3521865667590142,-0.1268421052631579,-0.37689223057644117,neutral,Ba,0.09150828,0.76250666,0.08946288,0.05652222,0.94347775
82,13.049,1128.9779488229449,0.34191679757683396,-0.1268421052631579,-0.37689223057644117,neutral,Ba,0.09688241,0.73582757,0.08623689,0.08105315,0.91894686
84,13.001,1167.7870801503605,0.3554386350351315,-0.1268421052631579,-0.37689223057644117,neutral,Ba,0.08335064,0.73351717,0.094523765,0.08860846,0.91139156
86,12.953,1124.6957435774066,0.3572740717287749,-0.1268421052631579,-0.37689223057644117,neutral,Ba,0.050610855,0.8366396,0.052382536,0.060367044,0.93963295
87,12.929,1121.6188862070092,0.37670998877445566,-0.1268421052631579,-0.37689223057644117,neutral,Ba,0.080739394,0.80853516,0.06226061,0.0484648,0.9515352
89,12.881,1213.2855307963553,0.3848762480868391,-0.1268421052631579,-0.37689223057644117,neutral,Ba,0.09125058,0.7879811,0.09195976,0.02880857,0.9711914
91,12.833,1149.6877464178126,0.3658352574884013,-0.1268421052631579,-0.37689223057644117,neutral,Ba,0.14221166,0.70602494,0.11104495,0.040718514,0.9592815
93,12.785,1185.201289601876,0.36255256467647085,-0.1268421052631579,-0.37689223057644117,neutral,Ba,0.1497941,0.6672572,0.13265747,0.050291233,0.94970876
95,12.737,1211.926680916994,0.38109461682958784,-0.1268421052631579,-0.37689223057644117,neutral,Ba,0.13868554,0.6670338,0.15543526,0.03884539,0.9611546
97,12.689,1212.0750383168208,0.37974879279297324,-0.1268421052631579,-0.37689223057644117,neutral,Ba,0.17733361,0.65575,0.123353094,0.0435633,0.9564367
99,12.641,1266.867626903698,0.3846916768423752,-0.1268421052631579,-0.37689223057644117,neutral,Ba,0.15069586,0.62523973,0.16748184,0.0565826,0.94341743
101,12.592,1266.59756738003,0.3821606997443139,-0.1268421052631579,-0.37689223057644117,neutral,Ba,0.18961276,0.63980424,0.1269394,0.04364355,0.95635647
102,12.568,1266.1210040134454,0.38290805535377265,-0.1268421052631579,-0.37689223057644117,neutral,Ba,0.22849621,0.6120042,0.11610009,0.043399498,0.9566005
104,12.52,1236.074595410411,0.3809281862806449,-0.1268421052631579,-0.37689223057644117,neutral,Ba,0.32428584,0.5422157,0.10601058,0.027487792,0.9725122
106,12.472,1195.6409307978513,0.36804870353448793,-0.1268421052631579,-0.37689223057644117,neutral,Ba,0.27691773,0.56501746,0.12310123,0.034963623,0.9650364
108,12.424,1167.2663510693042,0.3662016846092272,-0.1268421052631579,-0.37689223057644117,neutral,Ba,0.37730882,0.48907387,0.11246537,0.021151867,0.97884816
110,12.376,1193.4153919711564,0.339601477047283,-0.1268421052631579,-0.37689223057644117,neutral,Ba,0.2749849,0.5720735,0.118930906,0.034010652,0.96598935
112,12.328,1108.8212996096977,0.2966393128582162,-0.1268421052631579,-0.37689223057644117,neutral,Ba,0.3564895,0.5047284,0.10947973,0.029302396,0.9706976
114,12.28,1092.6533813952449,0.2889668704925128,-0.1268421052631579,-0.37689223057644117,neutral,Ba,0.31341308,0.5241264,0.115311205,0.047149267,0.95285076
116,12.232,1110.9921622782367,0.3034902051794285,-0.1268421052631579,-0.37689223057644117,neutral,Ba,0.36253798,0.46227705,0.14822906,0.026955955,0.97304404
117,12.208,1142.722187527309,0.3186311020470899,-0.1268421052631579,-0.37689223057644117,neutral,Ba,0.3571978,0.43776688,0.18468426,0.020351076,0.97964895
119,12.159,1139.8969978650564,0.32470714705244486,-0.1268421052631579,-0.37689223057644117,neutral,Ba,0.38908777,0.45603114,0.1388426,0.016038502,0.9839615
121,12.111,1066.7459790170042,0.28593219445566154,-0.1268421052631579,-0.37689223057644117,neutral,Ba,0.45722413,0.4340684,0.10098671,0.007720788,0.99227923
123,12.063,1083.4392907072722,0.2706107275406327,-0.1268421052631579,-0.37689223057644117,neutral,Ba,0.30977204,0.5376456,0.1369421,0.01564026,0.98435974
125,12.015,973.9943876642204,0.2803681377775708,-0.1268421052631579,-0.37689223057644117,neutral,Ba,0.38540882,0.5100607,0.095895916,0.008634595,0.99136543
127,11.967,954.8757287906428,0.2858580149506043,-0.1268421052631579,-0.37689223057644117,neutral,Ba,0.2663926,0.608543,0.10954497,0.015519443,0.98448056
129,11.919,975.5706340806535,0.3085100482117793,-0.1268421052631579,-0.37689223057644117,neutral,Ba,0.30423084,0.5536719,0.13049605,0.011601258,0.98839873
