position,age_kyr_bp,variance,lag1_ac,ktau_variance,ktau_lag1_ac,segment_type,element,p_fold,p_hopf,p_transcritical,p_null,p_transition
73,13.266,0.47895748759736506,-0.038118841979854205,0.6333333333333333,0.4205128205128205,forced,U,0.21928026,0.29438278,0.2088867,0.2774503,0.7225497
74,13.242,0.5167703558878287,-0.018795603703388265,0.6333333333333333,0.4205128205128205,forced,U,0.28092572,0.2689798,0.26848844,0.18160604,0.81839395
76,13.194,0.5097711431741998,-0.034420774207296445,0.6333333333333333,0.4205128205128205,forced,U,0.27500406,0.2587043,0.25539744,0.21089418,0.78910583
78,13.146,0.5099710073304161,-0.029956967880369043,0.6333333333333333,0.4205128205128205,forced,U,0.20845293,0.35418078,0.23210907,0.20525722,0.79474276
80,13.097,0.5022905156958719,-0.015118456281108748,0.6333333333333333,0.4205128205128205,forced,U,0.20789628,0.3259328,0.24116443,0.22500649,0.77499354
82,13.049,0.4807911912226808,0.014170626509064477,0.6333333333333333,0.4205128205128205,forced,U,0.2151519,0.36313498,0.23543517,0.18627797,0.813722
84,13.001,0.4872440045712968,0.016208502086129443,0.6333333333333333,0.4205128205128205,forced,U,0.24551086,0.31401604,0.24840313,0.19207002,0.80793
86,12.953,0.5026743637876567,-0.0001740804930369256,0.6333333333333333,0.4205128205128205,forced,U,0.19073474,0.38256937,0.19529767,0.23139822,0.7686018
87,12.929,0.5002555424549655,0.012156008604032457,0.6333333333333333,0.4205128205128205,forced,U,0.19698207,0.40421075,0.20029227,0.19851486,0.8014851
89,12.881,0.49690801089810116,0.0015016623174216295,0.6333333333333333,0.4205128205128205,forced,U,0.1990754,0.29492882,0.20859216,0.2974036,0.7025964
91,12.833,0.5125713784028053,-0.011153748566310339,0.6333333333333333,0.4205128205128205,forced,U,0.1639465,0.32400563,0.17928672,0.3327612,0.66723883
93,12.785,0.5169473896609424,0.0025084636852988037,0.6333333333333333,0.4205128205128205,forced,U,0.21095522,0.27226862,0.20312229,0.3136539,0.6863461
95,12.737,0.5030546176408129,0.02815610825718116,0.6333333333333333,0.4205128205128205,forced,U,0.19068421,0.16750911,0.22569594,0.41611066,0.58388937
97,12.689,0.5101827886345632,0.002349547769508307,0.6333333333333333,0.4205128205128205,forced,U,0.17769225,0.18879023,0.20799522,0.42552227,0.57447773
99,12.641,0.5173865882097197,0.017009658873250646,0.6333333333333333,0.4205128205128205,forced,U,0.16973144,0.14155899,0.19389059,0.49481893,0.5051811
101,12.592,0.5264557798066885,0.04594894687690713,0.6333333333333333,0.4205128205128205,forced,U,0.1913546,0.1426135,0.23045059,0.43558133,0.5644187
102,12.568,0.5216715861934424,0.01311683076565673,0.6333333333333333,0.4205128205128205,forced,U,0.16812652,0.19433929,0.19538797,0.44214624,0.55785376
104,12.52,0.5306234164954575,-0.03537394827876653,0.6333333333333333,0.4205128205128205,forced,U,0.14569977,0.18310428,0.14830238,0.52289367,0.47710633
106,12.472,0.530590911000528,-0.025747892102597994,0.6333333333333333,0.4205128205128205,forced,U,0.22202058,0.14212406,0.22614394,0.40971142,0.5902886
108,12.424,0.5350903161095911,-0.034223056815764395,0.6333333333333333,0.4205128205128205,forced,U,0.18472731,0.15295792,0.19924551,0.4630692,0.5369308
110,12.376,0.5230375148313791,0.01568017491489942,0.6333333333333333,0.4205128205128205,forced,U,0.21682644,0.17257793,0.21474858,0.39584702,0.604153
112,12.328,0.4970815750032986,-0.0010487179337132124,0.6333333333333333,0.4205128205128205,forced,U,0.18407345,0.14752148,0.2132538,0.45515126,0.54484874
114,12.28,0.5063649403647843,-0.022081270323127816,0.6333333333333333,0.4205128205128205,forced,U,0.18294856,0.13819407,0.19451377,0.48434365,0.51565635
116,12.232,0.5118762934544221,-0.07934358041158526,0.6333333333333333,0.4205128205128205,forced,U,0.19136138,0.19641708,0.19636612,0.41585547,0.58414453
117,12.208,0.5122253909181128,-0.10109401566572962,0.6333333333333333,0.4205128205128205,forced,U,0.20816228,0.17745033,0.19467841,0.419709,0.58029103
119,12.159,0.5573651018506856,-0.02876286676292813,0.6333333333333333,0.4205128205128205,forced,U,0.24273182,0.46707895,0.21777484,0.07241436,0.92758566
121,12.111,0.559126271874254,-0.02915983446241936,0.6333333333333333,0.4205128205128205,forced,U,0.2363707,0.32921177,0.2489077,0.18550985,0.81449014
123,12.063,0.5710629442342179,-0.007916015706948503,0.6333333333333333,0.4205128205128205,forced,U,0.23374966,0.3139209,0.3061315,0.146198,0.85380197
125,12.015,0.5681140910035553,-0.00462303270490258,0.6333333333333333,0.4205128205128205,forced,U,0.26453876,0.29858664,0.3037055,0.13316911,0.8668309
127,11.967,0.5445208620825802,0.026651780402010758,0.6333333333333333,0.4205128205128205,forced,U,0.28327048,0.28851703,0.30222002,0.12599245,0.8740076
