position,age_kyr_bp,variance,lag1_ac,ktau_variance,ktau_lag1_ac,segment_type,element,p_fold,p_hopf,p_transcritical,p_null,p_transition
51,23.728,1252896.0957609902,-0.22783731196113224,0.0680413016270338,-0.12055694618272843,neutral,Al,0.05751972,0.4892328,0.08567307,0.3675744,0.6324256
52,23.704,1243353.7180615782,-0.24176530817463082,0.0680413016270338,-0.12055694618272843,neutral,Al,0.06267629,0.49399436,0.11451045,0.3288189,0.6711811
53,23.68,1263079.2457491937,-0.24295518626097384,0.0680413016270338,-0.12055694618272843,neutral,Al,0.08415007,0.45160013,0.09007066,0.37417915,0.6258209
54,23.656,1277041.9579587486,-0.2534564962796298,0.0680413016270338,-0.12055694618272843,neutral,Al,0.069140084,0.38461643,0.0949323,0.4513112,0.54868877
56,23.608,1250856.0932514106,-0.27591211876868865,0.0680413016270338,-0.12055694618272843,neutral,Al,0.06555995,0.4033417,0.09368366,0.4374147,0.5625853
57,23.584,1282654.5096796562,-0.30078739368978924,0.0680413016270338,-0.12055694618272843,neutral,Al,0.06262324,0.60716766,0.06273533,0.2674738,0.7325262
58,23.559,1244380.3804477684,-0.33906951999511115,0.0680413016270338,-0.12055694618272843,neutral,Al,0.059085,0.5498122,0.09251024,0.29859263,0.7014074
60,23.511,1245180.2351166662,-0.37011153956597315,0.0680413016270338,-0.12055694618272843,neutral,Al,0.04814585,0.65207934,0.050761983,0.24901289,0.7509871
61,23.487,1196818.539296033,-0.4409829611766724,0.0680413016270338,-0.12055694618272843,neutral,Al,0.052523434,0.610967,0.067221396,0.2692882,0.7307118
62,23.463,1117597.8984657251,-0.43675909824969633,0.0680413016270338,-0.12055694618272843,neutral,Al,0.05853168,0.5088384,0.08024688,0.35238302,0.647617
64,23.415,1098988.2212470085,-0.4817354867871719,0.0680413016270338,-0.12055694618272843,neutral,Al,0.08625628,0.35617328,0.09459106,0.4629794,0.53702056
65,23.391,1064934.3684520284,-0.4679289563737505,0.0680413016270338,-0.12055694618272843,neutral,Al,0.11557879,0.3216383,0.09240751,0.47037545,0.5296246
66,23.367,1065601.7641441927,-0.44566837817427407,0.0680413016270338,-0.12055694618272843,neutral,Al,0.14704409,0.24805905,0.08452322,0.5203737,0.4796263
