position,age_kyr_bp,variance,lag1_ac,ktau_variance,ktau_lag1_ac,segment_type,element,p_fold,p_hopf,p_transcritical,p_null,p_transition
51,23.728,0.1501243962202368,0.18604908733264866,0.33846153846153854,-0.358974358974359,forced,Mo,0.14010473,0.58825,0.20393308,0.06771219,0.9322878
52,23.704,0.1494051393131017,0.18148552535674545,0.33846153846153854,-0.358974358974359,forced,Mo,0.15264055,0.55802697,0.22087182,0.06846062,0.93153936
53,23.68,0.14947781258230702,0.21513390487793263,0.33846153846153854,-0.358974358974359,forced,Mo,0.15236118,0.5473116,0.23975341,0.060573753,0.93942624
54,23.656,0.15345304956082256,0.23440994121767314,0.33846153846153854,-0.358974358974359,forced,Mo,0.16157904,0.56558746,0.23803142,0.034802075,0.9651979
56,23.608,0.1471113259556767,0.20016844191395622,0.33846153846153854,-0.358974358974359,forced,Mo,0.1535159,0.6212592,0.19902854,0.026196355,0.97380364
57,23.584,0.15123105929186684,0.20746974340044289,0.33846153846153854,-0.358974358974359,forced,Mo,0.14384547,0.61952794,0.21470419,0.021922434,0.9780776
58,23.559,0.1552587296697105,0.14618525060798257,0.33846153846153854,-0.358974358974359,forced,Mo,0.14801866,0.6647983,0.16117358,0.026009463,0.97399056
60,23.511,0.14695443521845333,0.17871351346424616,0.33846153846153854,-0.358974358974359,forced,Mo,0.12131617,0.6793225,0.17295955,0.026401745,0.97359824
61,23.487,0.1493301726606978,0.1880038370272299,0.33846153846153854,-0.358974358974359,forced,Mo,0.100017585,0.69748604,0.18183583,0.02066059,0.9793394
62,23.463,0.14929243829571714,0.17465512268588607,0.33846153846153854,-0.358974358974359,forced,Mo,0.09483613,0.7451933,0.1416178,0.018352857,0.98164713
64,23.415,0.14879393247244868,0.18487680457880157,0.33846153846153854,-0.358974358974359,forced,Mo,0.12525092,0.71087426,0.15011056,0.013764229,0.9862358
65,23.391,0.14976524745075578,0.18898831111202746,0.33846153846153854,-0.358974358974359,forced,Mo,0.13800094,0.6922923,0.15728396,0.012422793,0.9875772
66,23.367,0.15481294597817274,0.17151163073057296,0.33846153846153854,-0.358974358974359,forced,Mo,0.10991094,0.6844663,0.18559462,0.020028047,0.97997195
68,23.319,0.15130017296388573,0.06707257066382347,0.33846153846153854,-0.358974358974359,forced,Mo,0.1008592,0.6724707,0.20646793,0.020202186,0.97979784
69,23.295,0.1472761957958651,0.031168589498105394,0.33846153846153854,-0.358974358974359,forced,Mo,0.10711229,0.64896345,0.21996719,0.02395704,0.976043
70,23.271,0.13819398151221846,-0.07661109281751946,0.33846153846153854,-0.358974358974359,forced,Mo,0.11999954,0.6149107,0.24295844,0.022131402,0.9778686
71,23.247,0.11884988037147304,-0.10217134131275125,0.33846153846153854,-0.358974358974359,forced,Mo,0.14104564,0.6399346,0.20362921,0.015390584,0.9846094
73,23.199,0.12216040385958277,-0.11723942993052168,0.33846153846153854,-0.358974358974359,forced,Mo,0.12241376,0.67405117,0.18888116,0.014653936,0.9853461
74,23.175,0.12035036898426638,-0.17585597786241358,0.33846153846153854,-0.358974358974359,forced,Mo,0.12185215,0.66965693,0.19894095,0.00955008,0.9904499
75,23.151,0.11338765756342038,-0.18087250111577227,0.33846153846153854,-0.358974358974359,forced,Mo,0.11970727,0.6539239,0.21761507,0.0087537775,0.9912462
77,23.103,0.1222578607933444,-0.14309957132491008,0.33846153846153854,-0.358974358974359,forced,Mo,0.14096172,0.6770449,0.17753659,0.0044567073,0.9955433
78,23.078,0.12925701688382404,-0.12718769206236027,0.33846153846153854,-0.358974358974359,forced,Mo,0.14053679,0.7136962,0.14274897,0.0030180598,0.9969819
79,23.054,0.1468500666722438,-0.014575313284362859,0.33846153846153854,-0.358974358974359,forced,Mo,0.17170517,0.68229336,0.14333196,0.0026694655,0.99733055
81,23.006,0.15186676056739942,0.04555855267209061,0.33846153846153854,-0.358974358974359,forced,Mo,0.21174906,0.60355234,0.18106778,0.0036308009,0.9963692
82,22.982,0.1561576323540305,0.07534125844188205,0.33846153846153854,-0.358974358974359,forced,Mo,0.20486453,0.61792934,0.17340037,0.003805774,0.99619424
83,22.958,0.1689227621318082,0.030424555174971214,0.33846153846153854,-0.358974358974359,forced,Mo,0.14908889,0.662181,0.1849056,0.003824481,0.9961755
85,22.91,0.1740655380366388,0.02490950910797304,0.33846153846153854,-0.358974358974359,forced,Mo,0.14581196,0.6834385,0.16623092,0.004518607,0.9954814
86,22.886,0.17470901818936516,0.04448429536363974,0.33846153846153854,-0.358974358974359,forced,Mo,0.16550915,0.63335854,0.19531354,0.0058187596,0.9941812
87,22.862,0.16438486543071815,0.04436192412063689,0.33846153846153854,-0.358974358974359,forced,Mo,0.17090929,0.6106699,0.21136335,0.0070574484,0.9929426
88,22.838,0.167131829739374,0.05284374299100319,0.33846153846153854,-0.358974358974359,forced,Mo,0.17742687,0.60865873,0.20708014,0.0068342453,0.99316573
90,22.79,0.16572342688110936,0.05969125022759428,0.33846153846153854,-0.358974358974359,forced,Mo,0.17087846,0.5683012,0.2481045,0.012715823,0.9872842
91,22.766,0.16012504871031796,0.11994367998039249,0.33846153846153854,-0.358974358974359,forced,Mo,0.18133311,0.5404399,0.26237327,0.01585375,0.98414624
92,22.742,0.14864977948331892,0.11232525509017789,0.33846153846153854,-0.358974358974359,forced,Mo,0.19213264,0.51889575,0.27378982,0.015181727,0.9848183
94,22.694,0.1521595513366642,0.09732842890724035,0.33846153846153854,-0.358974358974359,forced,Mo,0.18380828,0.5303184,0.26812312,0.017750192,0.9822498
95,22.67,0.15303679058381608,0.11164361297667937,0.33846153846153854,-0.358974358974359,forced,Mo,0.18527006,0.51226467,0.27472225,0.027743055,0.97225696
96,22.646,0.16238196299490973,0.08756977738455682,0.33846153846153854,-0.358974358974359,forced,Mo,0.17331967,0.5906316,0.21707971,0.018969145,0.9810309
98,22.597,0.19124582624465136,0.03577124736722689,0.33846153846153854,-0.358974358974359,forced,Mo,0.18415102,0.6339662,0.17470227,0.0071805073,0.9928195
99,22.573,0.18533266177542576,-0.036252461755130645,0.33846153846153854,-0.358974358974359,forced,Mo,0.15547316,0.6110903,0.21580487,0.01763165,0.98236835
100,22.549,0.1769750499599591,-0.0440993735305606,0.33846153846153854,-0.358974358974359,forced,Mo,0.16986926,0.57809705,0.22981022,0.02222356,0.97777647
102,22.501,0.17725771042079064,-0.04919611083100188,0.33846153846153854,-0.358974358974359,forced,Mo,0.19795096,0.53461736,0.24172594,0.025705649,0.97429436
