position,age_kyr_bp,variance,lag1_ac,ktau_variance,ktau_lag1_ac,segment_type,element,p_fold,p_hopf,p_transcritical,p_null,p_transition
21,25.532,0.22717636693705545,0.004597123291009447,0.7764567183390475,-0.2786948154305429,neutral,Mo,0.05340375,0.044781946,0.40544927,0.49636504,0.5036349
21,25.532,0.22717636693705545,0.004597123291009447,0.7764567183390475,-0.2786948154305429,neutral,Mo,0.05340375,0.044781946,0.40544927,0.49636504,0.5036349
22,25.508,0.20875862008716842,-0.055729519214591045,0.7764567183390475,-0.2786948154305429,neutral,Mo,0.07512107,0.041142333,0.29597116,0.58776546,0.41223454
22,25.508,0.20875862008716842,-0.055729519214591045,0.7764567183390475,-0.2786948154305429,neutral,Mo,0.07512107,0.041142333,0.29597116,0.58776546,0.41223454
23,25.484,0.22492053866831463,-0.017684076138564854,0.7764567183390475,-0.2786948154305429,neutral,Mo,0.07153045,0.019875847,0.27724603,0.63134766,0.36865234
23,25.484,0.22492053866831463,-0.017684076138564854,0.7764567183390475,-0.2786948154305429,neutral,Mo,0.07153045,0.019875847,0.27724603,0.63134766,0.36865234
24,25.459,0.22414426793553593,-0.015520769479410909,0.7764567183390475,-0.2786948154305429,neutral,Mo,0.081066884,0.037319094,0.26532605,0.61628795,0.38371205
24,25.459,0.22414426793553593,-0.015520769479410909,0.7764567183390475,-0.2786948154305429,neutral,Mo,0.081066884,0.037319094,0.26532605,0.61628795,0.38371205
25,25.435,0.2293231749010228,-0.021383605952773502,0.7764567183390475,-0.2786948154305429,neutral,Mo,0.09177905,0.025249783,0.25488254,0.6280887,0.3719113
26,25.411,0.24381846622315897,0.02432618234858966,0.7764567183390475,-0.2786948154305429,neutral,Mo,0.09580704,0.014477169,0.3010397,0.5886761,0.4113239
26,25.411,0.24381846622315897,0.02432618234858966,0.7764567183390475,-0.2786948154305429,neutral,Mo,0.09580704,0.014477169,0.3010397,0.5886761,0.4113239
27,25.387,0.24675778007206123,0.05283625443621885,0.7764567183390475,-0.2786948154305429,neutral,Mo,0.117684186,0.014698054,0.2787407,0.5888771,0.41112292
27,25.387,0.24675778007206123,0.05283625443621885,0.7764567183390475,-0.2786948154305429,neutral,Mo,0.117684186,0.014698054,0.2787407,0.5888771,0.41112292
28,25.363,0.237817322713704,0.034005164607659955,0.7764567183390475,-0.2786948154305429,neutral,Mo,0.11046626,0.013574012,0.2508859,0.6250738,0.3749262
28,25.363,0.237817322713704,0.034005164607659955,0.7764567183390475,-0.2786948154305429,neutral,Mo,0.11046626,0.013574012,0.2508859,0.6250738,0.3749262
29,25.339,0.27556633042908796,0.0023993263610249363,0.7764567183390475,-0.2786948154305429,neutral,Mo,0.11842144,0.020119386,0.3127986,0.5486605,0.45133948
30,25.315,0.2841009076711557,0.04797078001163387,0.7764567183390475,-0.2786948154305429,neutral,Mo,0.17146018,0.016443992,0.3732525,0.43884334,0.56115663
30,25.315,0.2841009076711557,0.04797078001163387,0.7764567183390475,-0.2786948154305429,neutral,Mo,0.17146018,0.016443992,0.3732525,0.43884334,0.56115663
31,25.291,0.3035345437231176,-0.03404657607982791,0.7764567183390475,-0.2786948154305429,neutral,Mo,0.08095839,0.033254243,0.31395832,0.571829,0.42817098
31,25.291,0.3035345437231176,-0.03404657607982791,0.7764567183390475,-0.2786948154305429,neutral,Mo,0.08095839,0.033254243,0.31395832,0.571829,0.42817098
32,25.267,0.3076818779010068,0.02110523263285667,0.7764567183390475,-0.2786948154305429,neutral,Mo,0.114725366,0.03931995,0.2498291,0.59612554,0.40387446
32,25.267,0.3076818779010068,0.02110523263285667,0.7764567183390475,-0.2786948154305429,neutral,Mo,0.114725366,0.03931995,0.2498291,0.59612554,0.40387446
33,25.243,0.2792516326876112,-0.10452291759640965,0.7764567183390475,-0.2786948154305429,neutral,Mo,0.11753041,0.03829041,0.2308795,0.6132997,0.38670027
33,25.243,0.2792516326876112,-0.10452291759640965,0.7764567183390475,-0.2786948154305429,neutral,Mo,0.11753041,0.03829041,0.2308795,0.6132997,0.38670027
34,25.219,0.3671311628135113,-0.024918903857505045,0.7764567183390475,-0.2786948154305429,neutral,Mo,0.11617452,0.3722834,0.42158872,0.089953415,0.9100466
35,25.195,0.3696471794438489,-0.07252290900807518,0.7764567183390475,-0.2786948154305429,neutral,Mo,0.087314196,0.5090644,0.24986589,0.15375547,0.8462445
35,25.195,0.3696471794438489,-0.07252290900807518,0.7764567183390475,-0.2786948154305429,neutral,Mo,0.087314196,0.5090644,0.24986589,0.15375547,0.8462445
36,25.171,0.4040450023603392,-0.03277792279734377,0.7764567183390475,-0.2786948154305429,neutral,Mo,0.05194164,0.62215734,0.17360266,0.15229838,0.8477016
36,25.171,0.4040450023603392,-0.03277792279734377,0.7764567183390475,-0.2786948154305429,neutral,Mo,0.05194164,0.62215734,0.17360266,0.15229838,0.8477016
37,25.147,0.4073189295615395,0.005964824765512463,0.7764567183390475,-0.2786948154305429,neutral,Mo,0.06028643,0.68257713,0.14382307,0.11331334,0.8866867
37,25.147,0.4073189295615395,0.005964824765512463,0.7764567183390475,-0.2786948154305429,neutral,Mo,0.06028643,0.68257713,0.14382307,0.11331334,0.8866867
38,25.123,0.4263745708462448,0.034464321988575554,0.7764567183390475,-0.2786948154305429,neutral,Mo,0.056551732,0.54211164,0.203724,0.19761261,0.80238736
39,25.099,0.4650582856052904,-0.06412956148012154,0.7764567183390475,-0.2786948154305429,neutral,Mo,0.085533075,0.59483373,0.19175167,0.12788145,0.87211853
39,25.099,0.4650582856052904,-0.06412956148012154,0.7764567183390475,-0.2786948154305429,neutral,Mo,0.085533075,0.59483373,0.19175167,0.12788145,0.87211853
40,25.075,0.4057498128574525,-0.03260868788641149,0.7764567183390475,-0.2786948154305429,neutral,Mo,0.05943866,0.6435503,0.14972626,0.14728485,0.85271513
40,25.075,0.4057498128574525,-0.03260868788641149,0.7764567183390475,-0.2786948154305429,neutral,Mo,0.05943866,0.6435503,0.14972626,0.14728485,0.85271513
41,25.051,0.3864152551666971,-0.06978448376848795,0.7764567183390475,-0.2786948154305429,neutral,Mo,0.08609068,0.5612972,0.1796171,0.17299508,0.8270049
41,25.051,0.3864152551666971,-0.06978448376848795,0.7764567183390475,-0.2786948154305429,neutral,Mo,0.08609068,0.5612972,0.1796171,0.17299508,0.8270049
42,25.027,0.3891743156263882,-0.07316535390584268,0.7764567183390475,-0.2786948154305429,neutral,Mo,0.07900315,0.48553973,0.20195954,0.23349753,0.7665025
43,25.003,0.3897920223285662,-0.07771302238899279,0.7764567183390475,-0.2786948154305429,neutral,Mo,0.0989748,0.4933305,0.17937313,0.22832154,0.77167845
