position,age_kyr_bp,variance,lag1_ac,ktau_variance,ktau_lag1_ac,segment_type,element,p_fold,p_hopf,p_transcritical,p_null,p_transition
51,23.728,0.5090877410401569,-0.07293933944631335,0.04992481203007519,0.24471177944862157,neutral,U,0.03772846,0.74764645,0.039919127,0.17470603,0.82529396
52,23.704,0.5093430548450897,-0.0766341279916266,0.04992481203007519,0.24471177944862157,neutral,U,0.037955467,0.75837165,0.038503338,0.16516952,0.83483046
53,23.68,0.48856080461481766,-0.05835089022681865,0.04992481203007519,0.24471177944862157,neutral,U,0.043079995,0.7150575,0.04601402,0.19584851,0.8041515
54,23.656,0.4861642137490959,-0.056187867415695536,0.04992481203007519,0.24471177944862157,neutral,U,0.052573618,0.6554397,0.05636643,0.23562025,0.76437974
56,23.608,0.4703742103444695,-0.04287260867035077,0.04992481203007519,0.24471177944862157,neutral,U,0.07150862,0.6415603,0.050489772,0.23644128,0.76355875
57,23.584,0.5366792429094613,-0.034786700601218044,0.04992481203007519,0.24471177944862157,neutral,U,0.11244123,0.7692448,0.05253829,0.06577561,0.93422437
58,23.559,0.5392661579964,-0.057212059788689575,0.04992481203007519,0.24471177944862157,neutral,U,0.04405894,0.82730633,0.058609396,0.07002527,0.92997473
60,23.511,0.5446504306709687,-0.04411182804703765,0.04992481203007519,0.24471177944862157,neutral,U,0.026343735,0.9024881,0.027362967,0.04380522,0.95619476
61,23.487,0.5553311242183341,-0.06722004475715397,0.04992481203007519,0.24471177944862157,neutral,U,0.016923469,0.9111335,0.031650264,0.040292695,0.9597073
62,23.463,0.5570025535623024,-0.07217464590852482,0.04992481203007519,0.24471177944862157,neutral,U,0.028845761,0.88760334,0.031359006,0.05219186,0.94780815
64,23.415,0.5337110587866788,-0.08133207124639857,0.04992481203007519,0.24471177944862157,neutral,U,0.03189698,0.8576603,0.03483164,0.07561118,0.9243888
65,23.391,0.5284068619518952,-0.07620903792988575,0.04992481203007519,0.24471177944862157,neutral,U,0.036242068,0.81063193,0.041152123,0.111973874,0.8880261
66,23.367,0.5266240117221542,-0.06286747990632145,0.04992481203007519,0.24471177944862157,neutral,U,0.04297257,0.7832561,0.042315215,0.13145614,0.86854386
68,23.319,0.49892499655913347,-0.114659592544514,0.04992481203007519,0.24471177944862157,neutral,U,0.06791679,0.7549784,0.037236013,0.13986892,0.8601311
69,23.295,0.49859548277728316,-0.09236746968733364,0.04992481203007519,0.24471177944862157,neutral,U,0.083115615,0.7606867,0.044304818,0.11189288,0.8881071
70,23.271,0.4969348824547988,-0.10640025291018097,0.04992481203007519,0.24471177944862157,neutral,U,0.11477565,0.7127994,0.056555256,0.11586972,0.8841303
71,23.247,0.5062185672498694,-0.08598703176566068,0.04992481203007519,0.24471177944862157,neutral,U,0.16510692,0.6697244,0.070520006,0.09464874,0.9053513
73,23.199,0.5056630392298215,-0.12198587729698614,0.04992481203007519,0.24471177944862157,neutral,U,0.0914072,0.76828384,0.060726337,0.07958258,0.9204174
74,23.175,0.5311320543215069,-0.10288362327908003,0.04992481203007519,0.24471177944862157,neutral,U,0.0828829,0.8255651,0.04966114,0.04189093,0.9581091
75,23.151,0.5307649856172527,-0.10042301075864267,0.04992481203007519,0.24471177944862157,neutral,U,0.08139273,0.8160036,0.051975124,0.050628524,0.94937146
77,23.103,0.5209832560583556,-0.10963255936401671,0.04992481203007519,0.24471177944862157,neutral,U,0.13513637,0.6697539,0.06963455,0.12547511,0.8745249
78,23.078,0.5277073593053135,-0.11587006280048635,0.04992481203007519,0.24471177944862157,neutral,U,0.14703201,0.66143197,0.06663304,0.12490296,0.87509704
79,23.054,0.5120451833189764,-0.10102435940303571,0.04992481203007519,0.24471177944862157,neutral,U,0.1444224,0.64752084,0.07261187,0.13544483,0.8645552
81,23.006,0.5182712950327789,-0.10973934657067776,0.04992481203007519,0.24471177944862157,neutral,U,0.16411577,0.6500617,0.06945249,0.116370045,0.88363
82,22.982,0.5356306898158012,-0.13738896691645655,0.04992481203007519,0.24471177944862157,neutral,U,0.0807484,0.80273455,0.049681544,0.066835575,0.9331644
83,22.958,0.5794638445589166,-0.06855658381805287,0.04992481203007519,0.24471177944862157,neutral,U,0.09481284,0.7873732,0.06266149,0.055152453,0.9448475
85,22.91,0.5296382384359039,-0.05776924196521805,0.04992481203007519,0.24471177944862157,neutral,U,0.031028166,0.9263708,0.030620905,0.0119801285,0.9880199
86,22.886,0.516696502136688,-0.006353111950616184,0.04992481203007519,0.24471177944862157,neutral,U,0.047076765,0.9028579,0.036935937,0.013129465,0.9868705
87,22.862,0.5100901585365234,0.011593126817995696,0.04992481203007519,0.24471177944862157,neutral,U,0.06232388,0.85833997,0.060464513,0.018871643,0.98112833
88,22.838,0.5024055218773403,-0.010334512774420894,0.04992481203007519,0.24471177944862157,neutral,U,0.12834775,0.7416776,0.10741824,0.02255644,0.9774436
90,22.79,0.5416916330287254,-0.0027566119583143913,0.04992481203007519,0.24471177944862157,neutral,U,0.15764685,0.71018034,0.11481543,0.017357398,0.9826426
91,22.766,0.5392555967023799,-0.003088756629499563,0.04992481203007519,0.24471177944862157,neutral,U,0.17355335,0.6806624,0.12896709,0.016817212,0.9831828
92,22.742,0.5394285524270361,-0.005880379373303133,0.04992481203007519,0.24471177944862157,neutral,U,0.19990675,0.64225477,0.14011121,0.017727287,0.9822727
94,22.694,0.5405621967558668,-0.021964476184491495,0.04992481203007519,0.24471177944862157,neutral,U,0.2377702,0.5781951,0.1633001,0.020734575,0.97926545
95,22.67,0.5534684487614643,-0.01669975119863388,0.04992481203007519,0.24471177944862157,neutral,U,0.20721094,0.6190537,0.13732535,0.036410037,0.96358997
96,22.646,0.5727898248807325,0.032899907323397565,0.04992481203007519,0.24471177944862157,neutral,U,0.20763302,0.62870747,0.13821553,0.025443956,0.974556
98,22.597,0.6033945220410779,0.02970278338165099,0.04992481203007519,0.24471177944862157,neutral,U,0.12842844,0.72267336,0.13478914,0.0141089875,0.985891
99,22.573,0.6031140462351281,0.036231807637971285,0.04992481203007519,0.24471177944862157,neutral,U,0.1525758,0.69799393,0.13422959,0.015200561,0.98479944
