position,age_kyr_bp,variance,lag1_ac,ktau_variance,ktau_lag1_ac,segment_type,element,p_fold,p_hopf,p_transcritical,p_null,p_transition
31,23.803,2113670.361718193,0.674178175991375,0.08886117313178601,-0.5705144883678436,forced,Al,0.056465887,0.13944554,0.50257015,0.3015184,0.69848156
31,23.803,2113670.361718193,0.674178175991375,0.08886117313178601,-0.5705144883678436,forced,Al,0.056465887,0.13944554,0.50257015,0.3015184,0.69848156
32,23.763,2134818.8953736625,0.6837560458979332,0.08886117313178601,-0.5705144883678436,forced,Al,0.056976218,0.13792515,0.5039062,0.3011925,0.6988075
33,23.724,2054016.71239856,0.667670309610388,0.08886117313178601,-0.5705144883678436,forced,Al,0.05713127,0.13718522,0.5047228,0.30096072,0.6990393
34,23.684,1906679.4652373781,0.6226874138000621,0.08886117313178601,-0.5705144883678436,forced,Al,0.058261022,0.13559408,0.50564575,0.30049914,0.69950086
35,23.644,1752377.257561538,0.5994381371761551,0.08886117313178601,-0.5705144883678436,forced,Al,0.059363693,0.13426602,0.5057739,0.3005964,0.69940364
35,23.644,1752377.257561538,0.5994381371761551,0.08886117313178601,-0.5705144883678436,forced,Al,0.059363693,0.13426602,0.5057739,0.3005964,0.69940364
36,23.604,1668418.7037388973,0.6035159241583375,0.08886117313178601,-0.5705144883678436,forced,Al,0.06062641,0.13298422,0.5072566,0.2991327,0.7008673
37,23.564,1669450.132134266,0.6052681234685622,0.08886117313178601,-0.5705144883678436,forced,Al,0.061513983,0.13220371,0.5081292,0.29815307,0.70184696
38,23.524,1610692.1593025746,0.595835946523203,0.08886117313178601,-0.5705144883678436,forced,Al,0.06255006,0.13112217,0.51004887,0.29627895,0.70372105
39,23.485,1610326.767521837,0.6292728617259229,0.08886117313178601,-0.5705144883678436,forced,Al,0.062119786,0.13124679,0.50894326,0.29769024,0.7023097
40,23.445,1736830.1574065958,0.638974307662279,0.08886117313178601,-0.5705144883678436,forced,Al,0.06022667,0.13200675,0.50211984,0.30564678,0.6943532
40,23.445,1736830.1574065958,0.638974307662279,0.08886117313178601,-0.5705144883678436,forced,Al,0.06022667,0.13200675,0.50211984,0.30564678,0.6943532
41,23.405,1844758.9937370333,0.6683595422844496,0.08886117313178601,-0.5705144883678436,forced,Al,0.0592374,0.13300416,0.49635136,0.31140712,0.6885929
42,23.365,1877972.941756641,0.6787619003050567,0.08886117313178601,-0.5705144883678436,forced,Al,0.058634374,0.13366435,0.49419522,0.313506,0.686494
43,23.325,1900265.5709991609,0.6848863552423458,0.08886117313178601,-0.5705144883678436,forced,Al,0.058302775,0.13376202,0.4935121,0.31442302,0.685577
44,23.285,1892552.9058342087,0.685606775641845,0.08886117313178601,-0.5705144883678436,forced,Al,0.05872262,0.13303104,0.49471197,0.31353438,0.6864656
44,23.285,1892552.9058342087,0.685606775641845,0.08886117313178601,-0.5705144883678436,forced,Al,0.05872262,0.13303104,0.49471197,0.31353438,0.6864656
45,23.246,2316518.5584842493,0.6029935549133605,0.08886117313178601,-0.5705144883678436,forced,Al,0.059000663,0.13712461,0.48788762,0.3159871,0.6840129
46,23.206,2384005.793611944,0.48404383706884097,0.08886117313178601,-0.5705144883678436,forced,Al,0.058704425,0.13364942,0.48690715,0.32073906,0.67926097
47,23.166,2232092.621295062,0.41078916092386103,0.08886117313178601,-0.5705144883678436,forced,Al,0.06021742,0.1306025,0.48775786,0.32142222,0.6785778
48,23.126,1893892.5389217054,0.39122321953255096,0.08886117313178601,-0.5705144883678436,forced,Al,0.060919605,0.12948099,0.48767683,0.32192257,0.67807746
49,23.086,2052305.3084547475,0.39573346325385444,0.08886117313178601,-0.5705144883678436,forced,Al,0.06084349,0.12880906,0.487502,0.32284543,0.67715454
49,23.086,2052305.3084547475,0.39573346325385444,0.08886117313178601,-0.5705144883678436,forced,Al,0.06084349,0.12880906,0.487502,0.32284543,0.67715454
50,23.046,1913033.7123644336,0.38332204042343127,0.08886117313178601,-0.5705144883678436,forced,Al,0.062198438,0.12575069,0.48958626,0.32246462,0.6775354
51,23.007,1979824.840772656,0.3777773139241084,0.08886117313178601,-0.5705144883678436,forced,Al,0.062419586,0.124142565,0.49037328,0.3230646,0.67693543
52,22.967,1976888.267628457,0.4133192128751019,0.08886117313178601,-0.5705144883678436,forced,Al,0.06241838,0.1242023,0.49111593,0.32226336,0.67773664
53,22.927,1970025.9723608713,0.41085217020204523,0.08886117313178601,-0.5705144883678436,forced,Al,0.063641086,0.12199692,0.49330986,0.32105213,0.67894787
53,22.927,1970025.9723608713,0.41085217020204523,0.08886117313178601,-0.5705144883678436,forced,Al,0.063641086,0.12199692,0.49330986,0.32105213,0.67894787
54,22.887,1970517.3844072775,0.41233925601342364,0.08886117313178601,-0.5705144883678436,forced,Al,0.06472899,0.12032544,0.494987,0.31995863,0.6800414
55,22.847,1950139.4285293454,0.41499316363664707,0.08886117313178601,-0.5705144883678436,forced,Al,0.06560757,0.11866742,0.49642104,0.31930396,0.680696
56,22.807,1960142.0236976077,0.409920025430357,0.08886117313178601,-0.5705144883678436,forced,Al,0.066376574,0.11750882,0.4977728,0.31834176,0.68165827
57,22.768,1963321.1332711482,0.40684032559314187,0.08886117313178601,-0.5705144883678436,forced,Al,0.06738454,0.11619052,0.49992317,0.31650177,0.68349826
58,22.728,2031453.6703025475,0.39645142172218584,0.08886117313178601,-0.5705144883678436,forced,Al,0.06712847,0.115656026,0.4948879,0.32232758,0.6776724
58,22.728,2031453.6703025475,0.39645142172218584,0.08886117313178601,-0.5705144883678436,forced,Al,0.06712847,0.115656026,0.4948879,0.32232758,0.6776724
59,22.688,2044791.404708633,0.40445238743684564,0.08886117313178601,-0.5705144883678436,forced,Al,0.06760475,0.115095645,0.494349,0.3229506,0.6770494
60,22.648,1979923.1473972325,0.37139426962578354,0.08886117313178601,-0.5705144883678436,forced,Al,0.06840938,0.11405375,0.49530673,0.32223007,0.6777699
61,22.608,1771939.1257446434,0.3441645755055667,0.08886117313178601,-0.5705144883678436,forced,Al,0.06863157,0.113644555,0.49455744,0.32316646,0.6768335
62,22.568,1754277.0366895907,0.34227700083354506,0.08886117313178601,-0.5705144883678436,forced,Al,0.06889396,0.11360284,0.49412966,0.3233736,0.67662644
63,22.529,1723437.8335534635,0.3264533083932225,0.08886117313178601,-0.5705144883678436,forced,Al,0.07034997,0.11191679,0.49655408,0.32117918,0.67882085
