position,age_kyr_bp,variance,lag1_ac,ktau_variance,ktau_lag1_ac,segment_type,element,p_fold,p_hopf,p_transcritical,p_null,p_transition
37,40.532,0.1311608372139387,-0.15062881312972506,0.5785761292880275,0.20910844584024055,forced,Mo,0.05849992,0.15921588,0.4499338,0.3323504,0.6676496
37,40.532,0.1311608372139387,-0.15062881312972506,0.5785761292880275,0.20910844584024055,forced,Mo,0.05849992,0.15921588,0.4499338,0.3323504,0.6676496
38,40.492,0.12719272539711762,-0.15893421194990612,0.5785761292880275,0.20910844584024055,forced,Mo,0.059076063,0.15993498,0.4478779,0.33311108,0.66688895
39,40.452,0.14197722221431772,-0.15035727461989729,0.5785761292880275,0.20910844584024055,forced,Mo,0.05934429,0.15724963,0.44577926,0.3376269,0.66237307
40,40.412,0.14246181772057154,-0.16116536943195844,0.5785761292880275,0.20910844584024055,forced,Mo,0.060070165,0.1565572,0.44262624,0.34074637,0.6592536
41,40.373,0.16924661855915515,-0.12353459068138237,0.5785761292880275,0.20910844584024055,forced,Mo,0.059540253,0.16266935,0.4369896,0.3408008,0.65919924
42,40.333,0.15791752763553688,-0.08272748172232516,0.5785761292880275,0.20910844584024055,forced,Mo,0.060223367,0.16324945,0.43426758,0.34225953,0.6577405
43,40.293,0.15080190873802024,-0.08331374415957983,0.5785761292880275,0.20910844584024055,forced,Mo,0.060744103,0.1636301,0.4305824,0.34504345,0.6549566
44,40.253,0.16271970042362527,-0.04570618355896599,0.5785761292880275,0.20910844584024055,forced,Mo,0.061004378,0.16143876,0.4282411,0.3493158,0.65068424
45,40.213,0.1537292122448538,0.0184309558368872,0.5785761292880275,0.20910844584024055,forced,Mo,0.061370734,0.16136952,0.42636424,0.3508955,0.6491045
46,40.173,0.156833118674947,-0.009308775758876708,0.5785761292880275,0.20910844584024055,forced,Mo,0.06224388,0.16050173,0.42149442,0.35575992,0.6442401
47,40.134,0.14507744593947375,0.08253192826438799,0.5785761292880275,0.20910844584024055,forced,Mo,0.06257757,0.16001318,0.4191825,0.3582268,0.6417732
48,40.094,0.14695772264852358,0.025776911221510282,0.5785761292880275,0.20910844584024055,forced,Mo,0.06275575,0.15852672,0.4172,0.36151752,0.63848245
49,40.054,0.14927592839345596,0.06248203854760093,0.5785761292880275,0.20910844584024055,forced,Mo,0.06302205,0.15821609,0.41382882,0.36493307,0.6350669
50,40.014,0.14870754443090292,0.04727301991068031,0.5785761292880275,0.20910844584024055,forced,Mo,0.06360769,0.15833591,0.41067836,0.36737806,0.63262194
51,39.974,0.14997846488167713,0.05140942191634647,0.5785761292880275,0.20910844584024055,forced,Mo,0.063944295,0.15869264,0.4085582,0.3688048,0.6311952
52,39.934,0.1373822212081179,0.02057015603488207,0.5785761292880275,0.20910844584024055,forced,Mo,0.06417905,0.1587939,0.40701404,0.37001297,0.629987
53,39.895,0.13959197691370073,0.03880035366717207,0.5785761292880275,0.20910844584024055,forced,Mo,0.06446375,0.1580303,0.40479082,0.37271518,0.6272848
54,39.855,0.14045701500735006,0.05352887189406423,0.5785761292880275,0.20910844584024055,forced,Mo,0.06479495,0.15802808,0.40264568,0.37453133,0.6254687
55,39.815,0.14399290233414658,0.0774870158187745,0.5785761292880275,0.20910844584024055,forced,Mo,0.064700946,0.15707381,0.40202072,0.37620455,0.62379545
56,39.775,0.14205823147591512,0.07240252712602639,0.5785761292880275,0.20910844584024055,forced,Mo,0.065253735,0.15845785,0.3990457,0.37724268,0.6227573
57,39.735,0.1441990490299107,0.07535168176210887,0.5785761292880275,0.20910844584024055,forced,Mo,0.06553149,0.15869287,0.3973141,0.37846154,0.62153846
58,39.695,0.15243464805919954,0.040371618289724874,0.5785761292880275,0.20910844584024055,forced,Mo,0.065713935,0.15568902,0.39567152,0.3829256,0.6170744
59,39.656,0.152030922493345,0.039996533695420236,0.5785761292880275,0.20910844584024055,forced,Mo,0.066133626,0.15640816,0.3929293,0.384529,0.615471
60,39.616,0.14850884488160188,0.047394361085704606,0.5785761292880275,0.20910844584024055,forced,Mo,0.06625247,0.15625535,0.3908212,0.386671,0.613329
61,39.576,0.15661594519311012,0.024402505711795537,0.5785761292880275,0.20910844584024055,forced,Mo,0.06689965,0.15352674,0.38821942,0.39135426,0.60864574
62,39.536,0.15656988841118358,-0.007950822822716558,0.5785761292880275,0.20910844584024055,forced,Mo,0.06722561,0.15178694,0.38695997,0.39402744,0.6059725
63,39.496,0.15723216322609707,-0.011554436784783744,0.5785761292880275,0.20910844584024055,forced,Mo,0.06770202,0.15117808,0.38507852,0.39604145,0.60395855
64,39.456,0.1657378945447886,-0.02037730384636403,0.5785761292880275,0.20910844584024055,forced,Mo,0.067767784,0.15006596,0.38475746,0.39740878,0.6025912
65,39.417,0.1642753720289173,0.019419564556329094,0.5785761292880275,0.20910844584024055,forced,Mo,0.067789994,0.14893052,0.384651,0.39862853,0.60137147
66,39.377,0.17011153801407966,0.04661536403360789,0.5785761292880275,0.20910844584024055,forced,Mo,0.06787322,0.1467464,0.3851927,0.4001877,0.59981227
67,39.337,0.17250298158378372,0.04482649497166494,0.5785761292880275,0.20910844584024055,forced,Mo,0.06865561,0.14543681,0.38075626,0.40515125,0.59484875
68,39.297,0.16921541292367948,0.04699943369748722,0.5785761292880275,0.20910844584024055,forced,Mo,0.06875481,0.14300306,0.38010016,0.40814194,0.591858
69,39.257,0.16490611613747075,0.04698253495354558,0.5785761292880275,0.20910844584024055,forced,Mo,0.06944395,0.14208001,0.3771419,0.4113342,0.58866584
70,39.217,0.18595142791825314,0.07260190416613824,0.5785761292880275,0.20910844584024055,forced,Mo,0.07025484,0.13943808,0.37785146,0.41245565,0.5875443
71,39.178,0.19326727874654887,-0.02102202751798807,0.5785761292880275,0.20910844584024055,forced,Mo,0.07016702,0.1390261,0.37519404,0.41561282,0.5843872
72,39.138,0.19194987647357353,-0.02653286727071536,0.5785761292880275,0.20910844584024055,forced,Mo,0.070948154,0.13807759,0.37064052,0.42033377,0.57966626
73,39.098,0.20002884807687923,-0.025514023805392225,0.5785761292880275,0.20910844584024055,forced,Mo,0.07074849,0.13802297,0.3720657,0.41916284,0.58083713
74,39.058,0.1997745764038886,-0.04740897418164429,0.5785761292880275,0.20910844584024055,forced,Mo,0.071492694,0.13670634,0.36860973,0.42319122,0.5768088
75,39.018,0.23382326930063138,-0.00021019964072439408,0.5785761292880275,0.20910844584024055,forced,Mo,0.07198855,0.13912635,0.36582527,0.42305988,0.5769401
