position,age_kyr_bp,variance,lag1_ac,ktau_variance,ktau_lag1_ac,segment_type,element,p_fold,p_hopf,p_transcritical,p_null,p_transition
28,55.189,396561.1926264565,-0.5043668117554344,-0.009141579860420876,0.07305051373648058,neutral,Al,0.06748213,0.15366368,0.4589301,0.3199241,0.6800759
28,55.189,396561.1926264565,-0.5043668117554344,-0.009141579860420876,0.07305051373648058,neutral,Al,0.06748213,0.15366368,0.4589301,0.3199241,0.6800759
29,55.149,390021.6558960426,-0.5238393263957994,-0.009141579860420876,0.07305051373648058,neutral,Al,0.06886287,0.15371072,0.45883405,0.3185923,0.6814077
30,55.11,393391.1187305996,-0.5368676015955043,-0.009141579860420876,0.07305051373648058,neutral,Al,0.07062986,0.15408394,0.45837533,0.31691086,0.68308914
30,55.11,393391.1187305996,-0.5368676015955043,-0.009141579860420876,0.07305051373648058,neutral,Al,0.07062986,0.15408394,0.45837533,0.31691086,0.68308914
31,55.07,333518.012898177,-0.48728502355805314,-0.009141579860420876,0.07305051373648058,neutral,Al,0.07294344,0.15561122,0.45996308,0.31148228,0.6885177
32,55.03,356828.9949673573,-0.48043704961844835,-0.009141579860420876,0.07305051373648058,neutral,Al,0.07260674,0.15429918,0.45135686,0.32173717,0.6782628
33,54.99,360006.962272712,-0.4918160133151972,-0.009141579860420876,0.07305051373648058,neutral,Al,0.07385835,0.15418045,0.45028597,0.3216753,0.6783247
33,54.99,360006.962272712,-0.4918160133151972,-0.009141579860420876,0.07305051373648058,neutral,Al,0.07385835,0.15418045,0.45028597,0.3216753,0.6783247
34,54.95,362985.9467718758,-0.45919023229559364,-0.009141579860420876,0.07305051373648058,neutral,Al,0.075337924,0.15591714,0.44828513,0.32045984,0.67954016
35,54.91,363711.3508796934,-0.4413306600212476,-0.009141579860420876,0.07305051373648058,neutral,Al,0.07841322,0.15665834,0.45017594,0.31475255,0.6852474
36,54.871,420810.68284730834,-0.45206372078060414,-0.009141579860420876,0.07305051373648058,neutral,Al,0.078443244,0.15589207,0.44413078,0.32153395,0.6784661
36,54.871,420810.68284730834,-0.45206372078060414,-0.009141579860420876,0.07305051373648058,neutral,Al,0.078443244,0.15589207,0.44413078,0.32153395,0.6784661
