position,age_kyr_bp,variance,lag1_ac,ktau_variance,ktau_lag1_ac,segment_type,element,p_fold,p_hopf,p_transcritical,p_null,p_transition
28,55.189,780.0564531223938,0.0021511304069742653,-0.056775375150176007,0.6554975130974867,forced,Ba,0.059121955,0.17252322,0.44870815,0.3196467,0.6803533
28,55.189,780.0564531223938,0.0021511304069742653,-0.056775375150176007,0.6554975130974867,forced,Ba,0.059121955,0.17252322,0.44870815,0.3196467,0.6803533
29,55.149,783.4676604811256,0.0069637574741582605,-0.056775375150176007,0.6554975130974867,forced,Ba,0.059276953,0.17354208,0.4475395,0.3196414,0.6803586
30,55.11,737.5773442892767,0.06902272388223998,-0.056775375150176007,0.6554975130974867,forced,Ba,0.059818804,0.17468527,0.445612,0.3198839,0.68011606
30,55.11,737.5773442892767,0.06902272388223998,-0.056775375150176007,0.6554975130974867,forced,Ba,0.059818804,0.17468527,0.445612,0.3198839,0.68011606
31,55.07,711.4516097469673,-0.07736583900048492,-0.056775375150176007,0.6554975130974867,forced,Ba,0.060163077,0.17463966,0.44411182,0.3210854,0.6789146
32,55.03,458.6146142356683,-0.02330908652204063,-0.056775375150176007,0.6554975130974867,forced,Ba,0.06087623,0.17646475,0.44151273,0.32114625,0.67885375
33,54.99,455.4560027265475,-0.022386265397311044,-0.056775375150176007,0.6554975130974867,forced,Ba,0.06174349,0.17958845,0.43880996,0.3198581,0.6801419
33,54.99,455.4560027265475,-0.022386265397311044,-0.056775375150176007,0.6554975130974867,forced,Ba,0.06174349,0.17958845,0.43880996,0.3198581,0.6801419
34,54.95,461.1594299058174,-0.020326155828280377,-0.056775375150176007,0.6554975130974867,forced,Ba,0.061987158,0.18067722,0.43838915,0.31894645,0.6810535
35,54.91,474.5946935924691,0.008604768938367076,-0.056775375150176007,0.6554975130974867,forced,Ba,0.06173097,0.17778176,0.43800488,0.32248247,0.67751753
36,54.871,491.41358346312256,0.0568432362459338,-0.056775375150176007,0.6554975130974867,forced,Ba,0.061641473,0.17637603,0.43714127,0.32484123,0.67515874
36,54.871,491.41358346312256,0.0568432362459338,-0.056775375150176007,0.6554975130974867,forced,Ba,0.061641473,0.17637603,0.43714127,0.32484123,0.67515874
37,54.831,448.9103749521418,0.11869700166274366,-0.056775375150176007,0.6554975130974867,forced,Ba,0.062347937,0.17876723,0.43489167,0.32399324,0.6760068
38,54.791,438.10476120556933,0.12900405053348846,-0.056775375150176007,0.6554975130974867,forced,Ba,0.06303704,0.18073149,0.4327709,0.32346052,0.6765395
39,54.751,451.7983529563506,0.09994221512406957,-0.056775375150176007,0.6554975130974867,forced,Ba,0.06308547,0.17979106,0.43125772,0.32586575,0.67413425
39,54.751,451.7983529563506,0.09994221512406957,-0.056775375150176007,0.6554975130974867,forced,Ba,0.06308547,0.17979106,0.43125772,0.32586575,0.67413425
40,54.711,426.24253540644736,0.166379168598891,-0.056775375150176007,0.6554975130974867,forced,Ba,0.06346009,0.18075481,0.42908585,0.3266993,0.67330074
41,54.672,435.23485872810136,0.1204896013733389,-0.056775375150176007,0.6554975130974867,forced,Ba,0.06330991,0.17911094,0.42742687,0.33015227,0.6698477
42,54.632,374.89100133134696,0.274079634118626,-0.056775375150176007,0.6554975130974867,forced,Ba,0.06237952,0.17311844,0.42743394,0.33706805,0.6629319
42,54.632,374.89100133134696,0.274079634118626,-0.056775375150176007,0.6554975130974867,forced,Ba,0.06237952,0.17311844,0.42743394,0.33706805,0.6629319
43,54.592,419.02179778629545,0.10778550976645586,-0.056775375150176007,0.6554975130974867,forced,Ba,0.06295912,0.17149454,0.42457867,0.34096763,0.65903234
44,54.552,407.82788173632434,0.1706108159079053,-0.056775375150176007,0.6554975130974867,forced,Ba,0.06388654,0.17389257,0.42081335,0.34140745,0.6585926
45,54.512,433.8819324461617,0.17088195454595703,-0.056775375150176007,0.6554975130974867,forced,Ba,0.0643004,0.1697772,0.42158532,0.34433702,0.655663
45,54.512,433.8819324461617,0.17088195454595703,-0.056775375150176007,0.6554975130974867,forced,Ba,0.0643004,0.1697772,0.42158532,0.34433702,0.655663
46,54.472,576.7335472524826,0.30615882947522205,-0.056775375150176007,0.6554975130974867,forced,Ba,0.06516794,0.1640828,0.42371628,0.347033,0.652967
47,54.433,576.4156904035916,0.2790453281571055,-0.056775375150176007,0.6554975130974867,forced,Ba,0.06661458,0.16461955,0.4198941,0.3488718,0.6511282
48,54.393,556.2661547202212,0.2470809464830706,-0.056775375150176007,0.6554975130974867,forced,Ba,0.06779491,0.16577516,0.41677582,0.3496541,0.6503459
48,54.393,556.2661547202212,0.2470809464830706,-0.056775375150176007,0.6554975130974867,forced,Ba,0.06779491,0.16577516,0.41677582,0.3496541,0.6503459
49,54.353,539.4701116368285,0.3428606150685574,-0.056775375150176007,0.6554975130974867,forced,Ba,0.06787434,0.16520348,0.41676918,0.35015294,0.64984703
50,54.313,523.4403747348936,0.37880867316654065,-0.056775375150176007,0.6554975130974867,forced,Ba,0.06738136,0.16372879,0.4157018,0.353188,0.64681196
51,54.273,547.682912393554,0.29992168420219306,-0.056775375150176007,0.6554975130974867,forced,Ba,0.06806187,0.1620483,0.41396007,0.3559297,0.64407027
51,54.273,547.682912393554,0.29992168420219306,-0.056775375150176007,0.6554975130974867,forced,Ba,0.06806187,0.1620483,0.41396007,0.3559297,0.64407027
52,54.233,547.7137681762252,0.2992335836342438,-0.056775375150176007,0.6554975130974867,forced,Ba,0.06907475,0.16347362,0.41148588,0.3559658,0.6440342
53,54.194,546.4004312460675,0.2966129128859464,-0.056775375150176007,0.6554975130974867,forced,Ba,0.06999835,0.16237515,0.4114558,0.35617068,0.64382935
54,54.154,548.2447249429109,0.29600516484581263,-0.056775375150176007,0.6554975130974867,forced,Ba,0.07060645,0.16263221,0.4115612,0.35520008,0.64479995
54,54.154,548.2447249429109,0.29600516484581263,-0.056775375150176007,0.6554975130974867,forced,Ba,0.07060645,0.16263221,0.4115612,0.35520008,0.64479995
55,54.114,553.1309849609196,0.2703674584933213,-0.056775375150176007,0.6554975130974867,forced,Ba,0.07099084,0.16293791,0.40900227,0.35706896,0.64293104
56,54.074,548.6529100920709,0.20674526806115814,-0.056775375150176007,0.6554975130974867,forced,Ba,0.07092453,0.15781388,0.41063774,0.36062384,0.63937616
57,54.034,540.9683274732504,0.23174893840227637,-0.056775375150176007,0.6554975130974867,forced,Ba,0.07130094,0.15817375,0.40979406,0.36073127,0.63926876
