position,age_kyr_bp,variance,lag1_ac,ktau_variance,ktau_lag1_ac,segment_type,element,p_fold,p_hopf,p_transcritical,p_null,p_transition
28,55.189,6443.970888730614,0.39914726090745534,0.005322542656265827,-0.01630519061431271,neutral,Ti,0.061871782,0.15893577,0.45116925,0.32802323,0.6719768
28,55.189,6443.970888730614,0.39914726090745534,0.005322542656265827,-0.01630519061431271,neutral,Ti,0.061871782,0.15893577,0.45116925,0.32802323,0.6719768
29,55.149,7516.832311816378,0.41566065791560675,0.005322542656265827,-0.01630519061431271,neutral,Ti,0.061357886,0.16026884,0.44722772,0.3311456,0.66885436
30,55.11,7121.163138128876,0.4381045933243203,0.005322542656265827,-0.01630519061431271,neutral,Ti,0.061326943,0.1615004,0.44602987,0.33114278,0.6688572
30,55.11,7121.163138128876,0.4381045933243203,0.005322542656265827,-0.01630519061431271,neutral,Ti,0.061326943,0.1615004,0.44602987,0.33114278,0.6688572
31,55.07,6990.356620715214,0.42346884252271744,0.005322542656265827,-0.01630519061431271,neutral,Ti,0.06254711,0.16134378,0.44139752,0.33471158,0.66528845
32,55.03,7120.786678951566,0.43135243779934096,0.005322542656265827,-0.01630519061431271,neutral,Ti,0.06405127,0.16133355,0.4360338,0.33858138,0.6614186
33,54.99,6936.65207467889,0.4447391994060499,0.005322542656265827,-0.01630519061431271,neutral,Ti,0.06492466,0.16203797,0.43476608,0.33827126,0.66172874
33,54.99,6936.65207467889,0.4447391994060499,0.005322542656265827,-0.01630519061431271,neutral,Ti,0.06492466,0.16203797,0.43476608,0.33827126,0.66172874
34,54.95,6971.481895244944,0.43361289165420824,0.005322542656265827,-0.01630519061431271,neutral,Ti,0.06669148,0.16203286,0.4302965,0.3409792,0.6590208
35,54.91,6633.029954044212,0.392696629750042,0.005322542656265827,-0.01630519061431271,neutral,Ti,0.06593586,0.15898047,0.43008393,0.34499973,0.65500027
36,54.871,6305.118261598751,0.41727348465202085,0.005322542656265827,-0.01630519061431271,neutral,Ti,0.0671071,0.15822618,0.42715758,0.34750912,0.65249085
36,54.871,6305.118261598751,0.41727348465202085,0.005322542656265827,-0.01630519061431271,neutral,Ti,0.0671071,0.15822618,0.42715758,0.34750912,0.65249085
37,54.831,6318.512245982291,0.41173089309024896,0.005322542656265827,-0.01630519061431271,neutral,Ti,0.06815959,0.15907575,0.42363617,0.34912848,0.6508715
38,54.791,6369.254279753838,0.4156550461263485,0.005322542656265827,-0.01630519061431271,neutral,Ti,0.06907003,0.15796062,0.42264888,0.35032043,0.64967954
39,54.751,6443.970888730614,0.39914726090745534,0.005322542656265827,-0.01630519061431271,neutral,Ti,0.06994043,0.15778378,0.42023587,0.3520399,0.64796007
39,54.751,6443.970888730614,0.39914726090745534,0.005322542656265827,-0.01630519061431271,neutral,Ti,0.06994043,0.15778378,0.42023587,0.3520399,0.64796007
40,54.711,7516.832311816378,0.41566065791560675,0.005322542656265827,-0.01630519061431271,neutral,Ti,0.069371395,0.1591558,0.41640258,0.3550702,0.64492977
41,54.672,7121.163138128876,0.4381045933243203,0.005322542656265827,-0.01630519061431271,neutral,Ti,0.06966256,0.16114111,0.41506845,0.35412785,0.6458721
42,54.632,6990.356620715214,0.42346884252271744,0.005322542656265827,-0.01630519061431271,neutral,Ti,0.0715065,0.16129021,0.41025874,0.3569445,0.6430555
42,54.632,6990.356620715214,0.42346884252271744,0.005322542656265827,-0.01630519061431271,neutral,Ti,0.0715065,0.16129021,0.41025874,0.3569445,0.6430555
43,54.592,7120.786678951566,0.43135243779934096,0.005322542656265827,-0.01630519061431271,neutral,Ti,0.073228985,0.1609338,0.40486258,0.36097464,0.63902533
44,54.552,6936.65207467889,0.4447391994060499,0.005322542656265827,-0.01630519061431271,neutral,Ti,0.0742207,0.16156942,0.40359697,0.36061296,0.639387
45,54.512,6971.481895244944,0.43361289165420824,0.005322542656265827,-0.01630519061431271,neutral,Ti,0.076227196,0.16128008,0.39902458,0.36346814,0.63653183
45,54.512,6971.481895244944,0.43361289165420824,0.005322542656265827,-0.01630519061431271,neutral,Ti,0.076227196,0.16128008,0.39902458,0.36346814,0.63653183
46,54.472,6633.029954044212,0.392696629750042,0.005322542656265827,-0.01630519061431271,neutral,Ti,0.07531637,0.15806212,0.39871532,0.3679062,0.6320938
47,54.433,6305.118261598751,0.41727348465202085,0.005322542656265827,-0.01630519061431271,neutral,Ti,0.07665333,0.15716062,0.3956289,0.37055713,0.6294429
48,54.393,6318.512245982291,0.41173089309024896,0.005322542656265827,-0.01630519061431271,neutral,Ti,0.07784592,0.15789391,0.392125,0.3721351,0.6278649
48,54.393,6318.512245982291,0.41173089309024896,0.005322542656265827,-0.01630519061431271,neutral,Ti,0.07784592,0.15789391,0.392125,0.3721351,0.6278649
49,54.353,6369.254279753838,0.4156550461263485,0.005322542656265827,-0.01630519061431271,neutral,Ti,0.078899905,0.15680331,0.39101332,0.37328348,0.6267165
50,54.313,6443.970888730614,0.39914726090745534,0.005322542656265827,-0.01630519061431271,neutral,Ti,0.07983992,0.15654103,0.38866425,0.3749548,0.6250452
