position,age_kyr_bp,variance,lag1_ac,ktau_variance,ktau_lag1_ac,segment_type,element,p_fold,p_hopf,p_transcritical,p_null,p_transition
28,55.189,0.33547896906289265,0.03269129612861281,-0.7535640701750634,-0.30968386445550555,forced,U,0.0586474,0.15251845,0.4626166,0.32621765,0.67378235
28,55.189,0.33547896906289265,0.03269129612861281,-0.7535640701750634,-0.30968386445550555,forced,U,0.0586474,0.15251845,0.4626166,0.32621765,0.67378235
29,55.149,0.332628844370707,0.05829315750754859,-0.7535640701750634,-0.30968386445550555,forced,U,0.059638232,0.15251002,0.4599689,0.32788283,0.6721172
30,55.11,0.32062898376537124,0.08622013329335493,-0.7535640701750634,-0.30968386445550555,forced,U,0.060297403,0.15307452,0.4575528,0.32907528,0.6709247
30,55.11,0.32062898376537124,0.08622013329335493,-0.7535640701750634,-0.30968386445550555,forced,U,0.060297403,0.15307452,0.4575528,0.32907528,0.6709247
31,55.07,0.31788412335391497,0.02963050822491241,-0.7535640701750634,-0.30968386445550555,forced,U,0.06072054,0.15284471,0.45673117,0.32970363,0.6702964
32,55.03,0.28498225291305723,0.15676933928213935,-0.7535640701750634,-0.30968386445550555,forced,U,0.060498472,0.15103382,0.45616868,0.332299,0.667701
33,54.99,0.2782347793303822,0.13120835618223714,-0.7535640701750634,-0.30968386445550555,forced,U,0.060392067,0.14957386,0.45606363,0.3339704,0.6660296
33,54.99,0.2782347793303822,0.13120835618223714,-0.7535640701750634,-0.30968386445550555,forced,U,0.060392067,0.14957386,0.45606363,0.3339704,0.6660296
34,54.95,0.254292465788703,0.132908006914837,-0.7535640701750634,-0.30968386445550555,forced,U,0.06134689,0.14975755,0.45348498,0.3354106,0.6645894
35,54.91,0.25587028755996527,0.13218366861748698,-0.7535640701750634,-0.30968386445550555,forced,U,0.06206671,0.1501133,0.4510237,0.33679634,0.66320366
36,54.871,0.2564723801776153,0.10957244746337916,-0.7535640701750634,-0.30968386445550555,forced,U,0.062489085,0.14982048,0.4502749,0.33741552,0.6625845
36,54.871,0.2564723801776153,0.10957244746337916,-0.7535640701750634,-0.30968386445550555,forced,U,0.062489085,0.14982048,0.4502749,0.33741552,0.6625845
37,54.831,0.24049466447210893,0.01392086446871971,-0.7535640701750634,-0.30968386445550555,forced,U,0.062598065,0.14922912,0.44687715,0.34129557,0.6587044
38,54.791,0.24052622629966283,0.07862527843295519,-0.7535640701750634,-0.30968386445550555,forced,U,0.06291029,0.14926924,0.44391057,0.34390992,0.6560901
39,54.751,0.24236278134783026,0.06511369332167233,-0.7535640701750634,-0.30968386445550555,forced,U,0.063422084,0.14911175,0.44171306,0.3457531,0.6542469
39,54.751,0.24236278134783026,0.06511369332167233,-0.7535640701750634,-0.30968386445550555,forced,U,0.063422084,0.14911175,0.44171306,0.3457531,0.6542469
40,54.711,0.2676418967623089,0.08139993446829609,-0.7535640701750634,-0.30968386445550555,forced,U,0.06306124,0.14681737,0.44130376,0.34881762,0.6511824
41,54.672,0.20956642135696418,0.09145372896977019,-0.7535640701750634,-0.30968386445550555,forced,U,0.06375043,0.14541884,0.4396274,0.35120326,0.64879674
42,54.632,0.2074738317237843,0.14490624843805752,-0.7535640701750634,-0.30968386445550555,forced,U,0.064702354,0.14494854,0.43670005,0.3536491,0.64635086
42,54.632,0.2074738317237843,0.14490624843805752,-0.7535640701750634,-0.30968386445550555,forced,U,0.064702354,0.14494854,0.43670005,0.3536491,0.64635086
43,54.592,0.1720151349335606,0.14504205930642025,-0.7535640701750634,-0.30968386445550555,forced,U,0.06532996,0.14391755,0.43559435,0.3551581,0.6448419
44,54.552,0.17209306339784655,0.14545191443781125,-0.7535640701750634,-0.30968386445550555,forced,U,0.06625221,0.14332175,0.43396246,0.35646355,0.64353645
45,54.512,0.1669510920682538,0.14388084875606563,-0.7535640701750634,-0.30968386445550555,forced,U,0.06699965,0.14304122,0.43226773,0.35769138,0.6423086
45,54.512,0.1669510920682538,0.14388084875606563,-0.7535640701750634,-0.30968386445550555,forced,U,0.06699965,0.14304122,0.43226773,0.35769138,0.6423086
46,54.472,0.20559414392026262,0.11448478432501123,-0.7535640701750634,-0.30968386445550555,forced,U,0.06671152,0.14077966,0.4300103,0.36249858,0.6375014
47,54.433,0.20735119774679284,0.02920205012000112,-0.7535640701750634,-0.30968386445550555,forced,U,0.0672756,0.13932446,0.42850602,0.36489397,0.635106
48,54.393,0.20726570475975029,0.04335878549023733,-0.7535640701750634,-0.30968386445550555,forced,U,0.0677171,0.13992527,0.4260411,0.3663165,0.6336835
48,54.393,0.20726570475975029,0.04335878549023733,-0.7535640701750634,-0.30968386445550555,forced,U,0.0677171,0.13992527,0.4260411,0.3663165,0.6336835
49,54.353,0.20730994097155944,0.04916987245063203,-0.7535640701750634,-0.30968386445550555,forced,U,0.068613075,0.13910004,0.42369702,0.3685899,0.6314101
50,54.313,0.20741267584408896,0.05014214049441168,-0.7535640701750634,-0.30968386445550555,forced,U,0.06954506,0.13858102,0.42157194,0.37030196,0.62969804
51,54.273,0.20786735714392074,0.0444179079831504,-0.7535640701750634,-0.30968386445550555,forced,U,0.070089296,0.13873613,0.42034212,0.37083244,0.62916756
51,54.273,0.20786735714392074,0.0444179079831504,-0.7535640701750634,-0.30968386445550555,forced,U,0.070089296,0.13873613,0.42034212,0.37083244,0.62916756
52,54.233,0.20324746958357048,-0.06131893334252051,-0.7535640701750634,-0.30968386445550555,forced,U,0.07081572,0.13877413,0.41885465,0.3715555,0.6284445
53,54.194,0.1429135211254866,-0.19133801589857305,-0.7535640701750634,-0.30968386445550555,forced,U,0.0712168,0.13847336,0.41760114,0.37270874,0.62729126
54,54.154,0.15016225502053437,-0.19195151407839742,-0.7535640701750634,-0.30968386445550555,forced,U,0.07156648,0.13752267,0.41618252,0.37472835,0.6252717
54,54.154,0.15016225502053437,-0.19195151407839742,-0.7535640701750634,-0.30968386445550555,forced,U,0.07156648,0.13752267,0.41618252,0.37472835,0.6252717
55,54.114,0.16555761876337846,-0.10509233091046034,-0.7535640701750634,-0.30968386445550555,forced,U,0.07153134,0.13720742,0.4142003,0.37706104,0.622939
56,54.074,0.16375754453509384,-0.13488181534912527,-0.7535640701750634,-0.30968386445550555,forced,U,0.07221706,0.13686287,0.41189617,0.3790239,0.6209761
57,54.034,0.16372194508609098,-0.1341232693558657,-0.7535640701750634,-0.30968386445550555,forced,U,0.07341557,0.1372082,0.4088988,0.3804774,0.6195226
