position,age_kyr_bp,variance,lag1_ac,ktau_variance,ktau_lag1_ac,segment_type,element,p_fold,p_hopf,p_transcritical,p_null,p_transition
38,60.527,314.290778029507,-0.3090408852717627,-0.013135419001672102,0.08872953893782834,neutral,Ba,0.059950113,0.15285935,0.44190907,0.34528142,0.6547186
38,60.527,314.290778029507,-0.3090408852717627,-0.013135419001672102,0.08872953893782834,neutral,Ba,0.059950113,0.15285935,0.44190907,0.34528142,0.6547186
39,60.487,311.43157781816615,-0.35033884672029453,-0.013135419001672102,0.08872953893782834,neutral,Ba,0.06036793,0.15130909,0.44061306,0.34770998,0.65229
40,60.447,315.7331288098194,-0.3542614620290866,-0.013135419001672102,0.08872953893782834,neutral,Ba,0.060657334,0.15042375,0.43997604,0.34894282,0.6510572
41,60.407,301.7122414639006,-0.3642493689016241,-0.013135419001672102,0.08872953893782834,neutral,Ba,0.06130807,0.14918496,0.43730798,0.35219905,0.6478009
42,60.367,302.8445954527024,-0.36061131201411095,-0.013135419001672102,0.08872953893782834,neutral,Ba,0.061811786,0.14841758,0.43515489,0.35461572,0.6453843
43,60.327,303.7270819766595,-0.34133754294985613,-0.013135419001672102,0.08872953893782834,neutral,Ba,0.061991725,0.14797595,0.43398136,0.35605103,0.643949
44,60.288,295.59317333498524,-0.4150352089123052,-0.013135419001672102,0.08872953893782834,neutral,Ba,0.062400598,0.1472925,0.4321512,0.35815573,0.6418443
45,60.248,287.4461361049995,-0.3425697268905042,-0.013135419001672102,0.08872953893782834,neutral,Ba,0.062481586,0.14772466,0.43086654,0.3589272,0.6410728
46,60.208,267.30589074961904,-0.3370273445440333,-0.013135419001672102,0.08872953893782834,neutral,Ba,0.06291862,0.14711174,0.42877084,0.3611988,0.6388012
47,60.168,264.21654113097543,-0.2998554414469251,-0.013135419001672102,0.08872953893782834,neutral,Ba,0.063397795,0.1471574,0.4257435,0.36370137,0.63629866
48,60.128,272.7101228884903,-0.306271633126502,-0.013135419001672102,0.08872953893782834,neutral,Ba,0.06373825,0.14650942,0.42367104,0.36608127,0.63391876
49,60.088,271.87337708820553,-0.3059660762184816,-0.013135419001672102,0.08872953893782834,neutral,Ba,0.06437116,0.14660798,0.42021883,0.36880198,0.63119805
50,60.049,272.5356350533681,-0.31836523292665875,-0.013135419001672102,0.08872953893782834,neutral,Ba,0.064637125,0.1463342,0.41868517,0.3703435,0.6296565
51,60.009,282.2003470712442,-0.31790350636422754,-0.013135419001672102,0.08872953893782834,neutral,Ba,0.06522326,0.14427188,0.41644305,0.37406182,0.6259382
52,59.969,292.45451457516594,-0.27946511879968694,-0.013135419001672102,0.08872953893782834,neutral,Ba,0.06534161,0.14389876,0.41523245,0.37552717,0.62447286
53,59.929,314.290778029507,-0.3090408852717627,-0.013135419001672102,0.08872953893782834,neutral,Ba,0.06589585,0.14286202,0.41246247,0.37877968,0.62122035
54,59.889,311.43157781816615,-0.35033884672029453,-0.013135419001672102,0.08872953893782834,neutral,Ba,0.06632357,0.14118849,0.41101184,0.38147607,0.61852396
55,59.849,315.7331288098194,-0.3542614620290866,-0.013135419001672102,0.08872953893782834,neutral,Ba,0.06661482,0.14034414,0.4103194,0.38272166,0.61727834
56,59.81,301.7122414639006,-0.3642493689016241,-0.013135419001672102,0.08872953893782834,neutral,Ba,0.067290075,0.13903145,0.40739402,0.3862845,0.6137155
57,59.77,302.8445954527024,-0.36061131201411095,-0.013135419001672102,0.08872953893782834,neutral,Ba,0.06780182,0.13853583,0.40496567,0.38869673,0.61130327
58,59.73,303.7270819766595,-0.34133754294985613,-0.013135419001672102,0.08872953893782834,neutral,Ba,0.06797795,0.13818099,0.40366483,0.3901762,0.6098238
59,59.69,295.59317333498524,-0.4150352089123052,-0.013135419001672102,0.08872953893782834,neutral,Ba,0.068389736,0.13765149,0.40165108,0.39230764,0.60769236
60,59.65,287.4461361049995,-0.3425697268905042,-0.013135419001672102,0.08872953893782834,neutral,Ba,0.06846391,0.1380965,0.4003592,0.3930804,0.6069196
61,59.61,267.30589074961904,-0.3370273445440333,-0.013135419001672102,0.08872953893782834,neutral,Ba,0.06890347,0.13759951,0.3981141,0.39538297,0.604617
62,59.571,264.21654113097543,-0.2998554414469251,-0.013135419001672102,0.08872953893782834,neutral,Ba,0.06938205,0.1378553,0.39485592,0.39790666,0.60209334
63,59.531,272.7101228884903,-0.306271633126502,-0.013135419001672102,0.08872953893782834,neutral,Ba,0.06972184,0.13717228,0.39274672,0.4003592,0.5996408
64,59.491,271.87337708820553,-0.3059660762184816,-0.013135419001672102,0.08872953893782834,neutral,Ba,0.07034596,0.13753381,0.3890596,0.40306064,0.5969393
65,59.451,272.5356350533681,-0.31836523292665875,-0.013135419001672102,0.08872953893782834,neutral,Ba,0.07053405,0.13723782,0.38738006,0.404848,0.595152
66,59.411,282.2003470712442,-0.31790350636422754,-0.013135419001672102,0.08872953893782834,neutral,Ba,0.071118325,0.1354667,0.38487604,0.40853897,0.59146106
67,59.371,292.45451457516594,-0.27946511879968694,-0.013135419001672102,0.08872953893782834,neutral,Ba,0.07130485,0.13519426,0.3836367,0.40986425,0.59013575
68,59.332,314.290778029507,-0.3090408852717627,-0.013135419001672102,0.08872953893782834,neutral,Ba,0.07167911,0.13404152,0.3806494,0.41362998,0.58637
69,59.292,311.43157781816615,-0.35033884672029453,-0.013135419001672102,0.08872953893782834,neutral,Ba,0.0720639,0.13245386,0.37901688,0.41646537,0.5835346
70,59.252,315.7331288098194,-0.3542614620290866,-0.013135419001672102,0.08872953893782834,neutral,Ba,0.07225069,0.13166958,0.3781704,0.4179093,0.58209074
71,59.212,301.7122414639006,-0.3642493689016241,-0.013135419001672102,0.08872953893782834,neutral,Ba,0.07283645,0.13041387,0.37498432,0.42176533,0.5782347
72,59.172,302.8445954527024,-0.36061131201411095,-0.013135419001672102,0.08872953893782834,neutral,Ba,0.0733037,0.12986608,0.37255433,0.42427593,0.57572407
73,59.132,303.7270819766595,-0.34133754294985613,-0.013135419001672102,0.08872953893782834,neutral,Ba,0.07344847,0.12946394,0.37124196,0.4258456,0.5741544
74,59.093,295.59317333498524,-0.4150352089123052,-0.013135419001672102,0.08872953893782834,neutral,Ba,0.07378382,0.12882085,0.36920166,0.42819372,0.5718063
