position,age_kyr_bp,variance,lag1_ac,ktau_variance,ktau_lag1_ac,segment_type,element,p_fold,p_hopf,p_transcritical,p_null,p_transition
182,12.771,772.8990158881987,0.009949070404773762,-0.012504694052149143,-0.05051320605350137,neutral,Ba,0.11104995,0.089919135,0.19244072,0.6065902,0.3934098
186,12.743,761.9254576705749,0.014934943512441805,-0.012504694052149143,-0.05051320605350137,neutral,Ba,0.11375514,0.08980501,0.18641746,0.61002237,0.38997763
191,12.708,777.4511567238986,0.019357411545114077,-0.012504694052149143,-0.05051320605350137,neutral,Ba,0.11373072,0.08781223,0.17648491,0.6219721,0.37802792
196,12.673,802.1279047009357,0.025912734623073766,-0.012504694052149143,-0.05051320605350137,neutral,Ba,0.114768125,0.08645194,0.16734685,0.631433,0.368567
200,12.644,804.7864669807736,0.02714916566507435,-0.012504694052149143,-0.05051320605350137,neutral,Ba,0.116875604,0.086508,0.16244245,0.6341739,0.36582607
205,12.608,831.8451436812474,0.04908510743571667,-0.012504694052149143,-0.05051320605350137,neutral,Ba,0.11566333,0.077713,0.15542434,0.65119934,0.34880066
210,12.573,801.7515771728506,0.06317948644300792,-0.012504694052149143,-0.05051320605350137,neutral,Ba,0.118521616,0.070473365,0.1514695,0.6595355,0.34046447
214,12.545,784.0915123238125,0.05794189082518687,-0.012504694052149143,-0.05051320605350137,neutral,Ba,0.12049046,0.06893474,0.15164748,0.6589273,0.34107268
219,12.51,800.7412593649692,0.033467021340459785,-0.012504694052149143,-0.05051320605350137,neutral,Ba,0.121994294,0.06337947,0.14437678,0.67024946,0.32975054
224,12.474,800.4654115548186,0.023575376279172052,-0.012504694052149143,-0.05051320605350137,neutral,Ba,0.12323544,0.060161468,0.13686351,0.67973953,0.32026047
228,12.446,792.7547824135512,0.03695672685598519,-0.012504694052149143,-0.05051320605350137,neutral,Ba,0.12511136,0.059668023,0.13352785,0.68169284,0.31830716
233,12.411,772.2809671615958,0.02108892841907594,-0.012504694052149143,-0.05051320605350137,neutral,Ba,0.12729996,0.059295658,0.12817623,0.68522817,0.31477183
238,12.375,746.0333742465925,0.009353535034783905,-0.012504694052149143,-0.05051320605350137,neutral,Ba,0.13011546,0.059540894,0.12449025,0.68585336,0.31414664
243,12.337,733.9224079467185,0.0052422897844739275,-0.012504694052149143,-0.05051320605350137,neutral,Ba,0.13084751,0.058251116,0.117731154,0.69317025,0.30682975
247,12.307,773.63398825087,-0.024215707343459087,-0.012504694052149143,-0.05051320605350137,neutral,Ba,0.12799545,0.06219991,0.11479125,0.69501334,0.30498666
252,12.27,779.2458315644045,-0.010743440082180533,-0.012504694052149143,-0.05051320605350137,neutral,Ba,0.12899938,0.061554853,0.10708879,0.702357,0.297643
257,12.233,773.2139221514087,0.020093297019164447,-0.012504694052149143,-0.05051320605350137,neutral,Ba,0.12990406,0.060500782,0.10324811,0.70634705,0.29365295
261,12.203,775.5181182628589,0.012224675858926204,-0.012504694052149143,-0.05051320605350137,neutral,Ba,0.13039006,0.059658226,0.09890189,0.71104974,0.28895026
266,12.165,798.3567525061868,0.01792803618607241,-0.012504694052149143,-0.05051320605350137,neutral,Ba,0.12797216,0.059332855,0.09326334,0.71943164,0.28056836
271,12.127,806.4918647859286,0.026990589334379863,-0.012504694052149143,-0.05051320605350137,neutral,Ba,0.12851943,0.058041714,0.089071736,0.72436714,0.27563286
275,12.097,829.9858898633936,0.0312620230639935,-0.012504694052149143,-0.05051320605350137,neutral,Ba,0.12959114,0.055917725,0.08543322,0.72905797,0.27094203
280,12.06,837.0696790557394,0.02820383173268715,-0.012504694052149143,-0.05051320605350137,neutral,Ba,0.1299331,0.049784377,0.082625024,0.7376574,0.26234257
285,12.024,782.0653925455983,0.05679478428827687,-0.012504694052149143,-0.05051320605350137,neutral,Ba,0.1325943,0.0465361,0.08249385,0.7383757,0.26162428
289,11.997,796.120432169696,0.060091577516006425,-0.012504694052149143,-0.05051320605350137,neutral,Ba,0.13267326,0.04567478,0.08076667,0.74088526,0.25911474
294,11.962,803.0904305391397,0.03260631342260168,-0.012504694052149143,-0.05051320605350137,neutral,Ba,0.1332071,0.04126346,0.07685408,0.74867535,0.25132465
299,11.928,797.4106802444636,0.024651833720076864,-0.012504694052149143,-0.05051320605350137,neutral,Ba,0.13328129,0.040255696,0.07389421,0.75256884,0.24743116
304,11.893,776.9100502114569,0.02021931519813028,-0.012504694052149143,-0.05051320605350137,neutral,Ba,0.1332256,0.0393924,0.071247794,0.7561342,0.24386579
308,11.865,769.2066894741578,0.021551298332818214,-0.012504694052149143,-0.05051320605350137,neutral,Ba,0.1351806,0.039294604,0.07103176,0.75449306,0.24550694
313,11.83,729.5975768547394,0.004289232043593124,-0.012504694052149143,-0.05051320605350137,neutral,Ba,0.13623932,0.039068934,0.07038586,0.7543059,0.2456941
318,11.795,745.5778759562453,0.01181072387968831,-0.012504694052149143,-0.05051320605350137,neutral,Ba,0.13309939,0.03721582,0.0657925,0.76389223,0.23610777
322,11.767,792.2097924758398,-0.00785706444547744,-0.012504694052149143,-0.05051320605350137,neutral,Ba,0.13036968,0.040015724,0.064013064,0.76560146,0.23439854
327,11.732,768.0577072180191,-0.0001457368848014137,-0.012504694052149143,-0.05051320605350137,neutral,Ba,0.13142674,0.03884122,0.064368986,0.76536316,0.23463684
332,11.699,761.9254576705749,0.014934943512441805,-0.012504694052149143,-0.05051320605350137,neutral,Ba,0.1311524,0.037352726,0.06522094,0.766274,0.23372602
336,11.674,774.8408417276445,0.019800041372461094,-0.012504694052149143,-0.05051320605350137,neutral,Ba,0.12801403,0.035829928,0.06369372,0.77246225,0.22753775
341,11.645,798.3752344819674,0.024720277828233606,-0.012504694052149143,-0.05051320605350137,neutral,Ba,0.12562923,0.035366286,0.06148752,0.77751696,0.22248304
346,11.615,804.7864669807736,0.02714916566507435,-0.012504694052149143,-0.05051320605350137,neutral,Ba,0.124991,0.033886008,0.06178742,0.77933556,0.22066444
350,11.592,838.9068700681087,0.054336880577790514,-0.012504694052149143,-0.05051320605350137,neutral,Ba,0.12440708,0.030157287,0.06057864,0.784857,0.21514302
355,11.562,803.2333395327846,0.06648539734139142,-0.012504694052149143,-0.05051320605350137,neutral,Ba,0.12434365,0.026660379,0.060043603,0.7889524,0.21104759
360,11.531,784.0915123238125,0.05794189082518687,-0.012504694052149143,-0.05051320605350137,neutral,Ba,0.12523083,0.025487835,0.062363848,0.7869175,0.21308249
365,11.502,800.7412593649692,0.033467021340459785,-0.012504694052149143,-0.05051320605350137,neutral,Ba,0.12511437,0.023229213,0.061329015,0.7903274,0.20967257
182,12.771,764.9094944648228,0.07708586160601599,-0.012504694052149143,-0.05051320605350137,neutral,Ba,0.11914319,0.065889195,0.16527188,0.6496957,0.3503043
186,12.743,786.576633171994,0.10006353466335895,-0.012504694052149143,-0.05051320605350137,neutral,Ba,0.11741419,0.06507666,0.15877812,0.6587309,0.34126908
191,12.708,802.397284793158,0.0690595925039144,-0.012504694052149143,-0.05051320605350137,neutral,Ba,0.11927733,0.06352178,0.15134585,0.66585505,0.33414495
196,12.673,815.6083399193857,0.07853044043182641,-0.012504694052149143,-0.05051320605350137,neutral,Ba,0.12123103,0.05875894,0.14981548,0.67019457,0.32980543
200,12.644,805.7054040783597,0.08117161292223794,-0.012504694052149143,-0.05051320605350137,neutral,Ba,0.12545286,0.05585251,0.14636186,0.6723328,0.32766718
205,12.608,769.9228131842007,0.06615458179697191,-0.012504694052149143,-0.05051320605350137,neutral,Ba,0.12879246,0.053155724,0.1421581,0.67589366,0.32410634
210,12.573,790.1418478471585,0.07651105586435893,-0.012504694052149143,-0.05051320605350137,neutral,Ba,0.13123864,0.052950833,0.13851966,0.6772909,0.32270908
214,12.545,790.2683917733988,0.0969191161179905,-0.012504694052149143,-0.05051320605350137,neutral,Ba,0.13125238,0.051707845,0.13143815,0.6856016,0.3143984
219,12.51,811.2964420207691,0.08680946845977171,-0.012504694052149143,-0.05051320605350137,neutral,Ba,0.13238192,0.047295015,0.123739965,0.69658303,0.30341697
224,12.474,786.796399731044,0.07973387626509551,-0.012504694052149143,-0.05051320605350137,neutral,Ba,0.13348947,0.045599133,0.11752251,0.7033888,0.2966112
228,12.446,769.3425252432187,0.07803248956767028,-0.012504694052149143,-0.05051320605350137,neutral,Ba,0.13468702,0.044650324,0.11297113,0.70769155,0.29230845
233,12.411,758.7437710458643,0.08263988384411966,-0.012504694052149143,-0.05051320605350137,neutral,Ba,0.1343135,0.043384742,0.10608547,0.7162163,0.28378367
238,12.375,771.9443687399535,0.08603299368148784,-0.012504694052149143,-0.05051320605350137,neutral,Ba,0.13435636,0.042264163,0.100684725,0.72269475,0.27730525
243,12.337,798.9628802931148,0.10476197528526365,-0.012504694052149143,-0.05051320605350137,neutral,Ba,0.13368478,0.04290607,0.093166865,0.7302424,0.26975763
247,12.307,784.3854409547678,0.08877360323455784,-0.012504694052149143,-0.05051320605350137,neutral,Ba,0.13514316,0.042158425,0.08915232,0.733546,0.26645398
252,12.27,763.273025088511,0.07614146297867712,-0.012504694052149143,-0.05051320605350137,neutral,Ba,0.13610968,0.039912842,0.08534171,0.7386358,0.26136422
257,12.233,753.3308573958828,0.07874844423552362,-0.012504694052149143,-0.05051320605350137,neutral,Ba,0.13965337,0.038826752,0.08156093,0.73995894,0.26004106
261,12.203,788.5717111553183,0.08768387339832356,-0.012504694052149143,-0.05051320605350137,neutral,Ba,0.13655631,0.03950428,0.07733968,0.74659973,0.25340027
266,12.165,814.0617300468484,0.07809896788207828,-0.012504694052149143,-0.05051320605350137,neutral,Ba,0.13787632,0.036608204,0.07525004,0.7502654,0.24973458
271,12.127,807.6911251066053,0.07646177151300496,-0.012504694052149143,-0.05051320605350137,neutral,Ba,0.14054911,0.034072816,0.07243172,0.7529463,0.24705368
275,12.097,797.6569812918195,0.0823004997629274,-0.012504694052149143,-0.05051320605350137,neutral,Ba,0.14453535,0.031995345,0.07221947,0.7512499,0.24875009
280,12.06,777.226642459977,0.0625302367433478,-0.012504694052149143,-0.05051320605350137,neutral,Ba,0.14483418,0.03098319,0.06926835,0.75491434,0.24508566
285,12.024,790.910326800185,0.09008121720133798,-0.012504694052149143,-0.05051320605350137,neutral,Ba,0.14656901,0.030953646,0.06622326,0.756254,0.24374598
