position,age_kyr_bp,variance,lag1_ac,ktau_variance,ktau_lag1_ac,segment_type,element,p_fold,p_hopf,p_transcritical,p_null,p_transition
182,12.771,0.3479965652413464,0.44243178066501243,-0.005056953350418672,0.004844160758940659,neutral,Mo,0.2805782,0.1000717,0.2901515,0.32919857,0.6708014
186,12.743,0.3499041530411104,0.4744300666261618,-0.005056953350418672,0.004844160758940659,neutral,Mo,0.25516778,0.088409424,0.28981692,0.36660594,0.63339406
191,12.708,0.3367891895119463,0.46365548379803034,-0.005056953350418672,0.004844160758940659,neutral,Mo,0.25577885,0.08353934,0.28895277,0.37172905,0.628271
196,12.673,0.3391445268023033,0.4791162086595324,-0.005056953350418672,0.004844160758940659,neutral,Mo,0.2637609,0.08115709,0.28173542,0.3733466,0.62665343
200,12.644,0.3423213360871398,0.4782340173568932,-0.005056953350418672,0.004844160758940659,neutral,Mo,0.26684788,0.080243394,0.2721606,0.38074815,0.61925185
205,12.608,0.32979191615578013,0.47095393789219864,-0.005056953350418672,0.004844160758940659,neutral,Mo,0.2730393,0.07975455,0.2716573,0.37554884,0.62445116
210,12.573,0.3274997264804329,0.49195582418810624,-0.005056953350418672,0.004844160758940659,neutral,Mo,0.2794881,0.076947525,0.26361716,0.3799472,0.6200528
214,12.545,0.32305823473692175,0.4991618279701046,-0.005056953350418672,0.004844160758940659,neutral,Mo,0.28658408,0.07535781,0.26157275,0.37648538,0.62351465
219,12.51,0.3223422509334334,0.49088337981584745,-0.005056953350418672,0.004844160758940659,neutral,Mo,0.29251337,0.07308442,0.25547755,0.37892467,0.62107533
224,12.474,0.32362223112290067,0.46172226487429896,-0.005056953350418672,0.004844160758940659,neutral,Mo,0.29714638,0.07358002,0.24007997,0.38919368,0.61080635
228,12.446,0.33554264517209464,0.4721361148749818,-0.005056953350418672,0.004844160758940659,neutral,Mo,0.2868368,0.07530975,0.23246822,0.40538526,0.59461474
233,12.411,0.33532327259498323,0.4650433426769357,-0.005056953350418672,0.004844160758940659,neutral,Mo,0.3027685,0.07573726,0.22160093,0.39989337,0.6001066
238,12.375,0.3301340018854174,0.4524519314806825,-0.005056953350418672,0.004844160758940659,neutral,Mo,0.32434496,0.075645484,0.21736619,0.38264343,0.61735654
243,12.337,0.34706888463783175,0.46240937692391265,-0.005056953350418672,0.004844160758940659,neutral,Mo,0.33728167,0.083704144,0.20875046,0.37026367,0.6297363
247,12.307,0.34372887653532247,0.44191920032691734,-0.005056953350418672,0.004844160758940659,neutral,Mo,0.35440436,0.0800451,0.20238027,0.36317024,0.63682973
252,12.27,0.3493693840370845,0.4374687668129065,-0.005056953350418672,0.004844160758940659,neutral,Mo,0.3629189,0.079039745,0.19535656,0.3626847,0.6373153
257,12.233,0.3442332043292767,0.46143042591899064,-0.005056953350418672,0.004844160758940659,neutral,Mo,0.3457245,0.07124327,0.19287048,0.39016175,0.60983825
261,12.203,0.35156722230548526,0.47700107033843414,-0.005056953350418672,0.004844160758940659,neutral,Mo,0.3170844,0.063501894,0.19457415,0.42483962,0.5751604
266,12.165,0.34017269568325387,0.4710063520437242,-0.005056953350418672,0.004844160758940659,neutral,Mo,0.31190944,0.05999684,0.18761092,0.44048283,0.55951715
271,12.127,0.3419247826292695,0.477593488351389,-0.005056953350418672,0.004844160758940659,neutral,Mo,0.31043863,0.056950413,0.18605204,0.44655895,0.55344105
275,12.097,0.3459102099158759,0.4843145654470056,-0.005056953350418672,0.004844160758940659,neutral,Mo,0.3149045,0.054873616,0.18629028,0.44393152,0.5560685
280,12.06,0.3229638098587602,0.4882491626125033,-0.005056953350418672,0.004844160758940659,neutral,Mo,0.30699578,0.05208892,0.19210787,0.44880736,0.55119264
285,12.024,0.3298702735734097,0.5040597494696831,-0.005056953350418672,0.004844160758940659,neutral,Mo,0.30891088,0.04911209,0.18917191,0.45280513,0.54719484
289,11.997,0.32290103216003574,0.5020574521466322,-0.005056953350418672,0.004844160758940659,neutral,Mo,0.31639618,0.04761008,0.19317546,0.44281828,0.5571817
294,11.962,0.3253878290555057,0.46574093451129206,-0.005056953350418672,0.004844160758940659,neutral,Mo,0.31075314,0.045871824,0.18557793,0.45779708,0.54220295
299,11.928,0.3252825339886767,0.46808988200332985,-0.005056953350418672,0.004844160758940659,neutral,Mo,0.3147084,0.045357022,0.18443197,0.4555026,0.5444974
304,11.893,0.3345402869122976,0.46740066624848514,-0.005056953350418672,0.004844160758940659,neutral,Mo,0.30953324,0.045213662,0.1781065,0.46714652,0.5328535
308,11.865,0.33499464249498734,0.4669689237632389,-0.005056953350418672,0.004844160758940659,neutral,Mo,0.3198297,0.044433203,0.17938305,0.4563541,0.54364586
313,11.83,0.32988737298769105,0.4459238609619471,-0.005056953350418672,0.004844160758940659,neutral,Mo,0.33548692,0.0450642,0.18006346,0.43938535,0.56061465
318,11.795,0.34471094481231956,0.4454159156082776,-0.005056953350418672,0.004844160758940659,neutral,Mo,0.35526,0.047908805,0.17226045,0.42457077,0.5754292
322,11.767,0.34351128826518823,0.4456586897732201,-0.005056953350418672,0.004844160758940659,neutral,Mo,0.36447254,0.04514061,0.17475936,0.41562748,0.5843725
327,11.732,0.3444537796345999,0.4319719526462874,-0.005056953350418672,0.004844160758940659,neutral,Mo,0.37400162,0.044430185,0.17055981,0.41100836,0.58899164
332,11.699,0.3499041530411104,0.4744300666261618,-0.005056953350418672,0.004844160758940659,neutral,Mo,0.32769048,0.037770446,0.1708791,0.46366003,0.53634
336,11.674,0.3381463344653394,0.46784923646840504,-0.005056953350418672,0.004844160758940659,neutral,Mo,0.31495804,0.03472598,0.1737069,0.4766091,0.5233909
341,11.645,0.3387263951452578,0.4780464511322984,-0.005056953350418672,0.004844160758940659,neutral,Mo,0.29274157,0.03244914,0.17444329,0.500366,0.49963403
346,11.615,0.3423213360871398,0.4782340173568932,-0.005056953350418672,0.004844160758940659,neutral,Mo,0.29191065,0.03135874,0.17269796,0.5040327,0.49596733
350,11.592,0.3299192883301004,0.4747433242339108,-0.005056953350418672,0.004844160758940659,neutral,Mo,0.2825066,0.030510409,0.17456013,0.51242286,0.48757714
355,11.562,0.3274913831293443,0.4922006877159963,-0.005056953350418672,0.004844160758940659,neutral,Mo,0.2791791,0.029580217,0.17420784,0.5170328,0.4829672
360,11.531,0.32305823473692175,0.4991618279701046,-0.005056953350418672,0.004844160758940659,neutral,Mo,0.28465602,0.02851258,0.17547873,0.5113527,0.48864728
365,11.502,0.3223422509334334,0.49088337981584745,-0.005056953350418672,0.004844160758940659,neutral,Mo,0.2840773,0.027389158,0.17650719,0.51202637,0.48797363
182,12.771,0.31561338660456323,0.48656104685397017,-0.005056953350418672,0.004844160758940659,neutral,Mo,0.3086359,0.13466105,0.3428425,0.21386056,0.7861394
186,12.743,0.30936188051492397,0.479997510611718,-0.005056953350418672,0.004844160758940659,neutral,Mo,0.3283861,0.13612714,0.33522868,0.20025805,0.799742
191,12.708,0.31269368303442097,0.48784345859228423,-0.005056953350418672,0.004844160758940659,neutral,Mo,0.3288932,0.13517667,0.33250248,0.20342764,0.7965723
196,12.673,0.33240179870881364,0.49550900211165777,-0.005056953350418672,0.004844160758940659,neutral,Mo,0.31033573,0.13778587,0.31746113,0.23441732,0.7655827
200,12.644,0.3345102248087409,0.4861467089476817,-0.005056953350418672,0.004844160758940659,neutral,Mo,0.3165521,0.14636013,0.30037162,0.2367162,0.7632838
205,12.608,0.3305480221226948,0.47843468855155646,-0.005056953350418672,0.004844160758940659,neutral,Mo,0.3184071,0.14658801,0.2891089,0.24589604,0.75410396
210,12.573,0.35514618182139146,0.49653133068850863,-0.005056953350418672,0.004844160758940659,neutral,Mo,0.31598318,0.14491606,0.2910898,0.24801092,0.75198907
214,12.545,0.3579143182058063,0.49565859424449765,-0.005056953350418672,0.004844160758940659,neutral,Mo,0.32463503,0.14012708,0.2865105,0.24872743,0.75127256
219,12.51,0.3551146179754519,0.49708088487393687,-0.005056953350418672,0.004844160758940659,neutral,Mo,0.3357217,0.13861206,0.2790466,0.24661967,0.7533803
224,12.474,0.3653387661833306,0.5047665629575412,-0.005056953350418672,0.004844160758940659,neutral,Mo,0.32229504,0.12605828,0.28067893,0.27096772,0.7290323
228,12.446,0.36253190042447614,0.5044305397999965,-0.005056953350418672,0.004844160758940659,neutral,Mo,0.325656,0.12330277,0.2788766,0.2721646,0.7278354
233,12.411,0.34447431236556403,0.5030407906073,-0.005056953350418672,0.004844160758940659,neutral,Mo,0.32504597,0.119319394,0.27089724,0.28473744,0.71526253
238,12.375,0.34129850445770643,0.5092143971608364,-0.005056953350418672,0.004844160758940659,neutral,Mo,0.34267315,0.11948528,0.2636592,0.27418235,0.7258177
243,12.337,0.32609979796759053,0.4840743387395781,-0.005056953350418672,0.004844160758940659,neutral,Mo,0.35782152,0.11716349,0.25498545,0.27002954,0.72997046
247,12.307,0.31793277020766153,0.49204448221280944,-0.005056953350418672,0.004844160758940659,neutral,Mo,0.3681039,0.11444659,0.24899185,0.26845765,0.73154235
252,12.27,0.31454024416844323,0.48803794739283707,-0.005056953350418672,0.004844160758940659,neutral,Mo,0.38030714,0.1147246,0.24357226,0.26139605,0.73860395
257,12.233,0.3145428178116458,0.4871588216125753,-0.005056953350418672,0.004844160758940659,neutral,Mo,0.39126435,0.11427069,0.23814176,0.25632322,0.7436768
261,12.203,0.3092792479871134,0.48049831568636847,-0.005056953350418672,0.004844160758940659,neutral,Mo,0.40807194,0.11465028,0.23617895,0.2410988,0.7589012
266,12.165,0.31051062942536956,0.47434655523685226,-0.005056953350418672,0.004844160758940659,neutral,Mo,0.40566203,0.112684846,0.23421483,0.24743833,0.7525617
271,12.127,0.3340347456155916,0.48840446344970123,-0.005056953350418672,0.004844160758940659,neutral,Mo,0.38150537,0.117224336,0.22315034,0.27811992,0.7218801
275,12.097,0.33558407711883187,0.48181372489480584,-0.005056953350418672,0.004844160758940659,neutral,Mo,0.38102376,0.11462091,0.22402959,0.28032574,0.7196742
280,12.06,0.3472797734462839,0.4907520541576152,-0.005056953350418672,0.004844160758940659,neutral,Mo,0.37217999,0.11571967,0.21814099,0.2939594,0.7060406
285,12.024,0.35647862647935374,0.49318321210077726,-0.005056953350418672,0.004844160758940659,neutral,Mo,0.3871804,0.118152834,0.22099237,0.2736744,0.72632563
289,11.997,0.35791433840279013,0.49480192153794456,-0.005056953350418672,0.004844160758940659,neutral,Mo,0.38556096,0.11138981,0.22560768,0.27744153,0.7225585
294,11.962,0.3577955150804053,0.4916039537675081,-0.005056953350418672,0.004844160758940659,neutral,Mo,0.38640687,0.10470755,0.22701426,0.28187132,0.7181287
299,11.928,0.3637015112004345,0.5003146932459603,-0.005056953350418672,0.004844160758940659,neutral,Mo,0.367511,0.094815955,0.23305064,0.30462235,0.69537765
304,11.893,0.35425002383140697,0.4937888752368241,-0.005056953350418672,0.004844160758940659,neutral,Mo,0.3500619,0.08888783,0.23475225,0.32629803,0.673702
308,11.865,0.341679506130811,0.5040985992209052,-0.005056953350418672,0.004844160758940659,neutral,Mo,0.35171807,0.08725894,0.23986836,0.32115465,0.67884535
313,11.83,0.3400083106772871,0.5035617808859045,-0.005056953350418672,0.004844160758940659,neutral,Mo,0.35255572,0.08400864,0.24395141,0.31948417,0.6805158
