position,age_kyr_bp,variance,lag1_ac,ktau_variance,ktau_lag1_ac,segment_type,element,p_fold,p_hopf,p_transcritical,p_null,p_transition
182,12.771,0.645539778536211,0.2114432757183126,0.006014520012069732,-0.2191263003773002,neutral,U,0.15735938,0.12710461,0.23070256,0.48483336,0.51516664
186,12.743,0.6528161974138157,0.21276872740920968,0.006014520012069732,-0.2191263003773002,neutral,U,0.16496497,0.12757275,0.22772229,0.47974005,0.52026
191,12.708,0.6118124887523959,0.2188636321498786,0.006014520012069732,-0.2191263003773002,neutral,U,0.16791587,0.12386667,0.21943535,0.48878214,0.51121783
196,12.673,0.592896544960339,0.21692354067933214,0.006014520012069732,-0.2191263003773002,neutral,U,0.17702241,0.12438759,0.21550533,0.48308462,0.5169154
200,12.644,0.5954134670959529,0.22273908478217908,0.006014520012069732,-0.2191263003773002,neutral,U,0.1867201,0.1256087,0.21571104,0.47196013,0.5280399
205,12.608,0.6334566162130086,0.19849414236818777,0.006014520012069732,-0.2191263003773002,neutral,U,0.18171845,0.13281202,0.20584728,0.47962227,0.52037776
210,12.573,0.6452549407859813,0.17905049957124786,0.006014520012069732,-0.2191263003773002,neutral,U,0.1823092,0.12715407,0.194214,0.4963228,0.5036772
214,12.545,0.6394337576801473,0.15425479471855874,0.006014520012069732,-0.2191263003773002,neutral,U,0.18199982,0.12190342,0.19089976,0.505197,0.494803
219,12.51,0.6285411186903095,0.15418346512453177,0.006014520012069732,-0.2191263003773002,neutral,U,0.18709596,0.12315346,0.18881916,0.50093144,0.49906856
224,12.474,0.6272671709318622,0.15187773546254965,0.006014520012069732,-0.2191263003773002,neutral,U,0.19800138,0.12850305,0.18812194,0.4853736,0.5146264
228,12.446,0.6654808162557827,0.14798158441858494,0.006014520012069732,-0.2191263003773002,neutral,U,0.19508165,0.13786186,0.17701608,0.49004036,0.50995964
233,12.411,0.6851677677226372,0.14718069682544044,0.006014520012069732,-0.2191263003773002,neutral,U,0.19408058,0.13044895,0.1684987,0.5069717,0.49302828
238,12.375,0.678472405161197,0.13959196330149817,0.006014520012069732,-0.2191263003773002,neutral,U,0.19725859,0.12497985,0.16619392,0.51156765,0.48843235
243,12.337,0.6340216237371089,0.1722813292958102,0.006014520012069732,-0.2191263003773002,neutral,U,0.20055676,0.11974955,0.16737399,0.51231974,0.48768026
247,12.307,0.6335452905982145,0.18651077651246178,0.006014520012069732,-0.2191263003773002,neutral,U,0.20465635,0.11942436,0.16449657,0.51142275,0.48857725
252,12.27,0.6472630147284172,0.209706363241611,0.006014520012069732,-0.2191263003773002,neutral,U,0.20170464,0.10909752,0.15606126,0.53313655,0.46686345
257,12.233,0.6544484502024035,0.21133373753218374,0.006014520012069732,-0.2191263003773002,neutral,U,0.21083046,0.10557232,0.15087761,0.5327196,0.4672804
261,12.203,0.655467105164927,0.21327819390509417,0.006014520012069732,-0.2191263003773002,neutral,U,0.22191244,0.10806775,0.15121214,0.51880765,0.48119235
