position,age_kyr_bp,variance,lag1_ac,ktau_variance,ktau_lag1_ac,segment_type,element,p_fold,p_hopf,p_transcritical,p_null,p_transition
73,13.266,569791.3224893962,0.29304646993050515,0.0008889445975767158,0.10201578283176169,neutral,Al,0.07742263,0.15840532,0.36289355,0.40127853,0.5987215
74,13.242,574605.8291091132,0.264648613079975,0.0008889445975767158,0.10201578283176169,neutral,Al,0.078128,0.15554777,0.35927978,0.40704453,0.59295547
76,13.194,573503.9175253739,0.2476294451021726,0.0008889445975767158,0.10201578283176169,neutral,Al,0.08007006,0.1542266,0.3542476,0.41145572,0.58854425
78,13.146,577452.3019897443,0.24604782408354786,0.0008889445975767158,0.10201578283176169,neutral,Al,0.080997065,0.15286869,0.3518244,0.41430986,0.58569014
80,13.097,569833.8141043149,0.25836989240270636,0.0008889445975767158,0.10201578283176169,neutral,Al,0.08100547,0.1527624,0.35050488,0.41572726,0.58427274
82,13.049,581292.60427243,0.2523484517257804,0.0008889445975767158,0.10201578283176169,neutral,Al,0.08142728,0.14858153,0.3490682,0.4209229,0.5790771
84,13.001,539124.21554464,0.22353227311513152,0.0008889445975767158,0.10201578283176169,neutral,Al,0.08229216,0.14802921,0.3439306,0.42574808,0.5742519
86,12.953,523612.88091768575,0.2366891219027327,0.0008889445975767158,0.10201578283176169,neutral,Al,0.08346548,0.14742455,0.33957252,0.42953742,0.5704626
87,12.929,523366.0048536239,0.23416131203949322,0.0008889445975767158,0.10201578283176169,neutral,Al,0.08432396,0.14748618,0.33775696,0.43043295,0.5695671
89,12.881,498674.092724158,0.2745583848636246,0.0008889445975767158,0.10201578283176169,neutral,Al,0.08539277,0.1473819,0.3352098,0.43201563,0.56798434
91,12.833,506076.20177650586,0.28506362555269527,0.0008889445975767158,0.10201578283176169,neutral,Al,0.085239686,0.1469948,0.33449644,0.43326902,0.566731
93,12.785,517486.0078318517,0.26692890834363775,0.0008889445975767158,0.10201578283176169,neutral,Al,0.086056076,0.14648768,0.3290406,0.43841574,0.56158423
95,12.737,509956.14578543935,0.26718997801006567,0.0008889445975767158,0.10201578283176169,neutral,Al,0.08695928,0.14543217,0.325334,0.44227454,0.5577254
97,12.689,490818.9304283961,0.2771527299740097,0.0008889445975767158,0.10201578283176169,neutral,Al,0.08864788,0.14525633,0.31995243,0.44614342,0.5538566
99,12.641,551584.5262170723,0.295146618156735,0.0008889445975767158,0.10201578283176169,neutral,Al,0.08952297,0.14350021,0.3132205,0.45375633,0.54624367
101,12.592,547264.5944593642,0.291383585541442,0.0008889445975767158,0.10201578283176169,neutral,Al,0.09200016,0.145277,0.30419657,0.45852622,0.54147375
102,12.568,569791.3224893962,0.29304646993050515,0.0008889445975767158,0.10201578283176169,neutral,Al,0.09135327,0.14952292,0.30328643,0.4558374,0.54416263
104,12.52,575302.9336099678,0.25484568462594415,0.0008889445975767158,0.10201578283176169,neutral,Al,0.09326465,0.14492595,0.29682124,0.4649881,0.5350119
106,12.472,566441.8303212037,0.2542751865764274,0.0008889445975767158,0.10201578283176169,neutral,Al,0.09492443,0.14523228,0.2933328,0.4665105,0.53348947
108,12.424,570041.614899456,0.2577914491242572,0.0008889445975767158,0.10201578283176169,neutral,Al,0.09422217,0.14270376,0.29295388,0.47012016,0.5298798
110,12.376,578472.323352384,0.2722460888207338,0.0008889445975767158,0.10201578283176169,neutral,Al,0.094254784,0.14002302,0.2915902,0.47413206,0.52586794
112,12.328,582495.8208564316,0.2653018648536749,0.0008889445975767158,0.10201578283176169,neutral,Al,0.09529591,0.13905068,0.28687137,0.47878203,0.52121794
114,12.28,522729.0630944187,0.24390701440058438,0.0008889445975767158,0.10201578283176169,neutral,Al,0.09626952,0.136937,0.28385398,0.48293945,0.5170605
116,12.232,523366.0048536239,0.23416131203949322,0.0008889445975767158,0.10201578283176169,neutral,Al,0.09790364,0.13709952,0.2794061,0.4855908,0.5144092
117,12.208,503245.6318064991,0.2639693389869285,0.0008889445975767158,0.10201578283176169,neutral,Al,0.09857895,0.13690934,0.27821743,0.4862943,0.51370573
119,12.159,499284.2337918726,0.2798819914765377,0.0008889445975767158,0.10201578283176169,neutral,Al,0.09928416,0.13680078,0.2764518,0.48746333,0.51253664
121,12.111,506769.3048208929,0.28427310854671484,0.0008889445975767158,0.10201578283176169,neutral,Al,0.099972166,0.13655539,0.2741421,0.48933035,0.51066965
123,12.063,504159.67197285115,0.2679339311558845,0.0008889445975767158,0.10201578283176169,neutral,Al,0.1003469,0.13583316,0.26923677,0.49458322,0.50541675
125,12.015,495076.8501740118,0.2802692612106842,0.0008889445975767158,0.10201578283176169,neutral,Al,0.10129473,0.13417272,0.26530123,0.49923134,0.50076866
127,11.967,539166.8327584104,0.26178596442038976,0.0008889445975767158,0.10201578283176169,neutral,Al,0.10234551,0.1285663,0.25927752,0.5098107,0.4901893
129,11.919,548329.7886264165,0.28915680160016205,0.0008889445975767158,0.10201578283176169,neutral,Al,0.104360074,0.13390191,0.25188905,0.50984895,0.49015105
131,11.871,569791.3224893962,0.29304646993050515,0.0008889445975767158,0.10201578283176169,neutral,Al,0.10493327,0.13786343,0.24810344,0.50909984,0.49090016
132,11.847,574605.8291091132,0.264648613079975,0.0008889445975767158,0.10201578283176169,neutral,Al,0.105630465,0.13495314,0.24485354,0.51456285,0.48543715
134,11.799,573503.9175253739,0.2476294451021726,0.0008889445975767158,0.10201578283176169,neutral,Al,0.10763348,0.13295752,0.24057114,0.5188379,0.48116207
136,11.751,577452.3019897443,0.24604782408354786,0.0008889445975767158,0.10201578283176169,neutral,Al,0.10846923,0.13128708,0.23843929,0.5218044,0.4781956
138,11.703,569833.8141043149,0.25836989240270636,0.0008889445975767158,0.10201578283176169,neutral,Al,0.108235896,0.13101952,0.23727895,0.5234656,0.47653443
140,11.654,581292.60427243,0.2523484517257804,0.0008889445975767158,0.10201578283176169,neutral,Al,0.10816236,0.12676945,0.23567107,0.52939713,0.47060287
142,11.606,539124.21554464,0.22353227311513152,0.0008889445975767158,0.10201578283176169,neutral,Al,0.109040566,0.12596123,0.23137842,0.53361976,0.46638024
144,11.558,523612.88091768575,0.2366891219027327,0.0008889445975767158,0.10201578283176169,neutral,Al,0.11035552,0.12519936,0.22782174,0.5366234,0.46337658
146,11.51,503245.6318064991,0.2639693389869285,0.0008889445975767158,0.10201578283176169,neutral,Al,0.11209813,0.12487921,0.2253191,0.5377036,0.46229643
73,13.266,517763.86534571066,0.2045527922614105,0.0008889445975767158,0.10201578283176169,neutral,Al,0.07974394,0.12166829,0.36035147,0.43823636,0.56176364
74,13.242,514977.43223082274,0.22147816072177243,0.0008889445975767158,0.10201578283176169,neutral,Al,0.07951372,0.121445104,0.35846356,0.4405776,0.5594224
76,13.194,541040.1693998979,0.22254914953679816,0.0008889445975767158,0.10201578283176169,neutral,Al,0.08015595,0.121968664,0.35405862,0.44381675,0.5561832
78,13.146,539113.4373206125,0.22016225523320265,0.0008889445975767158,0.10201578283176169,neutral,Al,0.08158934,0.11927355,0.3496516,0.4494855,0.55051446
80,13.097,526742.1851884109,0.2287492359980248,0.0008889445975767158,0.10201578283176169,neutral,Al,0.08286063,0.11839781,0.34432784,0.4544138,0.5455862
82,13.049,573009.7310779556,0.24557044726759808,0.0008889445975767158,0.10201578283176169,neutral,Al,0.083492436,0.116918564,0.33587772,0.4637112,0.5362888
84,13.001,579315.1524819237,0.24409725191845782,0.0008889445975767158,0.10201578283176169,neutral,Al,0.08502104,0.11451261,0.32836995,0.47209638,0.5279036
86,12.953,578387.5253291118,0.2497631275019914,0.0008889445975767158,0.10201578283176169,neutral,Al,0.08744376,0.11174564,0.32052326,0.4802873,0.5197127
87,12.929,560438.1556678638,0.2314169372709352,0.0008889445975767158,0.10201578283176169,neutral,Al,0.08776884,0.11136229,0.31896773,0.48190117,0.51809883
89,12.881,559075.2920090766,0.24127385535418275,0.0008889445975767158,0.10201578283176169,neutral,Al,0.08845429,0.111520916,0.31588906,0.48413572,0.51586425
91,12.833,532487.2481878949,0.21599817320451492,0.0008889445975767158,0.10201578283176169,neutral,Al,0.090387695,0.11087379,0.31193167,0.48680684,0.51319313
93,12.785,533139.6673113949,0.23888313101964426,0.0008889445975767158,0.10201578283176169,neutral,Al,0.090808205,0.10933976,0.30807418,0.49177793,0.5082221
95,12.737,553162.8986678,0.20891017440310106,0.0008889445975767158,0.10201578283176169,neutral,Al,0.09064371,0.10559958,0.30577308,0.49798363,0.50201637
97,12.689,499111.5191319848,0.19099342895536237,0.0008889445975767158,0.10201578283176169,neutral,Al,0.09231629,0.10449406,0.29972523,0.5034644,0.4965356
99,12.641,494466.87841052166,0.19782566438612978,0.0008889445975767158,0.10201578283176169,neutral,Al,0.09367717,0.10375403,0.2960797,0.5064891,0.4935109
101,12.592,514192.336127749,0.1942245996272197,0.0008889445975767158,0.10201578283176169,neutral,Al,0.094202764,0.102945924,0.29371414,0.50913715,0.49086285
102,12.568,517763.86534571066,0.2045527922614105,0.0008889445975767158,0.10201578283176169,neutral,Al,0.09418962,0.10332789,0.2912705,0.511212,0.488788
104,12.52,529428.5222159558,0.20138937699127776,0.0008889445975767158,0.10201578283176169,neutral,Al,0.09423168,0.102002874,0.2868694,0.516896,0.483104
106,12.472,540029.9031940852,0.21877531387316615,0.0008889445975767158,0.10201578283176169,neutral,Al,0.09536777,0.10226973,0.28133762,0.5210249,0.47897512
108,12.424,540501.5949213388,0.2013645207158078,0.0008889445975767158,0.10201578283176169,neutral,Al,0.09557017,0.09914823,0.27883947,0.5264421,0.4735579
110,12.376,569149.4719712933,0.2320978063552341,0.0008889445975767158,0.10201578283176169,neutral,Al,0.0961464,0.097480394,0.27224833,0.53412485,0.46587515
112,12.328,572189.7100646083,0.24482123279854057,0.0008889445975767158,0.10201578283176169,neutral,Al,0.09842109,0.09673089,0.2639389,0.54090905,0.45909095
114,12.28,577365.1030023913,0.23940090818694104,0.0008889445975767158,0.10201578283176169,neutral,Al,0.09982366,0.09430506,0.2582516,0.5476197,0.4523803
116,12.232,560438.1556678638,0.2314169372709352,0.0008889445975767158,0.10201578283176169,neutral,Al,0.10134588,0.092611775,0.25305876,0.5529836,0.44701642
117,12.208,561810.7314462509,0.22970818989057426,0.0008889445975767158,0.10201578283176169,neutral,Al,0.101080656,0.09324606,0.25259447,0.55307883,0.44692117
119,12.159,542761.06163344,0.22058776798816165,0.0008889445975767158,0.10201578283176169,neutral,Al,0.1033274,0.09214244,0.24783707,0.556693,0.44330698
121,12.111,554666.5574803428,0.2199811289745871,0.0008889445975767158,0.10201578283176169,neutral,Al,0.1032515,0.09124348,0.24644534,0.5590597,0.44094032
123,12.063,546983.6474653014,0.23934371435274654,0.0008889445975767158,0.10201578283176169,neutral,Al,0.103687674,0.08871334,0.24260303,0.56499594,0.43500406
125,12.015,502750.3345825176,0.1910099209217305,0.0008889445975767158,0.10201578283176169,neutral,Al,0.104981855,0.087087795,0.23814687,0.56978345,0.43021655
127,11.967,499914.64583484613,0.1974220198333432,0.0008889445975767158,0.10201578283176169,neutral,Al,0.10645919,0.08577411,0.23432134,0.5734454,0.42655462
129,11.919,494821.3091193016,0.20067892767050519,0.0008889445975767158,0.10201578283176169,neutral,Al,0.10816029,0.08499811,0.23050456,0.57633704,0.42366296
131,11.871,517763.86534571066,0.2045527922614105,0.0008889445975767158,0.10201578283176169,neutral,Al,0.10746517,0.08489795,0.22828212,0.5793547,0.4206453
