position,age_kyr_bp,variance,lag1_ac,ktau_variance,ktau_lag1_ac,segment_type,element,p_fold,p_hopf,p_transcritical,p_null,p_transition
73,13.266,0.46167312392690385,-0.072990789215214,0.5128205128205129,0.5666666666666668,forced,U,0.069957465,0.11197963,0.38765082,0.4304121,0.5695879
74,13.242,0.49685238434421986,-0.054635827229361535,0.5128205128205129,0.5666666666666668,forced,U,0.06972799,0.11078554,0.39198276,0.42750373,0.5724963
76,13.194,0.49127188725507726,-0.06952917983288259,0.5128205128205129,0.5666666666666668,forced,U,0.07034413,0.106194414,0.38712612,0.43633533,0.5636647
78,13.146,0.49326351968659105,-0.06746701365902667,0.5128205128205129,0.5666666666666668,forced,U,0.070999496,0.104385816,0.38443303,0.4401817,0.55981827
80,13.097,0.4814936292510722,-0.05661445315227746,0.5128205128205129,0.5666666666666668,forced,U,0.071989894,0.100791804,0.3800599,0.44715834,0.55284166
82,13.049,0.46049338186541827,-0.028624142680118786,0.5128205128205129,0.5666666666666668,forced,U,0.07289717,0.09839721,0.3776746,0.45103103,0.548969
84,13.001,0.46516588420739047,-0.030750573351070967,0.5128205128205129,0.5666666666666668,forced,U,0.07398828,0.096871406,0.3741569,0.45498338,0.54501665
86,12.953,0.4813744029497651,-0.0425345427155333,0.5128205128205129,0.5666666666666668,forced,U,0.0742518,0.096629605,0.3692666,0.45985198,0.540148
87,12.929,0.48172355802789835,-0.029645771815374023,0.5128205128205129,0.5666666666666668,forced,U,0.07425966,0.09527705,0.36863518,0.46182817,0.5381718
89,12.881,0.47550011554501403,-0.04322423472138299,0.5128205128205129,0.5666666666666668,forced,U,0.075300865,0.09239114,0.36339805,0.46890998,0.53109
91,12.833,0.4914594393141192,-0.058254626039800556,0.5128205128205129,0.5666666666666668,forced,U,0.07569353,0.09062737,0.35871163,0.47496748,0.5250325
93,12.785,0.4977257379389848,-0.037849770817424556,0.5128205128205129,0.5666666666666668,forced,U,0.07628386,0.08883419,0.35472745,0.48015448,0.5198455
95,12.737,0.48325297816734974,-0.012338359960080193,0.5128205128205129,0.5666666666666668,forced,U,0.07755211,0.085467815,0.34791666,0.48906338,0.5109366
97,12.689,0.49020014551053226,-0.03915122457843015,0.5128205128205129,0.5666666666666668,forced,U,0.077989064,0.08484627,0.34189448,0.49527025,0.50472975
99,12.641,0.49453098630115644,-0.027704651645954093,0.5128205128205129,0.5666666666666668,forced,U,0.078743316,0.08424397,0.3374181,0.4995946,0.50040543
101,12.592,0.5008806878509265,-0.0006476112457314649,0.5128205128205129,0.5666666666666668,forced,U,0.07909678,0.083476014,0.33492622,0.502501,0.497499
102,12.568,0.49887047598244955,-0.03083369322475306,0.5128205128205129,0.5666666666666668,forced,U,0.079496406,0.08339162,0.3320935,0.5050185,0.49498153
104,12.52,0.511663043221257,-0.07431862161803966,0.5128205128205129,0.5666666666666668,forced,U,0.07974379,0.08164758,0.32906163,0.509547,0.490453
106,12.472,0.5183651026769442,-0.04901859718849019,0.5128205128205129,0.5666666666666668,forced,U,0.080574274,0.08114057,0.3256371,0.51264805,0.48735195
108,12.424,0.5243990074677205,-0.052617668988778295,0.5128205128205129,0.5666666666666668,forced,U,0.081811,0.07927957,0.31830302,0.52060634,0.47939366
110,12.376,0.5102181481202877,-0.005799546908277725,0.5128205128205129,0.5666666666666668,forced,U,0.08278906,0.07785724,0.31155315,0.5278005,0.4721995
