position,age_kyr_bp,variance,lag1_ac,ktau_variance,ktau_lag1_ac,segment_type,element,p_fold,p_hopf,p_transcritical,p_null,p_transition
51,23.728,5091246.0808541365,0.6480209577081287,-0.11282051282051282,-0.03333333333333333,forced,Al,0.07881403,0.14214054,0.4969313,0.28211403,0.717886
52,23.704,5048141.857492974,0.6433258578943712,-0.11282051282051282,-0.03333333333333333,forced,Al,0.081461154,0.13937238,0.50223136,0.27693507,0.7230649
53,23.68,4928106.434418782,0.6277807435338213,-0.11282051282051282,-0.03333333333333333,forced,Al,0.08309766,0.13710366,0.50536835,0.27443033,0.72556967
54,23.656,4650889.044982842,0.602147195695655,-0.11282051282051282,-0.03333333333333333,forced,Al,0.08616244,0.13400955,0.51072264,0.26910535,0.7308947
56,23.608,4089599.9183409866,0.5653039491181,-0.11282051282051282,-0.03333333333333333,forced,Al,0.09263845,0.13049877,0.51799875,0.25886407,0.74113595
57,23.584,4074760.1886140453,0.5455222524683679,-0.11282051282051282,-0.03333333333333333,forced,Al,0.09283666,0.12885158,0.519443,0.25886878,0.7411312
58,23.559,3757092.5793014406,0.5232121211315913,-0.11282051282051282,-0.03333333333333333,forced,Al,0.09700435,0.12816875,0.5241128,0.25071406,0.74928594
60,23.511,3423019.502295868,0.5012588177345847,-0.11282051282051282,-0.03333333333333333,forced,Al,0.10300082,0.12854408,0.52909875,0.23935638,0.7606436
61,23.487,3423333.809057859,0.4922667563609502,-0.11282051282051282,-0.03333333333333333,forced,Al,0.106596746,0.12780784,0.5328488,0.23274662,0.7672534
62,23.463,3366243.2035123557,0.4829787632824381,-0.11282051282051282,-0.03333333333333333,forced,Al,0.11094417,0.1276588,0.5370382,0.22435887,0.77564114
64,23.415,3204612.134793277,0.45032683632981146,-0.11282051282051282,-0.03333333333333333,forced,Al,0.1148918,0.12862007,0.53839034,0.21809776,0.78190225
65,23.391,3177189.1946036303,0.4468253085475183,-0.11282051282051282,-0.03333333333333333,forced,Al,0.1135701,0.12914127,0.5350741,0.22221455,0.7777854
66,23.367,3250148.487199061,0.4176616495839618,-0.11282051282051282,-0.03333333333333333,forced,Al,0.1148236,0.12774913,0.5345988,0.22282849,0.7771715
