position,age_kyr_bp,variance,lag1_ac,ktau_variance,ktau_lag1_ac,segment_type,element,p_fold,p_hopf,p_transcritical,p_null,p_transition
51,23.728,0.12993693363224612,0.058950243733123506,0.5538461538461539,-0.26153846153846155,forced,Mo,0.065884136,0.13782598,0.42328873,0.37300113,0.6269989
52,23.704,0.12794492980062255,0.039770659335803836,0.5538461538461539,-0.26153846153846155,forced,Mo,0.066635355,0.1371299,0.42150107,0.37473372,0.6252663
53,23.68,0.12552182220485805,0.07722499989215796,0.5538461538461539,-0.26153846153846155,forced,Mo,0.06713448,0.13652506,0.41962075,0.37671974,0.6232803
54,23.656,0.12989592205455922,0.1005954019219595,0.5538461538461539,-0.26153846153846155,forced,Mo,0.06642401,0.13608706,0.41530707,0.38218188,0.6178181
56,23.608,0.12663926367625464,0.07565206531379448,0.5538461538461539,-0.26153846153846155,forced,Mo,0.06781069,0.13369985,0.40922385,0.38926563,0.61073434
57,23.584,0.12960401867512675,0.08360878445414223,0.5538461538461539,-0.26153846153846155,forced,Mo,0.06793093,0.1343444,0.40951306,0.38821164,0.6117884
58,23.559,0.13654647401721992,0.03312466592304749,0.5538461538461539,-0.26153846153846155,forced,Mo,0.067802906,0.13402377,0.40806028,0.39011303,0.609887
60,23.511,0.13101348083576186,0.08123599758909396,0.5538461538461539,-0.26153846153846155,forced,Mo,0.068535626,0.13422084,0.4036843,0.39355922,0.6064408
61,23.487,0.13246235555335373,0.08977380999968967,0.5538461538461539,-0.26153846153846155,forced,Mo,0.06902496,0.13414158,0.40080324,0.39603022,0.6039698
62,23.463,0.1333382876127028,0.07930220798896788,0.5538461538461539,-0.26153846153846155,forced,Mo,0.06959043,0.13346969,0.3984894,0.3984505,0.6015495
64,23.415,0.13243585176103023,0.08559234042536787,0.5538461538461539,-0.26153846153846155,forced,Mo,0.070616305,0.13245258,0.39504728,0.40188378,0.5981162
65,23.391,0.1334372319863647,0.08982515123924646,0.5538461538461539,-0.26153846153846155,forced,Mo,0.070855044,0.13214386,0.3944697,0.40253133,0.5974687
66,23.367,0.1378145387312869,0.07275362978395257,0.5538461538461539,-0.26153846153846155,forced,Mo,0.07117326,0.13139132,0.39164528,0.4057901,0.5942099
68,23.319,0.13847340584868617,-0.011607558407224647,0.5538461538461539,-0.26153846153846155,forced,Mo,0.0714917,0.1279786,0.3898932,0.41063648,0.5893635
69,23.295,0.13677278348399655,-0.03126349270511844,0.5538461538461539,-0.26153846153846155,forced,Mo,0.071766265,0.12834004,0.38824943,0.41164422,0.5883558
70,23.271,0.1311501223258736,-0.11483015940030221,0.5538461538461539,-0.26153846153846155,forced,Mo,0.07182437,0.12687954,0.38716632,0.4141297,0.58587027
71,23.247,0.11630104387787886,-0.12431518604683253,0.5538461538461539,-0.26153846153846155,forced,Mo,0.072362475,0.12554432,0.38489288,0.4172003,0.5827997
73,23.199,0.11912393175797704,-0.13744539799244263,0.5538461538461539,-0.26153846153846155,forced,Mo,0.072823964,0.12299702,0.38026202,0.42391706,0.57608294
