position,age_kyr_bp,variance,lag1_ac,ktau_variance,ktau_lag1_ac,segment_type,element,p_fold,p_hopf,p_transcritical,p_null,p_transition
51,23.728,27720.730213822088,0.6362402396215072,-0.10512820512820513,-0.3461538461538462,forced,Ti,0.078397416,0.15275362,0.49368426,0.27516478,0.7248352
52,23.704,27297.765448144724,0.6224373021796681,-0.10512820512820513,-0.3461538461538462,forced,Ti,0.07911054,0.15088338,0.4950593,0.2749468,0.7250532
53,23.68,26869.259487062027,0.6089975271034271,-0.10512820512820513,-0.3461538461538462,forced,Ti,0.08183212,0.14802289,0.49995655,0.27018845,0.72981155
54,23.656,25558.643083900213,0.5880571453895992,-0.10512820512820513,-0.3461538461538462,forced,Ti,0.08402544,0.14466472,0.5050527,0.2662572,0.73374283
56,23.608,21786.042428509845,0.5149587527950976,-0.10512820512820513,-0.3461538461538462,forced,Ti,0.0883291,0.1412934,0.51022065,0.26015684,0.73984313
57,23.584,21196.08009700713,0.49152930790528493,-0.10512820512820513,-0.3461538461538462,forced,Ti,0.08735631,0.1394868,0.51050335,0.26265353,0.7373465
58,23.559,20169.57931170797,0.4780213028949115,-0.10512820512820513,-0.3461538461538462,forced,Ti,0.090184964,0.13925153,0.5119932,0.25857028,0.7414297
60,23.511,21297.235200544634,0.4357613759353561,-0.10512820512820513,-0.3461538461538462,forced,Ti,0.08927371,0.1372945,0.50559735,0.26783445,0.7321656
61,23.487,20982.444644953255,0.41931130352631696,-0.10512820512820513,-0.3461538461538462,forced,Ti,0.09318688,0.13610856,0.508919,0.26178554,0.7382145
62,23.463,20855.363290003905,0.4137080631456752,-0.10512820512820513,-0.3461538461538462,forced,Ti,0.09664983,0.13507745,0.5121036,0.25616905,0.7438309
64,23.415,19903.298733854754,0.3781505822472572,-0.10512820512820513,-0.3461538461538462,forced,Ti,0.09992945,0.13473886,0.5138498,0.2514819,0.7485181
65,23.391,19999.312174468112,0.36612626551240773,-0.10512820512820513,-0.3461538461538462,forced,Ti,0.09758499,0.13608071,0.50690514,0.2594292,0.7405708
66,23.367,19287.41324921102,0.3454669563146943,-0.10512820512820513,-0.3461538461538462,forced,Ti,0.101447366,0.1354467,0.5099688,0.25313708,0.7468629
68,23.319,19027.31641443025,0.33214278918463946,-0.10512820512820513,-0.3461538461538462,forced,Ti,0.10704993,0.13454746,0.51345515,0.24494748,0.7550525
69,23.295,20203.13384034251,0.30799496429141215,-0.10512820512820513,-0.3461538461538462,forced,Ti,0.10538324,0.13354667,0.5082942,0.25277585,0.74722415
70,23.271,20401.416762355948,0.35176361506150094,-0.10512820512820513,-0.3461538461538462,forced,Ti,0.10607517,0.13397619,0.5053861,0.25456253,0.7454375
71,23.247,20336.102836725662,0.3255670428549031,-0.10512820512820513,-0.3461538461538462,forced,Ti,0.10733583,0.13388225,0.50355196,0.25522995,0.74477005
73,23.199,20339.008338629716,0.34064260317504025,-0.10512820512820513,-0.3461538461538462,forced,Ti,0.109932266,0.13291508,0.5048271,0.25232556,0.74767447
74,23.175,19315.46513135062,0.341083621939892,-0.10512820512820513,-0.3461538461538462,forced,Ti,0.113916434,0.13229416,0.50713223,0.24665716,0.75334287
75,23.151,19898.425320922022,0.3506283768080428,-0.10512820512820513,-0.3461538461538462,forced,Ti,0.11327958,0.13182762,0.5056411,0.24925174,0.7507483
77,23.103,22072.864104712,0.4132153377246275,-0.10512820512820513,-0.3461538461538462,forced,Ti,0.107902154,0.13274334,0.49568084,0.2636737,0.73632634
78,23.078,22564.511798018928,0.4587474030786779,-0.10512820512820513,-0.3461538461538462,forced,Ti,0.1066015,0.13227704,0.49349794,0.2676235,0.73237646
79,23.054,22216.501052743566,0.4838918010783311,-0.10512820512820513,-0.3461538461538462,forced,Ti,0.108532146,0.13191356,0.49448735,0.26506698,0.734933
81,23.006,23140.84519997522,0.4994180816726079,-0.10512820512820513,-0.3461538461538462,forced,Ti,0.10727211,0.13102934,0.49099636,0.27070218,0.7292978
82,22.982,22162.46983579328,0.45660842746806246,-0.10512820512820513,-0.3461538461538462,forced,Ti,0.11048725,0.12984534,0.4911242,0.26854315,0.7314569
83,22.958,22748.91505066452,0.4205565229773349,-0.10512820512820513,-0.3461538461538462,forced,Ti,0.11042383,0.128815,0.4912074,0.26955372,0.7304463
85,22.91,23348.599114498833,0.4833378879964092,-0.10512820512820513,-0.3461538461538462,forced,Ti,0.11661596,0.13209817,0.49673086,0.2545551,0.7454449
86,22.886,23202.102476320993,0.4797368897467414,-0.10512820512820513,-0.3461538461538462,forced,Ti,0.12246071,0.13148533,0.5019919,0.24406205,0.75593793
87,22.862,23726.65599727326,0.4719665984446244,-0.10512820512820513,-0.3461538461538462,forced,Ti,0.12736665,0.13374607,0.5091917,0.2296956,0.7703044
88,22.838,23426.178673043516,0.46047814637901047,-0.10512820512820513,-0.3461538461538462,forced,Ti,0.1297986,0.13188091,0.5081628,0.23015766,0.7698423
90,22.79,23380.59153688684,0.4662221730991134,-0.10512820512820513,-0.3461538461538462,forced,Ti,0.1388396,0.13083847,0.5124519,0.21787006,0.78212994
91,22.766,23420.52133000713,0.4632190244540814,-0.10512820512820513,-0.3461538461538462,forced,Ti,0.1418614,0.12900569,0.51434886,0.21478401,0.785216
92,22.742,23679.541213573335,0.470541015824479,-0.10512820512820513,-0.3461538461538462,forced,Ti,0.14613098,0.12930296,0.5157873,0.20877872,0.79122126
94,22.694,22231.649034875227,0.43336269190110743,-0.10512820512820513,-0.3461538461538462,forced,Ti,0.15987867,0.12849014,0.52062607,0.19100513,0.8089949
95,22.67,21144.346511542924,0.38941854883449634,-0.10512820512820513,-0.3461538461538462,forced,Ti,0.16448613,0.12927468,0.52275926,0.18347998,0.81652004
96,22.646,19321.6053111704,0.2887143588494679,-0.10512820512820513,-0.3461538461538462,forced,Ti,0.1694832,0.12993282,0.52408016,0.17650385,0.82349616
98,22.597,14290.216260848503,0.16903560317197908,-0.10512820512820513,-0.3461538461538462,forced,Ti,0.17613658,0.13268918,0.52305025,0.16812399,0.83187604
99,22.573,15008.134142863057,0.08135514009367512,-0.10512820512820513,-0.3461538461538462,forced,Ti,0.17284496,0.13004349,0.5182226,0.17888896,0.821111
100,22.549,15748.381234751194,0.12961350359760193,-0.10512820512820513,-0.3461538461538462,forced,Ti,0.17051537,0.13112989,0.5128801,0.18547463,0.81452537
102,22.501,15770.922291218325,0.14119350544514508,-0.10512820512820513,-0.3461538461538462,forced,Ti,0.18393256,0.12927446,0.5140515,0.17274149,0.8272585
