position,age_kyr_bp,variance,lag1_ac,ktau_variance,ktau_lag1_ac,segment_type,element,p_fold,p_hopf,p_transcritical,p_null,p_transition
51,23.728,11965.508306586056,0.3520069467323734,-0.001988380303776745,0.03826403886105121,neutral,Ti,0.16321513,0.19931732,0.57292444,0.06454316,0.9354569
52,23.704,12316.813320499548,0.37677779429574804,-0.001988380303776745,0.03826403886105121,neutral,Ti,0.16265322,0.20004267,0.5713317,0.06597247,0.93402755
53,23.68,12440.294162412509,0.40159422903202185,-0.001988380303776745,0.03826403886105121,neutral,Ti,0.16259784,0.20203333,0.5691903,0.06617849,0.9338215
54,23.656,13458.933254502599,0.42854985975997656,-0.001988380303776745,0.03826403886105121,neutral,Ti,0.16018955,0.2040108,0.5676886,0.06811106,0.93188894
56,23.608,13434.540462271276,0.4411059537154654,-0.001988380303776745,0.03826403886105121,neutral,Ti,0.16730167,0.20678699,0.5642984,0.061612934,0.93838704
57,23.584,13399.65906133215,0.4284431390484856,-0.001988380303776745,0.03826403886105121,neutral,Ti,0.1762819,0.20587157,0.5623575,0.0554891,0.9445109
58,23.559,12771.675648781214,0.46792170251594917,-0.001988380303776745,0.03826403886105121,neutral,Ti,0.18435962,0.20240897,0.5612859,0.05194553,0.9480545
60,23.511,12571.24562679271,0.47989332243882366,-0.001988380303776745,0.03826403886105121,neutral,Ti,0.19958352,0.2017969,0.5549424,0.043677133,0.95632285
61,23.487,12653.257350826587,0.48132249606584665,-0.001988380303776745,0.03826403886105121,neutral,Ti,0.20982109,0.19974089,0.5513625,0.03907552,0.9609245
62,23.463,12765.352261945145,0.4599293722265143,-0.001988380303776745,0.03826403886105121,neutral,Ti,0.21271105,0.20052767,0.5486094,0.03815192,0.9618481
64,23.415,12119.69564533354,0.4126512098729105,-0.001988380303776745,0.03826403886105121,neutral,Ti,0.22559926,0.2001258,0.5408514,0.033423487,0.9665765
65,23.391,11224.8041759023,0.3876170985296178,-0.001988380303776745,0.03826403886105121,neutral,Ti,0.23621863,0.19711861,0.536613,0.030049836,0.96995014
