model,dataset,train,zenodo,pangaea_n
arsenal,ts_500,yes,yes,14
arsenal,ts_1500,yes,yes,8
bop,ts_500,yes,yes,14
bop,ts_1500,yes,MISSING,14
boss,ts_500,yes,MISSING,7
boss,ts_1500,yes,yes,14
catch22,ts_500,yes,yes,14
catch22,ts_1500,yes,yes,14
cif,ts_500,yes,MISSING,4
cif,ts_1500,MISSING,MISSING,0
cnn_lstm,ts_500,yes,yes,14
cnn_lstm,ts_1500,yes,yes,14
drcif,ts_500,yes,yes,8
drcif,ts_1500,yes,MISSING,1
fastshapelet,ts_500,yes,yes,14
fastshapelet,ts_1500,yes,MISSING,11
grsf,ts_500,yes,yes,14
grsf,ts_1500,yes,MISSING,3
inceptiontime,ts_500,yes,yes,14
inceptiontime,ts_1500,yes,yes,14
lps,ts_500,yes,yes,14
lps,ts_1500,yes,yes,14
ls,ts_500,yes,yes,14
ls,ts_1500,MISSING,MISSING,0
lstm,ts_500,yes,yes,14
lstm,ts_1500,yes,yes,14
minirocket,ts_500,yes,yes,14
minirocket,ts_1500,yes,yes,14
mrsqm,ts_500,yes,yes,14
mrsqm,ts_1500,yes,yes,14
multirocket,ts_500,yes,yes,14
multirocket,ts_1500,yes,yes,14
patchtst,ts_500,yes,yes,14
patchtst,ts_1500,yes,yes,14
pf,ts_500,MISSING,MISSING,0
pf,ts_1500,MISSING,MISSING,0
rdst,ts_500,yes,yes,14
rdst,ts_1500,yes,yes,14
resnet,ts_500,yes,yes,14
resnet,ts_1500,yes,yes,14
rnn_fcn,ts_500,yes,yes,14
rnn_fcn,ts_1500,yes,yes,14
rocket,ts_500,yes,yes,14
rocket,ts_1500,yes,yes,14
saxvsm,ts_500,yes,yes,14
saxvsm,ts_1500,yes,MISSING,0
st,ts_500,yes,yes,14
st,ts_1500,yes,yes,5
tcn,ts_500,yes,yes,14
tcn,ts_1500,yes,yes,14
tde,ts_500,MISSING,MISSING,0
tde,ts_1500,MISSING,MISSING,0
tsbf,ts_500,yes,yes,14
tsbf,ts_1500,yes,yes,14
tsf,ts_500,yes,yes,14
tsf,ts_1500,yes,yes,14
weasel2,ts_500,yes,yes,14
weasel2,ts_1500,yes,yes,14
