model,dataset,core,sapropel,element,binary_auc,kendall_tau,tau_null_mean,tau_null_ci_low,tau_null_ci_high,n_forced,n_null
arsenal,ts_1500,64PE406E1,S3,Mo,0.950906,0.722354,-0.237078,-0.568514,0.094357,40,400
arsenal,ts_1500,64PE406E1,S3,U,0.948469,0.783647,-0.439377,-0.67065,-0.208103,40,400
arsenal,ts_1500,64PE406E1,S4,Mo,0.92825,0.803843,-0.495219,-0.701645,-0.288793,40,400
arsenal,ts_1500,64PE406E1,S4,U,0.995469,0.77575,-0.634611,-0.78666,-0.482562,40,400
arsenal,ts_1500,64PE406E1,S5,Mo,0.901875,0.853193,-0.127584,-0.42542,0.170252,40,400
arsenal,ts_1500,64PE406E1,S5,U,0.667406,0.844187,-0.01558,-0.306503,0.275342,40,400
arsenal,ts_1500,64PE406E1,S6,Mo,0.615906,0.887236,0.58528,0.394493,0.776068,40,400
arsenal,ts_1500,64PE406E1,S6,U,0.646594,0.8974,0.759289,0.598359,0.92022,40,400
arsenal,ts_500,64PE406E1,S3,Mo,0.995594,0.223607,-0.69164,-0.836237,-0.547043,40,400
arsenal,ts_500,64PE406E1,S3,U,0.93025,0.504279,-0.618289,-0.793967,-0.442612,40,400
arsenal,ts_500,64PE406E1,S4,Mo,0.993812,0.538052,-0.578576,-0.915173,-0.241978,40,400
arsenal,ts_500,64PE406E1,S4,U,0.999937,0.674755,-0.466776,-0.709554,-0.223998,40,400
arsenal,ts_500,64PE406E1,S5,Mo,1.0,0.816497,-0.356049,-0.642093,-0.070006,40,400
arsenal,ts_500,64PE406E1,S5,U,0.8665,0.854121,-0.552716,-0.818635,-0.286797,40,400
arsenal,ts_500,64PE406E1,S6,Mo,0.923344,0.763369,-0.405932,-0.607149,-0.204715,40,400
arsenal,ts_500,64PE406E1,S6,U,0.967375,0.567341,-0.077778,-0.341586,0.186031,40,400
arsenal,ts_500,MS21,S1,Mo,0.966562,0.662827,-0.028954,-0.271599,0.21369,40,400
arsenal,ts_500,MS21,S1,U,0.803312,0.8327,-0.003383,-0.218892,0.212125,40,400
arsenal,ts_500,MS66,S1,Mo,1.0,0.0,-0.300987,-0.486321,-0.115652,40,400
arsenal,ts_500,MS66,S1,U,1.0,0.0,-0.375172,-0.6061,-0.144244,40,400
arsenal,ts_500,MS66,S3,Mo,0.992188,0.793327,-0.361821,-0.567763,-0.155879,40,400
arsenal,ts_500,MS66,S3,U,0.782469,0.592702,-0.229802,-0.584974,0.125369,40,400
bop,ts_1500,64PE406E1,S3,Mo,0.64375,0.0,-0.457825,-0.619354,-0.296297,40,400
bop,ts_1500,64PE406E1,S3,U,0.6325,0.0,-0.113962,-0.3254,0.097476,40,400
bop,ts_1500,64PE406E1,S4,Mo,0.675,0.0,-0.452699,-0.599895,-0.305503,40,400
bop,ts_1500,64PE406E1,S4,U,0.695,0.0,-0.318678,-0.507555,-0.1298,40,400
bop,ts_1500,64PE406E1,S5,Mo,0.63625,0.0,-0.136368,-0.399071,0.126335,40,400
bop,ts_1500,64PE406E1,S5,U,0.61875,0.0,-0.412773,-0.62084,-0.204707,40,400
bop,ts_1500,64PE406E1,S6,Mo,0.29625,0.712525,0.26664,0.089264,0.444016,40,400
bop,ts_1500,64PE406E1,S6,U,0.6575,0.21214,0.155433,0.061389,0.249476,40,400
bop,ts_1500,MS21,S1,Mo,0.51125,-0.326625,0.114851,-0.089747,0.319449,40,400
bop,ts_1500,MS21,S1,U,0.345,0.140387,-0.045967,-0.250874,0.15894,40,400
bop,ts_1500,MS66,S1,Mo,0.70125,-0.405798,-0.099017,-0.399615,0.201582,40,400
bop,ts_1500,MS66,S1,U,0.8575,-0.154805,-0.090518,-0.324726,0.14369,40,400
bop,ts_1500,MS66,S3,Mo,0.59875,0.0,-0.270871,-0.452029,-0.089713,40,400
bop,ts_1500,MS66,S3,U,0.38625,0.046225,-0.140058,-0.362207,0.082091,40,400
bop,ts_500,64PE406E1,S3,Mo,0.81875,0.0,0.117425,-0.058285,0.293135,40,400
bop,ts_500,64PE406E1,S3,U,0.36,0.101575,0.063382,-0.174886,0.301651,40,400
bop,ts_500,64PE406E1,S4,Mo,0.71875,0.09176,-0.056738,-0.289209,0.175734,40,400
bop,ts_500,64PE406E1,S4,U,0.47125,-0.09759,0.090278,-0.10898,0.289536,40,400
bop,ts_500,64PE406E1,S5,Mo,0.57875,0.066152,0.030744,-0.194994,0.256481,40,400
bop,ts_500,64PE406E1,S5,U,0.7525,-0.082144,-0.00721,-0.244307,0.229886,40,400
bop,ts_500,64PE406E1,S6,Mo,0.56625,0.558662,0.054009,-0.150804,0.258823,40,400
bop,ts_500,64PE406E1,S6,U,0.65125,0.360444,-0.032963,-0.275989,0.210063,40,400
bop,ts_500,MS21,S1,Mo,0.4725,0.083547,-0.307697,-0.441297,-0.174098,40,400
bop,ts_500,MS21,S1,U,0.475,-0.320884,-0.300703,-0.449225,-0.152182,40,400
bop,ts_500,MS66,S1,Mo,0.76625,-0.157111,0.043346,-0.11705,0.203741,40,400
bop,ts_500,MS66,S1,U,0.44625,0.138025,-0.126391,-0.263137,0.010355,40,400
bop,ts_500,MS66,S3,Mo,0.7475,-0.295718,-0.026835,-0.308191,0.254521,40,400
bop,ts_500,MS66,S3,U,0.445,0.639511,-0.097277,-0.353378,0.158824,40,400
boss,ts_1500,64PE406E1,S3,Mo,0.317625,0.273604,-0.41586,-0.696068,-0.135652,40,400
boss,ts_1500,64PE406E1,S3,U,0.4705,-0.080739,-0.371186,-0.568985,-0.173386,40,400
boss,ts_1500,64PE406E1,S4,Mo,0.877375,-0.27868,-0.62618,-0.785438,-0.466922,40,400
boss,ts_1500,64PE406E1,S4,U,0.657281,-0.528358,-0.442362,-0.667517,-0.217208,40,400
boss,ts_1500,64PE406E1,S5,Mo,0.628594,0.549125,-0.245906,-0.490258,-0.001553,40,400
boss,ts_1500,64PE406E1,S5,U,0.504812,0.441994,-0.285499,-0.639749,0.06875,40,400
boss,ts_1500,64PE406E1,S6,Mo,0.30125,0.545947,0.515905,0.357757,0.674052,40,400
boss,ts_1500,64PE406E1,S6,U,0.253063,0.822045,0.124625,-0.224795,0.474045,40,400
boss,ts_1500,MS21,S1,Mo,0.960938,0.389744,0.061538,-0.096207,0.219284,40,400
boss,ts_1500,MS21,S1,U,0.514188,0.671795,-0.068718,-0.327821,0.190385,40,400
boss,ts_1500,MS66,S1,Mo,0.982,-0.504199,-0.317411,-0.580755,-0.054068,40,400
boss,ts_1500,MS66,S1,U,0.785563,-0.14772,-0.004942,-0.280092,0.270208,40,400
boss,ts_1500,MS66,S3,Mo,0.682531,0.620314,-0.161366,-0.481672,0.15894,40,400
boss,ts_1500,MS66,S3,U,0.21125,0.407254,-0.057595,-0.35781,0.242621,40,400
boss,ts_500,64PE406E1,S3,Mo,0.798562,0.265896,-0.204672,-0.298055,-0.111289,40,400
