model,n_segments,mean_p_fold,mean_p_hopf,mean_p_transcritical,mean_p_null,argmax_class
arsenal,22,0.1934,0.7259,0.062,0.0186,hopf
bop,28,0.6562,0.0848,0.0223,0.2366,fold
boss,21,0.2616,0.3072,0.276,0.1552,hopf
catch22,28,0.291,0.2431,0.2627,0.2032,fold
cif,4,0.2865,0.3928,0.2381,0.0825,hopf
cnn_lstm,28,0.1634,0.6468,0.1873,0.0025,hopf
drcif,9,0.3186,0.3061,0.2328,0.1425,fold
fastshapelet,25,0.1841,0.5201,0.1653,0.1305,hopf
grsf,17,0.2238,0.4616,0.2122,0.1024,hopf
inceptiontime,28,0.3285,0.5247,0.1396,0.0072,hopf
lps,28,0.2538,0.2734,0.2297,0.2432,hopf
ls,14,1.0,0.0,0.0,0.0,fold
lstm,28,0.2253,0.4301,0.3321,0.0125,hopf
minirocket,28,0.5745,0.0496,0.0073,0.3686,fold
mrsqm,28,0.0135,0.5295,0.4493,0.0076,hopf
multirocket,28,0.9565,0.0268,0.0082,0.0085,fold
patchtst,28,0.1885,0.5304,0.2572,0.0239,hopf
rdst,28,0.058,0.2009,0.5,0.2411,transcritical
resnet,28,0.3423,0.4735,0.1795,0.0048,hopf
rnn_fcn,28,0.2079,0.4962,0.2778,0.0182,hopf
rocket,28,0.3417,0.4317,0.1483,0.0783,hopf
saxvsm,14,0.2474,0.252,0.2446,0.256,null
st,19,0.2553,0.4428,0.192,0.1099,hopf
tcn,28,0.1843,0.5519,0.2531,0.0106,hopf
tsbf,28,0.2956,0.2808,0.248,0.1755,fold
tsf,28,0.284,0.4285,0.2306,0.0568,hopf
weasel2,28,0.0134,0.0402,0.4286,0.5179,null
