model,dataset,core,sapropel,element,p_fold,p_hopf,p_transcritical,p_null,argmax_class
arsenal,ts_1500,64PE406E1,S3,Mo,0.1198,0.8452,0.0,0.035,hopf
arsenal,ts_1500,64PE406E1,S3,U,0.0999,0.7102,0.1499,0.04,hopf
arsenal,ts_1500,64PE406E1,S4,Mo,0.1948,0.8002,0.005,0.0,hopf
arsenal,ts_1500,64PE406E1,S4,U,0.04,0.8901,0.03,0.04,hopf
arsenal,ts_1500,64PE406E1,S5,Mo,0.3698,0.5853,0.04,0.005,hopf
arsenal,ts_1500,64PE406E1,S5,U,0.4999,0.3752,0.08,0.0449,fold
arsenal,ts_1500,64PE406E1,S6,Mo,0.155,0.5802,0.1049,0.1599,hopf
arsenal,ts_1500,64PE406E1,S6,U,0.1099,0.7453,0.0649,0.0799,hopf
arsenal,ts_500,64PE406E1,S3,Mo,0.035,0.965,0.0,0.0,hopf
arsenal,ts_500,64PE406E1,S3,U,0.1651,0.7649,0.07,0.0,hopf
arsenal,ts_500,64PE406E1,S4,Mo,0.015,0.985,0.0,0.0,hopf
arsenal,ts_500,64PE406E1,S4,U,0.1702,0.8298,0.0,0.0,hopf
arsenal,ts_500,64PE406E1,S5,Mo,0.0701,0.9199,0.01,0.0,hopf
arsenal,ts_500,64PE406E1,S5,U,0.2451,0.7549,0.0,0.0,hopf
arsenal,ts_500,64PE406E1,S6,Mo,0.0,0.7249,0.2751,0.0,hopf
arsenal,ts_500,64PE406E1,S6,U,0.0,0.995,0.0,0.005,hopf
arsenal,ts_500,MS21,S1,Mo,0.8,0.19,0.01,0.0,fold
arsenal,ts_500,MS21,S1,U,0.915,0.0599,0.025,0.0,fold
arsenal,ts_500,MS66,S1,Mo,0.0,0.5348,0.4652,0.0,hopf
arsenal,ts_500,MS66,S1,U,0.125,0.84,0.035,0.0,hopf
arsenal,ts_500,MS66,S3,Mo,0.02,0.98,0.0,0.0,hopf
arsenal,ts_500,MS66,S3,U,0.1052,0.8948,0.0,0.0,hopf
bop,ts_1500,64PE406E1,S3,Mo,1.0,0.0,0.0,0.0,fold
bop,ts_1500,64PE406E1,S3,U,1.0,0.0,0.0,0.0,fold
bop,ts_1500,64PE406E1,S4,Mo,0.875,0.125,0.0,0.0,fold
bop,ts_1500,64PE406E1,S4,U,1.0,0.0,0.0,0.0,fold
bop,ts_1500,64PE406E1,S5,Mo,1.0,0.0,0.0,0.0,fold
bop,ts_1500,64PE406E1,S5,U,1.0,0.0,0.0,0.0,fold
bop,ts_1500,64PE406E1,S6,Mo,1.0,0.0,0.0,0.0,fold
bop,ts_1500,64PE406E1,S6,U,1.0,0.0,0.0,0.0,fold
bop,ts_1500,MS21,S1,Mo,0.125,0.0,0.125,0.75,null
bop,ts_1500,MS21,S1,U,0.0,0.0,0.0,1.0,null
bop,ts_1500,MS66,S1,Mo,0.125,0.375,0.0,0.5,null
bop,ts_1500,MS66,S1,U,0.875,0.0,0.0,0.125,fold
bop,ts_1500,MS66,S3,Mo,1.0,0.0,0.0,0.0,fold
bop,ts_1500,MS66,S3,U,0.875,0.0,0.0,0.125,fold
bop,ts_500,64PE406E1,S3,Mo,1.0,0.0,0.0,0.0,fold
bop,ts_500,64PE406E1,S3,U,0.5,0.25,0.0,0.25,fold
bop,ts_500,64PE406E1,S4,Mo,1.0,0.0,0.0,0.0,fold
bop,ts_500,64PE406E1,S4,U,0.25,0.125,0.0,0.625,null
bop,ts_500,64PE406E1,S5,Mo,0.75,0.0,0.0,0.25,fold
bop,ts_500,64PE406E1,S5,U,0.375,0.5,0.0,0.125,hopf
