model,band,n,fold,fold_pct,hopf,hopf_pct,transcritical,transcritical_pct,null,null_pct
arsenal,early,440,26,5.9,62,14.1,25,5.7,327,74.3
arsenal,late,440,17,3.9,58,13.2,35,8.0,330,75.0
bop,early,312,295,94.6,4,1.3,1,0.3,12,3.8
bop,late,317,294,92.7,8,2.5,2,0.6,13,4.1
boss,early,152,18,11.8,86,56.6,48,31.6,0,0.0
boss,late,153,20,13.1,82,53.6,50,32.7,1,0.7
catch22,early,550,162,29.5,121,22.0,177,32.2,90,16.4
catch22,late,580,186,32.1,106,18.3,222,38.3,66,11.4
cnn_lstm,early,550,74,13.5,272,49.5,187,34.0,17,3.1
cnn_lstm,late,580,65,11.2,326,56.2,181,31.2,8,1.4
fastshapelet,early,280,2,0.7,0,0.0,10,3.6,268,95.7
fastshapelet,late,285,4,1.4,3,1.1,5,1.8,273,95.8
inceptiontime,early,560,124,22.1,70,12.5,92,16.4,274,48.9
inceptiontime,late,570,132,23.2,65,11.4,107,18.8,266,46.7
lps,early,560,58,10.4,416,74.3,25,4.5,61,10.9
lps,late,570,62,10.9,430,75.4,22,3.9,56,9.8
ls,early,275,275,100.0,0,0.0,0,0.0,0,0.0
ls,late,290,287,99.0,0,0.0,3,1.0,0,0.0
lstm,early,550,109,19.8,168,30.5,251,45.6,22,4.0
lstm,late,580,84,14.5,245,42.2,243,41.9,8,1.4
minirocket,early,550,268,48.7,9,1.6,0,0.0,273,49.6
minirocket,late,580,285,49.1,9,1.6,0,0.0,286,49.3
mrsqm,early,550,16,2.9,230,41.8,298,54.2,6,1.1
mrsqm,late,580,20,3.4,239,41.2,317,54.7,4,0.7
multirocket,early,560,45,8.0,72,12.9,148,26.4,295,52.7
multirocket,late,570,48,8.4,74,13.0,146,25.6,302,53.0
patchtst,early,550,24,4.4,261,47.5,262,47.6,3,0.5
patchtst,late,580,20,3.4,283,48.8,277,47.8,0,0.0
rdst,early,560,55,9.8,88,15.7,139,24.8,278,49.6
rdst,late,570,36,6.3,73,12.8,135,23.7,326,57.2
resnet,early,550,221,40.2,139,25.3,171,31.1,19,3.5
resnet,late,580,170,29.3,220,37.9,183,31.6,7,1.2
rnn_fcn,early,550,113,20.5,148,26.9,262,47.6,27,4.9
rnn_fcn,late,580,73,12.6,244,42.1,254,43.8,9,1.6
rocket,early,550,261,47.5,219,39.8,56,10.2,14,2.5
rocket,late,580,241,41.6,266,45.9,73,12.6,0,0.0
saxvsm,early,280,38,13.6,21,7.5,163,58.2,58,20.7
saxvsm,late,285,41,14.4,22,7.7,138,48.4,84,29.5
st,early,387,92,23.8,167,43.2,71,18.3,57,14.7
st,late,407,85,20.9,200,49.1,100,24.6,22,5.4
tcn,early,550,92,16.7,224,40.7,207,37.6,27,4.9
tcn,late,580,54,9.3,267,46.0,250,43.1,9,1.6
tsbf,early,560,62,11.1,72,12.9,24,4.3,402,71.8
tsbf,late,570,74,13.0,62,10.9,16,2.8,418,73.3
tsf,early,560,211,37.7,3,0.5,29,5.2,317,56.6
tsf,late,570,199,34.9,5,0.9,37,6.5,329,57.7
weasel2,early,555,57,10.3,34,6.1,28,5.0,436,78.6
weasel2,late,575,56,9.7,45,7.8,31,5.4,443,77.0
