model,dataset,primary_mou_mean_auc,primary_mou_median_auc,primary_mou_n,all5_mean_auc,all5_n
arsenal,ts_1500,0.8319,0.9151,8,0.8319,8
arsenal,ts_500,0.9444,0.9798,14,0.9444,14
bop,ts_1500,0.5896,0.6344,14,0.5896,14
bop,ts_500,0.5907,0.5725,14,0.5907,14
boss,ts_1500,0.5819,0.5714,14,0.5819,14
boss,ts_500,0.7115,0.729,7,0.7115,7
catch22,ts_1500,0.7534,0.8534,14,0.7534,14
catch22,ts_500,0.7897,0.777,14,0.7897,14
cif,ts_500,0.9279,0.925,4,0.9279,4
cnn_lstm,ts_1500,0.9614,0.9951,14,0.9614,14
cnn_lstm,ts_500,0.9097,0.9767,14,0.9097,14
drcif,ts_1500,0.8243,0.8243,1,0.8243,1
drcif,ts_500,0.8948,0.9393,8,0.8948,8
fastshapelet,ts_1500,0.7881,0.8866,11,0.7881,11
fastshapelet,ts_500,0.7551,0.7697,14,0.7551,14
grsf,ts_1500,0.9806,0.9835,3,0.9806,3
grsf,ts_500,0.9116,0.9383,14,0.9116,14
inceptiontime,ts_1500,0.9437,0.9891,14,0.9437,14
inceptiontime,ts_500,0.9443,0.9806,14,0.9443,14
lps,ts_1500,0.6351,0.6298,14,0.6351,14
lps,ts_500,0.6921,0.7301,14,0.6921,14
ls,ts_500,0.5,0.5,14,0.5,14
lstm,ts_1500,0.9494,0.9915,14,0.9494,14
lstm,ts_500,0.9259,0.9597,14,0.9259,14
minirocket,ts_1500,0.8621,0.9388,14,0.8621,14
minirocket,ts_500,0.9568,0.9964,14,0.9568,14
mrsqm,ts_1500,0.8459,0.9121,14,0.8459,14
mrsqm,ts_500,0.8567,0.9306,14,0.8567,14
multirocket,ts_1500,0.8371,0.8576,14,0.8371,14
multirocket,ts_500,0.745,0.7605,14,0.745,14
patchtst,ts_1500,0.8971,0.9856,14,0.8971,14
patchtst,ts_500,0.9319,0.9834,14,0.9319,14
rdst,ts_1500,0.5,0.5,14,0.5,14
rdst,ts_500,0.6506,0.6188,14,0.6506,14
resnet,ts_1500,0.956,0.9821,14,0.956,14
resnet,ts_500,0.9625,0.9921,14,0.9625,14
rnn_fcn,ts_1500,0.9444,0.9506,14,0.9444,14
rnn_fcn,ts_500,0.9454,0.9793,14,0.9454,14
rocket,ts_1500,0.9069,0.9823,14,0.9069,14
rocket,ts_500,0.9514,0.9979,14,0.9514,14
saxvsm,ts_500,0.786,0.8133,14,0.786,14
st,ts_1500,0.8757,0.9884,5,0.8757,5
st,ts_500,0.9353,0.9867,14,0.9353,14
tcn,ts_1500,0.9459,0.9746,14,0.9459,14
tcn,ts_500,0.913,0.9797,14,0.913,14
tsbf,ts_1500,0.6153,0.6216,14,0.6153,14
tsbf,ts_500,0.8814,0.8974,14,0.8814,14
tsf,ts_1500,0.8882,0.9778,14,0.8882,14
tsf,ts_500,0.8897,0.9556,14,0.8897,14
weasel2,ts_1500,0.5,0.5,14,0.5,14
weasel2,ts_500,0.527,0.5,14,0.527,14
